day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_01_03,1704240300,LONG,16723.75,1704242400,16722.75,-1.0,-20.0,-34.1,curve_bend_down
2024_01_03,1704246600,LONG,16711.0,1704248400,16706.75,-4.25,-85.0,-99.1,curve_bend_down
2024_01_03,1704250200,LONG,16704.5,1704252000,16703.25,-1.25,-25.0,-39.1,curve_bend_down
2024_01_03,1704252900,LONG,16708.5,1704253800,16704.0,-4.5,-90.0,-104.1,curve_bend_down
2024_01_03,1704256500,LONG,16700.0,1704256800,16697.25,-2.75,-55.0,-69.1,curve_bend_down
2024_01_03,1704259200,LONG,16696.75,1704262200,16700.75,4.0,80.0,65.9,curve_bend_down
2024_01_03,1704262500,LONG,16706.5,1704265200,16711.5,5.0,100.0,85.9,curve_bend_down
2024_01_03,1704267300,LONG,16709.5,1704270900,16707.5,-2.0,-40.0,-54.1,curve_bend_down
2024_01_03,1704273900,LONG,16676.0,1704275100,16654.5,-21.5,-430.0,-444.1,curve_bend_down
2024_01_03,1704276900,LONG,16660.5,1704279600,16657.5,-3.0,-60.0,-74.1,curve_bend_down
2024_01_03,1704283200,LONG,16648.5,1704284100,16629.5,-19.0,-380.0,-394.1,curve_bend_down
2024_01_03,1704286500,LONG,16611.75,1704290100,16632.75,21.0,420.0,405.9,curve_bend_down
2024_01_03,1704292500,LONG,16611.5,1704294600,16607.5,-4.0,-80.0,-94.1,curve_bend_down
2024_01_03,1704297000,LONG,16561.75,1704299400,16590.25,28.5,570.0,555.9,curve_bend_down
2024_01_03,1704303000,LONG,16579.5,1704306300,16587.75,8.25,165.0,150.9,curve_bend_down
2024_01_03,1704308400,LONG,16584.25,1704308700,16553.75,-30.5,-610.0,-624.1,curve_bend_down
2024_01_03,1704309900,LONG,16575.5,1704312000,16590.5,15.0,300.0,285.9,curve_bend_down
2024_01_03,1704314100,LONG,16575.25,1704315300,16527.5,-47.75,-955.0,-969.1,curve_bend_down
2024_01_03,1704317100,LONG,16534.5,1704318900,16539.0,4.5,90.0,75.9,eod
