day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_01_03,1704236700,LONG,16735.0,1704236820,16735.0,0.0,0.0,-14.1,curve_bend_down
2024_01_03,1704237060,LONG,16735.25,1704237120,16733.25,-2.0,-40.0,-54.1,curve_bend_down
2024_01_03,1704237660,LONG,16725.5,1704237780,16717.75,-7.75,-155.0,-169.1,curve_bend_down
2024_01_03,1704237900,LONG,16720.75,1704238020,16721.0,0.25,5.0,-9.1,curve_bend_down
2024_01_03,1704238200,LONG,16722.0,1704238500,16723.5,1.5,30.0,15.9,curve_bend_down
2024_01_03,1704238620,LONG,16724.25,1704238680,16723.75,-0.5,-10.0,-24.1,curve_bend_down
2024_01_03,1704239040,LONG,16722.25,1704239100,16721.25,-1.0,-20.0,-34.1,curve_bend_down
2024_01_03,1704239160,LONG,16722.75,1704239520,16723.25,0.5,10.0,-4.1,curve_bend_down
2024_01_03,1704239700,LONG,16723.5,1704240120,16722.5,-1.0,-20.0,-34.1,curve_bend_down
2024_01_03,1704240300,LONG,16723.75,1704240420,16722.5,-1.25,-25.0,-39.1,curve_bend_down
2024_01_03,1704240600,LONG,16723.75,1704240720,16723.75,0.0,0.0,-14.1,curve_bend_down
2024_01_03,1704240840,LONG,16724.25,1704241080,16727.0,2.75,55.0,40.9,curve_bend_down
2024_01_03,1704241380,LONG,16726.0,1704241740,16728.0,2.0,40.0,25.9,curve_bend_down
2024_01_03,1704241980,LONG,16725.75,1704242160,16724.0,-1.75,-35.0,-49.1,curve_bend_down
2024_01_03,1704242280,LONG,16725.5,1704242400,16722.75,-2.75,-55.0,-69.1,curve_bend_down
2024_01_03,1704242580,LONG,16720.25,1704242820,16720.0,-0.25,-5.0,-19.1,curve_bend_down
2024_01_03,1704242880,LONG,16720.0,1704243120,16717.0,-3.0,-60.0,-74.1,curve_bend_down
2024_01_03,1704243300,LONG,16718.75,1704243540,16717.5,-1.25,-25.0,-39.1,curve_bend_down
2024_01_03,1704243660,LONG,16718.0,1704243840,16718.75,0.75,15.0,0.9000000000000004,curve_bend_down
2024_01_03,1704244020,LONG,16717.25,1704244140,16717.0,-0.25,-5.0,-19.1,curve_bend_down
2024_01_03,1704244440,LONG,16712.0,1704244560,16711.5,-0.5,-10.0,-24.1,curve_bend_down
2024_01_03,1704244740,LONG,16712.25,1704244920,16711.5,-0.75,-15.0,-29.1,curve_bend_down
2024_01_03,1704245220,LONG,16710.75,1704245520,16711.75,1.0,20.0,5.9,curve_bend_down
2024_01_03,1704245700,LONG,16709.25,1704246060,16709.75,0.5,10.0,-4.1,curve_bend_down
2024_01_03,1704246300,LONG,16710.0,1704246360,16708.0,-2.0,-40.0,-54.1,curve_bend_down
2024_01_03,1704246420,LONG,16710.0,1704246600,16711.0,1.0,20.0,5.9,curve_bend_down
2024_01_03,1704246660,LONG,16712.75,1704247020,16714.75,2.0,40.0,25.9,curve_bend_down
2024_01_03,1704247440,LONG,16713.25,1704247620,16714.0,0.75,15.0,0.9000000000000004,curve_bend_down
