day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_02_05,1707088140,LONG,17716.25,1707088200,17720.0,3.75,75.0,60.9,accel_panic
2024_02_05,1707089100,SHORT,17711.0,1707089160,17710.25,0.75,15.0,0.9000000000000004,accel_panic
2024_02_05,1707090540,LONG,17707.5,1707090600,17707.5,0.0,0.0,-14.1,vel_cross
2024_02_05,1707091380,SHORT,17704.5,1707091440,17707.0,-2.5,-50.0,-64.1,accel_panic
2024_02_05,1707092340,LONG,17713.5,1707092400,17702.75,-10.75,-215.0,-229.1,accel_panic
2024_02_05,1707092820,LONG,17696.25,1707092880,17697.75,1.5,30.0,15.9,accel_panic
2024_02_05,1707094020,SHORT,17676.75,1707094200,17681.0,-4.25,-85.0,-99.1,accel_panic
2024_02_05,1707095460,LONG,17678.5,1707095520,17676.75,-1.75,-35.0,-49.1,vel_cross
2024_02_05,1707095940,SHORT,17677.75,1707096000,17682.0,-4.25,-85.0,-99.1,accel_panic
2024_02_05,1707096600,SHORT,17676.75,1707096660,17678.0,-1.25,-25.0,-39.1,accel_panic
2024_02_05,1707097860,LONG,17678.5,1707097920,17681.5,3.0,60.0,45.9,vel_cross
2024_02_05,1707099180,SHORT,17678.75,1707099240,17680.5,-1.75,-35.0,-49.1,vel_cross
2024_02_05,1707100740,LONG,17676.5,1707100800,17675.0,-1.5,-30.0,-44.1,vel_cross
2024_02_05,1707102780,LONG,17679.5,1707102840,17679.5,0.0,0.0,-14.1,vel_cross
2024_02_05,1707104280,SHORT,17679.0,1707104340,17677.75,1.25,25.0,10.9,vel_cross
2024_02_05,1707109680,SHORT,17683.5,1707109740,17682.5,1.0,20.0,5.9,accel_panic
2024_02_05,1707110040,SHORT,17683.0,1707110100,17684.0,-1.0,-20.0,-34.1,accel_panic
2024_02_05,1707110700,LONG,17691.25,1707110760,17693.5,2.25,45.0,30.9,vel_cross
2024_02_05,1707111000,LONG,17690.0,1707111060,17684.25,-5.75,-115.0,-129.1,vel_cross
2024_02_05,1707113760,LONG,17696.25,1707113820,17696.0,-0.25,-5.0,-19.1,vel_cross
2024_02_05,1707115800,LONG,17695.5,1707115860,17693.0,-2.5,-50.0,-64.1,accel_panic
2024_02_05,1707117060,LONG,17691.5,1707117120,17691.25,-0.25,-5.0,-19.1,vel_cross
2024_02_05,1707119220,LONG,17703.75,1707119280,17703.25,-0.5,-10.0,-24.1,accel_panic
2024_02_05,1707119820,LONG,17703.0,1707119880,17701.5,-1.5,-30.0,-44.1,accel_panic
2024_02_05,1707120240,SHORT,17697.0,1707120300,17703.5,-6.5,-130.0,-144.1,accel_panic
2024_02_05,1707121500,LONG,17707.0,1707121560,17709.25,2.25,45.0,30.9,vel_cross
2024_02_05,1707122220,LONG,17712.0,1707122280,17711.5,-0.5,-10.0,-24.1,vel_cross
2024_02_05,1707123300,LONG,17715.5,1707123360,17714.25,-1.25,-25.0,-39.1,vel_cross
2024_02_05,1707123840,LONG,17713.0,1707123900,17714.0,1.0,20.0,5.9,vel_cross
2024_02_05,1707124560,LONG,17714.75,1707124620,17713.75,-1.0,-20.0,-34.1,accel_panic
2024_02_05,1707125640,SHORT,17695.25,1707125700,17696.0,-0.75,-15.0,-29.1,vel_cross
2024_02_05,1707127020,SHORT,17682.75,1707127080,17684.25,-1.5,-30.0,-44.1,accel_panic
2024_02_05,1707129720,LONG,17713.75,1707129780,17713.0,-0.75,-15.0,-29.1,accel_panic
2024_02_05,1707130620,LONG,17718.0,1707130680,17716.5,-1.5,-30.0,-44.1,accel_panic
2024_02_05,1707133200,SHORT,17715.0,1707133260,17715.75,-0.75,-15.0,-29.1,vel_cross
2024_02_05,1707134280,SHORT,17709.75,1707134340,17707.5,2.25,45.0,30.9,accel_panic
2024_02_05,1707134700,SHORT,17708.5,1707134760,17707.5,1.0,20.0,5.9,accel_panic
2024_02_05,1707135900,LONG,17728.75,1707135960,17725.25,-3.5,-70.0,-84.1,accel_panic
2024_02_05,1707136860,LONG,17729.0,1707136920,17732.75,3.75,75.0,60.9,accel_panic
2024_02_05,1707137460,SHORT,17726.25,1707137520,17728.0,-1.75,-35.0,-49.1,accel_panic
2024_02_05,1707138960,LONG,17729.25,1707139020,17726.75,-2.5,-50.0,-64.1,vel_cross
2024_02_05,1707140040,SHORT,17710.5,1707140520,17701.25,9.25,185.0,170.9,accel_panic
2024_02_05,1707141300,LONG,17702.25,1707141360,17697.75,-4.5,-90.0,-104.1,accel_panic
2024_02_05,1707142140,LONG,17699.0,1707142200,17700.5,1.5,30.0,15.9,vel_cross
2024_02_05,1707143160,LONG,17711.75,1707143220,17714.25,2.5,50.0,35.9,accel_panic
2024_02_05,1707143460,LONG,17713.75,1707143520,17724.25,10.5,210.0,195.9,accel_panic
2024_02_05,1707143760,LONG,17724.25,1707143820,17729.5,5.25,105.0,90.9,vel_cross
2024_02_05,1707144000,SHORT,17712.25,1707144120,17706.0,6.25,125.0,110.9,accel_panic
2024_02_05,1707144540,LONG,17707.25,1707144600,17691.25,-16.0,-320.0,-334.1,accel_panic
2024_02_05,1707144900,LONG,17689.5,1707144960,17695.0,5.5,110.0,95.9,accel_panic
2024_02_05,1707145260,LONG,17682.5,1707145320,17680.0,-2.5,-50.0,-64.1,accel_panic
2024_02_05,1707145560,SHORT,17670.25,1707145620,17680.0,-9.75,-195.0,-209.1,accel_panic
2024_02_05,1707145860,SHORT,17669.75,1707145920,17663.0,6.75,135.0,120.9,accel_panic
2024_02_05,1707146400,SHORT,17614.75,1707146520,17615.5,-0.75,-15.0,-29.1,accel_panic
2024_02_05,1707146820,LONG,17619.75,1707146880,17618.75,-1.0,-20.0,-34.1,accel_panic
2024_02_05,1707147360,SHORT,17618.25,1707147420,17616.75,1.5,30.0,15.9,accel_panic
2024_02_05,1707147840,SHORT,17569.0,1707147900,17565.5,3.5,70.0,55.9,accel_panic
2024_02_05,1707148320,LONG,17575.75,1707148380,17576.0,0.25,5.0,-9.1,accel_panic
2024_02_05,1707149040,LONG,17590.25,1707149100,17589.0,-1.25,-25.0,-39.1,accel_panic
2024_02_05,1707149520,LONG,17609.5,1707149580,17615.5,6.0,120.0,105.9,accel_panic
2024_02_05,1707150120,LONG,17620.75,1707150180,17616.25,-4.5,-90.0,-104.1,accel_panic
2024_02_05,1707151020,LONG,17636.0,1707151080,17633.0,-3.0,-60.0,-74.1,accel_panic
2024_02_05,1707151500,SHORT,17628.25,1707151560,17633.75,-5.5,-110.0,-124.1,accel_panic
2024_02_05,1707152100,LONG,17648.0,1707152520,17661.25,13.25,265.0,250.9,accel_panic
2024_02_05,1707153720,SHORT,17679.75,1707153780,17676.25,3.5,70.0,55.9,vel_cross
2024_02_05,1707154860,LONG,17708.0,1707154920,17711.75,3.75,75.0,60.9,accel_panic
2024_02_05,1707155820,LONG,17695.0,1707155880,17696.5,1.5,30.0,15.9,vel_cross
2024_02_05,1707156180,SHORT,17693.0,1707156240,17691.25,1.75,35.0,20.9,accel_panic
2024_02_05,1707156960,LONG,17712.25,1707157020,17711.0,-1.25,-25.0,-39.1,accel_panic
