day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_02_05,1707087960,SHORT,17722.25,1707088200,17720.0,2.25,45.0,30.9,r2_collapse
2024_02_05,1707090420,LONG,17707.0,1707090660,17709.75,2.75,55.0,40.9,r2_collapse
2024_02_05,1707094020,SHORT,17676.75,1707094260,17677.75,-1.0,-20.0,-34.1,r2_collapse
2024_02_05,1707094620,SHORT,17684.0,1707094860,17684.5,-0.5,-10.0,-24.1,r2_collapse
2024_02_05,1707095940,SHORT,17677.75,1707096180,17678.25,-0.5,-10.0,-24.1,r2_collapse
2024_02_05,1707121500,LONG,17707.0,1707121800,17711.5,4.5,90.0,75.9,r2_collapse
2024_02_05,1707123300,LONG,17715.5,1707123540,17717.25,1.75,35.0,20.9,r2_collapse
2024_02_05,1707125640,SHORT,17695.25,1707125880,17697.0,-1.75,-35.0,-49.1,r2_collapse
2024_02_05,1707127020,SHORT,17682.75,1707127260,17689.5,-6.75,-135.0,-149.1,r2_collapse
2024_02_05,1707127560,SHORT,17695.0,1707127800,17693.75,1.25,25.0,10.9,r2_collapse
2024_02_05,1707129720,LONG,17713.75,1707129960,17711.5,-2.25,-45.0,-59.1,r2_collapse
2024_02_05,1707130620,LONG,17718.0,1707130860,17715.0,-3.0,-60.0,-74.1,r2_collapse
2024_02_05,1707131280,LONG,17710.0,1707131520,17713.5,3.5,70.0,55.9,r2_collapse
2024_02_05,1707137100,LONG,17727.5,1707137400,17724.25,-3.25,-65.0,-79.1,r2_collapse
2024_02_05,1707140040,SHORT,17710.5,1707140700,17702.0,8.5,170.0,155.9,r2_collapse
2024_02_05,1707140880,SHORT,17706.25,1707141120,17705.5,0.75,15.0,0.9000000000000004,r2_collapse
2024_02_05,1707141600,SHORT,17700.75,1707141840,17701.25,-0.5,-10.0,-24.1,r2_collapse
2024_02_05,1707142260,SHORT,17704.25,1707142500,17709.25,-5.0,-100.0,-114.1,r2_collapse
2024_02_05,1707143580,LONG,17719.25,1707143820,17729.5,10.25,205.0,190.9,r2_collapse
2024_02_05,1707145620,SHORT,17680.0,1707145860,17669.75,10.25,205.0,190.9,r2_collapse
2024_02_05,1707146100,SHORT,17659.5,1707146520,17615.5,44.0,880.0,865.9,r2_collapse
2024_02_05,1707146700,SHORT,17624.0,1707146940,17627.25,-3.25,-65.0,-79.1,r2_collapse
2024_02_05,1707147360,SHORT,17618.25,1707147600,17601.0,17.25,345.0,330.9,r2_collapse
2024_02_05,1707147840,SHORT,17569.0,1707148080,17572.25,-3.25,-65.0,-79.1,r2_collapse
2024_02_05,1707148260,SHORT,17579.25,1707148500,17582.25,-3.0,-60.0,-74.1,r2_collapse
2024_02_05,1707148680,SHORT,17588.0,1707148920,17596.0,-8.0,-160.0,-174.1,r2_collapse
2024_02_05,1707149160,SHORT,17594.5,1707149400,17616.25,-21.75,-435.0,-449.1,r2_collapse
2024_02_05,1707151020,LONG,17636.0,1707151260,17631.75,-4.25,-85.0,-99.1,r2_collapse
2024_02_05,1707151440,LONG,17623.25,1707156300,17697.25,74.0,1480.0,1465.9,r2_collapse
2024_02_05,1707156960,LONG,17712.25,1707157200,17706.25,-6.0,-120.0,-134.1,r2_collapse
2024_02_05,1707157920,SHORT,17688.75,1707158160,17696.5,-7.75,-155.0,-169.1,r2_collapse
2024_02_05,1707159720,SHORT,17688.0,1707159960,17688.75,-0.75,-15.0,-29.1,r2_collapse
2024_02_05,1707160680,LONG,17698.75,1707160920,17706.5,7.75,155.0,140.9,r2_collapse
2024_02_05,1707162540,LONG,17737.0,1707162780,17740.5,3.5,70.0,55.9,r2_collapse
2024_02_05,1707163080,LONG,17735.25,1707163320,17723.75,-11.5,-230.0,-244.1,r2_collapse
2024_02_05,1707163500,LONG,17714.0,1707163740,17704.75,-9.25,-185.0,-199.1,r2_collapse
2024_02_05,1707164220,SHORT,17685.25,1707164460,17689.25,-4.0,-80.0,-94.1,r2_collapse
2024_02_05,1707164640,SHORT,17696.75,1707165060,17708.75,-12.0,-240.0,-254.1,r2_collapse
2024_02_05,1707165300,SHORT,17717.0,1707165780,17706.25,10.75,215.0,200.9,r2_collapse
2024_02_05,1707166020,SHORT,17712.25,1707166260,17722.75,-10.5,-210.0,-224.1,r2_collapse
2024_02_05,1707166680,LONG,17715.0,1707166920,17688.75,-26.25,-525.0,-539.1,r2_collapse
2024_02_05,1707169320,SHORT,17696.0,1707169560,17695.5,0.5,10.0,-4.1,r2_collapse
2024_02_06,1707204900,LONG,17757.75,1707205140,17761.5,3.75,75.0,60.9,r2_collapse
2024_02_06,1707206640,LONG,17761.5,1707206880,17757.0,-4.5,-90.0,-104.1,r2_collapse
2024_02_06,1707213420,SHORT,17732.0,1707213660,17726.75,5.25,105.0,90.9,r2_collapse
2024_02_06,1707214020,SHORT,17731.5,1707214260,17732.25,-0.75,-15.0,-29.1,r2_collapse
2024_02_06,1707219660,SHORT,17689.0,1707219900,17679.75,9.25,185.0,170.9,r2_collapse
2024_02_06,1707220080,SHORT,17685.75,1707220320,17691.25,-5.5,-110.0,-124.1,r2_collapse
2024_02_06,1707220800,SHORT,17693.25,1707221040,17694.25,-1.0,-20.0,-34.1,r2_collapse
2024_02_06,1707221280,SHORT,17696.75,1707221520,17690.5,6.25,125.0,110.9,r2_collapse
2024_02_06,1707222360,SHORT,17683.25,1707222600,17676.0,7.25,145.0,130.9,r2_collapse
2024_02_06,1707225780,LONG,17731.75,1707226020,17735.25,3.5,70.0,55.9,r2_collapse
2024_02_06,1707226260,LONG,17729.5,1707226500,17729.75,0.25,5.0,-9.1,r2_collapse
2024_02_06,1707226680,LONG,17730.0,1707226920,17731.75,1.75,35.0,20.9,r2_collapse
2024_02_06,1707228540,LONG,17739.5,1707228780,17748.75,9.25,185.0,170.9,r2_collapse
2024_02_06,1707229620,LONG,17746.25,1707229860,17764.25,18.0,360.0,345.9,r2_collapse
2024_02_06,1707230520,SHORT,17717.25,1707230760,17726.25,-9.0,-180.0,-194.1,r2_collapse
2024_02_06,1707231180,SHORT,17679.25,1707231420,17668.0,11.25,225.0,210.9,r2_collapse
2024_02_06,1707232080,SHORT,17641.75,1707232320,17623.75,18.0,360.0,345.9,r2_collapse
2024_02_06,1707232500,SHORT,17630.25,1707232860,17646.0,-15.75,-315.0,-329.1,r2_collapse
2024_02_06,1707233220,SHORT,17615.5,1707234000,17635.0,-19.5,-390.0,-404.1,r2_collapse
2024_02_06,1707234300,SHORT,17633.25,1707234540,17641.25,-8.0,-160.0,-174.1,r2_collapse
2024_02_06,1707235920,LONG,17648.25,1707236160,17641.0,-7.25,-145.0,-159.1,r2_collapse
2024_02_06,1707237240,LONG,17650.5,1707237480,17644.5,-6.0,-120.0,-134.1,r2_collapse
2024_02_06,1707238440,SHORT,17593.0,1707238680,17596.75,-3.75,-75.0,-89.1,r2_collapse
2024_02_06,1707239100,SHORT,17585.0,1707239340,17589.25,-4.25,-85.0,-99.1,r2_collapse
2024_02_06,1707239760,SHORT,17581.25,1707240000,17580.25,1.0,20.0,5.9,r2_collapse
2024_02_06,1707240240,SHORT,17571.5,1707240720,17590.75,-19.25,-385.0,-399.1,r2_collapse
2024_02_06,1707241620,LONG,17603.5,1707241860,17596.0,-7.5,-150.0,-164.1,r2_collapse
2024_02_06,1707243000,LONG,17608.25,1707243240,17602.5,-5.75,-115.0,-129.1,r2_collapse
2024_02_06,1707244920,LONG,17618.75,1707245280,17626.75,8.0,160.0,145.9,r2_collapse
2024_02_06,1707246120,LONG,17622.5,1707246360,17610.0,-12.5,-250.0,-264.1,r2_collapse
2024_02_06,1707246540,LONG,17586.75,1707246960,17577.5,-9.25,-185.0,-199.1,r2_collapse
2024_02_06,1707247200,SHORT,17574.5,1707247500,17590.0,-15.5,-310.0,-324.1,r2_collapse
2024_02_06,1707247860,SHORT,17600.25,1707248100,17606.5,-6.25,-125.0,-139.1,r2_collapse
2024_02_06,1707248520,SHORT,17602.5,1707248880,17613.0,-10.5,-210.0,-224.1,r2_collapse
2024_02_06,1707250200,LONG,17642.25,1707250440,17643.0,0.75,15.0,0.9000000000000004,r2_collapse
2024_02_06,1707250620,LONG,17638.0,1707250860,17644.0,6.0,120.0,105.9,r2_collapse
2024_02_06,1707251040,LONG,17634.25,1707251280,17638.5,4.25,85.0,70.9,r2_collapse
2024_02_06,1707251460,LONG,17630.5,1707251700,17614.25,-16.25,-325.0,-339.1,r2_collapse
2024_02_06,1707252180,SHORT,17609.0,1707252420,17618.5,-9.5,-190.0,-204.1,r2_collapse
2024_02_06,1707254520,LONG,17645.25,1707254820,17650.75,5.5,110.0,95.9,r2_collapse
2024_02_06,1707255900,LONG,17645.75,1707256140,17648.0,2.25,45.0,30.9,r2_collapse
2024_02_07,1707269160,LONG,17703.5,1707269400,17701.5,-2.0,-40.0,-54.1,r2_collapse
2024_02_07,1707270240,LONG,17704.25,1707270480,17704.25,0.0,0.0,-14.1,r2_collapse
2024_02_07,1707270840,LONG,17694.0,1707271200,17686.25,-7.75,-155.0,-169.1,r2_collapse
