day,idx5s,ts,price,kind,prev_idx,next_idx,leg_in_pt,leg_out_pt
2025_10_21,1434,1761013830,25368.0,T,58,4876,57.25,115.0
2025_10_21,4876,1761034840,25253.0,B,1434,5583,115.0,43.0
2025_10_21,5583,1761039165,25296.0,T,4876,6079,43.0,37.25
2025_10_21,6079,1761042235,25258.75,B,5583,7384,37.25,56.5
2025_10_21,7384,1761049420,25315.25,T,6079,7966,56.5,43.75
2025_10_21,7966,1761052415,25271.5,B,7384,8163,43.75,33.0
2025_10_21,8163,1761053400,25304.5,T,7966,8199,33.0,48.5
2025_10_21,8199,1761053580,25256.0,B,8163,8237,48.5,38.0
2025_10_21,8237,1761053770,25294.0,T,8199,8322,38.0,61.0
2025_10_21,8322,1761054195,25233.0,B,8237,8336,61.0,32.25
2025_10_21,8336,1761054265,25265.25,T,8322,8356,32.25,37.25
2025_10_21,8356,1761054365,25228.0,B,8336,8363,37.25,34.5
2025_10_21,8363,1761054400,25262.5,T,8356,8390,34.5,44.5
2025_10_21,8390,1761054535,25218.0,B,8363,8446,44.5,52.75
2025_10_21,8446,1761054815,25270.75,T,8390,8489,52.75,59.25
2025_10_21,8489,1761055030,25211.5,B,8446,8523,59.25,31.0
2025_10_21,8523,1761055200,25242.5,T,8489,8556,31.0,30.5
2025_10_21,8556,1761055365,25212.0,B,8523,8609,30.5,40.75
2025_10_21,8609,1761055630,25252.75,T,8556,8646,40.75,35.25
2025_10_21,8646,1761055815,25217.5,B,8609,8769,35.25,68.5
2025_10_21,8769,1761056430,25286.0,T,8646,8918,68.5,82.75
2025_10_21,8918,1761057175,25203.25,B,8769,9011,82.75,63.75
2025_10_21,9011,1761057640,25267.0,T,8918,9067,63.75,36.75
2025_10_21,9067,1761057920,25230.25,B,9011,9244,36.75,73.5
2025_10_21,9244,1761058805,25303.75,T,9067,9307,73.5,34.25
2025_10_21,9307,1761059120,25269.5,B,9244,9389,34.25,31.0
2025_10_21,9389,1761059530,25300.5,T,9307,9449,31.0,58.75
2025_10_21,9449,1761059830,25241.75,B,9389,9641,58.75,52.0
2025_10_21,9641,1761060790,25293.75,T,9449,9698,52.0,36.25
2025_10_21,9698,1761061075,25257.5,B,9641,10566,36.25,91.0
2025_10_21,10566,1761065415,25348.5,T,9698,10731,91.0,98.5
2025_10_21,10731,1761066240,25250.0,B,10566,10834,98.5,59.75
2025_10_21,10834,1761066755,25309.75,T,10731,10997,59.75,51.75
2025_10_21,10997,1761067570,25258.0,B,10834,11724,51.75,69.0
2025_10_21,11724,1761071205,25327.0,T,10997,11943,69.0,30.0
2025_10_21,11943,1761072300,25297.0,B,11724,12774,30.0,37.25
2025_10_21,12774,1761076455,25334.25,T,11943,12976,37.25,105.5
2025_10_21,12976,1761077465,25228.75,B,12774,13538,105.5,56.75
2025_10_22,664,1761094875,25214.5,B,37,1496,41.25,67.75
2025_10_22,1496,1761100110,25282.25,T,664,2035,67.75,38.25
2025_10_22,2035,1761104105,25244.0,B,1496,2493,38.25,89.0
2025_10_22,2493,1761106810,25333.0,T,2035,3365,89.0,39.0
2025_10_22,3365,1761112845,25294.0,B,2493,3841,39.0,44.25
2025_10_22,3841,1761115625,25338.25,T,3365,4163,44.25,68.25
2025_10_22,4163,1761117370,25270.0,B,3841,4427,68.25,36.25
2025_10_22,4427,1761118825,25306.25,T,4163,5483,36.25,74.75
2025_10_22,5483,1761124685,25231.5,B,4427,6374,74.75,74.0
2025_10_22,6374,1761129890,25305.5,T,5483,6664,74.0,78.0
2025_10_22,6664,1761131420,25227.5,B,6374,6831,78.0,33.5
2025_10_22,6831,1761132295,25261.0,T,6664,7108,33.5,54.5
2025_10_22,7108,1761133710,25206.5,B,6831,7264,54.5,45.75
2025_10_22,7264,1761134505,25252.25,T,7108,7264,45.75,30.5
2025_10_22,7264,1761134505,25221.75,B,7264,8133,30.5,56.75
2025_10_22,8133,1761139120,25278.5,T,7264,8333,56.75,106.25
2025_10_22,8333,1761140120,25172.25,B,8133,8560,106.25,117.0
2025_10_22,8560,1761141255,25289.25,T,8333,8809,117.0,99.25
2025_10_22,8809,1761142500,25190.0,B,8560,8861,99.25,55.0
2025_10_22,8861,1761142760,25245.0,T,8809,9018,55.0,156.25
2025_10_22,9018,1761143545,25088.75,B,8861,9030,156.25,40.5
2025_10_22,9030,1761143605,25129.25,T,9018,9054,40.5,42.5
2025_10_22,9054,1761143725,25086.75,B,9030,9071,42.5,44.5
2025_10_22,9071,1761143810,25131.25,T,9054,9111,44.5,46.25
2025_10_22,9111,1761144010,25085.0,B,9071,9119,46.25,33.75
2025_10_22,9119,1761144050,25118.75,T,9111,9191,33.75,68.25
2025_10_22,9191,1761144410,25050.5,B,9119,9370,68.25,141.75
2025_10_22,9370,1761145305,25192.25,T,9191,9501,141.75,71.5
2025_10_22,9501,1761145960,25120.75,B,9370,9533,71.5,33.5
2025_10_22,9533,1761146120,25154.25,T,9501,9639,33.5,126.5
2025_10_22,9639,1761146650,25027.75,B,9533,9668,126.5,44.0
2025_10_22,9668,1761146795,25071.75,T,9639,9718,44.0,68.5
2025_10_22,9718,1761147045,25003.25,B,9668,9757,68.5,55.75
2025_10_22,9757,1761147240,25059.0,T,9718,9776,55.75,50.0
2025_10_22,9776,1761147335,25009.0,B,9757,10015,50.0,122.75
2025_10_22,10015,1761148530,25131.75,T,9776,10107,122.75,74.75
2025_10_22,10107,1761148990,25057.0,B,10015,10148,74.75,39.5
2025_10_22,10148,1761149195,25096.5,T,10107,10202,39.5,51.25
2025_10_22,10202,1761149465,25045.25,B,10148,10274,51.25,45.0
2025_10_22,10274,1761149825,25090.25,T,10202,10358,45.0,83.0
2025_10_22,10358,1761150245,25007.25,B,10274,10432,83.0,45.25
2025_10_22,10432,1761150615,25052.5,T,10358,10437,45.25,129.25
2025_10_22,10437,1761150640,24923.25,B,10432,10437,129.25,43.0
2025_10_22,10437,1761150640,24966.25,T,10437,10439,43.0,56.25
2025_10_22,10439,1761150650,24910.0,B,10437,10440,56.25,41.75
2025_10_22,10440,1761150655,24951.75,T,10439,10441,41.75,42.75
2025_10_22,10441,1761150660,24909.0,B,10440,10444,42.75,58.0
2025_10_22,10444,1761150675,24967.0,T,10441,10455,58.0,88.75
2025_10_22,10455,1761150730,24878.25,B,10444,10459,88.75,38.75
2025_10_22,10459,1761150750,24917.0,T,10455,10465,38.75,50.0
2025_10_22,10465,1761150780,24867.0,B,10459,10491,50.0,145.0
2025_10_22,10491,1761150910,25012.0,T,10465,10506,145.0,38.75
2025_10_22,10506,1761150985,24973.25,B,10491,10515,38.75,41.25
2025_10_22,10515,1761151030,25014.5,T,10506,10522,41.25,40.5
2025_10_22,10522,1761151065,24974.0,B,10515,10543,40.5,42.75
2025_10_22,10543,1761151170,25016.75,T,10522,10553,42.75,34.25
2025_10_22,10553,1761151220,24982.5,B,10543,10571,34.25,39.0
2025_10_22,10571,1761151310,25021.5,T,10553,10586,39.0,51.75
2025_10_22,10586,1761151385,24969.75,B,10571,10616,51.75,54.0
2025_10_22,10616,1761151535,25023.75,T,10586,10671,54.0,72.25
2025_10_22,10671,1761151810,24951.5,B,10616,10680,72.25,36.0
2025_10_22,10680,1761151855,24987.5,T,10671,10687,36.0,32.5
2025_10_22,10687,1761151890,24955.0,B,10680,10732,32.5,81.5
2025_10_22,10732,1761152115,25036.5,T,10687,10747,81.5,43.5
2025_10_22,10747,1761152190,24993.0,B,10732,10767,43.5,36.0
2025_10_22,10767,1761152290,25029.0,T,10747,10790,36.0,50.0
2025_10_22,10790,1761152405,24979.0,B,10767,10802,50.0,32.25
2025_10_22,10802,1761152465,25011.25,T,10790,10901,32.25,64.0
2025_10_22,10901,1761152960,24947.25,B,10802,10909,64.0,42.25
2025_10_22,10909,1761153000,24989.5,T,10901,11105,42.25,113.75
2025_10_22,11105,1761153980,24875.75,B,10909,11211,113.75,51.75
2025_10_22,11211,1761154510,24927.5,T,11105,11322,51.75,107.0
2025_10_22,11322,1761155065,24820.5,B,11211,11375,107.0,52.5
2025_10_22,11375,1761155330,24873.0,T,11322,11445,52.5,68.25
2025_10_22,11445,1761155680,24804.75,B,11375,11547,68.25,106.5
