eid,frame_idx,p_exit,prompt_tokens,tainted
2025_01_21_1737469980_S,0,0.027748,5698,N
2025_01_21_1737469980_S,1,0.091833,7862,N
2025_01_21_1737469980_S,2,0.001165,10023,N
2025_01_21_1737469980_S,3,NaN,12881,Y
2025_01_21_1737471780_S,0,0.009928,5722,N
2025_01_21_1737471780_S,1,0.046278,7889,N
2025_01_21_1737471780_S,2,0.005860,10042,N
2025_01_21_1737471780_S,3,NaN,12908,Y
2025_01_21_1737475200_L,0,0.014138,5698,N
2025_01_21_1737475200_L,1,0.894846,10675,N
2025_01_21_1737475200_L,2,NaN,12850,Y
2025_01_21_1737489845_L,0,0.017965,5682,N
2025_01_21_1737489845_L,1,0.002876,8504,N
2025_01_21_1737489845_L,2,0.002487,10647,N
2025_01_21_1737489845_L,3,NaN,12759,Y
