eid,frame_idx,p_exit,prompt_tokens,tainted
2025_01_21_1737469980_S,0,0.027748,5698,N
2025_01_21_1737469980_S,1,0.076281,7862,N
2025_01_21_1737469980_S,2,0.000406,8549,N
2025_01_21_1737469980_S,3,0.078520,9944,N
2025_01_21_1737469980_S,4,0.096317,10635,N
2025_01_21_1737469980_S,5,0.011896,11351,N
2025_01_21_1737469980_S,6,0.001500,12065,N
2025_01_21_1737469980_S,7,NaN,12756,Y
2025_01_21_1737469980_S,8,NaN,14143,Y
2025_01_21_1737469980_S,9,NaN,14851,Y
2025_01_21_1737469980_S,10,NaN,15566,Y
2025_01_21_1737469980_S,11,NaN,16288,Y
2025_01_21_1737469980_S,12,NaN,17000,Y
2025_01_21_1737469980_S,13,NaN,19103,Y
2025_01_21_1737469980_S,14,NaN,19107,Y
2025_01_21_1737469980_S,15,NaN,19807,Y
2025_01_21_1737469980_S,16,NaN,20499,Y
2025_01_21_1737469980_S,17,NaN,21206,Y
2025_01_21_1737469980_S,18,NaN,22604,Y
2025_01_21_1737469980_S,19,NaN,23324,Y
2025_01_21_1737471780_S,0,0.009928,5722,N
2025_01_21_1737471780_S,1,0.029240,7890,N
2025_01_21_1737471780_S,2,0.009655,8572,N
2025_01_21_1737471780_S,3,0.512373,9985,N
2025_01_21_1737471780_S,4,0.164893,10669,N
2025_01_21_1737471780_S,5,0.146819,11370,N
2025_01_21_1737471780_S,6,0.012150,12098,N
2025_01_21_1737471780_S,7,NaN,12791,Y
2025_01_21_1737471780_S,8,NaN,14182,Y
2025_01_21_1737471780_S,9,NaN,14909,Y
2025_01_21_1737471780_S,10,NaN,15611,Y
2025_01_21_1737471780_S,11,NaN,16317,Y
2025_01_21_1737471780_S,12,NaN,16996,Y
2025_01_21_1737471780_S,13,NaN,19094,Y
2025_01_21_1737471780_S,14,NaN,19110,Y
2025_01_21_1737471780_S,15,NaN,19823,Y
2025_01_21_1737471780_S,16,NaN,20527,Y
2025_01_21_1737471780_S,17,NaN,21226,Y
2025_01_21_1737471780_S,18,NaN,22652,Y
2025_01_21_1737471780_S,19,NaN,23334,Y
2025_01_21_1737471780_S,20,NaN,24057,Y
2025_01_21_1737471780_S,21,NaN,24759,Y
2025_01_21_1737471780_S,22,NaN,24763,Y
2025_01_21_1737471780_S,23,NaN,25469,Y
2025_01_21_1737475200_L,0,0.014138,5698,N
2025_01_21_1737475200_L,1,0.711028,10676,N
2025_01_21_1737475200_L,2,0.897990,9269,N
2025_01_21_1737475200_L,3,0.317984,9948,N
2025_01_21_1737475200_L,4,0.148895,10658,N
2025_01_21_1737475200_L,5,0.037877,11347,N
2025_01_21_1737475200_L,6,NaN,12738,Y
2025_01_21_1737475200_L,7,NaN,13451,Y
2025_01_21_1737475200_L,8,NaN,14148,Y
2025_01_21_1737475200_L,9,NaN,14869,Y
2025_01_21_1737475200_L,10,NaN,15577,Y
2025_01_21_1737475200_L,11,NaN,16989,Y
2025_01_21_1737475200_L,12,NaN,17703,Y
2025_01_21_1737475200_L,13,NaN,18388,Y
2025_01_21_1737475200_L,14,NaN,19112,Y
2025_01_21_1737475200_L,15,NaN,19813,Y
2025_01_21_1737475200_L,16,NaN,21917,Y
2025_01_21_1737475200_L,17,NaN,21897,Y
2025_01_21_1737475200_L,18,NaN,22590,Y
2025_01_21_1737475200_L,19,NaN,23295,Y
2025_01_21_1737475200_L,20,NaN,23985,Y
2025_01_21_1737475200_L,21,NaN,25374,Y
2025_01_21_1737475200_L,22,NaN,24680,Y
2025_01_21_1737475200_L,23,NaN,24670,Y
2025_01_21_1737475200_L,24,NaN,24678,Y
2025_01_21_1737475200_L,25,NaN,24669,Y
