entry_i,exit_i,dir,entry,exit,pts,reason,day,usd
182,204,-1,25498.25,25522.0,-24.64,theme,2025_12_16,-49.28
214,239,1,25562.0,25439.75,-123.14,theme,2025_12_16,-246.28
63,72,1,25555.75,25621.5,64.86,target,2025_12_17,129.72
256,290,-1,25245.0,25264.0,-19.89,theme,2025_12_17,-39.78
333,337,-1,25162.0,25157.25,3.86,target,2025_12_17,7.72
353,359,-1,25196.0,25172.0,23.11,theme,2025_12_17,46.22
386,388,-1,25187.25,25189.75,-3.39,target,2025_12_17,-6.78
79,97,-1,25170.0,25175.0,-5.89,theme,2025_12_18,-11.78
319,323,1,25587.0,25615.0,27.11,target,2025_12_18,54.22
381,385,1,25597.0,25601.25,3.36,target,2025_12_18,6.72
400,412,1,25532.75,25460.0,-73.64,theme,2025_12_18,-147.28
459,471,1,25479.0,25444.0,-35.89,eod,2025_12_18,-71.78
98,117,1,25513.0,25513.0,-0.89,theme,2025_12_19,-1.78
140,157,1,25562.5,25616.25,52.86,target,2025_12_19,105.72
252,262,1,25592.75,25620.0,26.36,target,2025_12_19,52.72
323,332,1,25768.75,25725.75,-43.89,theme,2025_12_19,-87.78
366,370,1,25760.5,25775.0,13.61,target,2025_12_19,27.22
384,390,1,25750.5,25778.75,27.36,target,2025_12_19,54.72
438,448,1,25772.75,25794.0,20.36,theme,2025_12_19,40.72
473,502,1,25795.75,25816.0,19.36,target,2025_12_19,38.72
189,191,1,25917.5,25918.0,-0.39,target,2025_12_22,-0.78
273,323,1,25936.0,25925.0,-11.89,theme,2025_12_22,-23.78
132,141,-1,25918.0,25938.5,-21.39,theme,2025_12_23,-42.78
179,182,-1,25907.0,25909.25,-3.14,target,2025_12_23,-6.28
194,199,-1,25946.0,25960.75,-15.64,theme,2025_12_23,-31.28
108,132,1,26010.0,26044.0,33.11,theme,2025_12_24,66.22
186,187,1,26124.25,26108.5,-16.64,target,2025_12_26,-33.28
297,309,1,26097.75,26093.0,-5.64,theme,2025_12_26,-11.28
181,192,-1,25991.5,25956.25,34.36,theme,2025_12_29,68.72
232,238,-1,26015.0,25970.0,44.11,target,2025_12_29,88.22
273,288,-1,25957.25,25927.25,29.11,target,2025_12_29,58.22
316,332,-1,25930.25,25900.75,28.61,target,2025_12_29,57.22
362,376,-1,25924.5,25940.0,-16.39,theme,2025_12_29,-32.78
150,155,-1,25965.0,25988.25,-24.14,theme,2025_12_30,-48.28
186,208,-1,25918.25,25980.0,-62.64,theme,2025_12_30,-125.28
235,246,1,25946.0,25936.25,-10.64,theme,2025_12_30,-21.28
290,301,1,25954.25,25959.0,3.86,theme,2025_12_30,7.72
319,323,1,25930.0,25924.25,-6.64,theme,2025_12_30,-13.28
132,145,-1,25831.25,25811.75,18.61,target,2025_12_31,37.22
183,196,-1,25803.25,25829.0,-26.64,theme,2025_12_31,-53.28
381,391,-1,25809.0,25831.0,-22.89,theme,2025_12_31,-45.78
362,365,-1,25573.25,25539.0,33.36,target,2026_01_02,66.72
381,406,-1,25560.0,25599.0,-39.89,theme,2026_01_02,-79.78
438,440,-1,25575.5,25560.25,14.36,target,2026_01_02,28.72
479,482,-1,25602.25,25597.5,3.86,theme,2026_01_02,7.72
199,200,1,25775.75,25776.75,0.10999999999999999,target,2026_01_05,0.21999999999999997
243,244,1,25806.0,25813.25,6.36,target,2026_01_05,12.72
348,352,1,25861.25,25845.0,-17.14,theme,2026_01_05,-34.28
303,311,1,25943.25,25912.0,-32.14,theme,2026_01_06,-64.28
367,375,1,25937.0,25954.75,16.86,target,2026_01_06,33.72
496,500,1,26052.5,26045.25,-8.14,target,2026_01_06,-16.28
257,277,1,26075.0,26091.0,15.11,target,2026_01_07,30.22
393,407,1,26196.25,26161.0,-36.14,theme,2026_01_07,-72.28
136,140,-1,25992.75,25976.5,15.36,theme,2026_01_08,30.72
208,227,-1,25988.0,26026.5,-39.39,theme,2026_01_08,-78.78
306,309,-1,25908.75,25898.25,9.61,theme,2026_01_08,19.22
339,345,-1,25867.0,25861.0,5.11,target,2026_01_08,10.22
369,372,-1,25889.75,25876.0,12.86,target,2026_01_08,25.72
437,468,-1,25868.75,25840.75,27.11,target,2026_01_08,54.22
481,508,-1,25849.75,25897.0,-48.14,theme,2026_01_08,-96.28
141,143,1,25900.25,25930.5,29.36,target,2026_01_09,58.72
259,265,1,25940.0,25902.75,-38.14,theme,2026_01_09,-76.28
452,459,1,26115.0,26117.5,1.6099999999999999,theme,2026_01_09,3.2199999999999998
546,551,1,26170.0,26155.25,-15.64,theme,2026_01_09,-31.28
167,174,-1,25960.0,25949.75,9.36,target,2026_01_12,18.72
213,220,-1,25958.0,25958.75,-1.6400000000000001,theme,2026_01_12,-3.2800000000000002
280,286,-1,25940.25,25940.75,-1.3900000000000001,theme,2026_01_12,-2.7800000000000002
496,501,1,26187.5,26196.75,8.36,target,2026_01_12,16.72
192,230,-1,26110.0,26243.75,-134.64,theme,2026_01_13,-269.28
363,369,-1,26134.0,26136.0,-2.89,theme,2026_01_13,-5.78
524,551,-1,26093.25,26087.5,4.86,theme,2026_01_13,9.72
571,584,-1,26084.0,26139.75,-56.64,theme,2026_01_13,-113.28
139,147,-1,26080.75,26102.0,-22.14,theme,2026_01_14,-44.28
213,237,-1,25964.75,25944.5,19.36,target,2026_01_14,38.72
304,316,-1,25981.5,25965.0,15.61,target,2026_01_14,31.22
376,377,-1,25878.5,25888.75,-11.14,target,2026_01_14,-22.28
393,394,-1,25814.0,25780.25,32.86,target,2026_01_14,65.72
442,448,-1,25790.25,25775.75,13.61,theme,2026_01_14,27.22
482,486,-1,25728.25,25691.0,36.36,target,2026_01_14,72.72
497,499,-1,25709.0,25685.0,23.11,target,2026_01_14,46.22
511,513,-1,25722.75,25669.25,52.61,target,2026_01_14,105.22
527,542,-1,25698.75,25715.75,-17.89,theme,2026_01_14,-35.78
301,318,1,26057.5,26079.5,21.11,target,2026_01_15,42.22
393,396,1,26109.0,26097.5,-12.39,target,2026_01_15,-24.78
484,493,1,26127.75,26154.0,25.36,target,2026_01_15,50.72
526,538,1,26125.75,26094.0,-32.64,theme,2026_01_15,-65.28
662,704,-1,25929.5,25944.75,-16.14,eod,2026_01_15,-32.28
279,288,1,26060.25,26002.0,-59.14,theme,2026_01_16,-118.28
422,433,-1,25912.5,25896.0,15.61,target,2026_01_16,31.22
443,457,-1,25936.0,25943.75,-8.64,theme,2026_01_16,-17.28
498,526,-1,25908.25,25945.0,-37.64,theme,2026_01_16,-75.28
579,582,-1,25914.75,25902.75,11.11,eod,2026_01_16,22.22
77,79,-1,25662.25,25644.5,16.86,target,2026_01_19,33.72
89,129,-1,25636.0,25600.5,34.61,target,2026_01_19,69.22
160,182,-1,25614.25,25631.0,-17.64,theme,2026_01_19,-35.28
228,242,-1,25579.5,25629.0,-50.39,theme,2026_01_19,-100.78
312,369,-1,25537.0,25535.5,0.61,theme,2026_01_19,1.22
419,430,-1,25529.75,25490.0,38.86,target,2026_01_19,77.72
451,467,-1,25540.0,25525.0,14.11,theme,2026_01_19,28.22
91,98,1,25618.75,25652.0,32.36,target,2026_01_20,64.72
114,126,1,25636.75,25617.0,-20.64,theme,2026_01_20,-41.28
585,591,1,25620.0,25632.75,11.86,target,2026_01_20,23.72
601,602,1,25575.25,25589.25,13.11,target,2026_01_20,26.22
619,620,1,25580.0,25574.5,-6.39,theme,2026_01_20,-12.78
782,786,-1,25350.25,25339.25,10.11,target,2026_01_20,20.22
810,818,-1,25356.75,25384.75,-28.89,theme,2026_01_20,-57.78
266,272,-1,25403.75,25360.0,42.86,target,2026_01_21,85.72
319,342,-1,25267.5,25262.75,3.86,target,2026_01_21,7.72
354,357,-1,25299.0,25326.5,-28.39,theme,2026_01_21,-56.78
462,484,1,25538.25,25633.0,93.86,target,2026_01_21,187.72
518,535,1,25674.0,25550.5,-124.39,theme,2026_01_21,-248.78
614,628,1,25456.0,25462.0,5.11,target,2026_01_21,10.22
80,89,1,25799.5,25769.0,-31.39,theme,2026_01_22,-62.78
211,218,1,25913.25,25936.5,22.36,target,2026_01_22,44.72
287,307,1,25931.75,25913.0,-19.64,theme,2026_01_22,-39.28
466,488,1,25927.0,25933.25,5.36,theme,2026_01_22,10.72
201,211,-1,25810.5,25849.5,-39.89,theme,2026_01_23,-79.78
260,265,-1,25818.0,25798.25,18.86,target,2026_01_23,37.72
276,307,-1,25804.0,25836.75,-33.64,theme,2026_01_23,-67.28
483,509,1,26006.0,25970.75,-36.14,theme,2026_01_23,-72.28
158,177,-1,25856.75,25889.0,-33.14,theme,2026_01_26,-66.28
423,430,1,26112.0,26133.0,20.11,target,2026_01_26,40.22
481,487,1,26123.0,26111.75,-12.14,theme,2026_01_26,-24.28
524,532,1,26137.0,26104.75,-33.14,theme,2026_01_26,-66.28
174,191,1,26229.75,26202.0,-28.64,theme,2026_01_27,-57.28
237,268,1,26246.0,26217.0,-29.89,theme,2026_01_27,-59.78
407,409,1,26300.25,26288.0,-13.14,theme,2026_01_27,-26.28
491,500,1,26309.75,26324.75,14.11,target,2026_01_27,28.22
207,208,1,26535.75,26549.5,12.86,target,2026_01_28,25.72
283,305,1,26523.75,26497.5,-27.14,theme,2026_01_28,-54.28
496,502,-1,26363.0,26395.75,-33.64,theme,2026_01_28,-67.28
614,615,-1,26406.5,26341.25,64.36,target,2026_01_28,128.72
625,638,-1,26385.5,26458.25,-73.64,theme,2026_01_28,-147.28
98,111,-1,26370.75,26411.0,-41.14,theme,2026_01_29,-82.28
233,251,1,26501.0,26444.0,-57.89,theme,2026_01_29,-115.78
483,484,-1,25900.5,25900.5,-0.89,target,2026_01_29,-1.78
579,603,-1,26056.5,26079.5,-23.89,theme,2026_01_29,-47.78
246,248,-1,26013.5,26013.0,-0.39,target,2026_01_30,-0.78
283,288,-1,25993.25,25927.25,65.11,target,2026_01_30,130.22
300,302,-1,25996.0,25974.75,20.36,target,2026_01_30,40.72
336,355,-1,25940.0,25998.0,-58.89,theme,2026_01_30,-117.78
527,529,1,26055.5,26015.0,-41.39,theme,2026_01_30,-82.78
557,564,1,26085.5,26078.25,-8.14,theme,2026_01_30,-16.28
712,721,-1,25907.75,25990.0,-83.14,theme,2026_01_30,-166.28
766,773,-1,25893.25,25855.0,37.36,target,2026_01_30,74.72
815,818,-1,25933.25,25869.75,62.61,target,2026_01_30,125.22
107,115,-1,25734.0,25692.5,40.61,target,2026_02_02,81.22
140,144,-1,25670.0,25625.0,44.11,target,2026_02_02,88.22
237,252,-1,25546.5,25558.5,-12.89,theme,2026_02_02,-25.78
307,321,-1,25470.75,25442.5,27.36,target,2026_02_02,54.72
349,351,-1,25454.75,25433.5,20.36,target,2026_02_02,40.72
573,592,1,25701.25,25730.0,27.86,theme,2026_02_02,55.72
624,638,1,25928.75,26011.25,81.61,target,2026_02_02,163.22
649,659,1,26006.75,26090.5,82.86,target,2026_02_02,165.72
677,710,1,26101.0,26058.5,-43.39,theme,2026_02_02,-86.78
736,744,1,26082.0,26143.75,60.86,target,2026_02_02,121.72
798,810,1,26154.0,26175.0,20.11,target,2026_02_02,40.22
826,833,1,26132.25,26124.75,-8.39,theme,2026_02_02,-16.78
85,98,1,26191.25,26157.5,-34.64,theme,2026_02_03,-69.28
139,142,1,26204.25,26223.0,17.86,target,2026_02_03,35.72
196,206,1,26215.5,26214.75,-1.6400000000000001,theme,2026_02_03,-3.2800000000000002
271,304,1,26224.25,26154.25,-70.89,theme,2026_02_03,-141.78
376,398,-1,25775.0,25795.75,-21.64,theme,2026_02_03,-43.28
421,440,-1,25722.5,25712.5,9.11,target,2026_02_03,18.22
588,590,-1,25567.5,25512.25,54.36,target,2026_02_03,108.72
640,645,-1,25528.0,25555.0,-27.89,theme,2026_02_03,-55.78
209,214,1,25658.0,25646.5,-12.39,theme,2026_02_04,-24.78
274,296,1,25668.5,25700.0,30.61,target,2026_02_04,61.22
306,321,1,25682.75,25638.0,-45.64,theme,2026_02_04,-91.28
428,434,-1,25488.75,25430.0,57.86,target,2026_02_04,115.72
