entry_i,exit_i,dir,entry,exit,pts,reason,day,usd
182,214,-1,25498.25,25562.0,-64.64,theme,2025_12_16,-129.28
229,255,1,25529.0,25567.0,37.11,target,2025_12_16,74.22
63,72,1,25555.75,25621.5,64.86,target,2025_12_17,129.72
256,301,-1,25245.0,25170.5,73.61,target,2025_12_17,147.22
333,337,-1,25162.0,25157.25,3.86,target,2025_12_17,7.72
353,371,-1,25196.0,25151.5,43.61,target,2025_12_17,87.22
386,388,-1,25187.25,25189.75,-3.39,target,2025_12_17,-6.78
79,227,-1,25170.0,25464.5,-295.39,theme,2025_12_18,-590.78
319,323,1,25587.0,25615.0,27.11,target,2025_12_18,54.22
381,385,1,25597.0,25601.25,3.36,target,2025_12_18,6.72
400,471,1,25532.75,25444.0,-89.64,eod,2025_12_18,-179.28
98,134,1,25513.0,25575.25,61.36,target,2025_12_19,122.72
252,262,1,25592.75,25620.0,26.36,target,2025_12_19,52.72
323,356,1,25768.75,25761.0,-8.64,target,2025_12_19,-17.28
366,370,1,25760.5,25775.0,13.61,target,2025_12_19,27.22
384,390,1,25750.5,25778.75,27.36,target,2025_12_19,54.72
438,450,1,25772.75,25803.0,29.36,target,2025_12_19,58.72
473,502,1,25795.75,25816.0,19.36,target,2025_12_19,38.72
189,191,1,25917.5,25918.0,-0.39,target,2025_12_22,-0.78
273,393,1,25936.0,25929.0,-7.89,eod,2025_12_22,-15.78
132,158,-1,25918.0,25888.5,28.61,target,2025_12_23,57.22
179,182,-1,25907.0,25909.25,-3.14,target,2025_12_23,-6.28
194,228,-1,25946.0,25999.0,-53.89,theme,2025_12_23,-107.78
108,135,1,26010.0,26051.0,40.11,target,2025_12_24,80.22
186,187,1,26124.25,26108.5,-16.64,target,2025_12_26,-33.28
297,318,1,26097.75,26081.0,-17.64,eod,2025_12_26,-35.28
181,193,-1,25991.5,25960.5,30.11,target,2025_12_29,60.22
232,238,-1,26015.0,25970.0,44.11,target,2025_12_29,88.22
273,288,-1,25957.25,25927.25,29.11,target,2025_12_29,58.22
316,332,-1,25930.25,25900.75,28.61,target,2025_12_29,57.22
362,439,-1,25924.5,25974.75,-51.14,eod,2025_12_29,-102.28
150,167,-1,25965.0,25936.5,27.61,target,2025_12_30,55.22
