eid,frame_idx,decision,conf,memo_present
2025_04_08_1744119065_S,0,HOLD,0.65,1
2025_04_08_1744119065_S,1,HOLD,0.60,1
2025_04_08_1744119065_S,2,HOLD,0.65,1
2025_04_08_1744119065_S,3,HOLD,0.60,1
2025_04_08_1744119065_S,4,HOLD,0.65,1
2025_04_08_1744119065_S,5,HOLD,0.55,1
2025_04_08_1744119065_S,6,HOLD,0.70,1
2025_04_08_1744119065_S,7,HOLD,0.75,1
2025_04_08_1744119065_S,8,HOLD,0.70,1
2025_04_08_1744119065_S,9,HOLD,0.75,1
2025_04_08_1744119065_S,10,HOLD,0.85,1
2025_04_08_1744119065_S,11,HOLD,0.75,1
2025_04_08_1744119065_S,12,HOLD,0.75,1
2025_04_08_1744119065_S,13,HOLD,0.65,1
2025_04_08_1744119065_S,14,HOLD,0.65,1
2025_04_08_1744119065_S,15,HOLD,0.65,1
2025_04_08_1744119065_S,16,HOLD,0.65,1
2025_04_08_1744119065_S,17,HOLD,0.65,1
2025_04_08_1744119475_L,0,HOLD,0.65,1
2025_04_08_1744119475_L,1,HOLD,0.75,1
2025_04_08_1744119475_L,2,HOLD,0.85,1
2025_04_08_1744119475_L,3,HOLD,0.70,1
2025_04_08_1744119475_L,4,HOLD,0.75,1
2025_04_08_1744119475_L,5,HOLD,0.75,1
2025_04_08_1744119475_L,6,HOLD,0.80,1
2025_04_08_1744119475_L,7,HOLD,0.80,1
2025_04_08_1744119475_L,8,HOLD,0.85,1
2025_04_08_1744119475_L,9,HOLD,0.85,1
2025_04_08_1744119475_L,10,HOLD,0.85,1
2025_04_08_1744119475_L,11,HOLD,0.90,1
2025_04_08_1744119475_L,12,HOLD,0.75,1
2025_04_08_1744119475_L,13,HOLD,0.90,1
2025_04_08_1744119475_L,14,HOLD,0.85,1
2025_04_08_1744119475_L,15,HOLD,0.95,1
2025_04_08_1744119475_L,16,HOLD,0.95,1
2025_04_08_1744119475_L,17,HOLD,0.95,1
2025_04_08_1744119475_L,18,HOLD,0.95,1
2025_04_08_1744119475_L,19,HOLD,0.95,1
2025_04_08_1744119475_L,20,HOLD,0.95,1
2025_04_08_1744119475_L,21,HOLD,0.95,1
2025_04_08_1744119475_L,22,HOLD,0.95,1
2025_04_08_1744119475_L,23,HOLD,0.98,1
2025_04_08_1744119475_L,24,HOLD,0.98,1
2025_04_08_1744119475_L,25,HOLD,0.98,1
2025_04_08_1744119475_L,26,HOLD,0.98,1
2025_04_08_1744119475_L,27,HOLD,0.98,1
2025_04_08_1744119475_L,28,HOLD,0.98,1
2025_04_08_1744119475_L,29,HOLD,0.98,1
2025_04_08_1744119475_L,30,HOLD,0.95,1
2025_04_08_1744119475_L,31,HOLD,0.95,1
2025_04_08_1744119475_L,32,HOLD,0.98,1
2025_04_08_1744119475_L,33,HOLD,0.98,1
2025_04_08_1744119475_L,34,HOLD,0.98,1
2025_04_08_1744119475_L,35,HOLD,0.98,1
2025_04_08_1744119475_L,36,HOLD,0.98,1
2025_04_08_1744119475_L,37,HOLD,0.98,1
2025_04_08_1744119475_L,38,HOLD,0.98,1
2025_04_08_1744119475_L,39,HOLD,0.98,1
2025_04_08_1744119475_L,40,HOLD,0.98,1
2025_04_08_1744119475_L,41,HOLD,0.98,1
2025_04_08_1744119475_L,42,HOLD,0.98,1
2025_04_08_1744119475_L,43,HOLD,0.98,1
2025_04_08_1744119475_L,44,HOLD,0.98,1
2025_04_08_1744119475_L,45,HOLD,0.98,1
2025_04_08_1744119475_L,46,HOLD,0.98,1
2025_04_08_1744119475_L,47,HOLD,0.98,1
2025_04_08_1744119475_L,48,HOLD,0.98,1
2025_04_08_1744119475_L,49,HOLD,0.98,1
2025_04_08_1744119475_L,50,HOLD,0.99,1
2025_04_08_1744119475_L,51,HOLD,0.99,1
2025_04_08_1744119475_L,52,HOLD,0.99,1
2025_04_08_1744119475_L,53,HOLD,0.95,1
2025_04_08_1744119475_L,54,HOLD,0.98,1
2025_04_08_1744119475_L,55,HOLD,0.95,1
2025_04_08_1744120420_L,0,TRUNCATED,?,0
2025_04_08_1744120420_L,1,HOLD,0.65,1
2025_04_08_1744120420_L,2,HOLD,0.75,1
2025_04_08_1744120420_L,3,HOLD,0.75,1
2025_04_08_1744120420_L,4,HOLD,0.80,1
