eid,frame_idx,decision,conf,memo_present
2025_04_09_1744206595_L,0,TRUNCATED,?,0
2025_04_09_1744206595_L,1,HOLD,0.95,1
2025_04_09_1744206595_L,2,HOLD,0.92,1
2025_04_09_1744206595_L,3,HOLD,0.93,1
2025_04_09_1744206595_L,4,HOLD,0.98,1
2025_04_09_1744206595_L,5,HOLD,0.94,1
2025_04_09_1744206595_L,6,HOLD,0.95,1
2025_04_09_1744206595_L,7,HOLD,0.96,1
2025_04_09_1744206595_L,8,HOLD,0.97,1
2025_04_09_1744206595_L,9,HOLD,0.93,1
2025_04_09_1744206595_L,10,HOLD,0.94,1
2025_04_09_1744206595_L,11,TRUNCATED,?,0
2025_04_09_1744206595_L,12,HOLD,0.98,1
2025_04_09_1744206595_L,13,HOLD,0.95,1
2025_04_09_1744206595_L,14,HOLD,0.97,1
2025_04_09_1744206595_L,15,HOLD,0.92,1
2025_04_09_1744206595_L,16,HOLD,0.95,1
2025_04_09_1744206595_L,17,HOLD,0.85,1
2025_04_09_1744206595_L,18,HOLD,0.75,1
2025_04_09_1744206595_L,19,HOLD,0.85,1
2025_04_09_1744206595_L,20,HOLD,0.85,1
2025_04_09_1744206595_L,21,HOLD,0.95,1
2025_04_09_1744206595_L,22,HOLD,0.95,1
2025_04_09_1744206595_L,23,HOLD,0.80,1
2025_04_09_1744207060_L,0,TRUNCATED,?,0
2025_04_09_1744207060_L,1,HOLD,0.85,1
2025_04_09_1744207060_L,2,HOLD,0.35,1
2025_04_09_1744207060_L,3,HOLD,0.95,1
2025_04_09_1744207060_L,4,HOLD,0.95,1
2025_04_09_1744207060_L,5,HOLD,0.95,1
2025_04_09_1744207060_L,6,HOLD,0.95,1
2025_04_09_1744207060_L,7,HOLD,0.95,1
2025_04_09_1744207060_L,8,HOLD,0.75,1
2025_04_09_1744207060_L,9,HOLD,0.70,1
2025_04_09_1744207060_L,10,HOLD,0.70,1
2025_04_09_1744207060_L,11,HOLD,0.65,1
2025_04_09_1744207060_L,12,HOLD,0.60,1
2025_04_09_1744207060_L,13,HOLD,0.85,1
2025_04_09_1744207060_L,14,HOLD,0.80,1
2025_04_09_1744207060_L,15,HOLD,0.65,1
2025_04_09_1744207060_L,16,HOLD,0.65,1
2025_04_09_1744207385_S,0,HOLD,0.25,1
2025_04_09_1744207385_S,1,HOLD,0.75,1
2025_04_09_1744207385_S,2,HOLD,0.80,1
2025_04_09_1744207385_S,3,HOLD,0.90,1
2025_04_09_1744207385_S,4,HOLD,0.95,1
2025_04_09_1744207385_S,5,HOLD,0.92,1
2025_04_09_1744207385_S,6,HOLD,0.95,1
2025_04_09_1744207385_S,7,HOLD,0.95,1
2025_04_09_1744207385_S,8,HOLD,0.98,1
2025_04_09_1744207385_S,9,HOLD,0.95,1
2025_04_09_1744207385_S,10,HOLD,0.98,1
2025_04_09_1744207385_S,11,HOLD,0.95,1
2025_04_09_1744207385_S,12,HOLD,0.95,1
2025_04_09_1744207385_S,13,HOLD,0.95,1
2025_04_09_1744207385_S,14,HOLD,0.95,1
2025_04_09_1744207385_S,15,HOLD,0.98,1
2025_04_09_1744207385_S,16,HOLD,0.95,1
2025_04_09_1744207385_S,17,HOLD,0.95,1
2025_04_09_1744207385_S,18,HOLD,0.95,1
2025_04_09_1744207385_S,19,HOLD,0.95,1
2025_04_09_1744207385_S,20,HOLD,0.95,1
2025_04_09_1744207385_S,21,HOLD,0.95,1
2025_04_09_1744207385_S,22,HOLD,0.95,1
2025_04_09_1744209600_S,0,TRUNCATED,?,0
2025_04_09_1744209600_S,1,HOLD,0.70,1
2025_04_09_1744209600_S,2,HOLD,0.75,1
2025_04_09_1744209600_S,3,HOLD,0.65,1
2025_04_09_1744209600_S,4,HOLD,0.75,1
2025_04_09_1744209600_S,5,HOLD,0.90,1
2025_04_09_1744209600_S,6,HOLD,0.65,1
2025_04_09_1744209600_S,7,HOLD,0.65,1
2025_04_09_1744209600_S,8,HOLD,0.65,1
2025_04_09_1744209600_S,9,HOLD,0.95,1
2025_04_09_1744209600_S,10,HOLD,0.95,1
2025_04_09_1744209600_S,11,HOLD,0.95,1
2025_04_09_1744209600_S,12,HOLD,0.95,1
2025_04_09_1744209600_S,13,HOLD,0.95,1
2025_04_09_1744209600_S,14,HOLD,0.95,1
2025_04_09_1744209600_S,15,HOLD,0.95,1
2025_04_09_1744209600_S,16,HOLD,0.95,1
2025_04_09_1744209600_S,17,HOLD,0.95,1
2025_04_09_1744209600_S,18,HOLD,0.95,1
2025_04_09_1744209600_S,19,HOLD,0.98,1
2025_04_09_1744209600_S,20,HOLD,0.98,1
2025_04_09_1744209600_S,21,HOLD,0.98,1
2025_04_09_1744209600_S,22,HOLD,0.98,1
2025_04_09_1744209600_S,23,HOLD,0.98,1
2025_04_09_1744209600_S,24,HOLD,0.98,1
2025_04_09_1744209600_S,25,HOLD,0.98,1
2025_04_09_1744209600_S,26,HOLD,0.98,1
2025_04_09_1744209600_S,27,HOLD,0.98,1
2025_04_09_1744209600_S,28,HOLD,0.95,1
2025_04_09_1744209600_S,29,HOLD,0.95,1
2025_04_09_1744209600_S,30,HOLD,0.95,1
2025_04_09_1744209600_S,31,HOLD,0.95,1
