day,ts,i,trigger_i,trigger_ts,shelf_px,poke_px,dwell_frac,bounce_pt,day_class,mod,outcome,resolve_min
2024_01_03,1704294480,968,967,1704294420,16631.0,16616.0,0.08333333333333333,11.75,other,608.0,CRACK,1
2024_01_11,1704994620,1117,1116,1704994560,16795.0,16787.5,0.08333333333333333,7.25,other,757.0,HOLD,2
2024_01_22,1705946220,1137,1136,1705946160,17483.0,17480.0,0.08333333333333333,9.5,other,777.0,CRACK,3
2024_01_30,1706625120,932,931,1706625060,17665.0,17663.75,0.14166666666666666,18.75,other,572.0,HOLD,1
2024_02_01,1706800860,981,980,1706800800,17325.0,17312.25,0.1,21.0,other,621.0,HOLD,2
2024_02_06,1707237960,1066,1065,1707237900,17641.0,17595.25,0.1,21.5,other,706.0,CRACK,1
2024_02_08,1707424200,1290,1289,1707424140,17867.0,17870.25,0.125,5.25,other,930.0,CRACK,6
2024_02_14,1707939720,1242,1241,1707939660,17777.0,17778.0,0.10833333333333334,13.25,other,882.0,HOLD,12
2024_02_21,1708529700,995,994,1708529640,17501.0,17464.25,0.125,11.0,other,635.0,HOLD,2
2024_02_26,1708964280,1038,1037,1708964220,18021.0,18018.5,0.08333333333333333,6.5,other,678.0,CRACK,4
2024_02_29,1709234880,1228,1227,1709234820,18037.0,18015.0,0.10833333333333334,13.0,other,868.0,HOLD,3
2024_03_06,1709748900,1155,1154,1709748840,18129.0,18127.0,0.08333333333333333,17.25,other,795.0,HOLD,1
2024_03_15,1710524880,1188,1187,1710524820,18053.0,18042.75,0.08333333333333333,10.25,flushV,828.0,CRACK,1
2024_03_20,1710949560,1066,1065,1710949500,18259.0,18262.25,0.10833333333333334,7.25,other,706.0,CRACK,2
2024_03_26,1711464240,1004,1003,1711464180,18569.0,18541.5,0.125,7.25,other,644.0,HOLD,11
2024_04_02,1712072700,1065,1064,1712072640,18265.0,18250.75,0.08333333333333333,8.25,flushV,705.0,CRACK,5
2024_04_09,1712671620,967,966,1712671560,18363.0,18331.0,0.11666666666666667,13.75,other,607.0,HOLD,5
2024_04_16,1713288780,1173,1172,1713288720,17913.0,17818.0,0.10833333333333334,48.0,other,813.0,HOLD,1
2024_04_22,1713792660,931,930,1713792600,17295.0,17271.75,0.1,25.25,other,571.0,HOLD,1
2024_04_26,1714147260,1081,1080,1714147200,17833.0,17826.75,0.10833333333333334,15.5,other,721.0,HOLD,1
2024_05_01,1714582200,1130,1129,1714582140,17455.0,17427.75,0.11666666666666667,10.25,other,770.0,CRACK,1
