day,ts,i,dir,ref_px,poke_ext,poke_depth,ref_age_s,arm_ts,kind,mod,sym_race,sym_resolve_s,race,resolve_s,exceed_ref,exceed_poke,exceed_ref_first,mfe_beyond_ref
2024_01_18,1705609155,14902,-1,17104.5,17103.25,1.25,260,1705609150,RETURN,919.25,CONT,1240,RESUME,35,True,True,True,16.75
2024_02_06,1707235875,11716,1,17650.5,17651.0,0.5,4245,1707235855,RETURN,671.25,AGAINST,105,REVERSE,105,True,True,False,12.0
2024_02_14,1707940935,14382,-1,17790.5,17786.25,4.25,4635,1707940925,BREAKOUT,902.25,AGAINST,20,REVERSE,20,True,False,True,3.25
2024_03_06,1709736295,10813,1,18102.75,18103.25,0.5,1425,1709736285,RETURN,584.9166666666666,CONT,10,RESUME,5,True,True,True,10.0
2024_03_08,1709908210,10694,1,18330.5,18332.25,1.75,3125,1709908205,RETURN,570.1666666666666,AGAINST,35,REVERSE,35,True,True,False,95.75
2024_03_13,1710353365,13502,-1,18380.75,18379.0,1.75,560,1710353345,RETURN,849.4166666666666,CONT,90,RESUME,5,True,True,True,11.25
2024_03_25,1711385700,13065,1,18535.5,18537.75,2.25,2110,1711385665,BREAKOUT,775.0,AGAINST,360,RESUME,10,True,True,True,13.0
2024_04_09,1712672505,10984,1,18355.0,18356.0,1.0,1795,1712672495,RETURN,621.75,AGAINST,230,RESUME,25,True,True,True,6.5
2024_04_23,1713887805,12602,-1,17578.0,17576.75,1.25,4750,1713887800,RETURN,716.75,CONT,135,RESUME,20,True,True,True,17.25
2024_05_01,1714571575,10858,-1,17484.5,17483.75,0.75,4700,1714571570,RETURN,592.9166666666666,CONT,90,RESUME,80,True,True,True,55.5
2024_05_13,1715617655,12327,1,18301.5,18303.75,2.25,5370,1715617645,BREAKOUT,747.5833333333334,AGAINST,1945,RESUME,205,True,True,True,7.75
2024_05_24,1716558095,10492,1,18748.5,18755.25,6.75,125,1716558090,BREAKOUT,581.5833333333334,CONT,125,RESUME,35,True,True,True,79.75
2024_06_03,1717439200,14350,1,18566.5,18568.25,1.75,285,1717439175,RETURN,866.6666666666666,AGAINST,50,REVERSE,50,True,True,False,17.25
2024_06_21,1718980545,11333,1,19956.0,19960.75,4.75,90,1718980535,BREAKOUT,635.75,CONT,40,RESUME,15,True,True,True,81.75
2024_07_08,1720451375,11468,1,20627.5,20629.0,1.5,4920,1720451365,RETURN,669.5833333333334,CONT,565,RESUME,155,True,True,True,42.5
2024_07_15,1721062300,12874,-1,20640.0,20638.75,1.25,220,1721062295,RETURN,771.6666666666666,AGAINST,300,RESUME,30,True,True,True,73.0
2024_07_22,1721673675,14839,-1,20025.5,20024.5,1.0,1130,1721673670,RETURN,881.25,CONT,130,RESUME,95,True,True,True,43.0
2024_07_25,1721929810,14198,-1,19267.25,19262.25,5.0,1135,1721929805,BREAKOUT,830.1666666666666,AGAINST,125,RESUME,30,True,True,True,74.25
2024_07_31,1722446420,13823,-1,19470.25,19466.75,3.5,3995,1722446405,BREAKOUT,800.3333333333334,CONT,230,RESUME,15,True,True,True,121.75
2024_08_05,1722884110,15056,-1,17930.75,17923.75,7.0,615,1722884105,BREAKOUT,895.1666666666666,AGAINST,15,REVERSE,15,True,True,False,36.75
2024_08_07,1723050665,13802,-1,18226.0,18222.75,3.25,70,1723050660,BREAKOUT,791.0833333333334,CONT,15,RESUME,5,True,True,True,113.5
2024_08_08,1723136550,13697,-1,18373.75,18372.5,1.25,4820,1723136545,RETURN,782.5,CONT,10,RESUME,10,True,True,True,12.5
2024_08_14,1723642225,10805,1,19138.75,19148.0,9.25,3610,1723642215,BREAKOUT,570.4166666666666,CONT,25,RESUME,5,True,True,True,34.0
2024_08_22,1724344560,12892,1,19822.5,19824.75,2.25,4275,1724344555,BREAKOUT,756.0,AGAINST,195,RESUME,5,True,True,True,6.25
2024_09_03,1725379630,12860,-1,19156.0,19155.0,1.0,800,1725379625,RETURN,727.1666666666666,CONT,60,RESUME,55,True,True,True,19.5
2024_09_04,1725469730,13736,1,19048.5,19050.75,2.25,2480,1725469695,BREAKOUT,788.8333333333334,CONT,130,RESUME,5,True,True,True,17.75
2024_09_12,1726148070,10924,1,19274.5,19275.75,1.25,3460,1726148065,RETURN,574.5,AGAINST,20,RESUME,5,True,True,True,65.5
2024_09_18,1726683190,13434,1,19705.75,19709.25,3.5,840,1726683185,BREAKOUT,853.1666666666666,AGAINST,35,RESUME,5,True,True,True,160.0
2024_09_27,1727449240,12069,-1,20295.0,20294.75,0.25,600,1727449235,RETURN,660.6666666666666,AGAINST,160,RESUME,20,True,True,False,51.0
2024_10_07,1728323410,14109,-1,20125.5,20124.5,1.0,3245,1728323405,RETURN,830.1666666666666,AGAINST,250,RESUME,10,True,True,True,81.25
2024_10_21,1729529335,13160,1,20449.25,20451.25,2.0,3330,1729529325,RETURN,768.9166666666666,CONT,215,RESUME,135,True,True,True,42.0
2024_10_23,1729699155,12466,1,20357.25,20360.5,3.25,2190,1729699150,BREAKOUT,719.25,AGAINST,55,REVERSE,55,True,False,True,2.75
2024_10_29,1730209275,10962,-1,20445.75,20445.5,0.25,240,1730209270,RETURN,581.25,AGAINST,40,REVERSE,40,False,False,False,-6.75
2024_10_31,1730398740,14442,-1,20023.75,20021.75,2.0,535,1730398725,RETURN,859.0,AGAINST,340,RESUME,25,True,True,True,13.0
2024_11_06,1730907455,11959,-1,20765.5,20762.75,2.75,920,1730907450,BREAKOUT,637.5833333333334,CONT,155,RESUME,5,True,True,True,70.25
2024_11_08,1731085985,12721,-1,21208.25,21204.25,4.0,2600,1731085960,BREAKOUT,733.0833333333334,AGAINST,1125,RESUME,5,True,True,True,11.5
2024_11_14,1731599770,11885,-1,21118.5,21117.5,1.0,5360,1731599760,RETURN,656.1666666666666,CONT,35,RESUME,5,True,True,True,34.25
2024_12_02,1733156215,12057,1,21193.25,21194.25,1.0,175,1733156210,RETURN,676.9166666666666,AGAINST,260,REVERSE,260,True,True,False,48.0
2024_12_13,1734107505,12239,1,21726.75,21728.25,1.5,410,1734107495,RETURN,691.75,CONT,30,RESUME,10,True,True,True,29.75
2024_12_19,1734626745,12719,-1,21577.75,21575.0,2.75,145,1734626735,BREAKOUT,705.75,AGAINST,65,RESUME,5,True,True,True,132.0
2024_12_27,1735317060,12153,-1,21622.75,21622.25,0.5,5360,1735317055,RETURN,691.0,AGAINST,25,REVERSE,25,True,True,False,106.0
2025_01_06,1736181555,10580,-1,21865.75,21864.5,1.25,100,1736181550,RETURN,699.25,CONT,465,RESUME,5,True,True,True,41.5
2025_01_13,1736779560,9566,-1,20751.0,20743.75,7.25,710,1736779555,BREAKOUT,586.0,AGAINST,10,REVERSE,10,True,True,True,35.0
2025_01_14,1736866110,9066,1,21056.5,21066.5,10.0,35,1736866105,BREAKOUT,588.5,CONT,30,RESUME,5,True,True,True,52.75
2025_01_21,1737477025,10323,1,21634.25,21635.0,0.75,315,1737477020,RETURN,690.4166666666666,CONT,55,RESUME,5,True,True,True,45.0
2025_01_30,1738253905,10157,1,21451.5,21461.75,10.25,150,1738253900,BREAKOUT,678.4166666666666,CONT,50,RESUME,45,True,True,True,173.5
2025_02_04,1738683120,10117,1,21647.75,21649.75,2.0,375,1738683110,RETURN,632.0,CONT,380,RESUME,5,True,True,True,32.0
2025_02_12,1739388790,11649,1,21798.25,21798.75,0.5,240,1739388785,RETURN,873.1666666666666,CONT,245,RESUME,40,True,True,True,40.25
2025_02_24,1740416900,10994,1,21608.75,21609.75,1.0,2145,1740416895,RETURN,728.3333333333334,AGAINST,220,RESUME,155,True,True,True,48.5
2025_02_28,1740762520,11549,-1,20672.75,20672.25,0.5,2635,1740762515,RETURN,728.6666666666666,CONT,40,RESUME,10,True,True,True,121.25
2025_03_07,1741362465,10100,-1,19942.75,19940.75,2.0,815,1741362450,RETURN,647.75,CONT,30,RESUME,30,True,True,True,85.75
2025_03_12,1741799135,10960,1,19615.75,19624.5,8.75,4535,1741799130,BREAKOUT,785.5833333333334,CONT,20,RESUME,10,True,True,True,101.0
2025_04_01,1743519660,9907,1,19519.5,19520.75,1.25,105,1743519650,RETURN,661.0,CONT,20,RESUME,20,True,True,True,82.25
2025_04_03,1743706510,13221,1,18845.75,18846.0,0.25,4905,1743706505,RETURN,895.1666666666666,AGAINST,35,RESUME,5,True,True,True,13.25
2025_04_08,1744130700,11635,-1,17716.75,17707.5,9.25,320,1744130695,BREAKOUT,765.0,AGAINST,15,REVERSE,15,True,True,False,212.0
2025_04_15,1744726650,9233,1,19103.25,19105.0,1.75,1710,1744726635,RETURN,617.5,CONT,5,REVERSE,70,False,False,False,-26.25
2025_04_16,1744825050,11957,1,18488.0,18491.0,3.0,55,1744825040,BREAKOUT,817.5,CONT,20,RESUME,5,True,True,True,16.25
2025_04_21,1745260545,11839,1,17771.5,17771.75,0.25,3785,1745260540,RETURN,875.75,AGAINST,45,RESUME,10,True,True,False,20.75
2025_04_25,1745590930,9686,-1,19299.5,19292.5,7.0,1040,1745590925,BREAKOUT,622.1666666666666,CONT,20,RESUME,10,True,True,True,62.5
2025_04_30,1746036000,11823,-1,19479.25,19478.25,1.0,1200,1746035990,RETURN,840.0,CONT,15,RESUME,15,True,True,True,28.75
2025_05_02,1746212505,12788,-1,20203.25,20201.5,1.75,4250,1746212500,RETURN,901.75,AGAINST,20,REVERSE,20,True,True,False,22.5
2025_05_09,1746804070,9813,-1,20136.75,20134.25,2.5,1200,1746804060,BREAKOUT,681.1666666666666,CONT,155,RESUME,5,True,True,True,31.5
2025_05_15,1747331455,11510,1,21494.5,21497.0,2.5,3030,1747331450,BREAKOUT,830.9166666666666,AGAINST,165,RESUME,15,True,True,True,3.25
2025_05_19,1747678700,12635,-1,21459.25,21454.0,5.25,5250,1747678695,BREAKOUT,858.3333333333334,AGAINST,160,RESUME,50,True,True,True,8.0
2025_06_02,1748871470,8522,1,21412.5,21420.5,8.0,170,1748871460,BREAKOUT,577.8333333333334,CONT,15,RESUME,5,True,True,True,45.0
