day,ts,i,is_flush,open_px,v_low,v_peak,flush_pt,rec_frac,mod,low_break,peak_reclaim,first,close_frac
2024_01_05,1704468000,980,False,16449.0,16437.25,16555.5,11.75,10.063829787234043,620.0,True,True,PEAK_RECLAIM,0.22410147991543342
2024_01_15,1705332000,980,False,16957.75,16940.75,16956.5,17.0,0.9264705882352942,620.0,False,True,PEAK_RECLAIM,1.6984126984126984
2024_01_22,1705936800,980,False,17528.0,17491.75,17552.75,36.25,1.6827586206896552,620.0,True,False,LOW_BREAK,-0.5122950819672131
2024_01_30,1706628000,980,False,17661.25,17654.0,17685.0,7.25,4.275862068965517,620.0,True,False,LOW_BREAK,-2.2661290322580645
2024_02_07,1707319200,980,False,17773.5,17719.5,17825.0,54.0,1.9537037037037037,620.0,False,True,PEAK_RECLAIM,1.1540284360189574
2024_02_14,1707924000,980,False,17788.75,17743.0,17836.0,45.75,2.0327868852459017,620.0,True,True,PEAK_RECLAIM,1.3602150537634408
2024_02_22,1708615200,980,False,17896.0,17864.0,17970.25,32.0,3.3203125,620.0,False,True,PEAK_RECLAIM,1.7011764705882353
2024_02_29,1709220000,980,False,18030.25,18020.75,18072.25,9.5,5.421052631578948,620.0,True,True,LOW_BREAK,0.8932038834951457
2024_03_07,1709823000,950,True,18182.25,18119.0,18168.5,63.25,0.782608695652174,590.0,False,True,PEAK_RECLAIM,3.8333333333333335
2024_03_14,1710426000,980,False,18375.0,18271.75,18314.0,103.25,0.4092009685230024,620.0,True,True,PEAK_RECLAIM,0.15384615384615385
2024_03_22,1711117200,980,False,18537.5,18500.25,18565.25,37.25,1.74496644295302,620.0,False,True,PEAK_RECLAIM,1.1076923076923078
2024_04_02,1712066520,962,True,18287.5,18223.5,18266.5,64.0,0.671875,602.0,True,True,PEAK_RECLAIM,2.494186046511628
2024_04_09,1712672400,980,False,18391.0,18342.75,18403.0,48.25,1.2487046632124352,620.0,True,False,LOW_BREAK,0.3236514522821577
2024_04_16,1713277200,980,False,17867.75,17822.0,17931.0,45.75,2.3825136612021858,620.0,True,True,PEAK_RECLAIM,0.5022935779816514
2024_04_24,1713968400,980,False,17731.0,17713.0,17795.75,18.0,4.597222222222222,620.0,True,False,LOW_BREAK,-0.6616314199395771
2024_05_01,1714573200,980,False,17501.5,17468.25,17511.0,33.25,1.2857142857142858,620.0,True,True,LOW_BREAK,-0.8596491228070176
2024_05_09,1715263140,959,True,18186.75,18108.0,18160.25,78.75,0.6634920634920635,599.0,False,True,PEAK_RECLAIM,2.062200956937799
2024_05_16,1715869200,980,False,18678.5,18672.0,18716.5,6.5,6.846153846153846,620.0,True,True,PEAK_RECLAIM,-0.47752808988764045
2024_05_23,1716474000,980,False,18981.5,18890.0,18914.0,91.5,0.26229508196721313,620.0,True,True,LOW_BREAK,-8.0625
2024_05_30,1717077000,950,True,18764.75,18696.5,18755.5,68.25,0.8644688644688645,590.0,True,False,LOW_BREAK,-1.5635593220338984
2024_06_07,1717770000,980,False,19040.5,18992.25,19064.25,48.25,1.4922279792746114,620.0,False,True,PEAK_RECLAIM,0.6701388888888888
2024_06_14,1718374800,980,False,19577.75,19557.0,19647.0,20.75,4.337349397590361,620.0,False,True,PEAK_RECLAIM,1.45
2024_06_21,1718979180,973,True,20017.0,19955.5,19995.0,61.5,0.6422764227642277,613.0,True,True,PEAK_RECLAIM,0.5
2024_06_28,1719584400,980,False,20070.25,20039.0,20273.25,31.25,7.496,620.0,True,False,LOW_BREAK,-0.45464247598719315
2024_07_05,1720189200,980,False,20441.5,20428.0,20544.5,13.5,8.62962962962963,620.0,False,True,PEAK_RECLAIM,1.6652360515021458
2024_07_12,1720794000,980,False,20443.25,20425.25,20586.75,18.0,8.972222222222221,620.0,False,True,PEAK_RECLAIM,0.7120743034055728
2024_07_19,1721398800,980,False,19868.5,19836.0,19976.75,32.5,4.3307692307692305,620.0,True,False,LOW_BREAK,-0.8756660746003553
2024_07_29,1722261000,950,True,19284.75,19222.5,19368.0,62.25,2.3373493975903616,590.0,True,True,PEAK_RECLAIM,-0.09278350515463918
2024_08_05,1722867600,980,False,17562.5,17509.25,18112.5,53.25,11.328638497652582,620.0,False,True,PEAK_RECLAIM,0.8474927476170742
2024_08_12,1723471560,966,True,18641.25,18535.25,18608.75,106.0,0.6933962264150944,606.0,False,True,PEAK_RECLAIM,1.4863945578231292
2024_08_27,1724766600,950,True,19523.5,19441.75,19520.75,81.75,0.9663608562691132,590.0,False,True,PEAK_RECLAIM,2.651898734177215
2024_09_03,1725373200,980,False,19477.75,19357.5,19420.25,120.25,0.5218295218295218,620.0,True,False,LOW_BREAK,-5.50597609561753
2024_09_10,1725978000,980,False,18758.5,18721.5,18816.5,37.0,2.5675675675675675,620.0,True,True,LOW_BREAK,1.4078947368421053
2024_09_18,1726667400,950,True,19731.0,19669.25,19711.5,61.75,0.6842105263157895,590.0,True,True,PEAK_RECLAIM,-2.0236686390532546
2024_09_25,1727274000,980,False,20140.75,20138.25,20272.75,2.5,53.8,620.0,True,False,LOW_BREAK,0.4200743494423792
2024_10_03,1727965200,980,False,19912.25,19894.5,20115.0,17.75,12.422535211267606,620.0,True,False,LOW_BREAK,0.42403628117913833
2024_10_10,1728570000,980,False,20359.75,20306.5,20416.5,53.25,2.0657276995305165,620.0,False,True,PEAK_RECLAIM,1.1181818181818182
2024_10_18,1729261200,980,False,20466.0,20433.0,20523.25,33.0,2.734848484848485,620.0,False,True,PEAK_RECLAIM,0.5484764542936288
2024_10_25,1729866000,980,False,20491.0,20490.0,20693.25,1.0,203.25,620.0,True,True,PEAK_RECLAIM,0.024600246002460024
2024_11_01,1730470800,980,False,20068.5,20057.25,20245.0,11.25,16.68888888888889,620.0,False,True,PEAK_RECLAIM,0.4766977363515313
2024_11_08,1731079200,980,False,21186.25,21176.25,21226.5,10.0,5.025,620.0,True,True,LOW_BREAK,1.1492537313432836
2024_11_15,1731682200,950,True,20758.5,20687.0,20746.0,71.5,0.8251748251748252,590.0,True,False,LOW_BREAK,-3.309322033898305
2024_11_25,1732548000,980,False,21016.0,20956.25,21081.25,59.75,2.092050209205021,620.0,True,False,LOW_BREAK,-0.626
2024_12_03,1733239200,980,False,21158.0,21134.75,21234.0,23.25,4.268817204301075,620.0,False,True,PEAK_RECLAIM,1.4534005037783375
2024_12_10,1733844000,980,False,21532.75,21505.25,21606.75,27.5,3.690909090909091,620.0,True,False,LOW_BREAK,-0.958128078817734
2024_12_17,1734448800,980,False,22336.0,22279.5,22367.25,56.5,1.5530973451327434,620.0,True,True,LOW_BREAK,0.41025641025641024
2024_12_26,1735226400,980,False,21961.5,21949.0,21980.5,12.5,2.52,620.0,True,True,LOW_BREAK,1.8492063492063493
2025_01_06,1736176800,920,False,21732.75,21723.75,21865.5,9.0,15.75,620.0,True,True,PEAK_RECLAIM,0.18518518518518517
2025_01_15,1736952600,890,True,21252.25,21186.5,21346.5,65.75,2.4334600760456273,590.0,False,True,PEAK_RECLAIM,1.309375
2025_01_23,1737645600,920,False,21889.0,21866.0,21918.25,23.0,2.2717391304347827,620.0,False,True,PEAK_RECLAIM,3.3684210526315788
2025_01_31,1738336800,920,False,21774.25,21764.0,21921.5,10.25,15.365853658536585,620.0,True,True,PEAK_RECLAIM,-1.1666666666666667
2025_02_10,1739200800,920,False,21764.5,21742.25,21856.0,22.25,5.112359550561798,620.0,False,True,PEAK_RECLAIM,0.8857142857142857
2025_02_17,1739805600,920,False,22241.0,22192.0,22222.25,49.0,0.6173469387755102,620.0,False,True,PEAK_RECLAIM,1.4297520661157024
2025_02_24,1740410400,920,False,21753.0,21672.0,21706.25,81.0,0.4228395061728395,620.0,True,False,LOW_BREAK,-7.306569343065694
2025_03_03,1741015200,920,False,21055.75,20928.25,20986.0,127.5,0.45294117647058824,620.0,True,True,LOW_BREAK,-7.878787878787879
2025_03_11,1741702800,860,False,19420.0,19386.5,19613.5,33.5,6.776119402985074,620.0,True,True,LOW_BREAK,0.02753303964757709
2025_03_18,1742307600,860,False,19692.0,19484.5,19547.0,207.5,0.30120481927710846,620.0,True,True,LOW_BREAK,0.276
2025_04_04,1743774600,830,True,18153.0,18005.0,18172.0,148.0,1.1283783783783783,590.0,True,True,PEAK_RECLAIM,-2.809880239520958
2025_04_11,1744379400,830,True,18415.0,18353.5,18628.0,61.5,4.463414634146342,590.0,True,True,PEAK_RECLAIM,1.6584699453551912
2025_04_21,1745243400,830,True,18128.75,18049.25,18119.75,79.5,0.8867924528301887,590.0,True,False,LOW_BREAK,-1.801418439716312
2025_04_30,1746022380,853,True,19301.25,19135.25,19243.75,166.0,0.6536144578313253,613.0,False,True,PEAK_RECLAIM,4.675115207373272
2025_05_07,1746627600,860,False,19899.75,19858.0,19956.0,41.75,2.3473053892215567,620.0,True,True,PEAK_RECLAIM,0.9387755102040817
2025_05_14,1747232400,860,False,21314.75,21277.0,21362.75,37.75,2.271523178807947,620.0,False,True,PEAK_RECLAIM,1.3965014577259476
2025_05_21,1747837200,860,False,21279.0,21277.0,21440.5,2.0,81.75,620.0,True,True,PEAK_RECLAIM,-0.7844036697247706
2025_05_28,1748442000,860,False,21504.75,21478.75,21504.75,26.0,1.0,620.0,True,True,LOW_BREAK,-4.076923076923077
2025_06_06,1749219600,860,False,21797.5,21768.0,21863.5,29.5,3.23728813559322,620.0,True,True,LOW_BREAK,0.225130890052356
2025_06_13,1749824400,860,False,21680.0,21663.5,21796.25,16.5,8.045454545454545,620.0,True,True,LOW_BREAK,-0.0847457627118644
2025_07_01,1751379600,860,False,22803.0,22779.75,22845.0,23.25,2.806451612903226,620.0,True,False,LOW_BREAK,-1.3295019157088122
2025_07_09,1752070800,860,False,22978.5,22977.75,23111.25,0.75,178.0,620.0,True,False,LOW_BREAK,0.548689138576779
2025_07_17,1752762000,860,False,23100.25,23065.75,23175.25,34.5,3.1739130434782608,620.0,False,True,PEAK_RECLAIM,1.7534246575342465
2025_07_24,1753366800,860,False,23374.0,23333.5,23400.75,40.5,1.6604938271604939,620.0,True,True,LOW_BREAK,0.6394052044609665
