day,ts,i,chain_n,step_high,step_low,step_depth,chain_head_high,chain_descent,defense_pt,defense_lag_s,mod,race,resolve_s,defense_hold,sym_race,sym_resolve_s,net_30m
2024_01_10,1704909670,13017,1,16914.25,16900.5,13.75,16914.25,13.75,2.5,5,781.1666666666666,NEW_LOW,40,False,AGAINST,120,4.5
2024_01_24,1706107095,10747,3,17658.25,17645.75,12.5,17681.0,35.25,2.25,0,578.25,NEW_LOW,60,False,AGAINST,195,29.0
2024_01_30,1706625570,10581,1,17681.0,17672.0,9.0,17681.0,9.0,2.0,0,579.5,STAIR_BREAK,20,False,CONT,990,-30.75
2024_02_09,1707490300,9909,1,17911.5,17900.0,11.5,17911.5,11.5,2.75,10,591.6666666666666,NEW_LOW,85,False,AGAINST,180,54.5
2024_03_08,1709908765,10805,2,18314.0,18297.75,16.25,18325.0,27.25,4.0,0,579.4166666666666,NEW_LOW,20,False,AGAINST,50,113.25
2024_03_14,1710439840,13571,2,18325.0,18313.5,11.5,18324.0,10.5,2.0,10,850.6666666666666,NEW_LOW,30,False,AGAINST,90,-40.0
2024_03_18,1710781960,13536,2,18258.0,18248.75,9.25,18259.5,10.75,2.25,0,792.6666666666666,NEW_LOW,55,False,AGAINST,440,1.75
2024_04_03,1712158740,12253,2,18447.0,18435.0,12.0,18450.75,15.75,3.0,5,699.0,STAIR_BREAK,220,True,CONT,680,-53.25
2024_04_09,1712672655,11014,3,18361.5,18350.5,11.0,18367.25,16.75,2.5,5,624.25,NEW_LOW,10,False,CONT,80,-185.5
2024_04_15,1713207525,14960,1,17901.5,17885.25,16.25,17901.5,16.25,2.5,0,898.75,NEW_LOW,80,False,CONT,95,-23.5
2024_05_01,1714571095,10762,2,17499.0,17485.5,13.5,17510.75,25.25,2.0,5,584.9166666666666,NEW_LOW,10,False,AGAINST,95,-36.5
2024_05_13,1715609290,10654,2,18296.0,18283.5,12.5,18298.75,15.25,4.5,0,608.1666666666666,STAIR_BREAK,55,False,AGAINST,425,9.25
2024_05_23,1716471675,10901,3,18933.0,18914.0,19.0,18954.25,40.25,9.5,0,581.25,NEW_LOW,65,False,CONT,65,-22.25
2024_05_31,1717183645,15179,1,18428.0,18418.0,10.0,18428.0,10.0,3.5,5,927.4166666666666,NEW_LOW,95,False,CONT,150,149.75
2024_06_07,1717768990,10339,1,19046.0,19030.75,15.25,19046.0,15.25,2.5,5,603.1666666666666,NEW_LOW,40,False,CONT,475,10.25
2024_06_20,1718902020,12685,1,20076.0,20063.5,12.5,20076.0,12.5,7.5,0,767.0,STAIR_BREAK,10,False,AGAINST,195,-23.5
2024_06_27,1719499065,11569,2,20067.5,20053.25,14.25,20076.75,23.5,2.25,0,637.75,STAIR_BREAK,50,True,AGAINST,45,-38.5
2024_07_09,1720545680,13346,1,20643.25,20627.25,16.0,20643.25,16.0,2.0,0,801.3333333333334,NEW_LOW,10,False,AGAINST,110,23.0
2024_07_17,1721226505,11435,1,20148.75,20132.75,16.0,20148.75,16.0,2.75,5,628.4166666666666,NEW_LOW,10,False,CONT,30,-17.0
2024_07_22,1721660005,12105,1,19980.25,19963.25,17.0,19980.25,17.0,2.75,0,653.4166666666666,NEW_LOW,45,False,AGAINST,275,-86.0
