day,ts,i,dir,peak_i,peak_ts,peak_px,mfe_pt,give_frac,stalled,mod,race,resolve_s,sym_race,sym_resolve_s,net_60m
2024_01_02,1704207395,10353,1,10233,1704206795,16780.5,14.25,4.0701754385964914,False,596.5833333333334,GIVEBACK_50,5,CONT,70.0,-13.0
2024_01_11,1704984465,10705,1,10585,1704983865,17027.0,10.25,6.2682926829268295,False,587.75,GIVEBACK_50,5,AGAINST,40.0,-72.25
2024_01_18,1705600300,13131,-1,13011,1705599700,17007.5,13.5,1.3333333333333333,False,771.6666666666666,NEW_EXTREME,55,CONT,120.0,-1.25
2024_02_15,1708015465,12025,-1,11905,1708014865,17827.25,9.25,2.4594594594594597,False,704.4166666666666,GIVEBACK_50,5,CONT,375.0,-38.0
2024_02_23,1708709595,12622,1,12502,1708708995,18042.5,8.0,5.78125,False,753.25,GIVEBACK_50,5,CONT,65.0,42.5
2024_03_18,1710789055,14955,-1,14835,1710788455,18270.0,12.25,2.122448979591837,False,910.9166666666666,GIVEBACK_50,5,CONT,880.0,
2024_04_04,1712259300,14812,1,14692,1712258700,18165.5,15.75,3.7301587301587302,False,935.0,GIVEBACK_50,5,AGAINST,35.0,
2024_04_11,1712857895,13845,-1,13725,1712857295,18397.0,25.5,1.4705882352941178,False,831.5833333333334,GIVEBACK_50,5,AGAINST,105.0,-64.75
2024_04_19,1713539510,12309,1,12189,1713538910,17381.5,8.25,3.606060606060606,False,671.8333333333334,GIVEBACK_50,5,CONT,50.0,-120.0
2024_04_25,1714055680,11641,1,11521,1714055080,17444.0,15.5,3.9838709677419355,False,634.6666666666666,GIVEBACK_50,5,CONT,55.0,-16.0
2024_05_01,1714584815,13506,1,13386,1714584215,17446.75,33.25,0.2932330827067669,True,813.5833333333334,NEW_EXTREME,5,CONT,190.0,57.25
2024_05_21,1716300420,9775,-1,9655,1716299820,18705.75,13.5,1.3333333333333333,False,607.0,NEW_EXTREME,20,AGAINST,545.0,-44.25
2024_05_27,1716829140,11810,1,11690,1716828540,18954.25,14.0,0.4642857142857143,False,779.0,NEITHER,-1,NEITHER,-1.0,-1.75
2024_05_30,1717079010,11605,-1,11485,1717078410,18687.25,12.25,3.7551020408163267,False,623.5,GIVEBACK_50,5,CONT,155.0,67.5
2024_06_14,1718374180,10776,1,10656,1718373580,19645.5,23.5,1.8297872340425532,False,609.6666666666666,GIVEBACK_50,5,AGAINST,155.0,-6.75
2024_06_25,1719336180,13377,1,13257,1719335580,19884.0,45.0,0.23333333333333334,True,803.0,NEW_EXTREME,5,CONT,245.0,54.25
2024_06_28,1719592265,12700,-1,12580,1719591665,20033.0,10.75,4.1395348837209305,False,751.0833333333334,GIVEBACK_50,5,CONT,80.0,25.0
2024_07_02,1719941575,13700,1,13580,1719940975,20185.75,8.0,2.0,False,812.9166666666666,GIVEBACK_50,5,AGAINST,305.0,43.75
2024_07_16,1721148850,12831,-1,12711,1721148250,20469.5,37.25,1.8053691275167785,False,774.1666666666666,GIVEBACK_50,5,AGAINST,325.0,16.0
2024_07_25,1721928605,13957,1,13837,1721928005,19311.25,15.75,3.9206349206349205,False,810.0833333333334,GIVEBACK_50,5,CONT,45.0,-42.75
2024_08_02,1722615330,13135,1,13015,1722614730,18623.0,28.5,3.543859649122807,False,735.5,GIVEBACK_50,5,AGAINST,30.0,4.0
2024_08_06,1722968310,14607,-1,14487,1722967710,18388.0,23.75,2.1473684210526316,False,858.5,GIVEBACK_50,5,AGAINST,180.0,131.5
2024_08_12,1723489030,14903,-1,14783,1723488430,18621.0,12.75,1.7058823529411764,False,897.1666666666666,GIVEBACK_50,5,AGAINST,195.0,31.75
2024_08_26,1724683570,11799,1,11679,1724682970,19562.75,12.5,4.36,False,646.1666666666666,GIVEBACK_50,5,CONT,75.0,43.5
2024_08_29,1724955245,14431,1,14311,1724954645,19601.25,17.5,2.1714285714285713,False,854.0833333333334,GIVEBACK_50,5,AGAINST,75.0,-217.5
2024_09_04,1725461920,12174,-1,12054,1725461320,19013.75,25.75,2.6310679611650487,False,658.6666666666666,GIVEBACK_50,5,AGAINST,50.0,73.25
2024_09_11,1726075690,13839,1,13719,1726075090,18975.75,8.5,3.2941176470588234,False,808.1666666666666,NEW_EXTREME,20,CONT,35.0,138.0
