day,ts,i,box_lo,box_hi,esc_buf,box_pt,flips,ambient_pt,box_ambient_ratio,mid_px,mod,escaped,escape_lag_s,escape_dir,escape_px,mag_5m,mag_15m,mag_30m
2024_01_12,1705075207,41343,16939.5,16947.75,4.125,8.25,33.0,14.75,0.559322033898305,16939.75,660.1166666666667,True,96,-1,16934.5,-23.0,-53.25,-42.5
2024_01_22,1705945629,48810,17481.5,17486.0,2.25,4.5,34.0,7.5,0.6,17482.25,767.15,True,131,-1,17478.75,-12.5,12.25,23.5
2024_02_02,1706901976,51547,17748.75,17754.75,3.0,6.0,30.0,10.0,0.6,17751.75,866.2666666666667,True,60,-1,17745.5,-2.5,-28.0,-9.25
2024_02_09,1707495311,33479,17999.25,18003.5,2.125,4.25,32.0,7.25,0.5862068965517241,18000.75,675.1833333333333,True,38,-1,17996.25,-1.0,8.5,2.75
2024_02_15,1708027200,51042,17906.25,17910.25,2.0,4.0,30.0,6.875,0.5818181818181818,17908.0,900.0,True,9,-1,17903.75,-8.0,-4.25,6.25
2024_02_27,1709047359,36436,18020.5,18027.5,3.5,7.0,30.0,11.75,0.5957446808510638,18021.25,622.65,True,23,-1,18016.5,20.5,6.75,4.25
2024_03_19,1710872736,56881,18261.25,18266.0,2.375,4.75,31.0,8.25,0.5757575757575758,18265.0,865.6,True,214,1,18268.5,7.75,12.5,3.75
2024_03_28,1711647507,46624,18465.75,18469.0,1.625,3.25,30.0,5.875,0.5531914893617021,18467.25,818.45,True,18,1,18470.75,1.0,0.25,3.75
2024_04_05,1712328646,43988,18264.75,18271.0,3.125,6.25,32.0,13.125,0.47619047619047616,18270.25,650.7666666666667,True,12,1,18276.0,13.0,8.5,-6.0
2024_04_17,1713375246,54101,17711.0,17718.25,3.625,7.25,31.0,13.375,0.5420560747663551,17716.0,814.1,True,102,1,17722.25,3.0,10.75,8.25
2024_05_02,1714676450,56681,17661.5,17666.5,2.5,5.0,30.0,8.75,0.5714285714285714,17665.0,900.8333333333334,True,56,-1,17658.5,-12.0,-8.25,-10.75
2024_05_09,1715271460,40097,18199.0,18202.5,1.75,3.5,30.0,6.5,0.5384615384615384,18201.25,737.6666666666666,True,42,-1,18197.0,-4.75,2.0,-10.25
2024_05_15,1715800731,48579,18694.75,18697.75,1.5,3.0,30.0,6.0,0.5,18697.25,918.85,True,68,1,18699.5,-0.75,-5.5,-13.0
2024_05_28,1716909528,38508,18908.25,18912.75,2.25,4.5,30.0,8.25,0.5454545454545454,18911.25,678.8,True,37,1,18917.25,7.5,4.0,5.75
2024_06_05,1717610297,51421,19019.5,19022.75,1.625,3.25,30.0,6.25,0.52,19022.0,838.2833333333333,True,54,1,19024.75,-0.5,-15.0,-2.5
2024_06_12,1718218832,47587,19515.25,19525.0,4.875,9.75,30.0,19.125,0.5098039215686274,19521.75,900.5333333333333,True,55,1,19530.75,-11.5,28.5,-69.5
2024_06_25,1719341153,53408,19950.25,19954.5,2.125,4.25,30.0,7.125,0.5964912280701754,19952.5,885.8833333333333,True,106,-1,19947.75,5.75,5.75,-6.5
2024_07_02,1719937390,47179,20086.25,20090.25,2.0,4.0,30.0,9.25,0.43243243243243246,20087.75,743.1666666666666,True,8,-1,20084.0,-12.5,-25.0,-34.25
2024_07_05,1720191076,32748,20539.0,20545.0,3.0,6.0,35.0,12.75,0.47058823529411764,20543.0,651.2666666666667,True,45,-1,20534.25,2.25,-3.0,-17.0
2024_07_15,1721069120,50877,20590.25,20596.0,2.875,5.75,30.0,10.75,0.5348837209302325,20592.25,885.3333333333334,True,29,-1,20587.25,-14.5,-36.25,-40.25
2024_07_22,1721658592,47887,19955.75,19968.0,6.125,12.25,30.0,20.5,0.5975609756097561,19957.75,629.8666666666667,True,33,-1,19949.5,-31.75,-49.0,-8.25
2024_07_25,1721921571,53158,19184.0,19198.0,7.0,14.0,31.0,23.625,0.5925925925925926,19189.5,692.85,True,40,1,19205.75,-0.5,-12.25,62.0
2024_08_01,1722522451,49038,19498.5,19514.25,7.875,15.75,33.0,26.75,0.5887850467289719,19504.5,627.5166666666667,True,16,-1,19490.5,57.75,77.25,125.25
2024_08_15,1723731649,40819,19447.75,19457.25,4.75,9.5,30.0,16.125,0.5891472868217055,19455.5,620.8166666666667,True,65,1,19462.5,11.5,35.25,30.25
2024_08_16,1723823641,47991,19567.25,19574.25,3.5,7.0,30.0,12.5,0.56,19571.0,714.0166666666667,True,44,1,19578.25,4.75,9.0,38.5
2024_08_22,1724346573,47304,19689.0,19697.0,4.0,8.0,31.0,13.5,0.5925925925925926,19696.5,789.55,True,21,1,19702.5,-6.5,13.25,-31.0
2024_08_29,1724942387,47624,19615.25,19628.0,6.375,12.75,30.0,24.75,0.5151515151515151,19620.0,639.7833333333333,True,19,1,19637.75,10.5,39.25,15.0
2024_09_06,1725633014,47153,18635.25,18653.0,8.875,17.75,30.0,30.125,0.5892116182572614,18641.75,630.2333333333333,True,197,-1,18625.0,1.25,63.5,25.25
2024_09_10,1725986993,52603,18682.75,18689.0,3.125,6.25,30.0,12.5,0.5,18686.75,769.8833333333333,True,110,-1,18679.5,-20.75,-31.0,-73.25
2024_09_17,1726590801,38798,19687.5,19694.5,3.5,7.0,30.0,12.0,0.5833333333333334,19689.25,753.35,True,66,-1,19683.5,3.75,66.0,49.5
2024_10_01,1727808502,58185,20043.0,20051.0,4.0,8.0,32.0,14.0,0.5714285714285714,20046.75,888.3666666666667,True,120,1,20056.25,-14.75,-9.25,-17.5
2024_10_04,1728063648,54833,20118.0,20124.0,3.0,6.0,30.0,10.375,0.5783132530120482,20122.75,820.8,True,7,1,20127.5,34.0,1.5,-11.75
2024_10_18,1729273032,51034,20494.5,20498.5,2.0,4.0,30.0,6.875,0.5818181818181818,20498.0,817.2,True,131,1,20500.75,-6.75,-14.5,-13.0
2024_10_25,1729871901,42762,20611.5,20616.5,2.5,5.0,30.0,12.25,0.40816326530612246,20614.5,718.35,True,49,1,20619.5,8.5,15.5,36.75
2024_10_31,1730389801,49503,20036.25,20044.25,4.0,8.0,33.0,13.5,0.5925925925925926,20039.75,710.0166666666667,True,99,-1,20032.0,-11.0,-40.0,-62.5
2024_11_05,1730838085,58118,20323.0,20327.75,2.375,4.75,31.0,8.0,0.59375,20326.75,921.4166666666666,True,95,-1,20320.5,-1.25,-23.25,2.5
2024_11_14,1731602991,45533,21107.5,21113.75,3.125,6.25,30.0,10.625,0.5882352941176471,21108.0,709.85,True,17,1,21118.75,-12.25,-27.0,-44.0
2024_11_21,1732208306,54920,20715.0,20724.5,4.75,9.5,33.0,15.875,0.5984251968503937,20721.5,718.4333333333333,True,39,1,20730.0,-13.5,8.0,59.75
2024_11_27,1732724595,45283,20722.0,20728.75,3.375,6.75,30.0,13.25,0.5094339622641509,20723.5,683.25,True,94,-1,20717.0,-11.0,-34.5,4.0
2024_12_09,1733763001,41479,21492.5,21499.0,3.25,6.5,31.0,11.125,0.5842696629213483,21494.75,710.0166666666667,True,16,1,21506.0,3.5,-1.5,-13.0
2024_12_19,1734637848,64550,21476.25,21483.5,3.625,7.25,30.0,13.75,0.5272727272727272,21479.0,890.8,True,20,1,21489.25,-2.75,-28.5,3.75
2024_12_24,1735058011,40710,21967.75,21972.75,2.5,5.0,38.0,8.875,0.5633802816901409,21971.25,693.5166666666667,True,6,1,21975.5,8.0,17.25,-4.25
2025_01_08,1736357642,35822,21209.0,21217.5,4.25,8.5,30.0,14.375,0.591304347826087,21215.0,754.0333333333333,True,152,-1,21204.25,-26.0,-30.0,-120.25
2025_01_14,1736869745,27570,20974.5,20986.0,5.75,11.5,30.0,21.75,0.5287356321839081,20975.75,649.0833333333334,True,42,-1,20968.25,-10.75,83.25,69.25
2025_01_16,1737054779,42023,21336.75,21342.0,2.625,5.25,30.0,11.75,0.44680851063829785,21339.75,852.9833333333333,True,10,1,21346.25,-9.0,-3.25,2.75
2025_01_27,1737996784,48449,21237.25,21248.5,5.625,11.25,30.0,19.75,0.569620253164557,21241.5,713.0666666666667,True,12,-1,21226.75,15.5,7.0,43.0
2025_01_29,1738167916,27605,21504.5,21512.75,4.125,8.25,30.0,13.75,0.6,21510.25,685.2666666666667,True,92,-1,21500.25,17.75,20.25,25.75
2025_01_31,1738346183,33786,21916.25,21921.25,2.5,5.0,30.0,9.625,0.5194805194805194,21919.75,776.3833333333333,True,61,-1,21912.0,4.25,-0.0,73.5
2025_02_06,1738856020,24843,21791.5,21800.5,4.5,9.0,32.0,15.125,0.5950413223140496,21800.0,633.6666666666666,True,19,1,21806.25,26.0,-52.5,-21.25
2025_02_07,1738950526,30139,21668.0,21677.75,4.875,9.75,30.0,18.75,0.52,21674.25,768.7666666666667,True,160,-1,21663.0,-7.75,-52.75,-43.0
2025_02_13,1739460721,25506,21975.0,21985.25,5.125,10.25,31.0,17.125,0.5985401459854015,21981.75,632.0166666666667,True,21,1,21991.0,12.25,55.25,45.0
2025_02_19,1739983405,27334,22228.0,22232.25,2.125,4.25,31.0,7.75,0.5483870967741935,22230.75,703.4166666666666,True,59,1,22234.75,-1.25,5.0,5.0
2025_02_26,1740583630,24406,21326.25,21337.75,5.75,11.5,31.0,22.125,0.519774011299435,21328.25,627.1666666666666,True,50,-1,21319.5,-2.75,-15.75,-29.25
2025_02_28,1740771632,46028,20667.25,20678.5,5.625,11.25,30.0,20.125,0.5590062111801242,20672.5,880.5333333333333,True,60,1,20686.25,-1.5,14.75,45.75
2025_03_10,1741623406,35817,19580.0,19592.75,6.375,12.75,32.0,21.5,0.5930232558139535,19582.75,736.7666666666667,True,8,-1,19573.0,24.25,-30.75,9.5
2025_03_12,1741800956,37388,19683.25,19694.25,5.5,11.0,31.0,19.5,0.5641025641025641,19690.25,815.9333333333333,True,40,1,19701.0,-29.75,-51.5,-141.75
2025_03_19,1742393121,13288,19653.75,19662.5,4.375,8.75,30.0,15.875,0.5511811023622047,19658.0,605.35,True,27,1,19667.0,16.0,17.5,-31.75
2025_04_04,1743784181,44325,17754.25,17778.0,11.875,23.75,39.0,41.0,0.5792682926829268,17774.0,749.6833333333333,True,110,-1,17741.25,-37.75,-9.25,8.5
2025_04_08,1744133627,44427,17522.25,17548.5,13.125,26.25,35.0,44.75,0.5865921787709497,17535.75,813.7833333333333,True,62,-1,17507.75,-97.25,-125.5,-134.5
2025_04_14,1744652884,40234,18839.5,18854.0,7.25,14.5,36.0,25.875,0.5603864734299517,18845.25,828.0666666666667,True,26,1,18861.5,65.0,105.0,102.0
