day,ts,i,dir,ref_px,poke_ext,poke_depth,ref_age_s,arm_ts,kind,mod,sym_race,sym_resolve_s,race,resolve_s,exceed_ref,exceed_poke,exceed_ref_first,mfe_beyond_ref
2024_01_04,1704382510,10927,-1,16511.0,16508.25,2.75,815,1704382505,BREAKOUT,635.1666666666666,AGAINST,75,REVERSE,75,True,True,True,6.75
2024_01_23,1706032165,12875,1,17463.25,17465.5,2.25,2330,1706032145,BREAKOUT,769.4166666666666,CONT,230,RESUME,5,True,True,True,29.25
2024_02_08,1707418235,13126,-1,17872.5,17869.5,3.0,2905,1707418225,BREAKOUT,830.5833333333334,CONT,835,RESUME,5,True,True,True,37.5
2024_02_16,1708096025,10715,1,17752.5,17754.5,2.0,235,1708096015,RETURN,607.0833333333334,CONT,70,RESUME,30,True,True,True,65.5
2024_03_06,1709738790,11312,1,18006.5,18007.25,0.75,875,1709738785,RETURN,626.5,CONT,110,RESUME,5,True,True,True,101.0
2024_03_08,1709923240,13700,-1,18023.0,18021.5,1.5,105,1709923230,RETURN,820.6666666666666,CONT,100,RESUME,35,True,True,True,9.25
2024_03_14,1710433640,12331,1,18284.25,18287.0,2.75,3675,1710433625,BREAKOUT,747.3333333333334,CONT,515,RESUME,200,True,True,True,19.25
2024_03_27,1711554115,12163,1,18417.5,18421.0,3.5,155,1711554105,BREAKOUT,701.9166666666666,AGAINST,460,RESUME,5,True,True,True,17.75
2024_04_09,1712681490,12781,-1,18285.0,18283.5,1.5,295,1712681475,RETURN,771.5,CONT,95,RESUME,25,True,True,True,28.0
2024_04_26,1714141445,11456,1,17823.75,17825.0,1.25,55,1714141395,RETURN,623.3333333333334,AGAINST,335,RESUME,40,True,True,True,61.25
2024_05_02,1714667005,12807,1,17518.5,17520.75,2.25,2675,1714666990,BREAKOUT,743.4166666666666,CONT,35,RESUME,5,True,True,True,46.25
2024_05_14,1715713730,14028,1,18406.0,18406.75,0.75,1165,1715713725,RETURN,908.8333333333334,CONT,280,RESUME,65,True,True,True,24.25
2024_05_29,1717008975,14427,1,18833.75,18836.75,3.0,4440,1717008965,BREAKOUT,896.25,AGAINST,40,REVERSE,40,True,True,False,28.0
2024_06_04,1717511175,11128,-1,18600.0,18597.25,2.75,1130,1717511170,BREAKOUT,626.25,AGAINST,55,REVERSE,55,True,True,False,6.5
2024_06_24,1719236205,10812,1,19944.0,19944.25,0.25,2390,1719236200,RETURN,576.75,AGAINST,40,REVERSE,40,True,True,False,50.5
2024_07_09,1720543030,12816,-1,20688.75,20686.5,2.25,2015,1720543025,BREAKOUT,757.1666666666666,CONT,160,RESUME,5,True,True,True,61.0
2024_07_16,1721145860,12233,-1,20556.75,20555.75,1.0,2645,1721145850,RETURN,724.3333333333334,CONT,185,RESUME,20,True,True,True,88.75
2024_07_23,1721757300,14041,1,19976.25,19978.75,2.5,4760,1721757275,BREAKOUT,835.0,CONT,395,RESUME,40,True,True,True,19.75
2024_07_25,1721933630,14962,-1,19128.5,19128.0,0.5,250,1721933625,RETURN,893.8333333333334,CONT,55,RESUME,25,True,True,True,17.75
2024_08_02,1722612680,12605,-1,18483.75,18479.5,7.5,365,1722612675,BREAKOUT,691.3333333333334,AGAINST,10,REVERSE,10,False,False,False,-1.0
2024_08_06,1722967680,14481,-1,18397.75,18395.25,2.5,1405,1722967670,BREAKOUT,848.0,AGAINST,125,RESUME,30,True,True,True,9.75
2024_08_07,1723055775,14824,1,18056.75,18060.25,3.5,180,1723055765,BREAKOUT,876.25,AGAINST,15,REVERSE,15,True,True,False,86.5
2024_08_08,1723141215,14630,1,18548.75,18552.0,3.25,855,1723141210,BREAKOUT,860.25,AGAINST,45,REVERSE,45,True,False,False,3.25
2024_08_15,1723735840,12274,-1,19494.5,19493.5,1.0,2460,1723735835,RETURN,690.6666666666666,AGAINST,60,REVERSE,60,False,False,False,-2.75
2024_08_27,1724766505,10970,1,19479.25,19486.25,7.0,390,1724766500,BREAKOUT,588.4166666666666,CONT,35,RESUME,25,True,True,True,175.75
2024_09_03,1725380005,12935,1,19161.0,19161.5,0.5,90,1725380000,RETURN,733.4166666666666,CONT,45,RESUME,25,True,True,True,43.25
2024_09_05,1725558200,14074,1,18952.0,18954.75,2.75,320,1725558195,BREAKOUT,823.3333333333334,CONT,45,RESUME,30,True,True,True,72.75
2024_09_12,1726148870,11084,-1,19220.0,19219.25,0.75,930,1726148865,RETURN,587.8333333333334,AGAINST,20,REVERSE,20,True,True,False,32.75
2024_09_20,1726852765,13595,1,20020.25,20022.0,1.75,2905,1726852755,RETURN,799.4166666666666,AGAINST,180,REVERSE,180,True,True,False,9.0
2024_10_01,1727800455,13146,1,19924.5,19925.0,0.5,3475,1727800445,RETURN,754.25,CONT,5,RESUME,5,True,True,True,30.5
2024_10_08,1728395380,11210,1,20097.0,20100.5,3.5,1025,1728395370,BREAKOUT,589.6666666666666,AGAINST,115,RESUME,10,True,True,True,111.5
2024_10_22,1729603860,10874,-1,20388.5,20388.0,3.75,190,1729603855,BREAKOUT,571.0,CONT,40,RESUME,10,True,True,True,17.25
2024_10_24,1729779075,11303,1,20350.5,20354.5,0.75,1575,1729779070,RETURN,611.25,CONT,90,RESUME,25,True,True,True,21.75
2024_10_29,1730212070,11521,-1,20549.0,20546.0,4.75,275,1730212065,BREAKOUT,627.8333333333334,CONT,15,RESUME,5,True,True,True,19.5
2024_11_04,1730735250,11845,1,20182.5,20185.25,2.75,345,1730735245,BREAKOUT,647.5,CONT,30,RESUME,15,True,True,True,43.75
2024_11_06,1730920440,14547,1,20867.5,20871.5,4.0,920,1730920375,BREAKOUT,853.25,CONT,80,RESUME,10,True,True,True,26.25
2024_11_11,1731349685,13642,1,21131.0,21134.25,3.25,785,1731349680,BREAKOUT,808.0833333333334,CONT,310,RESUME,55,True,True,True,66.25
2024_11_18,1731950480,13075,1,20657.75,20659.5,1.75,590,1731950470,RETURN,741.3333333333334,AGAINST,1295,RESUME,50,True,True,True,6.0
2024_12_03,1733244830,12178,1,21224.75,21227.5,2.75,3105,1733244825,BREAKOUT,713.8333333333334,AGAINST,130,REVERSE,130,False,False,False,2.0
2024_12_17,1734452190,11402,-1,22338.5,22336.75,1.75,285,1734452180,RETURN,676.5,CONT,65,RESUME,55,True,True,True,24.5
2024_12_20,1734706110,11310,-1,21206.75,21195.0,11.75,1060,1734706105,BREAKOUT,588.5,AGAINST,30,RESUME,25,True,True,True,43.0
2025_01_02,1735832550,10453,1,21224.25,21233.75,9.5,3925,1735832545,BREAKOUT,642.5,AGAINST,50,RESUME,10,True,True,True,104.0
