side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1749168600,2025-06-06 00:10:00,21582.0,1749169320,2025-06-06 00:22:00,21564.25,hard_stop,12.0,-35.5,17.0,-71.0,-0.446,-1.403,1.492,2.509,0.0,-0.519
LONG,1749172320,2025-06-06 01:12:00,21572.0,1749179520,2025-06-06 03:12:00,21584.0,time_stop,120.0,24.0,106.0,-16.0,-0.35,-1.266,0.963,0.449,0.319,-0.418
SHORT,1749196380,2025-06-06 07:53:00,21667.25,1749196860,2025-06-06 08:01:00,21649.75,crossed_15m_mean,8.0,35.0,70.0,0.0,1.564,0.606,1.263,0.65,0.231,2.043
SHORT,1749216360,2025-06-06 13:26:00,21783.75,1749216660,2025-06-06 13:31:00,21800.0,hard_stop,5.0,-32.5,0.0,-65.0,3.843,2.241,1.933,2.388,0.521,4.994
SHORT,1749218700,2025-06-06 14:05:00,21828.25,1749222360,2025-06-06 15:06:00,21848.5,hard_stop,61.0,-40.5,190.0,-81.0,3.623,1.921,1.334,-2.091,1.018,4.215
SHORT,1749226800,2025-06-06 16:20:00,21807.0,1749226860,2025-06-06 16:21:00,21796.75,crossed_15m_mean,1.0,20.5,41.0,0.0,2.191,0.881,-0.508,0.141,0.274,2.806
SHORT,1749230760,2025-06-06 17:26:00,21788.75,1749231060,2025-06-06 17:31:00,21804.0,hard_stop,5.0,-30.5,2.0,-61.0,1.662,0.479,-0.291,3.974,-0.407,2.415
SHORT,1749233280,2025-06-06 18:08:00,21854.0,1749240000,2025-06-06 20:00:00,21782.0,crossed_15m_mean,112.0,144.0,288.0,-55.0,2.099,1.116,2.118,2.654,0.011,3.184
SHORT,1757341200,2025-09-08 14:20:00,23815.0,1757341560,2025-09-08 14:26:00,23841.0,hard_stop,6.0,-52.0,23.0,-104.0,2.424,1.054,0.837,-2.871,0.333,5.842
SHORT,1757343600,2025-09-08 15:00:00,23864.5,1757348760,2025-09-08 16:26:00,23825.25,crossed_15m_mean,86.0,78.5,157.0,-53.0,3.062,1.659,1.128,-0.997,0.538,5.334
SHORT,1757400420,2025-09-09 06:47:00,23848.5,1757402040,2025-09-09 07:14:00,23863.5,hard_stop,27.0,-30.0,5.0,-60.0,1.571,1.564,1.286,-0.048,0.038,2.091
SHORT,1757403960,2025-09-09 07:46:00,23853.5,1757407560,2025-09-09 08:46:00,23840.5,crossed_15m_mean,60.0,26.0,57.0,-13.0,2.024,1.508,0.614,-0.886,0.129,2.595
SHORT,1757409720,2025-09-09 09:22:00,23848.25,1757411820,2025-09-09 09:57:00,23843.25,crossed_15m_mean,35.0,10.0,20.0,-26.0,1.435,0.378,-0.487,0.877,-0.01,2.002
SHORT,1757414820,2025-09-09 10:47:00,23849.5,1757414940,2025-09-09 10:49:00,23843.25,crossed_15m_mean,2.0,12.5,25.0,0.0,1.408,0.275,0.085,0.739,0.001,2.065
LONG,1757427480,2025-09-09 14:18:00,23814.0,1757428260,2025-09-09 14:31:00,23794.75,hard_stop,13.0,-38.5,53.0,-77.0,0.149,-3.481,-1.859,3.12,0.022,0.317
LONG,1757430960,2025-09-09 15:16:00,23784.75,1757432100,2025-09-09 15:35:00,23768.25,hard_stop,19.0,-33.0,14.0,-66.0,-1.145,-6.075,-0.982,0.406,-0.429,-1.3
LONG,1757434260,2025-09-09 16:11:00,23813.25,1757434920,2025-09-09 16:22:00,23797.75,hard_stop,11.0,-31.0,65.0,-62.0,-0.242,-2.36,0.426,0.947,-0.301,-0.259
LONG,1757437080,2025-09-09 16:58:00,23822.0,1757444280,2025-09-09 18:58:00,23841.75,time_stop,120.0,39.5,125.0,-3.0,0.125,-1.834,0.975,0.475,-0.169,0.134
SHORT,1757451300,2025-09-09 20:55:00,23888.0,1757455200,2025-09-09 22:00:00,23903.5,hard_stop,65.0,-31.0,7.0,-62.0,1.93,2.027,1.223,-1.433,0.419,2.386
SHORT,1757457000,2025-09-09 22:30:00,23902.75,1757464200,2025-09-10 00:30:00,23896.75,time_stop,120.0,12.0,108.0,-8.0,1.776,1.75,1.101,-0.826,0.356,2.316
