date,n_trades,n_long,n_short,pnl_dollars
2026-01-02,12,6,6,-215.5
2026-01-05,8,0,8,17.0
2026-01-06,11,3,8,167.5
2026-01-07,8,4,4,-58.5
2026-01-08,12,12,0,-75.5
2026-01-09,12,1,11,6.5
2026-01-12,13,6,7,-132.5
2026-01-13,8,6,2,202.0
2026-01-14,11,11,0,-394.0
2026-01-15,11,3,8,-228.5
2026-01-16,7,5,2,-607.5
2026-01-18,1,1,0,-32.0
2026-01-19,13,11,2,113.5
2026-01-20,16,12,4,-430.5
2026-01-21,12,5,7,413.0
2026-01-22,5,2,3,-164.0
2026-01-23,11,7,4,753.0
2026-01-25,1,1,0,239.0
2026-01-26,8,2,6,-93.5
2026-01-27,10,1,9,157.5
2026-01-28,10,5,5,-415.5
2026-01-29,11,9,2,-471.0
2026-01-30,13,11,2,197.5
2026-02-01,1,1,0,-51.0
2026-02-02,14,6,8,-412.0
2026-02-03,10,7,3,-333.0
2026-02-04,13,12,1,-501.5
2026-02-05,13,13,0,-371.0
2026-02-06,15,4,11,116.0
2026-02-08,1,0,1,-37.5
2026-02-09,11,5,6,522.0
2026-02-10,11,6,5,374.5
2026-02-11,9,7,2,736.5
2026-02-12,13,8,5,-82.5
2026-02-13,13,8,5,-141.5
2026-02-16,8,6,2,118.5
2026-02-17,12,7,5,464.5
2026-02-18,11,2,9,226.5
2026-02-19,14,13,1,-215.0
2026-02-20,11,4,7,746.5
2026-02-23,9,7,2,61.5
2026-02-24,8,2,6,-69.0
2026-02-25,8,1,7,100.5
2026-02-26,12,7,5,31.5
2026-02-27,14,12,2,-316.0
