date,n_trades,n_long,n_short,pnl_dollars
2026-01-02,7,6,1,-227.5
2026-01-04,2,2,0,-15.0
2026-01-05,3,3,0,17.0
2026-01-06,5,5,0,396.0
2026-01-07,8,8,0,21.5
2026-01-08,13,13,0,-132.5
2026-01-09,4,4,0,153.0
2026-01-12,7,7,0,94.5
2026-01-13,14,14,0,166.5
2026-01-14,19,19,0,-768.0
2026-01-15,6,6,0,-38.5
2026-01-16,8,7,1,-441.5
2026-01-18,1,1,0,-32.0
2026-01-19,15,15,0,-168.0
2026-01-20,16,16,0,-305.0
2026-01-21,10,10,0,-214.0
2026-01-22,6,6,0,47.5
2026-01-23,8,8,0,-134.0
2026-01-25,1,1,0,-31.0
2026-01-26,4,4,0,321.0
2026-01-27,1,1,0,-38.5
2026-01-28,8,8,0,-193.0
2026-01-29,19,19,0,-585.5
2026-01-30,18,18,0,52.0
2026-02-01,2,2,0,-141.5
2026-02-02,7,7,0,282.0
2026-02-03,14,14,0,-557.0
2026-02-04,20,20,0,-347.5
2026-02-05,22,22,0,-740.0
2026-02-06,9,8,1,524.5
2026-02-09,6,6,0,338.5
2026-02-10,11,11,0,382.5
2026-02-11,13,13,0,604.0
2026-02-12,14,14,0,-245.0
2026-02-13,13,13,0,-19.0
2026-02-15,1,1,0,-40.5
2026-02-16,9,9,0,87.5
2026-02-17,12,12,0,305.0
2026-02-18,5,5,0,-28.5
2026-02-19,18,18,0,4.5
2026-02-20,6,6,0,155.0
2026-02-22,1,1,0,-50.0
2026-02-23,11,11,0,-39.5
2026-02-24,7,7,0,-1.0
2026-02-25,5,5,0,-174.5
2026-02-26,10,10,0,118.0
2026-02-27,19,19,0,-601.0
