date,n_trades,n_long,n_short,pnl_dollars
2025-07-01,11,11,0,-304.0
2025-07-02,7,3,4,241.0
2025-07-03,7,1,6,137.5
2025-07-04,5,5,0,-141.0
2025-07-06,1,0,1,32.0
2025-07-07,10,8,2,-35.0
2025-07-08,7,4,3,-6.5
2025-07-09,12,3,9,56.0
2025-07-10,5,3,2,168.0
2025-07-11,10,7,3,185.0
2025-07-13,1,1,0,54.0
2025-07-14,10,3,7,-144.5
2025-07-15,9,4,5,-135.5
2025-07-16,6,3,3,180.0
2025-07-17,7,0,7,-54.0
2025-07-18,6,5,1,-87.5
2025-07-21,6,1,5,156.5
2025-07-22,8,8,0,-44.0
2025-07-23,8,3,5,182.5
2025-07-24,4,3,1,204.0
2025-07-25,6,3,3,-74.5
2025-07-27,1,0,1,-32.0
2025-07-28,7,5,2,-52.5
2025-07-29,8,4,4,-96.0
2025-07-30,13,5,8,188.0
2025-07-31,7,6,1,-222.0
