**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_utc,exit_utc,entry_px,exit_px,pnl,duration_min,reason,p_at_entry,z_at_entry,slope_15m_at_entry
SHORT,2026-01-02 14:47:00,2026-01-02 14:50:00,25758.0,25792.25,-68.5,3.0,stop,0.55,1.48,-0.207
LONG,2026-01-02 15:20:00,2026-01-02 15:21:00,25540.5,25522.75,-35.5,1.0,stop,0.56,-2.737,-0.488
LONG,2026-01-02 15:51:00,2026-01-02 15:52:00,25473.5,25448.25,-50.5,1.0,stop,0.71,-4.36,-0.674
LONG,2026-01-02 16:22:00,2026-01-02 16:25:00,25387.25,25374.5,-25.5,3.0,stop,0.64,-2.633,-1.793
LONG,2026-01-02 16:55:00,2026-01-02 16:56:00,25320.75,25333.75,26.0,1.0,target,0.71,-3.342,-1.826
LONG,2026-01-02 17:26:00,2026-01-02 17:29:00,25377.75,25387.25,19.0,3.0,target,0.63,-1.687,-1.55
LONG,2026-01-02 17:59:00,2026-01-02 18:00:00,25324.0,25335.5,23.0,1.0,target,0.64,-2.082,-1.769
LONG,2026-01-02 18:30:00,2026-01-02 18:32:00,25326.25,25318.5,-15.5,2.0,stop,0.63,-1.594,-0.874
LONG,2026-01-02 19:02:00,2026-01-02 19:04:00,25299.25,25320.25,42.0,2.0,target,0.55,-1.375,-0.444
LONG,2026-01-06 08:27:00,2026-01-06 08:30:00,25554.25,25537.0,-34.5,3.0,stop,0.55,-1.014,-0.346
LONG,2026-01-07 07:00:00,2026-01-07 07:02:00,25769.25,25774.5,10.5,2.0,target,0.55,-1.09,-0.174
LONG,2026-01-07 07:45:00,2026-01-07 07:47:00,25769.0,25774.25,10.5,2.0,target,0.55,-1.102,-0.108
LONG,2026-01-07 09:00:00,2026-01-07 09:02:00,25751.75,25743.75,-16.0,2.0,stop,0.55,-1.794,-0.167
LONG,2026-01-07 09:32:00,2026-01-07 09:37:00,25751.5,25745.25,-12.5,5.0,stop,0.55,-1.805,-0.232
LONG,2026-01-07 10:30:00,2026-01-07 10:36:00,25732.75,25740.5,15.5,6.0,target,0.55,-1.838,-0.219
LONG,2026-01-07 11:06:00,2026-01-07 11:12:00,25735.5,25747.0,23.0,6.0,target,0.55,-1.35,-0.151
LONG,2026-01-08 03:36:00,2026-01-08 03:42:00,25776.5,25781.5,10.0,6.0,target,0.55,-1.037,-0.15
LONG,2026-01-08 04:12:00,2026-01-08 04:24:00,25779.75,25786.0,12.5,12.0,target,0.55,-1.008,-0.368
LONG,2026-01-08 04:54:00,2026-01-08 05:00:00,25776.0,25782.0,12.0,6.0,target,0.55,-1.071,-0.326
LONG,2026-01-08 05:30:00,2026-01-08 05:32:00,25758.25,25751.75,-13.0,2.0,stop,0.55,-1.264,-0.346
LONG,2026-01-08 06:02:00,2026-01-08 06:04:00,25714.0,25706.5,-15.0,2.0,stop,0.55,-1.662,-0.267
LONG,2026-01-08 06:34:00,2026-01-08 06:35:00,25683.5,25678.25,-10.5,1.0,stop,0.64,-2.117,-0.604
LONG,2026-01-08 07:05:00,2026-01-08 07:08:00,25695.75,25701.5,11.5,3.0,target,0.55,-1.6,-0.396
LONG,2026-01-08 14:42:00,2026-01-08 14:43:00,25639.0,25625.0,-28.0,1.0,stop,0.55,-3.09,0.038
LONG,2026-01-08 15:13:00,2026-01-08 15:14:00,25669.25,25677.25,16.0,1.0,target,0.63,-1.111,-0.929
LONG,2026-01-08 15:46:00,2026-01-08 15:47:00,25667.75,25653.75,-28.0,1.0,stop,0.55,-1.141,-0.417
LONG,2026-01-08 16:17:00,2026-01-08 16:19:00,25636.0,25643.5,15.0,2.0,target,0.63,-1.11,-0.819
LONG,2026-01-08 16:52:00,2026-01-08 16:54:00,25636.75,25643.25,13.0,2.0,target,0.63,-1.099,-0.835
LONG,2026-01-08 19:16:00,2026-01-08 19:17:00,25602.25,25619.75,35.0,1.0,target,0.55,-1.036,-0.118
SHORT,2026-01-09 14:37:00,2026-01-09 14:39:00,25761.5,25755.75,11.5,2.0,target,0.55,1.046,-0.175
LONG,2026-01-12 05:00:00,2026-01-12 05:04:00,25723.0,25729.0,12.0,4.0,target,0.55,-1.116,-0.286
LONG,2026-01-12 05:34:00,2026-01-12 05:47:00,25693.25,25682.0,-22.5,13.0,stop,0.55,-1.441,-0.217
LONG,2026-01-12 06:19:00,2026-01-12 06:21:00,25707.5,25701.0,-13.0,2.0,stop,0.55,-1.054,-0.153
LONG,2026-01-12 06:54:00,2026-01-12 06:57:00,25712.75,25719.0,12.5,3.0,target,0.55,-1.002,-0.178
LONG,2026-01-12 08:30:00,2026-01-12 08:33:00,25650.5,25660.5,20.0,3.0,target,0.55,-1.305,-0.144
LONG,2026-01-13 15:27:00,2026-01-13 15:28:00,25816.0,25831.75,31.5,1.0,target,0.55,-3.585,0.054
LONG,2026-01-13 19:03:00,2026-01-13 19:08:00,25831.25,25839.5,16.5,5.0,target,0.55,-1.238,-0.303
LONG,2026-01-13 20:27:00,2026-01-13 20:30:00,25830.5,25824.75,-11.5,3.0,stop,0.63,-1.013,-0.849
LONG,2026-01-14 10:15:00,2026-01-14 10:17:00,25823.75,25829.0,10.5,2.0,target,0.55,-1.91,-0.143
LONG,2026-01-14 10:47:00,2026-01-14 10:48:00,25740.5,25747.0,13.0,1.0,target,0.71,-5.671,-0.639
LONG,2026-01-14 11:18:00,2026-01-14 11:20:00,25737.0,25751.0,28.0,2.0,target,0.64,-2.358,-0.685
