pnl,duration,entry_ts,exit_ts,direction
-48.5,799.0,1708384515.0,1708388510.0,long
2.5,552.0,1708388990.0,1708391750.0,long
-16.0,5.0,1708391750.0,1708391775.0,short
-131.0,530.0,1708392600.0,1708395250.0,long
-15.0,247.0,1708396555.0,1708397790.0,long
-6.0,71.0,1708397790.0,1708398145.0,short
28.0,2414.0,1708398145.0,1708410215.0,long
-20.0,80.0,1708410215.0,1708410615.0,short
-11.5,1205.0,1708410615.0,1708416640.0,long
20.0,79.0,1708417850.0,1708418245.0,long
-97.5,1298.0,1708418640.0,1708425130.0,long
28.5,999.0,1708425365.0,1708430360.0,long
-12.0,10.0,1708430360.0,1708430410.0,short
20.5,233.0,1708430410.0,1708431575.0,long
9.5,148.0,1708431770.0,1708432510.0,long
-10.0,84.0,1708432510.0,1708432930.0,short
-23.0,57.0,1708432930.0,1708433215.0,long
-0.5,41.0,1708434515.0,1708434720.0,long
-15.0,158.0,1708434860.0,1708435650.0,long
5.5,69.0,1708435650.0,1708435995.0,short
-256.5,1113.0,1708435995.0,1708441560.0,long
-73.5,222.0,1708441670.0,1708442780.0,long
3.5,50.0,1708442780.0,1708443030.0,short
107.5,497.0,1708443030.0,1708445515.0,long
-10.0,20.0,1708445515.0,1708445615.0,short
-4.5,105.0,1708445615.0,1708446140.0,long
8.5,20.0,1708446140.0,1708446240.0,short
-83.0,714.0,1708446945.0,1708450515.0,long
-13.0,540.0,1708451095.0,1708453795.0,long
-1.0,116.0,1708453795.0,1708454375.0,short
53.5,524.0,1708454375.0,1708456995.0,long
-137.0,714.0,1708456995.0,1708460565.0,short
-10.5,45.0,1708460565.0,1708460790.0,long
-24.5,21.0,1708460790.0,1708460895.0,short
-3.0,1041.0,1708460895.0,1708466100.0,long
