-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        33.71%        5.027s        34.60%        5.160s      20.434us        252497  
                                           aten::linear         1.17%     174.677ms        25.93%        3.866s     138.081us         28000  
                                               aten::to         0.63%      93.736ms        18.84%        2.810s      43.539us         64530  
                                         aten::_to_copy         2.28%     339.348ms        18.21%        2.716s      43.112us         62995  
                                            aten::copy_         4.36%     650.493ms        16.32%        2.433s      29.494us         82495  
      autograd::engine::evaluate_function: MulBackward0         1.29%     191.838ms         8.54%        1.274s     141.560us          9000  
                                              aten::mul         3.69%     550.552ms         8.47%        1.263s      35.069us         36003  
autograd::engine::evaluate_function: ToCopyBackward0...         1.35%     201.668ms         8.29%        1.236s      74.905us         16500  
    autograd::engine::evaluate_function: SliceBackward0         0.69%     102.638ms         7.35%        1.096s      91.298us         12000  
                                         SliceBackward0         0.16%      24.124ms         6.48%     966.074ms      80.506us         12000  
                                   aten::slice_backward         0.56%      83.981ms         6.32%     941.949ms      78.496us         12000  
                                               aten::mm         3.38%     503.679ms         6.00%     895.171ms      48.388us         18500  
                                           aten::conv1d         0.14%      20.657ms         4.92%     734.294ms     183.574us          4000  
                                        ToCopyBackward0         0.21%      31.470ms         4.89%     729.708ms      44.225us         16500  
                                        cudaMemcpyAsync         4.57%     680.945ms         4.58%     683.135ms      22.771us         30000  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.913s
