-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         0.49%      72.481ms         0.58%      86.881ms       5.265us         16500  
                                       aten::as_strided         0.99%     146.993ms         0.99%     146.993ms       0.865us        170020  
                                       aten::lift_fresh         0.01%       1.582ms         0.01%       1.582ms       0.624us          2535  
                                            aten::copy_         4.36%     650.493ms        16.32%        2.433s      29.494us         82495  
                                        cudaMemcpyAsync         4.57%     680.945ms         4.58%     683.135ms      22.771us         30000  
                                            aten::slice         1.16%     172.564ms         1.47%     219.547ms       3.404us         64500  
                                             aten::view         0.78%     116.333ms         0.78%     116.333ms       2.674us         43500  
                                          aten::permute         0.05%       7.225ms         0.06%       8.886ms       4.443us          2000  
                                           aten::linear         1.17%     174.677ms        25.93%        3.866s     138.081us         28000  
                                               aten::to         0.63%      93.736ms        18.84%        2.810s      43.539us         64530  
                                         aten::_to_copy         2.28%     339.348ms        18.21%        2.716s      43.112us         62995  
                                    aten::empty_strided         3.20%     477.571ms         3.20%     477.571ms       7.336us         65098  
                                       cudaLaunchKernel        33.71%        5.027s        34.60%        5.160s      20.434us        252497  
                                          aten::reshape         0.19%      28.457ms         0.66%      98.267ms       4.182us         23500  
                                                aten::t         0.76%     113.784ms         1.50%     224.203ms       5.676us         39500  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.913s
