day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_01_02,1704152160,LONG,17031.0,1704152700,17027.5,-3.5,-70.0,-84.1,curve_deceleration
2024_01_02,1704155760,SHORT,17024.75,1704157200,17027.0,-2.25,-45.0,-59.1,curve_deceleration
2024_01_02,1704157920,LONG,17031.75,1704158700,17033.25,1.5,30.0,15.9,curve_deceleration
2024_01_02,1704159960,SHORT,17018.75,1704160500,17017.25,1.5,30.0,15.9,curve_deceleration
2024_01_02,1704164280,SHORT,17007.0,1704164400,17008.5,-1.5,-30.0,-44.1,curve_deceleration
2024_01_02,1704176100,SHORT,17010.5,1704179460,17011.25,-0.75,-15.0,-29.1,curve_deceleration
2024_01_02,1704181320,LONG,17016.75,1704182100,17015.0,-1.75,-35.0,-49.1,curve_deceleration
2024_01_02,1704182820,LONG,17026.0,1704183000,17025.25,-0.75,-15.0,-29.1,curve_deceleration
2024_01_02,1704185160,LONG,17029.75,1704185400,17028.0,-1.75,-35.0,-49.1,curve_deceleration
2024_01_02,1704187740,SHORT,17005.25,1704187800,17005.25,0.0,0.0,-14.1,curve_deceleration
2024_01_02,1704188700,SHORT,16996.5,1704189000,16996.0,0.5,10.0,-4.1,curve_deceleration
2024_01_02,1704189840,SHORT,16996.25,1704190800,16990.25,6.0,120.0,105.9,curve_deceleration
2024_01_02,1704191880,SHORT,16989.0,1704192000,16992.25,-3.25,-65.0,-79.1,curve_deceleration
2024_01_02,1704193440,SHORT,16973.25,1704195900,16863.75,109.5,2190.0,2175.9,curve_deceleration
2024_01_02,1704196020,SHORT,16870.5,1704196500,16869.25,1.25,25.0,10.9,curve_deceleration
2024_01_02,1704196620,SHORT,16877.25,1704196800,16875.0,2.25,45.0,30.9,curve_deceleration
2024_01_02,1704197280,SHORT,16855.25,1704197700,16870.25,-15.0,-300.0,-314.1,curve_deceleration
2024_01_02,1704198180,SHORT,16861.5,1704198300,16864.75,-3.25,-65.0,-79.1,curve_deceleration
2024_01_02,1704198540,LONG,16858.5,1704198600,16859.75,1.25,25.0,10.9,curve_deceleration
2024_01_02,1704199320,SHORT,16859.0,1704200700,16829.25,29.75,595.0,580.9,curve_deceleration
2024_01_02,1704201900,SHORT,16823.75,1704202200,16828.25,-4.5,-90.0,-104.1,curve_deceleration
