day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_01_03,1704238038,LONG,16721.75,1704239357,16722.5,0.75,15.0,0.9000000000000004,curve_bend_down
2024_01_03,1704239887,LONG,16725.0,1704240501,16722.25,-2.75,-55.0,-69.1,curve_bend_down
2024_01_03,1704240902,LONG,16726.5,1704241902,16725.0,-1.5,-30.0,-44.1,curve_bend_down
2024_01_03,1704243373,LONG,16718.5,1704244186,16713.75,-4.75,-95.0,-109.1,curve_bend_down
2024_01_03,1704244792,LONG,16713.25,1704245566,16711.25,-2.0,-40.0,-54.1,curve_bend_down
2024_01_03,1704246487,LONG,16711.25,1704247291,16712.0,0.75,15.0,0.9000000000000004,curve_bend_down
2024_01_03,1704249069,LONG,16704.5,1704250347,16706.0,1.5,30.0,15.9,curve_bend_down
2024_01_03,1704251086,LONG,16706.25,1704251879,16702.75,-3.5,-70.0,-84.1,curve_bend_down
2024_01_03,1704252790,LONG,16706.25,1704253953,16706.25,0.0,0.0,-14.1,curve_bend_down
2024_01_03,1704255717,LONG,16700.5,1704256610,16696.75,-3.75,-75.0,-89.1,curve_bend_down
2024_01_03,1704257758,LONG,16695.0,1704258223,16689.25,-5.75,-115.0,-129.1,curve_bend_down
2024_01_03,1704258684,LONG,16694.75,1704260654,16700.5,5.75,115.0,100.9,curve_bend_down
2024_01_03,1704261380,LONG,16704.75,1704262131,16701.5,-3.25,-65.0,-79.1,curve_bend_down
2024_01_03,1704262597,LONG,16706.25,1704263794,16711.0,4.75,95.0,80.9,curve_bend_down
2024_01_03,1704264326,LONG,16716.5,1704265021,16711.75,-4.75,-95.0,-109.1,curve_bend_down
2024_01_03,1704265881,LONG,16710.75,1704266369,16702.75,-8.0,-160.0,-174.1,curve_bend_down
2024_01_03,1704266728,LONG,16711.0,1704267570,16707.75,-3.25,-65.0,-79.1,curve_bend_down
2024_01_03,1704268262,LONG,16709.75,1704268993,16711.0,1.25,25.0,10.9,curve_bend_down
2024_01_03,1704269337,LONG,16713.75,1704269944,16724.0,10.25,205.0,190.9,curve_bend_down
2024_01_03,1704270838,LONG,16709.5,1704271198,16706.0,-3.5,-70.0,-84.1,curve_bend_down
2024_01_03,1704271754,LONG,16696.5,1704271846,16686.5,-10.0,-200.0,-214.1,curve_bend_down
2024_01_03,1704272326,LONG,16681.0,1704272365,16673.0,-8.0,-160.0,-174.1,curve_bend_down
2024_01_03,1704272393,LONG,16676.0,1704272727,16676.5,0.5,10.0,-4.1,curve_bend_down
2024_01_03,1704273104,LONG,16669.75,1704273464,16665.25,-4.5,-90.0,-104.1,curve_bend_down
2024_01_03,1704273700,LONG,16671.0,1704274141,16673.75,2.75,55.0,40.9,curve_bend_down
2024_01_03,1704274619,LONG,16671.75,1704274866,16664.0,-7.75,-155.0,-169.1,curve_bend_down
2024_01_03,1704275685,LONG,16645.25,1704276030,16638.5,-6.75,-135.0,-149.1,curve_bend_down
2024_01_03,1704276215,LONG,16647.75,1704276621,16647.5,-0.25,-5.0,-19.1,curve_bend_down
2024_01_03,1704276800,LONG,16659.0,1704277135,16652.25,-6.75,-135.0,-149.1,curve_bend_down
2024_01_03,1704277712,LONG,16653.5,1704278289,16658.5,5.0,100.0,85.9,curve_bend_down
2024_01_03,1704278462,LONG,16668.0,1704278860,16666.75,-1.25,-25.0,-39.1,curve_bend_down
2024_01_03,1704279258,LONG,16663.5,1704279347,16657.5,-6.0,-120.0,-134.1,curve_bend_down
2024_01_03,1704279714,LONG,16663.5,1704280101,16658.5,-5.0,-100.0,-114.1,curve_bend_down
2024_01_03,1704280221,LONG,16665.75,1704280490,16659.75,-6.0,-120.0,-134.1,curve_bend_down
2024_01_03,1704280541,LONG,16659.5,1704280580,16656.75,-2.75,-55.0,-69.1,curve_bend_down
2024_01_03,1704281682,LONG,16643.25,1704282201,16645.75,2.5,50.0,35.9,curve_bend_down
2024_01_03,1704282244,LONG,16644.75,1704282731,16648.5,3.75,75.0,60.9,curve_bend_down
