day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_02_05,1707087960,SHORT,17722.25,1707088200,17720.0,2.25,45.0,30.9,rmean_reversal
2024_02_05,1707090420,LONG,17707.0,1707090600,17707.5,0.5,10.0,-4.1,rmean_reversal
2024_02_05,1707094020,SHORT,17676.75,1707096900,17683.5,-6.75,-135.0,-149.1,rmean_reversal
2024_02_05,1707121500,LONG,17707.0,1707124800,17704.75,-2.25,-45.0,-59.1,rmean_reversal
2024_02_05,1707125640,SHORT,17695.25,1707128100,17697.0,-1.75,-35.0,-49.1,rmean_reversal
2024_02_05,1707129720,LONG,17713.75,1707132300,17718.5,4.75,95.0,80.9,rmean_reversal
2024_02_05,1707137100,LONG,17727.5,1707138600,17728.25,0.75,15.0,0.9000000000000004,rmean_reversal
2024_02_05,1707140040,SHORT,17710.5,1707142500,17709.25,1.25,25.0,10.9,rmean_reversal
2024_02_05,1707143580,LONG,17719.25,1707144600,17691.25,-28.0,-560.0,-574.1,rmean_reversal
2024_02_05,1707145620,SHORT,17680.0,1707150000,17626.25,53.75,1075.0,1060.9,rmean_reversal
2024_02_05,1707151020,LONG,17636.0,1707157500,17691.25,55.25,1105.0,1090.9,rmean_reversal
2024_02_05,1707157920,SHORT,17688.75,1707160200,17705.0,-16.25,-325.0,-339.1,rmean_reversal
2024_02_05,1707160680,LONG,17698.75,1707160800,17692.0,-6.75,-135.0,-149.1,rmean_reversal
2024_02_05,1707162540,LONG,17737.0,1707163800,17700.25,-36.75,-735.0,-749.1,rmean_reversal
2024_02_05,1707164220,SHORT,17685.25,1707166500,17718.75,-33.5,-670.0,-684.1,rmean_reversal
2024_02_05,1707166680,LONG,17715.0,1707167700,17700.75,-14.25,-285.0,-299.1,rmean_reversal
2024_02_06,1707204900,LONG,17757.75,1707207000,17755.25,-2.5,-50.0,-64.1,rmean_reversal
2024_02_06,1707213420,SHORT,17732.0,1707216600,17728.0,4.0,80.0,65.9,rmean_reversal
2024_02_06,1707219660,SHORT,17689.0,1707222300,17678.25,10.75,215.0,200.9,rmean_reversal
2024_02_06,1707225780,LONG,17731.75,1707230100,17729.25,-2.5,-50.0,-64.1,rmean_reversal
2024_02_06,1707230520,SHORT,17717.25,1707234900,17632.75,84.5,1690.0,1675.9,rmean_reversal
2024_02_06,1707235920,LONG,17648.25,1707237900,17627.5,-20.75,-415.0,-429.1,rmean_reversal
2024_02_06,1707238440,SHORT,17593.0,1707241200,17608.25,-15.25,-305.0,-319.1,rmean_reversal
2024_02_06,1707241620,LONG,17603.5,1707242100,17589.25,-14.25,-285.0,-299.1,rmean_reversal
2024_02_06,1707243000,LONG,17608.25,1707243300,17595.75,-12.5,-250.0,-264.1,rmean_reversal
2024_02_06,1707244920,LONG,17618.75,1707246600,17583.0,-35.75,-715.0,-729.1,rmean_reversal
2024_02_06,1707247020,SHORT,17576.75,1707249300,17624.5,-47.75,-955.0,-969.1,rmean_reversal
2024_02_06,1707250200,LONG,17642.25,1707251700,17614.25,-28.0,-560.0,-574.1,rmean_reversal
2024_02_06,1707252180,SHORT,17609.0,1707253200,17661.75,-52.75,-1055.0,-1069.1,rmean_reversal
2024_02_06,1707254520,LONG,17645.25,1707255900,17645.75,0.5,10.0,-4.1,rmean_reversal
2024_02_07,1707269160,LONG,17703.5,1707270900,17689.75,-13.75,-275.0,-289.1,rmean_reversal
2024_02_07,1707272520,SHORT,17688.25,1707274800,17686.5,1.75,35.0,20.9,rmean_reversal
2024_02_07,1707279060,SHORT,17661.0,1707281100,17662.75,-1.75,-35.0,-49.1,rmean_reversal
2024_02_07,1707287820,SHORT,17640.75,1707290100,17643.0,-2.25,-45.0,-59.1,rmean_reversal
