Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Long,1,30774.25,30805.50,6/22/2026 6:34:05 AM,6/22/2026 6:43:05 AM,Long,X_RTriggerReversal,$60.60,$60.60,$1.90,$0.00,$0.00,$0.00,$0.00,$32.00,$305.50,$244.90,109,
2,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Long,1,30789.75,30880.50,6/22/2026 6:45:05 AM,6/22/2026 7:17:05 AM,Long,X_RTriggerReversal,$179.60,$240.20,$1.90,$0.00,$0.00,$0.00,$0.00,$3.50,$356.00,$176.40,385,
3,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Short,1,30841.25,30719.75,6/22/2026 7:21:05 AM,6/22/2026 7:37:05 AM,Short,X_RTriggerReversal,$241.10,$481.30,$1.90,$0.00,$0.00,$0.00,$0.00,$54.00,$384.00,$142.90,193,
4,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Short,1,30720.00,30638.50,6/22/2026 7:38:05 AM,6/22/2026 7:59:05 AM,Short,X_RTriggerReversal,$161.10,$642.40,$1.90,$0.00,$0.00,$0.00,$0.00,$16.00,$350.00,$188.90,253,
5,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Short,1,30639.50,30660.00,6/22/2026 8:00:05 AM,6/22/2026 8:43:05 AM,Short,X_RTriggerReversal,($42.90),$599.50,$1.90,$0.00,$0.00,$0.00,$0.00,$80.50,$128.00,$170.90,517,
6,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Short,1,30658.25,30579.25,6/22/2026 8:44:05 AM,6/22/2026 9:15:05 AM,Short,X_RTriggerReversal,$156.10,$755.60,$1.90,$0.00,$0.00,$0.00,$0.00,$32.00,$311.00,$154.90,373,
7,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Long,1,30576.75,30538.25,6/22/2026 9:24:05 AM,6/22/2026 9:36:05 AM,Long,X_RTriggerReversal,($78.90),$676.70,$1.90,$0.00,$0.00,$0.00,$0.00,$87.50,$30.50,$109.40,145,
8,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Short,1,30548.75,30601.00,6/22/2026 9:40:05 AM,6/22/2026 10:21:05 AM,Short,X_RTriggerReversal,($106.40),$570.30,$1.90,$0.00,$0.00,$0.00,$0.00,$125.50,$52.50,$158.90,493,
9,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Long,1,30595.75,30582.75,6/22/2026 10:26:05 AM,6/22/2026 11:45:05 AM,Long,X_RTriggerReversal,($27.90),$542.40,$1.90,$0.00,$0.00,$0.00,$0.00,$74.50,$135.00,$162.90,949,
10,MNQ SEP26,Backtest,EnsembleRunner_v0.4-RC,Short,1,30567.00,30635.75,6/22/2026 11:57:05 AM,6/22/2026 12:51:05 PM,Short,X_RTriggerReversal,($139.40),$403.00,$1.90,$0.00,$0.00,$0.00,$0.00,$147.00,$66.00,$205.40,649,
