day,pivot_ts,pivot_bar,n_bars,entry_ts,entry_bar,dir,entry_px,exit_ts,exit_bar,exit_px,exit_reason,pnl_pts,pnl_usd,combiner_P
2026_06_22,,-136,136,1782135000,0,1,30892.75,1782135005,,30842.75,CAT_STOP,-50.0,-101.0,0.9725
2026_06_22,,-136,138,1782135120,2,1,30812.25,1782135180,3,30774.5,R_TRIGGER,-37.75,-76.5,0.7775
2026_06_22,1782135000.0,0,3,1782135180,3,-1,30774.5,1782135360,6,30824.5,CAT_STOP,-50.0,-101.0,0.9782
2026_06_22,1782135000.0,0,6,1782135360,6,-1,30859.5,1782135420,7,30890.25,R_TRIGGER,-30.75,-62.5,0.7845
2026_06_22,1782135240.0,4,5,1782135540,9,1,30920.5,1782135720,12,30870.5,CAT_STOP,-50.0,-101.0,0.9737
2026_06_22,1782135540.0,9,4,1782135780,13,1,30798.75,1782137760,46,30880.75,R_TRIGGER,82.0,163.0,0.7602
2026_06_22,1782137340.0,39,8,1782137820,47,-1,30855.0,1782138960,66,30718.5,R_TRIGGER,136.5,272.0,0.9744
2026_06_22,1782138780.0,63,3,1782138960,66,-1,30718.5,1782140280,88,30639.0,R_TRIGGER,79.5,158.0,0.7459
2026_06_22,1782140100.0,85,4,1782140340,89,1,30639.75,1782140820,97,30625.75,R_TRIGGER,-14.0,-29.0,0.8137
2026_06_22,1782140580.0,93,4,1782140820,97,-1,30625.75,1782142920,132,30660.25,R_TRIGGER,-34.5,-70.0,0.831
2026_06_22,1782142500.0,125,7,1782142920,132,1,30660.25,1782143340,139,30553.25,R_TRIGGER,-107.0,-215.0,0.9736
2026_06_22,1782143100.0,135,4,1782143340,139,-1,30553.25,1782143345,,30603.25,CAT_STOP,-50.0,-101.0,0.9836
2026_06_22,1782143100.0,135,5,1782143400,140,-1,30590.0,1782144840,164,30580.25,R_TRIGGER,9.75,18.5,0.8674
2026_06_22,1782144180.0,153,17,1782145200,170,1,30609.0,1782145620,177,30559.0,CAT_STOP,-50.0,-101.0,0.9727
2026_06_22,1782144180.0,153,28,1782145860,181,1,30583.25,1782146100,185,30538.75,R_TRIGGER,-44.5,-90.0,0.7696
2026_06_22,1782145260.0,171,14,1782146100,185,1,30538.75,1782153840,314,30582.0,R_TRIGGER,43.25,85.5,0.7518
2026_06_22,1782152400.0,290,24,1782153840,314,-1,30582.0,1782157800,380,30635.75,R_TRIGGER,-53.75,-108.5,0.7705
2026_06_22,1782155280.0,338,45,1782157980,383,1,30640.25,1782159300,405,30652.5,SESSION_CLOSE,12.25,23.5,0.748
2026_06_23,,-88,88,1782221400,0,-1,29659.25,1782221515,,29709.25,CAT_STOP,-50.0,-101.0,0.8359
2026_06_23,,-88,90,1782221520,2,1,29751.0,1782221815,,29701.0,CAT_STOP,-50.0,-101.0,0.9903
