template_id,direction,entry_price,entry_time,entry_depth,oracle_label,oracle_label_name,pattern_dna,dna_expectancy,oracle_mfe,oracle_mae,long_bias,short_bias,dmi_diff,belief_active_levels,belief_conviction,wave_maturity,decision_wave_maturity,entry_workers,entry_tp_ticks,entry_sl_ticks,entry_trail_ticks,entry_trail_act,exit_price,exit_time,hold_bars,exit_reason,actual_pnl,oracle_potential_pnl,capture_rate,result,exit_workers,exit_conviction,exit_wave_maturity,exit_signal_reason
50008,SHORT,21111.5,1738568700,5,2,MEGA_LONG,S|1h:1|30m:0|15m:0|5m:0,-1166.5285714285728,113.75,28.25,0.0,1.0,26.81,10,0.6464,0.1172,0.0577,"{""1h"": {""d"": 0.896, ""c"": 0.792, ""m"": 0.216, ""mfe"": 195.6}, ""30m"": {""d"": 0.409, ""c"": 0.183, ""m"": 0.039, ""mfe"": 195.6}, ""15m"": {""d"": 0.781, ""c"": 0.562, ""m"": 0.146, ""mfe"": 195.6}, ""5m"": {""d"": 0.61, ""c"": 0.219, ""m"": 0.058, ""mfe"": 195.6}, ""3m"": {""d"": 0.727, ""c"": 0.454, ""m"": 0.135, ""mfe"": 195.6}, ""1m"": {""d"": 0.473, ""c"": 0.054, ""m"": 0.017, ""mfe"": -1722.6}, ""30s"": {""d"": 0.704, ""c"": 0.407, ""m"": 0.153, ""mfe"": 195.6}, ""15s"": {""d"": 0.673, ""c"": 0.345, ""m"": 0.144, ""mfe"": 469.5}, ""5s"": {""d"": 0.708, ""c"": 0.416, ""m"": 0.177, ""mfe"": 3100.4}, ""1s"": {""d"": 0.537, ""c"": 0.074, ""m"": 0.03, ""mfe"": 195.6}}",783,1959,247,392,21192.0,1738576275,505,belief_flip,-161.0,56.5,-2.8496,LOSS,"{""1h"": {""d"": 0.762, ""c"": 0.523, ""m"": 0.116, ""mfe"": 195.6}, ""30m"": {""d"": 0.644, ""c"": 0.288, ""m"": 0.063, ""mfe"": 195.6}, ""15m"": {""d"": 0.89, ""c"": 0.779, ""m"": 0.239, ""mfe"": 2803.7}, ""5m"": {""d"": 0.831, ""c"": 0.662, ""m"": 0.206, ""mfe"": 1841.4}, ""3m"": {""d"": 0.709, ""c"": 0.419, ""m"": 0.123, ""mfe"": 195.6}, ""1m"": {""d"": 0.459, ""c"": 0.081, ""m"": 0.026, ""mfe"": 676.7}, ""30s"": {""d"": 0.665, ""c"": 0.33, ""m"": 0.122, ""mfe"": 195.6}, ""15s"": {""d"": 0.408, ""c"": 0.185, ""m"": 0.075, ""mfe"": 285.0}, ""5s"": {""d"": 0.58, ""c"": 0.159, ""m"": 0.064, ""mfe"": 195.6}, ""1s"": {""d"": 0.585, ""c"": 0.17, ""m"": 0.069, ""mfe"": -1643.6}}",0.7077982730508958,0.20592933410806266,aligned_fresh
0,LONG,21213.75,1738585800,3,2,MEGA_LONG,L|1h:2|30m:0,893.4607843137248,514.75,66.0,1.0,0.0,-0.46,10,0.5793,0.0523,0.0022,"{""1h"": {""d"": 0.647, ""c"": 0.293, ""m"": 0.06, ""mfe"": 195.6}, ""30m"": {""d"": 0.546, ""c"": 0.092, ""m"": 0.02, ""mfe"": 195.6}, ""15m"": {""d"": 0.741, ""c"": 0.481, ""m"": 0.12, ""mfe"": 195.6}, ""5m"": {""d"": 0.496, ""c"": 0.009, ""m"": 0.002, ""mfe"": 195.6}, ""3m"": {""d"": 0.611, ""c"": 0.221, ""m"": 0.062, ""mfe"": 195.6}, ""1m"": {""d"": 0.506, ""c"": 0.011, ""m"": 0.004, ""mfe"": 195.6}, ""30s"": {""d"": 0.488, ""c"": 0.023, ""m"": 0.008, ""mfe"": 195.6}, ""15s"": {""d"": 0.635, ""c"": 0.27, ""m"": 0.111, ""mfe"": -364.6}, ""5s"": {""d"": 0.179, ""c"": 0.643, ""m"": 0.3, ""mfe"": 4178.9}, ""1s"": {""d"": 0.314, ""c"": 0.371, ""m"": 0.156, ""mfe"": 971.5}}",783,630,1271,126,21421.25,1738597290,766,profit_target,415.0,1029.5,0.4031,WIN,"{""1h"": {""d"": 0.383, ""c"": 0.235, ""m"": 0.048, ""mfe"": 195.6}, ""30m"": {""d"": 0.822, ""c"": 0.644, ""m"": 0.163, ""mfe"": 195.6}, ""15m"": {""d"": 0.813, ""c"": 0.626, ""m"": 0.168, ""mfe"": 195.6}, ""5m"": {""d"": 0.651, ""c"": 0.302, ""m"": 0.081, ""mfe"": 195.6}, ""3m"": {""d"": 0.396, ""c"": 0.208, ""m"": 0.058, ""mfe"": 195.6}, ""1m"": {""d"": 0.51, ""c"": 0.02, ""m"": 0.006, ""mfe"": 195.6}, ""30s"": {""d"": 0.525, ""c"": 0.051, ""m"": 0.018, ""mfe"": 195.6}, ""15s"": {""d"": 0.458, ""c"": 0.085, ""m"": 0.034, ""mfe"": 493.5}, ""5s"": {""d"": 0.365, ""c"": 0.27, ""m"": 0.111, ""mfe"": 195.6}, ""1s"": {""d"": 0.233, ""c"": 0.535, ""m"": 0.239, ""mfe"": 7184.2}}",0.5637818933293638,0.0807268238522476,aligned_fresh
50010,SHORT,21404.25,1738598880,11,0,NOISE,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,-1166.5285714285712,39.5,39.75,0.0,1.0,22.99,10,0.4906,0.1462,0.1803,"{""1h"": {""d"": 0.109, ""c"": 0.781, ""m"": 0.21, ""mfe"": 195.6}, ""30m"": {""d"": 0.81, ""c"": 0.62, ""m"": 0.155, ""mfe"": 195.6}, ""15m"": {""d"": 0.328, ""c"": 0.343, ""m"": 0.082, ""mfe"": 195.6}, ""5m"": {""d"": 0.199, ""c"": 0.603, ""m"": 0.18, ""mfe"": -204.3}, ""3m"": {""d"": 0.672, ""c"": 0.345, ""m"": 0.099, ""mfe"": 195.6}, ""1m"": {""d"": 0.722, ""c"": 0.444, ""m"": 0.152, ""mfe"": 195.6}, ""30s"": {""d"": 0.367, ""c"": 0.266, ""m"": 0.097, ""mfe"": 1829.1}, ""15s"": {""d"": 0.438, ""c"": 0.124, ""m"": 0.05, ""mfe"": 1308.7}, ""5s"": {""d"": 0.248, ""c"": 0.504, ""m"": 0.222, ""mfe"": 8069.3}, ""1s"": {""d"": 0.521, ""c"": 0.042, ""m"": 0.017, ""mfe"": 655.6}}",226,504,728,101,21341.25,1738645530,3110,profit_target,126.0,79.5,1.5849,WIN,"{""1h"": {""d"": 0.814, ""c"": 0.627, ""m"": 0.147, ""mfe"": 195.6}, ""30m"": {""d"": 0.148, ""c"": 0.703, ""m"": 0.187, ""mfe"": 939.3}, ""15m"": {""d"": 0.466, ""c"": 0.068, ""m"": 0.016, ""mfe"": 5559.4}, ""5m"": {""d"": 0.44, ""c"": 0.12, ""m"": 0.031, ""mfe"": 195.6}, ""3m"": {""d"": 0.626, ""c"": 0.251, ""m"": 0.071, ""mfe"": 195.6}, ""1m"": {""d"": 0.429, ""c"": 0.143, ""m"": 0.046, ""mfe"": 195.6}, ""30s"": {""d"": 0.34, ""c"": 0.321, ""m"": 0.118, ""mfe"": 195.6}, ""15s"": {""d"": 0.471, ""c"": 0.058, ""m"": 0.023, ""mfe"": 1882.6}, ""5s"": {""d"": 0.413, ""c"": 0.174, ""m"": 0.07, ""mfe"": 195.6}, ""1s"": {""d"": 0.729, ""c"": 0.459, ""m"": 0.198, ""mfe"": 5721.1}}",0.45582418819693593,0.031262521503463966,aligned_fresh
50010,SHORT,21371.5,1738648200,9,2,MEGA_LONG,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,-1166.528571428572,204.75,48.0,0.0,1.0,26.31,10,0.4827,0.1158,0.0349,"{""1h"": {""d"": 0.814, ""c"": 0.627, ""m"": 0.147, ""mfe"": 195.6}, ""30m"": {""d"": 0.147, ""c"": 0.705, ""m"": 0.187, ""mfe"": -1056.1}, ""15m"": {""d"": 0.366, ""c"": 0.269, ""m"": 0.063, ""mfe"": 195.6}, ""5m"": {""d"": 0.433, ""c"": 0.134, ""m"": 0.035, ""mfe"": 195.6}, ""3m"": {""d"": 0.193, ""c"": 0.613, ""m"": 0.197, ""mfe"": 4042.2}, ""1m"": {""d"": 0.499, ""c"": 0.003, ""m"": 0.001, ""mfe"": 195.6}, ""30s"": {""d"": 0.654, ""c"": 0.309, ""m"": 0.113, ""mfe"": 195.6}, ""15s"": {""d"": 0.658, ""c"": 0.315, ""m"": 0.131, ""mfe"": -511.8}, ""5s"": {""d"": 0.414, ""c"": 0.173, ""m"": 0.07, ""mfe"": 195.6}, ""1s"": {""d"": 0.649, ""c"": 0.298, ""m"": 0.123, ""mfe"": 195.6}}",783,504,728,101,21412.5,1738669830,1442,belief_flip,-82.0,96.0,-0.8542,LOSS,"{""1h"": {""d"": 0.776, ""c"": 0.552, ""m"": 0.124, ""mfe"": 195.6}, ""30m"": {""d"": 0.769, ""c"": 0.539, ""m"": 0.129, ""mfe"": 195.6}, ""15m"": {""d"": 0.682, ""c"": 0.365, ""m"": 0.088, ""mfe"": -6198.3}, ""5m"": {""d"": 0.787, ""c"": 0.573, ""m"": 0.169, ""mfe"": -940.3}, ""3m"": {""d"": 0.79, ""c"": 0.58, ""m"": 0.182, ""mfe"": 1526.4}, ""1m"": {""d"": 0.412, ""c"": 0.176, ""m"": 0.057, ""mfe"": 195.6}, ""30s"": {""d"": 0.663, ""c"": 0.325, ""m"": 0.12, ""mfe"": 195.6}, ""15s"": {""d"": 0.642, ""c"": 0.285, ""m"": 0.117, ""mfe"": -573.4}, ""5s"": {""d"": 0.653, ""c"": 0.307, ""m"": 0.127, ""mfe"": 2818.6}, ""1s"": {""d"": 0.708, ""c"": 0.415, ""m"": 0.177, ""mfe"": 195.6}}",0.7111752776421139,0.1687034933856382,aligned_fresh
50000,SHORT,21433.5,1738677600,2,2,MEGA_LONG,S|1h:2,-420.64354900735475,134.25,9.75,0.0,1.0,7.13,10,0.4901,0.0661,0.0432,"{""1h"": {""d"": 0.37, ""c"": 0.26, ""m"": 0.053, ""mfe"": 195.6}, ""30m"": {""d"": 0.53, ""c"": 0.061, ""m"": 0.013, ""mfe"": 195.6}, ""15m"": {""d"": 0.549, ""c"": 0.099, ""m"": 0.023, ""mfe"": 195.6}, ""5m"": {""d"": 0.583, ""c"": 0.166, ""m"": 0.043, ""mfe"": 195.6}, ""3m"": {""d"": 0.336, ""c"": 0.328, ""m"": 0.094, ""mfe"": 195.6}, ""1m"": {""d"": 0.836, ""c"": 0.672, ""m"": 0.26, ""mfe"": 4228.5}, ""30s"": {""d"": 0.388, ""c"": 0.224, ""m"": 0.081, ""mfe"": -4739.6}, ""15s"": {""d"": 0.72, ""c"": 0.44, ""m"": 0.189, ""mfe"": 868.5}, ""5s"": {""d"": 0.557, ""c"": 0.115, ""m"": 0.046, ""mfe"": 179.9}, ""1s"": {""d"": 0.664, ""c"": 0.328, ""m"": 0.136, ""mfe"": 195.6}}",783,5408,6845,1082,21501.0,1738761435,5589,belief_flip,-135.0,19.5,-6.9231,LOSS,"{""1h"": {""d"": 0.893, ""c"": 0.786, ""m"": 0.212, ""mfe"": 195.6}, ""30m"": {""d"": 0.796, ""c"": 0.592, ""m"": 0.145, ""mfe"": 195.6}, ""15m"": {""d"": 0.786, ""c"": 0.571, ""m"": 0.149, ""mfe"": -2845.5}, ""5m"": {""d"": 0.745, ""c"": 0.49, ""m"": 0.139, ""mfe"": 195.6}, ""3m"": {""d"": 0.586, ""c"": 0.173, ""m"": 0.048, ""mfe"": 195.6}, ""1m"": {""d"": 0.362, ""c"": 0.276, ""m"": 0.091, ""mfe"": 195.6}, ""30s"": {""d"": 0.706, ""c"": 0.412, ""m"": 0.155, ""mfe"": -2233.7}, ""15s"": {""d"": 0.69, ""c"": 0.379, ""m"": 0.16, ""mfe"": 372.0}, ""5s"": {""d"": 0.631, ""c"": 0.262, ""m"": 0.107, ""mfe"": -6049.5}, ""1s"": {""d"": 0.422, ""c"": 0.157, ""m"": 0.063, ""mfe"": 195.6}}",0.7195650885446916,0.13853587370872866,aligned_fresh
50000,SHORT,21530.25,1738764000,2,2,MEGA_LONG,S|1h:2,-420.64354900735475,229.75,64.25,0.0,1.0,4.69,10,0.5698,0.115,0.0783,"{""1h"": {""d"": 0.893, ""c"": 0.786, ""m"": 0.212, ""mfe"": 195.6}, ""30m"": {""d"": 0.779, ""c"": 0.558, ""m"": 0.135, ""mfe"": 195.6}, ""15m"": {""d"": 0.644, ""c"": 0.288, ""m"": 0.068, ""mfe"": 195.6}, ""5m"": {""d"": 0.353, ""c"": 0.294, ""m"": 0.078, ""mfe"": -3451.8}, ""3m"": {""d"": 0.379, ""c"": 0.242, ""m"": 0.068, ""mfe"": -4375.5}, ""1m"": {""d"": 0.501, ""c"": 0.003, ""m"": 0.001, ""mfe"": 195.6}, ""30s"": {""d"": 0.303, ""c"": 0.395, ""m"": 0.148, ""mfe"": 195.6}, ""15s"": {""d"": 0.325, ""c"": 0.35, ""m"": 0.146, ""mfe"": -236.3}, ""5s"": {""d"": 0.344, ""c"": 0.313, ""m"": 0.13, ""mfe"": 195.6}, ""1s"": {""d"": 0.491, ""c"": 0.017, ""m"": 0.007, ""mfe"": 195.6}}",843,5408,6845,1082,21534.25,1738764840,56,belief_flip,-8.0,128.5,-0.0623,LOSS,"{""1h"": {""d"": 0.764, ""c"": 0.528, ""m"": 0.118, ""mfe"": 195.6}, ""30m"": {""d"": 0.801, ""c"": 0.603, ""m"": 0.149, ""mfe"": 195.6}, ""15m"": {""d"": 0.736, ""c"": 0.472, ""m"": 0.117, ""mfe"": 195.6}, ""5m"": {""d"": 0.448, ""c"": 0.104, ""m"": 0.027, ""mfe"": 195.6}, ""3m"": {""d"": 0.859, ""c"": 0.717, ""m"": 0.248, ""mfe"": 3997.8}, ""1m"": {""d"": 0.749, ""c"": 0.497, ""m"": 0.174, ""mfe"": 610.1}, ""30s"": {""d"": 0.495, ""c"": 0.011, ""m"": 0.004, ""mfe"": 195.6}, ""15s"": {""d"": 0.703, ""c"": 0.406, ""m"": 0.172, ""mfe"": 902.9}, ""5s"": {""d"": 0.784, ""c"": 0.568, ""m"": 0.258, ""mfe"": 195.6}, ""1s"": {""d"": 0.696, ""c"": 0.392, ""m"": 0.166, ""mfe"": 4482.0}}",0.7019115820497808,0.027033566898080938,urgent_flip
50012,SHORT,21553.75,1738765800,9,1,SCALP_LONG,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,-1166.528571428572,69.0,43.75,0.0,1.0,51.87,10,0.5736,0.124,0.0264,"{""1h"": {""d"": 0.764, ""c"": 0.528, ""m"": 0.118, ""mfe"": 195.6}, ""30m"": {""d"": 0.801, ""c"": 0.603, ""m"": 0.149, ""mfe"": 195.6}, ""15m"": {""d"": 0.761, ""c"": 0.522, ""m"": 0.133, ""mfe"": 195.6}, ""5m"": {""d"": 0.449, ""c"": 0.102, ""m"": 0.026, ""mfe"": 195.6}, ""3m"": {""d"": 0.67, ""c"": 0.34, ""m"": 0.097, ""mfe"": 411.6}, ""1m"": {""d"": 0.191, ""c"": 0.619, ""m"": 0.231, ""mfe"": 938.5}, ""30s"": {""d"": 0.226, ""c"": 0.547, ""m"": 0.218, ""mfe"": 3419.6}, ""15s"": {""d"": 0.438, ""c"": 0.124, ""m"": 0.05, ""mfe"": -316.3}, ""5s"": {""d"": 0.385, ""c"": 0.231, ""m"": 0.094, ""mfe"": 195.6}, ""1s"": {""d"": 0.354, ""c"": 0.292, ""m"": 0.12, ""mfe"": 195.6}}",783,417,726,83,21688.25,1738774230,562,trail_stop,-269.0,87.5,-3.0743,LOSS,"{""1h"": {""d"": 0.568, ""c"": 0.136, ""m"": 0.027, ""mfe"": 195.6}, ""30m"": {""d"": 0.636, ""c"": 0.272, ""m"": 0.059, ""mfe"": 195.6}, ""15m"": {""d"": 0.353, ""c"": 0.294, ""m"": 0.069, ""mfe"": 195.6}, ""5m"": {""d"": 0.637, ""c"": 0.274, ""m"": 0.073, ""mfe"": 195.6}, ""3m"": {""d"": 0.687, ""c"": 0.374, ""m"": 0.108, ""mfe"": 195.6}, ""1m"": {""d"": 0.65, ""c"": 0.3, ""m"": 0.099, ""mfe"": 195.6}, ""30s"": {""d"": 0.39, ""c"": 0.219, ""m"": 0.079, ""mfe"": 195.6}, ""15s"": {""d"": 0.472, ""c"": 0.056, ""m"": 0.022, ""mfe"": 765.9}, ""5s"": {""d"": 0.311, ""c"": 0.377, ""m"": 0.159, ""mfe"": 3436.5}, ""1s"": {""d"": 0.398, ""c"": 0.203, ""m"": 0.082, ""mfe"": 195.6}}",0.5432851978338359,0.07263658817946383,neutral
50001,SHORT,21714.0,1738782300,5,2,MEGA_LONG,S|1h:1|30m:0|15m:0|5m:0,-1166.5285714285728,102.25,23.5,0.0,1.0,11.14,10,0.6002,0.0723,0.0967,"{""1h"": {""d"": 0.634, ""c"": 0.268, ""m"": 0.055, ""mfe"": 195.6}, ""30m"": {""d"": 0.436, ""c"": 0.128, ""m"": 0.027, ""mfe"": 195.6}, ""15m"": {""d"": 0.613, ""c"": 0.227, ""m"": 0.053, ""mfe"": 195.6}, ""5m"": {""d"": 0.679, ""c"": 0.357, ""m"": 0.097, ""mfe"": 195.6}, ""3m"": {""d"": 0.636, ""c"": 0.272, ""m"": 0.077, ""mfe"": 195.6}, ""1m"": {""d"": 0.778, ""c"": 0.557, ""m"": 0.201, ""mfe"": 3533.2}, ""30s"": {""d"": 0.587, ""c"": 0.175, ""m"": 0.063, ""mfe"": 195.6}, ""15s"": {""d"": 0.645, ""c"": 0.291, ""m"": 0.12, ""mfe"": -1525.4}, ""5s"": {""d"": 0.619, ""c"": 0.239, ""m"": 0.097, ""mfe"": -1573.9}, ""1s"": {""d"": 0.601, ""c"": 0.202, ""m"": 0.082, ""mfe"": 195.6}}",783,3612,534,722,21790.5,1738863630,5422,belief_flip,-153.0,47.0,-3.2553,LOSS,"{""1h"": {""d"": 0.955, ""c"": 0.91, ""m"": 0.3, ""mfe"": 3661.5}, ""30m"": {""d"": 0.759, ""c"": 0.518, ""m"": 0.122, ""mfe"": 195.6}, ""15m"": {""d"": 0.392, ""c"": 0.216, ""m"": 0.05, ""mfe"": 195.6}, ""5m"": {""d"": 0.797, ""c"": 0.594, ""m"": 0.177, ""mfe"": 195.6}, ""3m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.107, ""mfe"": 195.6}, ""1m"": {""d"": 0.797, ""c"": 0.593, ""m"": 0.218, ""mfe"": 4099.7}, ""30s"": {""d"": 0.599, ""c"": 0.197, ""m"": 0.071, ""mfe"": 195.6}, ""15s"": {""d"": 0.718, ""c"": 0.436, ""m"": 0.187, ""mfe"": 2560.4}, ""5s"": {""d"": 0.602, ""c"": 0.203, ""m"": 0.083, ""mfe"": -557.5}, ""1s"": {""d"": 0.549, ""c"": 0.098, ""m"": 0.039, ""mfe"": 900.1}}",0.7020404939802694,0.1768253079301451,aligned_fresh
1,LONG,21790.0,1738870200,5,2,MEGA_LONG,L|1h:2|30m:0|15m:0|5m:0,893.460784313725,150.75,8.0,1.0,0.0,-19.66,10,0.5793,0.1329,0.1262,"{""1h"": {""d"": 0.947, ""c"": 0.895, ""m"": 0.289, ""mfe"": 3128.6}, ""30m"": {""d"": 0.785, ""c"": 0.571, ""m"": 0.139, ""mfe"": 195.6}, ""15m"": {""d"": 0.541, ""c"": 0.082, ""m"": 0.019, ""mfe"": 195.6}, ""5m"": {""d"": 0.274, ""c"": 0.453, ""m"": 0.126, ""mfe"": 195.6}, ""3m"": {""d"": 0.41, ""c"": 0.18, ""m"": 0.05, ""mfe"": 195.6}, ""1m"": {""d"": 0.709, ""c"": 0.419, ""m"": 0.143, ""mfe"": 195.6}, ""30s"": {""d"": 0.472, ""c"": 0.057, ""m"": 0.02, ""mfe"": 195.6}, ""15s"": {""d"": 0.353, ""c"": 0.295, ""m"": 0.121, ""mfe"": 78.1}, ""5s"": {""d"": 0.377, ""c"": 0.246, ""m"": 0.1, ""mfe"": -2701.3}, ""1s"": {""d"": 0.549, ""c"": 0.099, ""m"": 0.04, ""mfe"": 1952.5}}",783,111,886,22,21754.0,1738870305,7,trail_stop,-72.0,301.5,-0.2388,LOSS,"{""1h"": {""d"": 0.867, ""c"": 0.734, ""m"": 0.188, ""mfe"": -606.3}, ""30m"": {""d"": 0.635, ""c"": 0.271, ""m"": 0.059, ""mfe"": 195.6}, ""15m"": {""d"": 0.643, ""c"": 0.287, ""m"": 0.068, ""mfe"": 195.6}, ""5m"": {""d"": 0.252, ""c"": 0.495, ""m"": 0.14, ""mfe"": 195.6}, ""3m"": {""d"": 0.339, ""c"": 0.323, ""m"": 0.092, ""mfe"": 195.6}, ""1m"": {""d"": 0.661, ""c"": 0.321, ""m"": 0.106, ""mfe"": -2422.3}, ""30s"": {""d"": 0.764, ""c"": 0.528, ""m"": 0.209, ""mfe"": 195.6}, ""15s"": {""d"": 0.482, ""c"": 0.036, ""m"": 0.014, ""mfe"": 1853.7}, ""5s"": {""d"": 0.649, ""c"": 0.297, ""m"": 0.123, ""mfe"": -1692.7}, ""1s"": {""d"": 0.404, ""c"": 0.192, ""m"": 0.078, ""mfe"": -1215.2}}",0.562943519868211,0.14042478558061824,aligned_fresh
50008,SHORT,21751.0,1738871280,6,2,MEGA_LONG,S|1h:1|30m:0|15m:0|5m:0|3m:0,-1166.5285714285726,116.0,31.0,0.0,1.0,1.03,10,0.5333,0.0848,0.0092,"{""1h"": {""d"": 0.867, ""c"": 0.734, ""m"": 0.188, ""mfe"": -606.3}, ""30m"": {""d"": 0.635, ""c"": 0.271, ""m"": 0.059, ""mfe"": 195.6}, ""15m"": {""d"": 0.483, ""c"": 0.033, ""m"": 0.008, ""mfe"": 195.6}, ""5m"": {""d"": 0.482, ""c"": 0.035, ""m"": 0.009, ""mfe"": 195.6}, ""3m"": {""d"": 0.266, ""c"": 0.467, ""m"": 0.139, ""mfe"": 195.6}, ""1m"": {""d"": 0.326, ""c"": 0.348, ""m"": 0.116, ""mfe"": -2020.8}, ""30s"": {""d"": 0.568, ""c"": 0.135, ""m"": 0.048, ""mfe"": 195.6}, ""15s"": {""d"": 0.605, ""c"": 0.21, ""m"": 0.085, ""mfe"": 709.9}, ""5s"": {""d"": 0.535, ""c"": 0.07, ""m"": 0.028, ""mfe"": 2417.5}, ""1s"": {""d"": 0.482, ""c"": 0.037, ""m"": 0.015, ""mfe"": 195.6}}",783,1959,247,392,21763.75,1738941735,4697,trail_stop,-25.5,62.0,-0.4113,LOSS,"{""1h"": {""d"": 0.423, ""c"": 0.155, ""m"": 0.031, ""mfe"": 195.6}, ""30m"": {""d"": 0.273, ""c"": 0.453, ""m"": 0.104, ""mfe"": 195.6}, ""15m"": {""d"": 0.401, ""c"": 0.199, ""m"": 0.046, ""mfe"": 195.6}, ""5m"": {""d"": 0.423, ""c"": 0.154, ""m"": 0.04, ""mfe"": 195.6}, ""3m"": {""d"": 0.333, ""c"": 0.334, ""m"": 0.096, ""mfe"": 195.6}, ""1m"": {""d"": 0.531, ""c"": 0.062, ""m"": 0.02, ""mfe"": 195.6}, ""30s"": {""d"": 0.7, ""c"": 0.4, ""m"": 0.15, ""mfe"": 195.6}, ""15s"": {""d"": 0.384, ""c"": 0.231, ""m"": 0.094, ""mfe"": -517.5}, ""5s"": {""d"": 0.729, ""c"": 0.458, ""m"": 0.198, ""mfe"": 4553.8}, ""1s"": {""d"": 0.353, ""c"": 0.294, ""m"": 0.121, ""mfe"": -2463.7}}",0.5802314344387807,0.040178109603566055,aligned_fresh
