template_id,direction,entry_price,entry_time,entry_depth,oracle_label,oracle_label_name,pattern_dna,dna_expectancy,oracle_mfe,oracle_mae,oracle_mfe_bar,oracle_lookahead,long_bias,short_bias,dmi_diff,belief_active_levels,belief_conviction,wave_maturity,decision_wave_maturity,entry_workers,entry_tp_ticks,entry_sl_ticks,entry_trail_ticks,entry_trail_act,exit_price,exit_time,hold_bars,exit_reason,actual_pnl,oracle_potential_pnl,capture_rate,result,exit_workers,exit_conviction,exit_wave_maturity,exit_signal_reason
0,SHORT,20973.5,1740986100,4,1,SCALP_LONG,L|1h:2|30m:0|15m:0,893.4607843137248,101.25,41.5,15,16,1.0,0.0,-4.26,10,0.4819,0.1209,0.0586,"{""1h"": {""d"": 0.192, ""c"": 0.617, ""m"": 0.144, ""mfe"": -4773.4}, ""30m"": {""d"": 0.742, ""c"": 0.484, ""m"": 0.113, ""mfe"": 195.6}, ""15m"": {""d"": 0.325, ""c"": 0.351, ""m"": 0.084, ""mfe"": 195.6}, ""5m"": {""d"": 0.389, ""c"": 0.223, ""m"": 0.059, ""mfe"": 195.6}, ""3m"": {""d"": 0.765, ""c"": 0.529, ""m"": 0.162, ""mfe"": 195.6}, ""1m"": {""d"": 0.232, ""c"": 0.535, ""m"": 0.191, ""mfe"": 7903.3}, ""30s"": {""d"": 0.753, ""c"": 0.506, ""m"": 0.198, ""mfe"": 195.6}, ""15s"": {""d"": 0.497, ""c"": 0.006, ""m"": 0.003, ""mfe"": 1016.2}, ""5s"": {""d"": 0.689, ""c"": 0.377, ""m"": 0.159, ""mfe"": 1037.4}, ""1s"": {""d"": 0.504, ""c"": 0.009, ""m"": 0.003, ""mfe"": 3512.5}}",783,630,1271,126,20770.0,1741014000,1860,profit_target,407.0,83.0,4.9036,WIN,"{""1h"": {""d"": 0.664, ""c"": 0.327, ""m"": 0.068, ""mfe"": -7110.6}, ""30m"": {""d"": 0.246, ""c"": 0.507, ""m"": 0.119, ""mfe"": 195.6}, ""15m"": {""d"": 0.866, ""c"": 0.733, ""m"": 0.214, ""mfe"": 1806.4}, ""5m"": {""d"": 0.73, ""c"": 0.461, ""m"": 0.129, ""mfe"": 195.6}, ""3m"": {""d"": 0.688, ""c"": 0.375, ""m"": 0.109, ""mfe"": 195.6}, ""1m"": {""d"": 0.612, ""c"": 0.224, ""m"": 0.073, ""mfe"": 195.6}, ""30s"": {""d"": 0.566, ""c"": 0.132, ""m"": 0.047, ""mfe"": 195.6}, ""15s"": {""d"": 0.625, ""c"": 0.249, ""m"": 0.102, ""mfe"": -75.5}, ""5s"": {""d"": 0.414, ""c"": 0.171, ""m"": 0.069, ""mfe"": 2640.1}, ""1s"": {""d"": 0.497, ""c"": 0.006, ""m"": 0.002, ""mfe"": 195.6}}",0.5692606131643259,0.12884439729636635,aligned_fresh
0,LONG,20770.0,1741014000,4,0,NOISE,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,893.4607843137248,158.25,177.75,1,16,1.0,0.0,-27.92,10,0.5693,0.1142,0.1288,"{""1h"": {""d"": 0.664, ""c"": 0.327, ""m"": 0.068, ""mfe"": -7110.6}, ""30m"": {""d"": 0.246, ""c"": 0.507, ""m"": 0.119, ""mfe"": 195.6}, ""15m"": {""d"": 0.866, ""c"": 0.733, ""m"": 0.214, ""mfe"": 1806.4}, ""5m"": {""d"": 0.73, ""c"": 0.461, ""m"": 0.129, ""mfe"": 195.6}, ""3m"": {""d"": 0.688, ""c"": 0.375, ""m"": 0.109, ""mfe"": 195.6}, ""1m"": {""d"": 0.612, ""c"": 0.224, ""m"": 0.073, ""mfe"": 195.6}, ""30s"": {""d"": 0.566, ""c"": 0.132, ""m"": 0.047, ""mfe"": 195.6}, ""15s"": {""d"": 0.625, ""c"": 0.249, ""m"": 0.102, ""mfe"": -75.5}, ""5s"": {""d"": 0.414, ""c"": 0.171, ""m"": 0.069, ""mfe"": 2640.1}, ""1s"": {""d"": 0.497, ""c"": 0.006, ""m"": 0.002, ""mfe"": 195.6}}",783,630,1271,126,20977.5,1741015800,120,profit_target,415.0,316.5,1.3112,WIN,"{""1h"": {""d"": 0.612, ""c"": 0.223, ""m"": 0.045, ""mfe"": -1819.5}, ""30m"": {""d"": 0.253, ""c"": 0.493, ""m"": 0.115, ""mfe"": -4624.7}, ""15m"": {""d"": 0.808, ""c"": 0.616, ""m"": 0.164, ""mfe"": -1317.1}, ""5m"": {""d"": 0.315, ""c"": 0.37, ""m"": 0.1, ""mfe"": 195.6}, ""3m"": {""d"": 0.58, ""c"": 0.16, ""m"": 0.044, ""mfe"": 195.6}, ""1m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.124, ""mfe"": 195.6}, ""30s"": {""d"": 0.657, ""c"": 0.315, ""m"": 0.116, ""mfe"": 195.6}, ""15s"": {""d"": 0.531, ""c"": 0.063, ""m"": 0.025, ""mfe"": 1222.3}, ""5s"": {""d"": 0.551, ""c"": 0.102, ""m"": 0.041, ""mfe"": -837.4}, ""1s"": {""d"": 0.757, ""c"": 0.515, ""m"": 0.228, ""mfe"": 5185.3}}",0.49586050901277395,0.10041685609128498,aligned_fresh
0,LONG,20977.5,1741015800,3,-2,MEGA_SHORT,L|1h:2|30m:0,893.4607843137248,127.0,782.75,44,60,1.0,0.0,-15.57,10,0.4959,0.0962,0.1004,"{""1h"": {""d"": 0.612, ""c"": 0.223, ""m"": 0.045, ""mfe"": -1819.5}, ""30m"": {""d"": 0.253, ""c"": 0.493, ""m"": 0.115, ""mfe"": -4624.7}, ""15m"": {""d"": 0.808, ""c"": 0.616, ""m"": 0.164, ""mfe"": -1317.1}, ""5m"": {""d"": 0.315, ""c"": 0.37, ""m"": 0.1, ""mfe"": 195.6}, ""3m"": {""d"": 0.58, ""c"": 0.16, ""m"": 0.044, ""mfe"": 195.6}, ""1m"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.124, ""mfe"": 195.6}, ""30s"": {""d"": 0.657, ""c"": 0.315, ""m"": 0.116, ""mfe"": 195.6}, ""15s"": {""d"": 0.531, ""c"": 0.063, ""m"": 0.025, ""mfe"": 1222.3}, ""5s"": {""d"": 0.551, ""c"": 0.102, ""m"": 0.041, ""mfe"": -837.4}, ""1s"": {""d"": 0.757, ""c"": 0.515, ""m"": 0.228, ""mfe"": 5185.3}}",783,630,1271,126,20820.0,1741025085,619,trail_stop,-315.0,254.0,-1.2402,LOSS,"{""1h"": {""d"": 0.559, ""c"": 0.119, ""m"": 0.024, ""mfe"": 195.6}, ""30m"": {""d"": 0.351, ""c"": 0.298, ""m"": 0.066, ""mfe"": -3866.1}, ""15m"": {""d"": 0.336, ""c"": 0.328, ""m"": 0.078, ""mfe"": 195.6}, ""5m"": {""d"": 0.69, ""c"": 0.38, ""m"": 0.103, ""mfe"": 195.6}, ""3m"": {""d"": 0.316, ""c"": 0.368, ""m"": 0.106, ""mfe"": 195.6}, ""1m"": {""d"": 0.392, ""c"": 0.216, ""m"": 0.07, ""mfe"": 195.6}, ""30s"": {""d"": 0.327, ""c"": 0.346, ""m"": 0.128, ""mfe"": 195.6}, ""15s"": {""d"": 0.633, ""c"": 0.265, ""m"": 0.109, ""mfe"": -854.3}, ""5s"": {""d"": 0.466, ""c"": 0.068, ""m"": 0.027, ""mfe"": 195.6}, ""1s"": {""d"": 0.479, ""c"": 0.041, ""m"": 0.017, ""mfe"": 195.6}}",0.532193183436056,0.10340875048649159,aligned_fresh
40,LONG,20557.25,1741032060,8,-2,MEGA_SHORT,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,893.4607843137251,13.5,186.75,31,60,1.0,0.0,-44.53,10,0.4834,0.0812,0.0221,"{""1h"": {""d"": 0.404, ""c"": 0.192, ""m"": 0.039, ""mfe"": -3882.5}, ""30m"": {""d"": 0.817, ""c"": 0.633, ""m"": 0.159, ""mfe"": -3717.9}, ""15m"": {""d"": 0.624, ""c"": 0.248, ""m"": 0.058, ""mfe"": 195.6}, ""5m"": {""d"": 0.457, ""c"": 0.085, ""m"": 0.022, ""mfe"": 195.6}, ""3m"": {""d"": 0.191, ""c"": 0.618, ""m"": 0.199, ""mfe"": 195.6}, ""1m"": {""d"": 0.463, ""c"": 0.074, ""m"": 0.024, ""mfe"": 195.6}, ""30s"": {""d"": 0.535, ""c"": 0.07, ""m"": 0.025, ""mfe"": 195.6}, ""15s"": {""d"": 0.43, ""c"": 0.139, ""m"": 0.056, ""mfe"": 125.4}, ""5s"": {""d"": 0.745, ""c"": 0.49, ""m"": 0.215, ""mfe"": 5426.4}, ""1s"": {""d"": 0.609, ""c"": 0.218, ""m"": 0.089, ""mfe"": 195.6}}",783,1024,1348,205,20293.0,1741093470,4094,trail_stop,-528.5,27.0,-19.5741,LOSS,"{""1h"": {""d"": 0.72, ""c"": 0.441, ""m"": 0.095, ""mfe"": 195.6}, ""30m"": {""d"": 0.677, ""c"": 0.355, ""m"": 0.079, ""mfe"": 195.6}, ""15m"": {""d"": 0.156, ""c"": 0.689, ""m"": 0.194, ""mfe"": 195.6}, ""5m"": {""d"": 0.74, ""c"": 0.48, ""m"": 0.135, ""mfe"": 195.6}, ""3m"": {""d"": 0.235, ""c"": 0.531, ""m"": 0.163, ""mfe"": -4194.8}, ""1m"": {""d"": 0.649, ""c"": 0.297, ""m"": 0.098, ""mfe"": 195.6}, ""30s"": {""d"": 0.488, ""c"": 0.025, ""m"": 0.009, ""mfe"": 195.6}, ""15s"": {""d"": 0.568, ""c"": 0.137, ""m"": 0.055, ""mfe"": -1237.9}, ""5s"": {""d"": 0.345, ""c"": 0.311, ""m"": 0.129, ""mfe"": 1780.5}, ""1s"": {""d"": 0.539, ""c"": 0.079, ""m"": 0.032, ""mfe"": 1527.9}}",0.46915594458149235,0.13537783655487043,aligned_fresh
50007,LONG,20296.5,1741095180,6,2,MEGA_LONG,S|1h:1|30m:0|15m:0|5m:0|3m:0,-1166.5285714285726,297.5,6.5,31,60,0.0,1.0,-9.31,10,0.6113,0.1253,0.1128,"{""1h"": {""d"": 0.796, ""c"": 0.591, ""m"": 0.136, ""mfe"": 195.6}, ""30m"": {""d"": 0.707, ""c"": 0.414, ""m"": 0.094, ""mfe"": 195.6}, ""15m"": {""d"": 0.279, ""c"": 0.443, ""m"": 0.109, ""mfe"": 195.6}, ""5m"": {""d"": 0.705, ""c"": 0.41, ""m"": 0.113, ""mfe"": 195.6}, ""3m"": {""d"": 0.897, ""c"": 0.794, ""m"": 0.298, ""mfe"": 195.6}, ""1m"": {""d"": 0.609, ""c"": 0.217, ""m"": 0.07, ""mfe"": 195.6}, ""30s"": {""d"": 0.443, ""c"": 0.115, ""m"": 0.041, ""mfe"": 195.6}, ""15s"": {""d"": 0.625, ""c"": 0.249, ""m"": 0.102, ""mfe"": -580.8}, ""5s"": {""d"": 0.595, ""c"": 0.19, ""m"": 0.077, ""mfe"": 195.6}, ""1s"": {""d"": 0.566, ""c"": 0.132, ""m"": 0.053, ""mfe"": 2439.4}}",783,2306,1046,461,20493.75,1741111995,1121,profit_target,394.5,595.0,0.663,WIN,"{""1h"": {""d"": 0.778, ""c"": 0.557, ""m"": 0.126, ""mfe"": 195.6}, ""30m"": {""d"": 0.369, ""c"": 0.263, ""m"": 0.057, ""mfe"": 195.6}, ""15m"": {""d"": 0.599, ""c"": 0.199, ""m"": 0.046, ""mfe"": 195.6}, ""5m"": {""d"": 0.639, ""c"": 0.277, ""m"": 0.074, ""mfe"": 195.6}, ""3m"": {""d"": 0.423, ""c"": 0.154, ""m"": 0.043, ""mfe"": 195.6}, ""1m"": {""d"": 0.535, ""c"": 0.069, ""m"": 0.022, ""mfe"": 195.6}, ""30s"": {""d"": 0.697, ""c"": 0.394, ""m"": 0.148, ""mfe"": 195.6}, ""15s"": {""d"": 0.467, ""c"": 0.066, ""m"": 0.026, ""mfe"": 3291.8}, ""5s"": {""d"": 0.48, ""c"": 0.04, ""m"": 0.016, ""mfe"": 195.6}, ""1s"": {""d"": 0.386, ""c"": 0.229, ""m"": 0.093, ""mfe"": 195.6}}",0.5541844209118773,0.0736627107694332,aligned_fresh
50029,LONG,20493.75,1741111980,8,0,NOISE,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0,-1166.5285714285724,148.75,124.5,16,60,0.0,1.0,39.18,10,0.5542,0.0719,0.0737,"{""1h"": {""d"": 0.778, ""c"": 0.557, ""m"": 0.126, ""mfe"": 195.6}, ""30m"": {""d"": 0.369, ""c"": 0.263, ""m"": 0.057, ""mfe"": 195.6}, ""15m"": {""d"": 0.599, ""c"": 0.199, ""m"": 0.046, ""mfe"": 195.6}, ""5m"": {""d"": 0.639, ""c"": 0.277, ""m"": 0.074, ""mfe"": 195.6}, ""3m"": {""d"": 0.423, ""c"": 0.154, ""m"": 0.043, ""mfe"": 195.6}, ""1m"": {""d"": 0.535, ""c"": 0.069, ""m"": 0.022, ""mfe"": 195.6}, ""30s"": {""d"": 0.697, ""c"": 0.394, ""m"": 0.148, ""mfe"": 195.6}, ""15s"": {""d"": 0.467, ""c"": 0.066, ""m"": 0.026, ""mfe"": 3291.8}, ""5s"": {""d"": 0.48, ""c"": 0.04, ""m"": 0.016, ""mfe"": 195.6}, ""1s"": {""d"": 0.386, ""c"": 0.229, ""m"": 0.093, ""mfe"": 195.6}}",783,708,98,142,20542.25,1741116810,322,trail_stop,97.0,297.5,0.3261,WIN,"{""1h"": {""d"": 0.176, ""c"": 0.648, ""m"": 0.154, ""mfe"": 195.6}, ""30m"": {""d"": 0.361, ""c"": 0.278, ""m"": 0.061, ""mfe"": 195.6}, ""15m"": {""d"": 0.447, ""c"": 0.105, ""m"": 0.024, ""mfe"": 195.6}, ""5m"": {""d"": 0.46, ""c"": 0.08, ""m"": 0.021, ""mfe"": 883.2}, ""3m"": {""d"": 0.925, ""c"": 0.849, ""m"": 0.3, ""mfe"": 3327.0}, ""1m"": {""d"": 0.491, ""c"": 0.017, ""m"": 0.006, ""mfe"": 195.6}, ""30s"": {""d"": 0.317, ""c"": 0.365, ""m"": 0.136, ""mfe"": 195.6}, ""15s"": {""d"": 0.646, ""c"": 0.291, ""m"": 0.12, ""mfe"": 1205.1}, ""5s"": {""d"": 0.504, ""c"": 0.007, ""m"": 0.003, ""mfe"": 195.6}, ""1s"": {""d"": 0.593, ""c"": 0.185, ""m"": 0.075, ""mfe"": 195.6}}",0.4920352668641247,0.020752810920347028,aligned_fresh
50035,SHORT,20562.75,1741116960,9,-2,MEGA_SHORT,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,-1166.528571428572,17.0,246.0,29,60,0.0,1.0,-3.7,10,0.4953,0.0979,0.0761,"{""1h"": {""d"": 0.176, ""c"": 0.648, ""m"": 0.154, ""mfe"": 195.6}, ""30m"": {""d"": 0.382, ""c"": 0.235, ""m"": 0.051, ""mfe"": 195.6}, ""15m"": {""d"": 0.553, ""c"": 0.107, ""m"": 0.024, ""mfe"": 195.6}, ""5m"": {""d"": 0.357, ""c"": 0.286, ""m"": 0.076, ""mfe"": -4940.3}, ""3m"": {""d"": 0.86, ""c"": 0.719, ""m"": 0.249, ""mfe"": 5185.9}, ""1m"": {""d"": 0.595, ""c"": 0.19, ""m"": 0.061, ""mfe"": 195.6}, ""30s"": {""d"": 0.485, ""c"": 0.031, ""m"": 0.011, ""mfe"": 195.6}, ""15s"": {""d"": 0.747, ""c"": 0.494, ""m"": 0.217, ""mfe"": 2255.0}, ""5s"": {""d"": 0.595, ""c"": 0.19, ""m"": 0.077, ""mfe"": 195.6}, ""1s"": {""d"": 0.412, ""c"": 0.176, ""m"": 0.071, ""mfe"": 195.6}}",351,868,459,174,20465.0,1741121370,294,profit_target,195.5,492.0,0.3974,WIN,"{""1h"": {""d"": 0.147, ""c"": 0.707, ""m"": 0.176, ""mfe"": -201.9}, ""30m"": {""d"": 0.143, ""c"": 0.714, ""m"": 0.191, ""mfe"": 195.6}, ""15m"": {""d"": 0.63, ""c"": 0.259, ""m"": 0.061, ""mfe"": 195.6}, ""5m"": {""d"": 0.538, ""c"": 0.075, ""m"": 0.019, ""mfe"": 195.6}, ""3m"": {""d"": 0.635, ""c"": 0.27, ""m"": 0.076, ""mfe"": 195.6}, ""1m"": {""d"": 0.334, ""c"": 0.332, ""m"": 0.11, ""mfe"": 195.6}, ""30s"": {""d"": 0.259, ""c"": 0.482, ""m"": 0.187, ""mfe"": 3282.3}, ""15s"": {""d"": 0.364, ""c"": 0.271, ""m"": 0.111, ""mfe"": -634.2}, ""5s"": {""d"": 0.56, ""c"": 0.12, ""m"": 0.048, ""mfe"": 1059.3}, ""1s"": {""d"": 0.673, ""c"": 0.345, ""m"": 0.144, ""mfe"": 1095.3}}",0.5942455683357072,0.019464449711729333,aligned_fresh
3,SHORT,20424.25,1741121400,5,2,MEGA_LONG,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,893.460784313725,221.75,5.25,19,24,1.0,0.0,-6.81,10,0.591,0.1169,0.0195,"{""1h"": {""d"": 0.147, ""c"": 0.707, ""m"": 0.176, ""mfe"": -201.9}, ""30m"": {""d"": 0.143, ""c"": 0.714, ""m"": 0.191, ""mfe"": 195.6}, ""15m"": {""d"": 0.63, ""c"": 0.259, ""m"": 0.061, ""mfe"": 195.6}, ""5m"": {""d"": 0.538, ""c"": 0.075, ""m"": 0.019, ""mfe"": 195.6}, ""3m"": {""d"": 0.635, ""c"": 0.27, ""m"": 0.076, ""mfe"": 195.6}, ""1m"": {""d"": 0.367, ""c"": 0.267, ""m"": 0.087, ""mfe"": 195.6}, ""30s"": {""d"": 0.273, ""c"": 0.455, ""m"": 0.174, ""mfe"": 4014.3}, ""15s"": {""d"": 0.384, ""c"": 0.233, ""m"": 0.095, ""mfe"": -579.1}, ""5s"": {""d"": 0.64, ""c"": 0.279, ""m"": 0.115, ""mfe"": -415.6}, ""1s"": {""d"": 0.41, ""c"": 0.18, ""m"": 0.073, ""mfe"": 195.6}}",783,330,5018,66,20227.5,1741192980,4772,profit_target,393.5,10.5,9.99,WIN,"{""1h"": {""d"": 0.789, ""c"": 0.578, ""m"": 0.132, ""mfe"": 195.6}, ""30m"": {""d"": 0.527, ""c"": 0.054, ""m"": 0.012, ""mfe"": 195.6}, ""15m"": {""d"": 0.752, ""c"": 0.504, ""m"": 0.127, ""mfe"": 195.6}, ""5m"": {""d"": 0.762, ""c"": 0.523, ""m"": 0.15, ""mfe"": 195.6}, ""3m"": {""d"": 0.52, ""c"": 0.04, ""m"": 0.011, ""mfe"": 195.6}, ""1m"": {""d"": 0.349, ""c"": 0.302, ""m"": 0.1, ""mfe"": 195.6}, ""30s"": {""d"": 0.627, ""c"": 0.253, ""m"": 0.092, ""mfe"": 195.6}, ""15s"": {""d"": 0.426, ""c"": 0.149, ""m"": 0.06, ""mfe"": -256.1}, ""5s"": {""d"": 0.418, ""c"": 0.164, ""m"": 0.066, ""mfe"": 195.6}, ""1s"": {""d"": 0.319, ""c"": 0.362, ""m"": 0.152, ""mfe"": 5193.5}}",0.617772145660808,0.15024336761112816,aligned_fresh
50000,LONG,20378.0,1741194000,3,-1,SCALP_SHORT,S|1h:1|30m:0,-1166.5285714285735,252.25,469.75,50,60,0.0,1.0,-9.95,10,0.604,0.0899,0.1617,"{""1h"": {""d"": 0.789, ""c"": 0.578, ""m"": 0.132, ""mfe"": 195.6}, ""30m"": {""d"": 0.527, ""c"": 0.054, ""m"": 0.012, ""mfe"": 195.6}, ""15m"": {""d"": 0.667, ""c"": 0.335, ""m"": 0.08, ""mfe"": 195.6}, ""5m"": {""d"": 0.777, ""c"": 0.555, ""m"": 0.162, ""mfe"": 195.6}, ""3m"": {""d"": 0.377, ""c"": 0.247, ""m"": 0.069, ""mfe"": 195.6}, ""1m"": {""d"": 0.639, ""c"": 0.278, ""m"": 0.091, ""mfe"": 195.6}, ""30s"": {""d"": 0.477, ""c"": 0.046, ""m"": 0.016, ""mfe"": 1701.7}, ""15s"": {""d"": 0.25, ""c"": 0.5, ""m"": 0.22, ""mfe"": 2466.0}, ""5s"": {""d"": 0.614, ""c"": 0.228, ""m"": 0.093, ""mfe"": 195.6}, ""1s"": {""d"": 0.666, ""c"": 0.332, ""m"": 0.138, ""mfe"": 768.7}}",783,5408,6845,1082,20575.5,1741197810,254,profit_target,395.0,504.5,0.783,WIN,"{""1h"": {""d"": 0.248, ""c"": 0.504, ""m"": 0.111, ""mfe"": 195.6}, ""30m"": {""d"": 0.435, ""c"": 0.129, ""m"": 0.028, ""mfe"": 195.6}, ""15m"": {""d"": 0.574, ""c"": 0.148, ""m"": 0.034, ""mfe"": 195.6}, ""5m"": {""d"": 0.608, ""c"": 0.216, ""m"": 0.057, ""mfe"": 195.6}, ""3m"": {""d"": 0.209, ""c"": 0.583, ""m"": 0.183, ""mfe"": 195.6}, ""1m"": {""d"": 0.365, ""c"": 0.269, ""m"": 0.088, ""mfe"": -5361.8}, ""30s"": {""d"": 0.313, ""c"": 0.373, ""m"": 0.139, ""mfe"": 195.6}, ""15s"": {""d"": 0.661, ""c"": 0.323, ""m"": 0.134, ""mfe"": 489.8}, ""5s"": {""d"": 0.448, ""c"": 0.103, ""m"": 0.041, ""mfe"": 195.6}, ""1s"": {""d"": 0.657, ""c"": 0.315, ""m"": 0.13, ""mfe"": -1276.9}}",0.5684106435777908,0.05680370605846678,aligned_fresh
46,SHORT,20571.25,1741197900,5,2,MEGA_LONG,L|1h:2|30m:0|15m:0|5m:0,893.460784313725,257.0,19.5,23,24,1.0,0.0,2.17,10,0.5662,0.076,0.0568,"{""1h"": {""d"": 0.248, ""c"": 0.504, ""m"": 0.111, ""mfe"": 195.6}, ""30m"": {""d"": 0.435, ""c"": 0.129, ""m"": 0.028, ""mfe"": 195.6}, ""15m"": {""d"": 0.574, ""c"": 0.148, ""m"": 0.034, ""mfe"": 195.6}, ""5m"": {""d"": 0.608, ""c"": 0.216, ""m"": 0.057, ""mfe"": 195.6}, ""3m"": {""d"": 0.223, ""c"": 0.554, ""m"": 0.172, ""mfe"": 195.6}, ""1m"": {""d"": 0.38, ""c"": 0.239, ""m"": 0.078, ""mfe"": 195.6}, ""30s"": {""d"": 0.454, ""c"": 0.092, ""m"": 0.033, ""mfe"": 195.6}, ""15s"": {""d"": 0.327, ""c"": 0.345, ""m"": 0.144, ""mfe"": -703.9}, ""5s"": {""d"": 0.65, ""c"": 0.3, ""m"": 0.124, ""mfe"": 71.3}, ""1s"": {""d"": 0.654, ""c"": 0.308, ""m"": 0.127, ""mfe"": 195.6}}",783,151,244,30,20573.25,1741200960,204,trail_stop,-4.0,39.0,-0.1026,LOSS,"{""1h"": {""d"": 0.739, ""c"": 0.478, ""m"": 0.104, ""mfe"": 195.6}, ""30m"": {""d"": 0.292, ""c"": 0.416, ""m"": 0.094, ""mfe"": 195.6}, ""15m"": {""d"": 0.43, ""c"": 0.141, ""m"": 0.032, ""mfe"": 195.6}, ""5m"": {""d"": 0.663, ""c"": 0.326, ""m"": 0.088, ""mfe"": 195.6}, ""3m"": {""d"": 0.563, ""c"": 0.127, ""m"": 0.035, ""mfe"": 195.6}, ""1m"": {""d"": 0.155, ""c"": 0.69, ""m"": 0.271, ""mfe"": 195.6}, ""30s"": {""d"": 0.682, ""c"": 0.364, ""m"": 0.136, ""mfe"": 195.6}, ""15s"": {""d"": 0.685, ""c"": 0.37, ""m"": 0.155, ""mfe"": -587.3}, ""5s"": {""d"": 0.404, ""c"": 0.192, ""m"": 0.078, ""mfe"": 5141.6}, ""1s"": {""d"": 0.659, ""c"": 0.318, ""m"": 0.132, ""mfe"": 315.2}}",0.46980246189141883,0.08761051625418813,aligned_fresh
