ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1738561500,2025_02,4,ROCHE_SNAP,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738561500,2025_02,4,STRUCTURAL_DRIVE,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738561500,2025_02,4,ROCHE_SNAP,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738561500,2025_02,4,STRUCTURAL_DRIVE,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738561500,2025_02,4,ROCHE_SNAP,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738561500,2025_02,4,STRUCTURAL_DRIVE,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738561500,2025_02,4,ROCHE_SNAP,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738561500,2025_02,4,STRUCTURAL_DRIVE,2.18,0.0,gate1,4.888,0.0,MEGA,LONG,360.0,,,,,,0.0,,,0.0,0.0
1738568700,2025_02,5,STRUCTURAL_DRIVE,2.15,2.18,gate0_r4_struct,0.0,0.0,MEGA,LONG,227.5,,,,,,0.0,,,0.0,0.0
1738568700,2025_02,5,ROCHE_SNAP,2.15,2.18,traded,8.079,0.646,MEGA,LONG,227.5,50008,3,S|1h:1|30m:0|15m:0|5m:0,SHORT,LOSS,-161.0,belief_flip,aligned_fresh,0.7077982730508958,0.20592933410806266
1738585800,2025_02,3,ROCHE_SNAP,2.0,0.0,traded,7.064,0.579,MEGA,LONG,1029.5,0,4,L|1h:2|30m:0,LONG,WIN,415.0,profit_target,aligned_fresh,0.5637818933293638,0.0807268238522476
1738598580,2025_02,6,ROCHE_SNAP,2.09,2.39,gate3,9.202,0.465,MEGA,LONG,261.0,27,4,L|1h:2|30m:0|15m:0|5m:0|3m:0,,,0.0,,,0.0,0.0
1738598580,2025_02,6,ROCHE_SNAP,2.09,2.39,gate3,9.202,0.458,MEGA,LONG,261.0,27,4,L|1h:2|30m:0|15m:0|5m:0|3m:0,,,0.0,,,0.0,0.0
