time_a,time_b,price_a,price_b,delta,prob_up,predicted_dir,actual_dir,correct
2025-01-03 17:00,17:15,21453.0,21449.75,-3.25,0.7692373449277087,UP,DOWN,N
2025-01-03 17:15,17:30,21449.75,21453.75,4.0,0.950210613838421,UP,UP,Y
2025-01-03 17:30,17:45,21453.75,21471.0,17.25,0.9953216691498755,UP,UP,Y
2025-01-03 17:45,18:00,21471.0,21472.5,1.5,0.8277181109799583,UP,UP,Y
2025-01-03 18:00,18:15,21472.5,21503.5,31.0,0.9998107204816997,UP,UP,Y
2025-01-03 18:15,18:30,21503.5,21527.5,24.0,0.9989804689136593,UP,UP,Y
2025-01-03 18:30,18:45,21527.5,21509.25,-18.25,0.03826249232884351,DOWN,DOWN,Y
2025-01-03 18:45,19:00,21509.25,21535.75,26.5,0.9994719547654181,UP,UP,Y
2025-01-03 19:00,19:15,21535.75,21537.75,2.0,0.7834093046570281,UP,UP,Y
2025-01-03 19:15,19:30,21537.75,21547.5,9.75,0.9589423546606705,UP,UP,Y
2025-01-03 19:30,19:45,21547.5,21534.5,-13.0,0.09119004008949887,DOWN,DOWN,Y
2025-01-03 19:45,20:00,21534.5,21526.0,-8.5,0.2286118073059066,DOWN,DOWN,Y
2025-01-03 20:00,20:15,21526.0,21522.25,-3.75,0.3449207459045336,DOWN,DOWN,Y
2025-01-03 20:15,20:30,21522.25,21503.5,-18.75,0.014042545550810174,DOWN,DOWN,Y
2025-01-03 20:30,20:45,21503.5,21508.25,4.75,0.6422664994698392,UP,UP,Y
2025-01-03 20:45,21:00,21508.25,21489.75,-18.5,0.006624006065234045,DOWN,DOWN,Y
2025-01-03 21:00,21:15,21489.75,21483.75,-6.0,0.06069531504683201,DOWN,DOWN,Y
2025-01-03 21:15,21:30,21483.75,21489.25,5.5,0.5071131638074003,UP,UP,Y
