side,bin,range,n,pct_side,mean_abs,median_abs
UP,UP_0_1,"[0.0, 0.7)",6,2.63,0.38,0.38
UP,UP_1_2,"[0.7, 1.7)",16,7.02,1.25,1.25
UP,UP_2_4,"[1.7, 4.2)",40,17.54,2.71,2.75
UP,UP_4_10,"[4.2, 9.9)",55,24.12,7.07,7.25
UP,UP_10_16,"[9.9, 16.3)",36,15.79,12.83,12.25
UP,UP_16_29,"[16.3, 29.1)",34,14.91,21.57,21.25
UP,UP_29_39,"[29.1, 38.7)",17,7.46,32.51,32.75
UP,UP_39_82,"[38.7, 82.0)",21,9.21,50.69,48.5
UP,UP_82+,"[82.0, 125.8)",3,1.32,102.92,94.75
DN,DN_0_1,"[0.0, 0.9)",7,3.52,0.54,0.5
DN,DN_1_6,"[0.9, 5.9)",51,25.63,3.44,3.25
DN,DN_6_11,"[5.9, 11.3)",44,22.11,8.32,8.25
DN,DN_11_32,"[11.3, 31.6)",57,28.64,18.78,18.0
DN,DN_32_47,"[31.6, 47.1)",14,7.04,37.71,37.38
DN,DN_47_85,"[47.1, 85.3)",18,9.05,60.31,57.75
DN,DN_85+,"[85.3, 162.5)",8,4.02,118.81,111.12
