**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,pick_time_utc,direction,price,snap,mfe_dollars,mae_dollars,rr,is_winner,z_15s,z_1m,z_15m,z_1h_high,z_1h_low,z_1h_close,slope_15s_3m,slope_15s_10m,slope_1m_10m,slope_15m_5m,slope_15m_15m,slope_15m_decel,curv_15m,band_width,band_rank_60,sigma_15m_rank_60,slope_15s_flipped_dn,slope_15s_flipped_up,align_up_count,align_down_count,align_state,crm_stack,dist_15s_1m,dist_1m_15m,dist_15s_15m,fan_width,fan_change_10m,bars_since_15s_x_1m_up,bars_since_15s_x_1m_dn,bars_since_1m_x_15m_up,bars_since_1m_x_15m_dn,bars_since_px_x_15m_up,bars_since_px_x_15m_dn,dist_15s_to_Mh_sigma,near_1h_Mh,above_1h_Mh,dist_15s_to_Ml_sigma,near_1h_Ml,below_1h_Ml,bars_since_15s_x_Mh_up,bars_since_15s_x_Mh_dn,bars_since_15s_x_Ml_up,bars_since_15s_x_Ml_dn,dist_15m_to_Mh_sigma,15m_near_1h_Mh,15m_above_1h_Mh,dist_15m_to_Ml_sigma,15m_near_1h_Ml,15m_below_1h_Ml,bars_since_15m_x_Mh_up,bars_since_15m_x_Mh_dn,bars_since_15m_x_Ml_up,bars_since_15m_x_Ml_dn,bars_since_any_cross_up,bars_since_any_cross_dn,align_matches_dir,align_against_dir,v6_fires_short,v6_fires_long,compression_short,compression_long,structural_short,structural_long
2025-01-06,2025-01-06 00:11:00,SHORT,21528.25,H,98.0,0.0,196.0,1,-5.614,-1.608,-0.78,,,,-0.317,0.481,0.165,0.0,nan,nan,nan,,0.5,0.0,1,0,2,0,STRONG_UP,15s>1m>15m,0.393,0.225,0.47,1.088,0.197,8,,7,,,0,,0,0,,0,0,,,,,,0,0,,0,0,,,,,7,0,0,1,0,0,0,0,0,0
2025-01-06,2025-01-06 00:44:00,LONG,21484.75,L,38.5,9.0,4.277777777777778,1,-0.139,-1.109,-3.052,,,,-1.2,-1.443,-0.81,0.0,-0.218,0.218,0.0218,,0.5,0.667,0,0,0,3,FULL_DOWN,15m>1m>15s,-1.066,-2.395,-3.026,6.487,-0.289,41,31,40,26,,33,,0,0,,0,0,,,,,,0,0,,0,0,,,,,40,26,0,1,0,0,0,0,0,0
2025-01-06,2025-01-06 00:55:00,SHORT,21500.75,H,28.5,19.5,1.4615384615384615,0,-1.959,0.497,-1.201,,,,1.108,1.241,0.045,0.0,-0.325,0.325,0.0325,,0.5,0.804,0,0,1,1,DIVERGENT,15m>15s>1m,1.1,-1.376,-0.988,3.464,0.278,6,42,51,37,,44,,0,0,,0,0,,,,,,0,0,,0,0,,,,,6,37,0,0,0,0,0,0,0,0
2025-01-06,2025-01-06 01:51:00,LONG,21488.25,H,62.5,8.0,7.8125,1,-1.605,-0.808,-1.248,-10.657,-0.22,-1.17,-0.238,0.569,-0.178,0.0,-0.103,0.103,0.0103,49.12,0.0,0.5,1,0,1,2,DIVERGENT,15m>15s>1m,0.575,-1.084,-0.967,2.626,0.233,5,13,107,93,,100,-9.74,0,0,0.056,1,0,,,5,12,-6.58,0,0,1.007,0,0,,,,,5,13,0,1,0,0,0,1,0,0
2025-01-06,2025-01-06 02:28:00,SHORT,21511.0,H,27.0,2.5,10.8,1,-3.059,-2.567,0.16,-1.161,1.502,-0.053,-0.5,0.261,1.322,0.0,-0.133,0.133,0.0133,41.0,0.0,0.0,1,0,2,1,DIVERGENT,15s>1m>15m,0.124,0.681,0.706,1.511,0.024,16,23,7,130,15,137,-0.786,0,0,2.074,0,0,,,32,36,-1.272,0,0,1.335,0,0,,,,,7,23,0,1,0,0,0,0,0,0
2025-01-06,2025-01-06 05:32:00,SHORT,21551.25,H,41.5,0.0,83.0,1,2.455,1.814,3.058,1.878,4.967,3.293,0.654,1.404,0.882,0.621,0.207,0.414,0.0414,32.62,0.0,0.95,0,0,3,0,FULL_UP,15s>1m>15m,0.713,1.819,2.306,4.837,0.138,10,11,191,314,167,168,1.249,0,1,4.253,0,0,21,,216,220,-0.676,0,0,2.064,0,0,,,,,10,11,0,1,0,0,1,0,1,0
2025-01-06,2025-01-06 06:19:00,LONG,21535.75,L,51.5,1.5,34.333333333333336,1,0.525,0.737,0.985,0.522,2.688,1.428,0.362,-0.062,-0.35,0.404,0.135,0.269,0.0269,32.39,0.0,0.917,0,0,1,2,DIVERGENT,15s>1m>15m,0.44,0.865,0.937,2.242,0.054,1,16,238,361,214,215,0.481,1,1,2.646,0,0,68,,263,267,-0.3,1,0,1.831,0,0,,,,,1,16,0,1,0,0,1,0,1,0
2025-01-06,2025-01-06 06:30:00,LONG,21542.0,H,59.5,3.5,17.0,1,2.103,1.698,1.232,0.84,3.019,1.755,0.492,0.376,0.288,0.525,0.175,0.35,0.035,32.39,0.0,0.483,0,0,3,0,FULL_UP,15s>1m>15m,0.951,0.924,1.096,2.971,0.052,12,27,249,372,225,226,0.732,0,1,2.907,0,0,79,,274,278,-0.133,1,0,2.005,0,0,,,,,12,27,1,0,0,0,1,0,1,0
2025-01-06,2025-01-06 17:21:00,SHORT,21838.25,H,160.5,29.5,5.440677966101695,1,0.055,-0.81,-0.182,0.996,1.883,1.205,-2.125,-2.264,-0.818,0.0,0.557,-0.557,-0.0557,68.21,0.633,0.0,0,0,1,2,DIVERGENT,1m>15m>15s,-0.842,0.041,-0.191,1.074,-0.229,12,6,163,184,172,6,0.993,0,1,1.879,0,0,730,,925,929,1.062,0,1,1.963,0,0,636,,,,12,6,0,0,0,0,0,0,1,0
2025-01-06,2025-01-06 01:57:00,LONG,21496.75,L,43.0,27.5,1.5636363636363637,0,1.553,2.112,-0.521,-8.283,0.494,-0.597,1.142,0.135,0.147,0.0,-0.103,0.103,0.0103,49.12,0.0,0.5,0,0,2,1,DIVERGENT,15m>15s>1m,0.392,-0.928,-0.853,2.173,0.023,0,4,113,99,,106,-9.367,0,0,0.168,1,0,,,1,5,-6.58,0,0,1.007,0,0,,,,,0,4,0,0,0,0,0,0,0,0
