feature,winner_mean,loser_mean,delta,cohens_d,winner_n,loser_n
band_rank_60,0.337,0.188,0.149,0.469,50,8
z_15s,-0.156,-0.879,0.723,0.318,50,8
slope_15s_10m,-0.015,-0.744,0.73,0.264,50,8
z_1h_high,-2.335,-3.306,0.971,0.24,48,7
slope_15m_15m,-0.102,-0.201,0.099,0.188,49,8
z_15m,-0.096,-0.37,0.273,0.179,50,8
slope_15m_decel,0.066,0.188,-0.121,-0.177,49,8
curv_15m,0.007,0.019,-0.012,-0.177,49,8
z_1h_low,0.438,-0.064,0.502,0.164,48,7
sigma_15m_rank_60,0.557,0.492,0.065,0.164,50,8
slope_1m_10m,-0.253,-0.585,0.332,0.147,50,8
band_width,71.21,74.124,-2.914,-0.096,48,7
slope_15s_3m,0.343,0.006,0.337,0.091,50,8
z_1h_close,-0.662,-0.799,0.137,0.048,48,7
slope_15m_5m,-0.035,-0.014,-0.021,-0.029,50,8
z_1m,-0.041,-0.078,0.037,0.026,50,8
