day,trades,pnl,wr
2026_03_20,13,56.5,30.76923076923077
2026_03_22,9,-145.5,11.11111111111111
2026_03_23,26,681.0,26.923076923076923
2026_03_24,27,1608.0,44.44444444444444
2026_03_25,29,627.5,31.03448275862069
2026_03_26,12,662.5,41.66666666666667
2026_03_27,9,1147.5,55.55555555555556
2026_03_29,7,22.0,28.57142857142857
2026_03_30,18,1293.5,55.55555555555556
2026_03_31,6,-445.5,50.0
2026_04_01,23,1415.5,43.47826086956522
2026_04_02,19,1149.5,42.10526315789473
2026_04_03,7,1.0,14.285714285714285
2026_04_05,2,-25.0,50.0
2026_04_06,17,342.5,23.52941176470588
2026_04_07,9,39.5,44.44444444444444
2026_04_08,23,750.5,47.82608695652174
2026_04_09,27,178.5,18.51851851851852
2026_04_10,8,344.0,50.0
