day,trades,pnl,wr
2025_01_01,3,60.5,66.66666666666666
2025_01_02,36,366.5,19.444444444444446
2025_01_03,36,-262.0,16.666666666666664
2025_01_05,1,-6.5,0.0
2025_01_06,19,631.5,52.63157894736842
2025_01_07,38,1050.0,31.57894736842105
2025_01_08,37,667.0,29.72972972972973
2025_01_09,27,87.0,22.22222222222222
2025_01_10,25,223.0,24.0
2025_01_12,6,69.0,33.33333333333333
2025_01_13,35,720.5,42.857142857142854
2025_01_14,28,716.0,21.428571428571427
2025_01_15,39,847.5,23.076923076923077
2025_01_16,26,773.0,50.0
2025_01_17,28,445.5,32.142857142857146
2025_01_19,2,21.5,50.0
2025_01_20,29,258.0,20.689655172413794
2025_01_21,32,402.0,31.25
2025_01_22,31,-73.5,22.58064516129032
2025_01_23,30,213.5,33.33333333333333
2025_01_24,24,341.0,37.5
2025_01_26,2,29.0,100.0
2025_01_27,35,885.5,20.0
2025_01_28,54,156.5,16.666666666666664
2025_01_29,30,-67.0,20.0
2025_01_30,29,1082.5,51.724137931034484
2025_01_31,19,88.0,31.57894736842105
2025_02_02,1,78.5,100.0
2025_02_03,35,110.0,20.0
2025_02_04,25,899.5,44.0
2025_02_05,31,343.0,32.25806451612903
2025_02_06,31,32.0,35.483870967741936
2025_02_07,25,-185.5,24.0
2025_02_09,2,5.5,50.0
2025_02_10,13,246.0,38.46153846153847
2025_02_11,32,357.5,37.5
2025_02_12,18,676.0,55.55555555555556
2025_02_13,27,328.5,48.148148148148145
2025_02_14,22,269.5,36.36363636363637
2025_02_16,1,7.5,100.0
2025_02_17,28,187.5,42.857142857142854
2025_02_18,24,105.0,29.166666666666668
2025_02_19,23,426.0,34.78260869565217
2025_02_20,29,465.5,44.827586206896555
2025_02_21,20,458.0,30.0
2025_02_23,3,14.0,33.33333333333333
2025_02_24,33,698.5,33.33333333333333
2025_02_25,48,518.5,27.083333333333332
2025_02_26,35,257.0,25.71428571428571
2025_02_27,25,1560.0,52.0
2025_02_28,26,202.5,26.923076923076923
2025_03_02,2,-22.0,0.0
2025_03_03,44,286.0,25.0
2025_03_04,34,1102.5,38.23529411764706
2025_03_05,34,706.5,26.47058823529412
2025_03_06,37,136.0,35.13513513513514
2025_03_07,43,-570.0,18.6046511627907
2025_03_09,3,3.0,66.66666666666666
2025_03_10,24,1146.0,33.33333333333333
2025_03_11,34,1342.0,35.294117647058826
2025_03_12,40,451.0,27.500000000000004
2025_03_13,32,958.5,40.625
2025_03_14,26,581.0,34.61538461538461
2025_03_16,4,173.0,75.0
2025_03_17,23,451.0,47.82608695652174
2025_03_18,20,225.5,30.0
2025_03_19,34,374.0,14.705882352941178
2025_03_20,32,884.5,37.5
2025_03_21,14,-10.0,21.428571428571427
2025_04_01,34,628.5,32.35294117647059
2025_04_02,23,1468.0,26.08695652173913
2025_04_03,17,1123.5,35.294117647058826
2025_04_04,34,1764.0,20.588235294117645
2025_04_06,6,-21.0,33.33333333333333
2025_04_07,47,1831.5,31.914893617021278
2025_04_08,36,2298.5,36.11111111111111
2025_04_09,42,840.0,33.33333333333333
2025_04_10,34,1053.0,38.23529411764706
2025_04_11,41,846.5,26.82926829268293
2025_04_13,5,-8.5,40.0
