day,trades,pnl,wr
2026_01_01,1,36.0,100.0
2026_01_02,19,534.0,36.84210526315789
2026_01_04,2,72.0,50.0
2026_01_05,46,-190.0,28.26086956521739
2026_01_06,15,1004.0,66.66666666666666
2026_01_07,17,312.0,35.294117647058826
2026_01_08,38,171.0,23.684210526315788
2026_01_09,35,653.0,40.0
2026_01_11,1,0.0,0.0
2026_01_12,33,557.0,30.303030303030305
2026_01_13,30,33.5,23.333333333333332
2026_01_14,26,-33.5,19.230769230769234
2026_01_15,38,460.5,23.684210526315788
2026_01_16,19,325.5,26.31578947368421
2026_01_18,2,-18.0,0.0
2026_01_19,37,138.5,21.62162162162162
2026_01_20,39,-48.5,15.384615384615385
2026_01_21,29,1172.5,27.586206896551722
2026_01_22,27,-11.5,22.22222222222222
2026_01_23,35,522.5,22.857142857142858
2026_01_25,4,-68.5,0.0
2026_01_26,23,542.0,34.78260869565217
2026_01_27,26,209.0,42.30769230769231
2026_01_28,28,286.0,35.714285714285715
2026_01_29,35,1234.5,48.57142857142857
2026_01_30,44,317.0,22.727272727272727
2026_02_01,2,-22.0,0.0
2026_02_02,24,931.5,33.33333333333333
2026_02_03,26,1591.0,42.30769230769231
2026_02_04,39,743.0,25.64102564102564
2026_02_05,37,1970.5,43.24324324324324
2026_02_06,30,845.5,26.666666666666668
2026_02_08,4,-7.0,50.0
2026_02_09,32,350.5,28.125
2026_02_10,24,75.0,20.833333333333336
2026_02_11,31,676.5,29.03225806451613
2026_02_12,25,405.0,40.0
2026_02_13,44,-398.5,15.909090909090908
2026_02_15,2,-6.0,0.0
2026_02_16,18,439.0,33.33333333333333
2026_02_17,37,259.5,29.72972972972973
2026_02_18,34,438.5,38.23529411764706
2026_02_19,33,-259.5,21.21212121212121
2026_02_20,41,869.5,29.268292682926827
2026_02_22,4,-57.5,25.0
2026_02_23,32,742.0,40.625
2026_02_24,32,114.0,21.875
2026_02_25,35,300.5,28.57142857142857
2026_02_26,38,710.5,34.21052631578947
2026_02_27,37,6.5,27.027027027027028
2026_03_01,1,-2.5,0.0
2026_03_02,40,1172.0,37.5
2026_03_03,40,1385.5,45.0
2026_03_04,31,936.0,48.38709677419355
2026_03_05,36,1238.5,36.11111111111111
2026_03_06,24,869.0,33.33333333333333
2026_03_08,3,-30.5,33.33333333333333
2026_03_09,45,119.5,31.11111111111111
2026_03_10,39,-266.0,20.51282051282051
2026_03_11,37,921.0,35.13513513513514
2026_03_12,32,110.0,34.375
2026_03_13,42,1049.5,28.57142857142857
2026_03_15,7,-37.5,14.285714285714285
2026_03_16,51,-171.0,19.607843137254903
2026_03_17,45,178.0,15.555555555555555
2026_03_18,28,1373.5,35.714285714285715
2026_03_19,46,-198.5,15.217391304347828
2026_03_20,9,-25.0,22.22222222222222
2026_04_01,17,-43.0,11.76470588235294
2026_04_02,17,52.5,23.52941176470588
2026_04_03,0,0.0,0.0
2026_04_05,0,0.0,0.0
2026_04_06,0,0.0,0.0
2026_04_08,8,63.0,37.5
