day,trades,pnl,wr
2026_03_20,104,50.0,61.53846153846154
2026_03_22,16,19.0,43.75
2026_03_23,245,-4299.5,42.04081632653061
2026_03_24,296,-5130.5,41.55405405405405
2026_03_25,264,-1901.5,41.66666666666667
2026_03_26,292,-1056.0,42.12328767123288
2026_03_27,255,1756.0,56.86274509803921
2026_03_29,20,252.0,60.0
2026_03_30,280,1422.5,57.85714285714286
2026_03_31,277,3176.5,54.151624548736464
2026_04_01,301,-803.0,51.49501661129568
2026_04_02,309,3832.5,52.75080906148867
2026_04_03,100,-180.0,40.0
2026_04_05,43,419.5,62.7906976744186
2026_04_06,275,-383.5,55.27272727272727
2026_04_07,288,768.0,51.388888888888886
2026_04_08,47,236.0,63.829787234042556
2026_04_09,305,-1238.5,43.606557377049185
2026_04_10,234,-852.5,44.01709401709402
2026_04_12,34,-219.0,47.05882352941176
2026_04_13,284,430.0,49.647887323943664
2026_04_14,292,194.0,45.20547945205479
2026_04_15,303,441.0,51.15511551155115
2026_04_16,284,-403.0,45.774647887323944
2026_04_17,233,471.0,44.20600858369099
2026_04_19,44,384.0,63.63636363636363
2026_04_20,0,0.0,0.0
