day,trades,pnl,wr
2026_01_01,1,28.5,100.0
2026_01_02,37,885.5,67.56756756756756
2026_01_04,1,21.0,100.0
2026_01_05,46,460.0,65.21739130434783
2026_01_06,43,639.0,65.11627906976744
2026_01_07,40,457.5,62.5
2026_01_08,45,415.0,64.44444444444444
2026_01_09,44,887.0,59.09090909090909
2026_01_11,1,0.0,0.0
2026_01_12,41,775.0,73.17073170731707
2026_01_13,38,756.0,68.42105263157895
2026_01_14,34,140.5,61.76470588235294
2026_01_15,38,1142.5,76.31578947368422
2026_01_16,40,257.5,67.5
2026_01_18,1,-38.5,0.0
2026_01_19,35,440.5,65.71428571428571
2026_01_20,40,463.0,60.0
2026_01_21,42,1027.5,61.904761904761905
2026_01_22,46,573.5,67.3913043478261
2026_01_23,36,202.0,55.55555555555556
2026_01_25,3,-73.5,33.33333333333333
2026_01_26,41,659.0,70.73170731707317
2026_01_27,41,593.5,63.41463414634146
2026_01_28,42,528.0,66.66666666666666
2026_01_29,43,1337.0,79.06976744186046
2026_01_30,46,779.5,63.04347826086957
2026_02_01,1,-107.5,0.0
2026_02_02,34,1353.5,58.82352941176471
2026_02_03,43,854.5,67.44186046511628
2026_02_04,45,988.0,64.44444444444444
2026_02_05,39,1109.5,61.53846153846154
2026_02_06,35,1491.5,65.71428571428571
2026_02_08,2,58.5,100.0
2026_02_09,36,365.5,63.888888888888886
2026_02_10,41,298.5,56.09756097560976
2026_02_11,47,964.5,63.829787234042556
2026_02_12,35,1163.5,74.28571428571429
2026_02_13,39,949.5,66.66666666666666
2026_02_15,2,-4.0,0.0
2026_02_16,33,196.5,57.57575757575758
2026_02_17,47,1123.5,63.829787234042556
2026_02_18,41,199.0,43.90243902439025
2026_02_19,41,558.0,63.41463414634146
2026_02_20,37,528.5,59.45945945945946
2026_02_22,2,128.0,50.0
2026_02_23,46,168.0,56.52173913043478
2026_02_24,47,497.0,63.829787234042556
2026_02_25,42,766.0,71.42857142857143
2026_02_26,45,992.0,64.44444444444444
2026_02_27,41,469.5,60.97560975609756
2026_03_01,1,2.5,100.0
2026_03_02,37,1826.0,67.56756756756756
2026_03_03,51,541.5,66.66666666666666
2026_03_04,43,813.0,69.76744186046511
2026_03_05,43,1271.0,62.7906976744186
2026_03_06,42,871.0,47.61904761904761
2026_03_08,3,-14.5,33.33333333333333
2026_03_09,40,1391.0,62.5
2026_03_10,44,1186.0,63.63636363636363
2026_03_11,47,1122.5,63.829787234042556
2026_03_12,45,1027.5,71.11111111111111
2026_03_13,41,1634.5,70.73170731707317
2026_03_15,4,135.0,75.0
2026_03_16,45,521.5,55.55555555555556
2026_03_17,42,234.0,59.523809523809526
2026_03_18,45,914.0,57.77777777777777
2026_03_19,39,606.5,58.97435897435898
2026_03_20,9,-29.0,33.33333333333333
2026_04_01,29,895.5,75.86206896551724
2026_04_02,29,967.0,72.41379310344827
2026_04_03,0,0.0,0.0
2026_04_05,0,0.0,0.0
2026_04_06,0,0.0,0.0
2026_04_08,6,49.5,50.0
