day,trades,pnl,wr
2026_03_20,91,2114.5,65.93406593406593
2026_03_22,14,-121.0,50.0
2026_03_23,120,194.0,56.666666666666664
2026_03_24,111,2318.0,62.16216216216216
2026_03_25,107,1286.0,61.6822429906542
2026_03_26,118,1496.5,64.40677966101694
2026_03_27,104,1852.5,65.38461538461539
2026_03_29,6,98.5,83.33333333333334
2026_03_30,106,1766.5,64.15094339622641
2026_03_31,113,3284.0,69.02654867256636
2026_04_01,124,1829.0,65.32258064516128
2026_04_02,123,2236.0,61.78861788617886
2026_04_03,71,143.0,53.52112676056338
2026_04_05,10,-42.0,60.0
2026_04_06,112,1100.0,63.39285714285714
2026_04_07,124,4394.5,70.16129032258065
2026_04_08,117,1722.5,67.52136752136752
2026_04_09,113,843.0,61.06194690265486
2026_04_10,48,350.5,56.25
