trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
11,2025_01_02,ABSORPTION,short,11.5,175.0,counter_extended,34,1735793760.0,1,ABSORPTION.1
13,2025_01_02,ABSORPTION,short,-12.5,160.0,counter_extended,55,1735795020.0,1,ABSORPTION.1
55,2025_01_03,ABSORPTION,long,-14.5,97.0,same_extended,109,1735879260.0,2,ABSORPTION.2
58,2025_01_03,ABSORPTION,long,0.5,397.0,same_extended,1,1735884720.0,2,ABSORPTION.2
60,2025_01_03,ABSORPTION,long,12.0,93.0,same_extended,69,1735885800.0,1,ABSORPTION.1
111,2025_01_06,ABSORPTION,long,3.5,328.5,same_extended,1,1736134080.0,2,ABSORPTION.2
112,2025_01_06,ABSORPTION,short,2.0,341.5,counter_extended,1,1736135820.0,2,ABSORPTION.2
114,2025_01_06,ABSORPTION,long,6.0,444.5,same_extended,47,1736139780.0,2,ABSORPTION.2
115,2025_01_06,ABSORPTION,long,-1.0,430.5,same_extended,25,1736140680.0,1,ABSORPTION.1
120,2025_01_06,ABSORPTION,long,26.5,658.5,same_extended,1,1736147880.0,2,ABSORPTION.2
121,2025_01_06,ABSORPTION,short,10.5,412.0,counter_extended,91,1736149200.0,1,ABSORPTION.1
123,2025_01_06,ABSORPTION,long,7.0,376.0,same_extended,54,1736150460.0,1,ABSORPTION.1
156,2025_01_06,ABSORPTION,short,2.0,26.5,counter_extended,110,1736200200.0,1,ABSORPTION.1
160,2025_01_06,ABSORPTION,long,12.0,18.0,same_early,114,1736206980.0,2,ABSORPTION.2
163,2025_01_07,ABSORPTION,short,17.0,211.5,same_extended,14,1736211240.0,1,ABSORPTION.1
166,2025_01_07,ABSORPTION,short,-13.5,173.0,same_extended,78,1736215080.0,1,ABSORPTION.1
167,2025_01_07,ABSORPTION,short,5.5,201.5,same_extended,9,1736217060.0,1,ABSORPTION.1
215,2025_01_07,ABSORPTION,long,18.5,38.0,same_early,47,1736294040.0,2,ABSORPTION.2
216,2025_01_07,ABSORPTION,short,2.5,2.5,same_early,52,1736294395.0,1,ABSORPTION.1
217,2025_01_08,ABSORPTION,short,-2.0,76.0,counter_extended,2,1736295000.0,1,ABSORPTION.1
220,2025_01_08,ABSORPTION,short,5.0,90.5,same_extended,14,1736298900.0,1,ABSORPTION.1
222,2025_01_08,ABSORPTION,short,1.0,140.0,same_extended,3,1736302200.0,1,ABSORPTION.1
224,2025_01_08,ABSORPTION,long,-4.5,114.5,counter_extended,25,1736303520.0,3,ABSORPTION.3
246,2025_01_08,ABSORPTION,long,-47.5,529.0,counter_extended,23,1736335140.0,2,ABSORPTION.2
283,2025_01_09,ABSORPTION,short,-7.0,215.5,same_extended,6,1736389680.0,1,ABSORPTION.1
285,2025_01_09,ABSORPTION,long,-20.5,227.0,counter_extended,42,1736393100.0,2,ABSORPTION.2
288,2025_01_09,ABSORPTION,long,7.0,142.5,counter_extended,105,1736396880.0,2,ABSORPTION.2
294,2025_01_09,ABSORPTION,long,-8.5,185.5,counter_extended,68,1736403960.0,2,ABSORPTION.2
325,2025_01_10,ABSORPTION,long,-0.5,94.0,same_extended,116,1736478480.0,1,ABSORPTION.1
329,2025_01_10,ABSORPTION,long,22.0,134.5,same_extended,20,1736485560.0,2,ABSORPTION.2
382,2025_01_13,ABSORPTION,short,-0.5,377.5,same_extended,54,1736747520.0,1,ABSORPTION.1
427,2025_01_14,ABSORPTION,long,0.5,227.0,same_extended,8,1736818920.0,2,ABSORPTION.2
434,2025_01_14,ABSORPTION,short,-1.0,198.5,counter_extended,39,1736829780.0,1,ABSORPTION.1
436,2025_01_14,ABSORPTION,long,7.0,209.5,same_extended,75,1736831940.0,2,ABSORPTION.2
478,2025_01_15,ABSORPTION,long,-11.5,71.0,counter_extended,14,1736900040.0,2,ABSORPTION.2
482,2025_01_15,ABSORPTION,short,12.0,89.0,same_extended,61,1736906760.0,1,ABSORPTION.1
487,2025_01_15,ABSORPTION,short,-1.5,67.0,counter_extended,116,1736913420.0,2,ABSORPTION.2
492,2025_01_15,ABSORPTION,short,1.5,716.0,counter_extended,20,1736925480.0,1,ABSORPTION.1
494,2025_01_15,ABSORPTION,long,-7.5,737.5,same_extended,1,1736926860.0,3,ABSORPTION.3
539,2025_01_16,ABSORPTION,short,-1.5,353.0,counter_extended,6,1737003180.0,1,ABSORPTION.1
541,2025_01_16,ABSORPTION,short,6.5,370.0,counter_extended,19,1737005700.0,2,ABSORPTION.2
587,2025_01_17,ABSORPTION,short,-16.0,134.5,counter_extended,46,1737075720.0,1,ABSORPTION.1
589,2025_01_17,ABSORPTION,short,15.5,97.0,counter_extended,61,1737076620.0,1,ABSORPTION.1
591,2025_01_17,ABSORPTION,short,-9.5,95.5,counter_extended,87,1737078180.0,1,ABSORPTION.1
596,2025_01_17,ABSORPTION,long,-2.5,164.0,same_extended,5,1737081840.0,2,ABSORPTION.2
598,2025_01_17,ABSORPTION,short,8.0,161.5,counter_extended,27,1737085860.0,1,ABSORPTION.1
603,2025_01_17,ABSORPTION,long,6.5,134.5,same_extended,120,1737093360.0,2,ABSORPTION.2
642,2025_01_20,ABSORPTION,short,4.5,141.5,counter_extended,64,1737346140.0,1,ABSORPTION.1
649,2025_01_20,ABSORPTION,short,1.5,132.0,counter_extended,116,1737358980.0,1,ABSORPTION.1
650,2025_01_20,ABSORPTION,short,-18.0,310.0,counter_extended,25,1737359640.0,1,ABSORPTION.1
655,2025_01_20,ABSORPTION,short,14.5,286.0,counter_extended,91,1737367440.0,1,ABSORPTION.1
656,2025_01_20,ABSORPTION,long,-9.5,298.5,same_extended,100,1737367980.0,2,ABSORPTION.2
722,2025_01_21,ABSORPTION,short,-1.0,78.5,counter_extended,57,1737496140.0,1,ABSORPTION.1
724,2025_01_21,ABSORPTION,short,-1.5,6.5,counter_extended,120,1737503520.0,1,ABSORPTION.1
730,2025_01_22,ABSORPTION,long,2.5,82.5,same_extended,70,1737512520.0,2,ABSORPTION.2
733,2025_01_22,ABSORPTION,short,-10.5,105.5,counter_extended,62,1737518220.0,1,ABSORPTION.1
737,2025_01_22,ABSORPTION,short,7.0,90.0,counter_extended,116,1737523920.0,2,ABSORPTION.2
739,2025_01_22,ABSORPTION,long,0.0,124.0,same_extended,4,1737526080.0,2,ABSORPTION.2
740,2025_01_22,ABSORPTION,short,9.5,331.0,counter_extended,4,1737527280.0,1,ABSORPTION.1
750,2025_01_22,ABSORPTION,short,13.0,378.0,counter_extended,63,1737544680.0,1,ABSORPTION.1
753,2025_01_22,ABSORPTION,short,-18.5,355.5,counter_extended,72,1737551820.0,1,ABSORPTION.1
755,2025_01_22,ABSORPTION,short,16.5,318.5,counter_extended,116,1737554460.0,0,ABSORPTION.0
777,2025_01_23,ABSORPTION,long,3.0,68.5,counter_extended,5,1737590820.0,2,ABSORPTION.2
780,2025_01_23,ABSORPTION,long,0.0,69.5,counter_extended,8,1737595260.0,2,ABSORPTION.2
787,2025_01_23,ABSORPTION,short,-5.0,197.5,same_extended,80,1737606420.0,1,ABSORPTION.1
802,2025_01_23,ABSORPTION,long,-15.5,167.0,same_extended,4,1737629460.0,2,ABSORPTION.2
825,2025_01_23,ABSORPTION,long,9.5,14.0,same_early,120,1737676380.0,2,ABSORPTION.2
827,2025_01_24,ABSORPTION,long,-7.5,99.0,same_extended,12,1737679680.0,2,ABSORPTION.2
829,2025_01_24,ABSORPTION,short,-7.5,84.0,counter_extended,12,1737680880.0,1,ABSORPTION.1
830,2025_01_24,ABSORPTION,short,33.0,112.5,same_extended,34,1737682200.0,1,ABSORPTION.1
842,2025_01_24,ABSORPTION,long,-6.5,76.0,same_extended,15,1737696600.0,2,ABSORPTION.2
848,2025_01_24,ABSORPTION,short,0.5,106.5,counter_extended,24,1737704460.0,1,ABSORPTION.1
849,2025_01_24,ABSORPTION,short,20.5,100.5,counter_extended,33,1737705000.0,1,ABSORPTION.1
854,2025_01_24,ABSORPTION,long,-1.0,121.5,same_extended,45,1737711720.0,2,ABSORPTION.2
857,2025_01_24,ABSORPTION,short,-4.5,144.0,same_extended,22,1737716460.0,1,ABSORPTION.1
860,2025_01_24,ABSORPTION,short,-26.0,367.5,same_extended,2,1737721860.0,1,ABSORPTION.1
864,2025_01_24,ABSORPTION,long,10.5,313.5,counter_extended,39,1737725880.0,3,ABSORPTION.3
936,2025_01_28,ABSORPTION,short,9.5,169.5,same_extended,97,1738028400.0,1,ABSORPTION.1
988,2025_01_29,ABSORPTION,short,4.0,213.5,counter_extended,55,1738114380.0,1,ABSORPTION.1
989,2025_01_29,ABSORPTION,long,2.0,253.0,same_extended,94,1738116720.0,2,ABSORPTION.2
990,2025_01_29,ABSORPTION,long,3.0,261.0,same_extended,103,1738117260.0,2,ABSORPTION.2
991,2025_01_29,ABSORPTION,short,0.5,242.5,counter_extended,118,1738118160.0,1,ABSORPTION.1
992,2025_01_29,ABSORPTION,short,7.0,221.5,counter_extended,99,1738118940.0,1,ABSORPTION.1
996,2025_01_29,ABSORPTION,short,-5.5,225.0,counter_extended,35,1738123140.0,1,ABSORPTION.1
999,2025_01_29,ABSORPTION,long,13.0,222.0,same_extended,120,1738129680.0,2,ABSORPTION.2
1015,2025_01_29,ABSORPTION,long,-22.0,508.5,counter_extended,70,1738156020.0,3,ABSORPTION.3
1042,2025_01_30,ABSORPTION,short,1.0,101.0,same_extended,117,1738208940.0,1,ABSORPTION.1
1043,2025_01_30,ABSORPTION,short,-10.5,95.0,same_extended,117,1738209240.0,1,ABSORPTION.1
1045,2025_01_30,ABSORPTION,long,-4.5,112.0,counter_extended,20,1738211820.0,2,ABSORPTION.2
1055,2025_01_30,ABSORPTION,short,3.5,136.0,same_extended,86,1738222020.0,1,ABSORPTION.1
1056,2025_01_30,ABSORPTION,long,4.0,160.0,counter_extended,105,1738223160.0,1,ABSORPTION.1
1093,2025_01_31,ABSORPTION,long,3.5,144.5,same_extended,5,1738298460.0,2,ABSORPTION.2
1095,2025_01_31,ABSORPTION,long,10.5,149.0,same_extended,49,1738302060.0,2,ABSORPTION.2
1098,2025_01_31,ABSORPTION,short,-0.5,115.5,counter_extended,92,1738304640.0,1,ABSORPTION.1
1105,2025_01_31,ABSORPTION,long,-12.5,302.0,same_extended,1,1738313700.0,3,ABSORPTION.3
1114,2025_01_31,ABSORPTION,short,19.5,353.0,counter_extended,113,1738320660.0,1,ABSORPTION.1
1253,2025_02_05,ABSORPTION,short,-5.5,504.5,counter_extended,30,1738754160.0,1,ABSORPTION.1
1254,2025_02_05,ABSORPTION,short,9.0,500.0,counter_extended,80,1738754580.0,1,ABSORPTION.1
1280,2025_02_06,ABSORPTION,short,-4.5,85.0,counter_extended,6,1738800360.0,1,ABSORPTION.1
1282,2025_02_06,ABSORPTION,long,14.0,127.0,same_extended,14,1738803900.0,2,ABSORPTION.2
1284,2025_02_06,ABSORPTION,long,-15.5,118.0,same_extended,10,1738806660.0,2,ABSORPTION.2
1285,2025_02_06,ABSORPTION,short,17.0,116.5,counter_extended,12,1738807380.0,1,ABSORPTION.1
1286,2025_02_06,ABSORPTION,long,14.0,134.0,same_extended,8,1738807980.0,2,ABSORPTION.2
1289,2025_02_06,ABSORPTION,long,4.0,116.5,same_extended,87,1738812720.0,2,ABSORPTION.2
1293,2025_02_06,ABSORPTION,short,-3.0,105.0,counter_extended,111,1738814160.0,1,ABSORPTION.1
1294,2025_02_06,ABSORPTION,short,-12.0,142.5,same_extended,3,1738815540.0,1,ABSORPTION.1
1297,2025_02_06,ABSORPTION,long,5.0,191.0,counter_extended,8,1738818540.0,1,ABSORPTION.1
1315,2025_02_06,ABSORPTION,short,-20.5,234.0,counter_extended,23,1738844760.0,1,ABSORPTION.1
1347,2025_02_07,ABSORPTION,short,8.5,84.0,counter_extended,6,1738887360.0,1,ABSORPTION.1
1349,2025_02_07,ABSORPTION,short,-5.5,82.5,same_extended,34,1738890660.0,1,ABSORPTION.1
1353,2025_02_07,ABSORPTION,long,4.0,112.5,counter_extended,37,1738895820.0,2,ABSORPTION.2
1355,2025_02_07,ABSORPTION,short,7.5,129.0,same_extended,62,1738897320.0,1,ABSORPTION.1
1356,2025_02_07,ABSORPTION,short,14.5,129.5,same_extended,75,1738898100.0,1,ABSORPTION.1
1359,2025_02_07,ABSORPTION,long,-4.5,67.5,counter_extended,105,1738903980.0,2,ABSORPTION.2
1360,2025_02_07,ABSORPTION,short,3.5,63.0,same_extended,113,1738904460.0,2,ABSORPTION.2
1361,2025_02_07,ABSORPTION,short,0.5,61.5,same_extended,101,1738905360.0,1,ABSORPTION.1
1362,2025_02_07,ABSORPTION,long,5.5,53.0,counter_extended,116,1738906260.0,2,ABSORPTION.2
1363,2025_02_07,ABSORPTION,long,-3.5,56.5,same_extended,115,1738907220.0,2,ABSORPTION.2
1368,2025_02_07,ABSORPTION,long,-6.0,182.0,same_extended,11,1738914780.0,2,ABSORPTION.2
1371,2025_02_07,ABSORPTION,short,3.0,507.5,same_extended,5,1738924380.0,1,ABSORPTION.1
1374,2025_02_07,ABSORPTION,short,4.0,483.0,same_extended,27,1738927740.0,1,ABSORPTION.1
1376,2025_02_07,ABSORPTION,long,10.0,512.0,counter_extended,6,1738929000.0,1,ABSORPTION.1
1378,2025_02_07,ABSORPTION,short,-4.5,522.5,same_extended,15,1738930200.0,1,ABSORPTION.1
1381,2025_02_07,ABSORPTION,long,-16.5,515.5,counter_extended,14,1738931400.0,2,ABSORPTION.2
1414,2025_02_10,ABSORPTION,short,-24.5,152.5,counter_extended,80,1739159280.0,1,ABSORPTION.1
1415,2025_02_10,ABSORPTION,long,-5.0,71.5,same_extended,72,1739161860.0,1,ABSORPTION.1
1417,2025_02_10,ABSORPTION,short,-12.5,127.5,counter_extended,1,1739163840.0,1,ABSORPTION.1
1421,2025_02_10,ABSORPTION,long,-9.5,110.5,same_extended,85,1739168460.0,2,ABSORPTION.2
1426,2025_02_10,ABSORPTION,long,-6.0,201.5,same_extended,1,1739173080.0,2,ABSORPTION.2
