trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
0,2025_01_01,BASE_NMP,short,4.0,61.5,same_at_exit,32,1735774560.0,1,BASE_NMP.1
1,2025_01_01,BASE_NMP,short,31.0,47.0,same_early,34,1735774680.0,1,BASE_NMP.1
2,2025_01_01,BASE_NMP,short,-22.5,22.5,counter_early,35,1735774740.0,3,BASE_NMP.3
3,2025_01_01,BASE_NMP,long,15.5,15.5,same_early,55,1735775995.0,0,BASE_NMP.0
4,2025_01_02,BASE_NMP,long,-35.5,276.0,same_extended,1,1735776240.0,1,BASE_NMP.1
5,2025_01_02,BASE_NMP,long,-12.0,339.0,same_extended,1,1735776660.0,3,BASE_NMP.3
6,2025_01_02,BASE_NMP,long,-53.5,431.5,same_extended,1,1735777080.0,3,BASE_NMP.3
7,2025_01_02,BASE_NMP,short,-4.0,241.5,counter_extended,49,1735779960.0,0,BASE_NMP.0
8,2025_01_02,BASE_NMP,short,-16.5,250.5,counter_extended,66,1735781760.0,1,BASE_NMP.1
9,2025_01_02,BASE_NMP,long,-1.5,199.5,same_extended,118,1735784880.0,0,BASE_NMP.0
10,2025_01_02,BASE_NMP,long,-9.0,190.5,same_extended,115,1735786380.0,1,BASE_NMP.1
11,2025_01_02,BASE_NMP,short,-9.0,199.5,counter_extended,117,1735786500.0,1,BASE_NMP.1
12,2025_01_02,BASE_NMP,short,-0.5,196.5,counter_extended,66,1735788060.0,1,BASE_NMP.1
13,2025_01_02,BASE_NMP,short,-13.0,180.5,counter_extended,112,1735788420.0,0,BASE_NMP.0
14,2025_01_02,BASE_NMP,long,-5.0,187.0,same_extended,80,1735788900.0,1,BASE_NMP.1
15,2025_01_02,BASE_NMP,long,-13.0,378.0,same_extended,35,1735791660.0,3,BASE_NMP.3
16,2025_01_02,BASE_NMP,long,74.5,584.0,counter_extended,14,1735794360.0,1,BASE_NMP.1
17,2025_01_02,BASE_NMP,short,-2.5,170.0,counter_extended,50,1735794720.0,0,BASE_NMP.0
18,2025_01_02,BASE_NMP,short,-2.5,157.0,counter_extended,52,1735794840.0,0,BASE_NMP.0
19,2025_01_02,BASE_NMP,short,-0.5,351.0,same_extended,74,1735796160.0,0,BASE_NMP.0
20,2025_01_02,BASE_NMP,long,-11.0,171.0,same_extended,76,1735796280.0,0,BASE_NMP.0
21,2025_01_02,BASE_NMP,short,-3.0,409.5,same_extended,6,1735799520.0,0,BASE_NMP.0
22,2025_01_02,BASE_NMP,short,-6.0,207.0,counter_extended,38,1735801560.0,1,BASE_NMP.1
23,2025_01_02,BASE_NMP,short,-4.5,245.0,counter_extended,66,1735803240.0,1,BASE_NMP.1
24,2025_01_02,BASE_NMP,short,-9.0,273.5,counter_extended,1,1735803960.0,3,BASE_NMP.3
25,2025_01_02,BASE_NMP,short,-23.0,220.0,counter_extended,17,1735804920.0,0,BASE_NMP.0
26,2025_01_02,BASE_NMP,short,-10.0,197.0,counter_extended,19,1735805040.0,0,BASE_NMP.0
27,2025_01_02,BASE_NMP,short,82.5,808.0,same_extended,40,1735808040.0,1,BASE_NMP.1
28,2025_01_02,BASE_NMP,short,-13.5,354.5,same_extended,6,1735808640.0,1,BASE_NMP.1
29,2025_01_02,BASE_NMP,short,-14.0,409.5,same_extended,12,1735810080.0,1,BASE_NMP.1
30,2025_01_02,BASE_NMP,long,-11.0,408.0,counter_extended,118,1735812720.0,3,BASE_NMP.3
31,2025_01_02,BASE_NMP,long,-1.0,418.5,counter_extended,19,1735813140.0,0,BASE_NMP.0
32,2025_01_02,BASE_NMP,long,36.0,766.5,counter_extended,7,1735817100.0,3,BASE_NMP.3
33,2025_01_02,BASE_NMP,short,-0.5,783.0,same_extended,4,1735817520.0,1,BASE_NMP.1
34,2025_01_02,BASE_NMP,short,-9.0,806.0,same_extended,12,1735818000.0,0,BASE_NMP.0
35,2025_01_02,BASE_NMP,short,-12.0,837.5,same_extended,2,1735818240.0,0,BASE_NMP.0
36,2025_01_02,BASE_NMP,short,-7.5,865.5,same_extended,5,1735818780.0,1,BASE_NMP.1
38,2025_01_02,BASE_NMP,short,50.5,922.5,same_early,59,1735823700.0,3,BASE_NMP.3
39,2025_01_02,BASE_NMP,short,-15.5,836.5,same_extended,65,1735824060.0,1,BASE_NMP.1
40,2025_01_02,BASE_NMP,short,-1.0,874.0,same_extended,76,1735824720.0,1,BASE_NMP.1
41,2025_01_02,BASE_NMP,short,-0.5,875.0,same_extended,77,1735824780.0,0,BASE_NMP.0
42,2025_01_02,BASE_NMP,long,-14.5,894.0,counter_extended,90,1735825560.0,1,BASE_NMP.1
43,2025_01_02,BASE_NMP,short,-11.0,879.5,same_extended,91,1735825620.0,1,BASE_NMP.1
44,2025_01_02,BASE_NMP,short,126.5,575.5,same_extended,61,1735829100.0,3,BASE_NMP.3
45,2025_01_02,BASE_NMP,short,-63.5,767.5,same_extended,80,1735830240.0,1,BASE_NMP.1
46,2025_01_02,BASE_NMP,short,290.0,785.5,same_early,120,1735832700.0,3,BASE_NMP.3
47,2025_01_02,BASE_NMP,short,-42.0,551.0,same_extended,120,1735832940.0,2,BASE_NMP.2
48,2025_01_02,BASE_NMP,short,-44.0,593.0,same_extended,41,1735833240.0,2,BASE_NMP.2
49,2025_01_02,BASE_NMP,long,-74.0,485.0,counter_extended,51,1735833840.0,3,BASE_NMP.3
50,2025_01_02,BASE_NMP,short,68.5,685.5,same_early,107,1735837200.0,0,BASE_NMP.0
51,2025_01_02,BASE_NMP,short,23.5,683.0,same_extended,120,1735838100.0,2,BASE_NMP.2
52,2025_01_02,BASE_NMP,long,-12.5,289.5,same_extended,53,1735839840.0,2,BASE_NMP.2
53,2025_01_02,BASE_NMP,long,-4.0,296.5,same_extended,61,1735840320.0,2,BASE_NMP.2
54,2025_01_02,BASE_NMP,long,-33.0,279.0,same_extended,63,1735840440.0,2,BASE_NMP.2
55,2025_01_02,BASE_NMP,long,24.5,401.5,same_early,120,1735843860.0,3,BASE_NMP.3
56,2025_01_02,BASE_NMP,long,-12.0,263.5,same_early,65,1735847940.0,1,BASE_NMP.1
58,2025_01_02,BASE_NMP,long,-7.0,92.0,counter_extended,97,1735853760.0,1,BASE_NMP.1
59,2025_01_02,BASE_NMP,short,25.0,80.0,same_early,119,1735859280.0,1,BASE_NMP.1
60,2025_01_02,BASE_NMP,long,-10.0,24.5,counter_extended,113,1735860720.0,1,BASE_NMP.1
61,2025_01_02,BASE_NMP,long,28.5,37.5,same_early,85,1735862040.0,1,BASE_NMP.1
63,2025_01_03,BASE_NMP,long,105.0,482.0,same_extended,28,1735865580.0,0,BASE_NMP.0
64,2025_01_03,BASE_NMP,long,-1.0,78.5,counter_extended,67,1735866480.0,0,BASE_NMP.0
65,2025_01_03,BASE_NMP,long,-3.5,80.0,same_extended,95,1735868160.0,1,BASE_NMP.1
66,2025_01_03,BASE_NMP,long,-1.5,79.5,same_extended,103,1735868640.0,1,BASE_NMP.1
67,2025_01_03,BASE_NMP,long,-21.5,81.0,same_extended,104,1735868700.0,1,BASE_NMP.1
68,2025_01_03,BASE_NMP,long,66.5,439.0,same_extended,45,1735871400.0,3,BASE_NMP.3
69,2025_01_03,BASE_NMP,long,-11.0,63.0,same_extended,46,1735871460.0,1,BASE_NMP.1
70,2025_01_03,BASE_NMP,long,-9.0,74.0,same_extended,47,1735871520.0,1,BASE_NMP.1
71,2025_01_03,BASE_NMP,long,-3.0,115.0,same_extended,64,1735872540.0,1,BASE_NMP.1
72,2025_01_03,BASE_NMP,long,65.5,529.5,same_extended,52,1735875840.0,1,BASE_NMP.1
73,2025_01_03,BASE_NMP,short,36.5,344.0,counter_extended,4,1735879500.0,0,BASE_NMP.0
74,2025_01_03,BASE_NMP,short,-0.5,516.0,counter_extended,18,1735882740.0,3,BASE_NMP.3
75,2025_01_03,BASE_NMP,long,-1.5,124.0,same_extended,21,1735882920.0,1,BASE_NMP.1
76,2025_01_03,BASE_NMP,long,-9.0,125.5,same_extended,33,1735883640.0,1,BASE_NMP.1
77,2025_01_03,BASE_NMP,long,37.5,676.5,same_extended,51,1735887720.0,1,BASE_NMP.1
78,2025_01_03,BASE_NMP,long,-10.0,112.0,same_extended,104,1735887900.0,1,BASE_NMP.1
79,2025_01_03,BASE_NMP,long,-7.0,122.0,same_extended,107,1735888080.0,3,BASE_NMP.3
80,2025_01_03,BASE_NMP,long,-10.0,128.5,same_extended,120,1735888860.0,0,BASE_NMP.0
81,2025_01_03,BASE_NMP,long,-15.0,631.5,same_extended,42,1735892820.0,1,BASE_NMP.1
82,2025_01_03,BASE_NMP,long,-1.0,388.0,same_extended,2,1735893300.0,1,BASE_NMP.1
83,2025_01_03,BASE_NMP,long,42.5,615.5,same_extended,65,1735897620.0,0,BASE_NMP.0
84,2025_01_03,BASE_NMP,long,-7.0,323.0,same_extended,79,1735898460.0,1,BASE_NMP.1
85,2025_01_03,BASE_NMP,long,-9.0,330.0,same_extended,80,1735898520.0,1,BASE_NMP.1
86,2025_01_03,BASE_NMP,long,-0.5,339.0,same_extended,81,1735898580.0,3,BASE_NMP.3
87,2025_01_03,BASE_NMP,long,-2.5,389.5,same_extended,101,1735899780.0,1,BASE_NMP.1
88,2025_01_03,BASE_NMP,short,-7.5,407.0,counter_extended,102,1735899840.0,1,BASE_NMP.1
89,2025_01_03,BASE_NMP,long,-8.5,630.5,same_extended,24,1735901400.0,1,BASE_NMP.1
90,2025_01_03,BASE_NMP,long,-1.0,497.0,same_extended,1,1735901460.0,3,BASE_NMP.3
91,2025_01_03,BASE_NMP,short,-2.0,640.0,counter_extended,13,1735903320.0,3,BASE_NMP.3
92,2025_01_03,BASE_NMP,long,-3.5,487.0,same_extended,22,1735903860.0,1,BASE_NMP.1
93,2025_01_03,BASE_NMP,long,-4.0,490.5,same_extended,25,1735904040.0,1,BASE_NMP.1
95,2025_01_03,BASE_NMP,long,-6.0,498.5,same_extended,64,1735906380.0,2,BASE_NMP.2
96,2025_01_03,BASE_NMP,long,-4.0,581.0,same_extended,16,1735908660.0,2,BASE_NMP.2
97,2025_01_03,BASE_NMP,long,-3.0,600.5,same_extended,53,1735909920.0,0,BASE_NMP.0
98,2025_01_03,BASE_NMP,long,-5.0,583.0,same_extended,55,1735910040.0,1,BASE_NMP.1
99,2025_01_03,BASE_NMP,long,-1.5,599.0,same_extended,85,1735911840.0,0,BASE_NMP.0
100,2025_01_03,BASE_NMP,long,149.5,643.0,same_early,115,1735914600.0,1,BASE_NMP.1
101,2025_01_03,BASE_NMP,long,195.0,463.0,same_extended,120,1735915500.0,0,BASE_NMP.0
102,2025_01_03,BASE_NMP,long,-14.5,372.0,same_extended,49,1735915680.0,3,BASE_NMP.3
103,2025_01_03,BASE_NMP,long,-93.5,386.5,same_extended,52,1735915860.0,1,BASE_NMP.1
104,2025_01_03,BASE_NMP,long,59.5,480.0,same_early,76,1735917300.0,3,BASE_NMP.3
106,2025_01_03,BASE_NMP,long,-40.0,313.5,same_extended,120,1735920300.0,0,BASE_NMP.0
107,2025_01_03,BASE_NMP,long,-21.5,187.5,same_early,113,1735924440.0,1,BASE_NMP.1
108,2025_01_03,BASE_NMP,long,-8.0,209.0,same_early,118,1735925340.0,1,BASE_NMP.1
109,2025_01_03,BASE_NMP,long,-10.5,169.5,same_extended,103,1735926840.0,1,BASE_NMP.1
110,2025_01_03,BASE_NMP,long,65.5,211.5,same_early,120,1735928760.0,1,BASE_NMP.1
111,2025_01_03,BASE_NMP,long,68.5,125.5,same_early,73,1735929900.0,0,BASE_NMP.0
112,2025_01_03,BASE_NMP,long,1.5,86.5,same_early,88,1735930800.0,1,BASE_NMP.1
113,2025_01_03,BASE_NMP,long,1.0,109.0,counter_extended,112,1735933980.0,1,BASE_NMP.1
114,2025_01_03,BASE_NMP,long,-1.5,61.5,counter_extended,120,1735934640.0,3,BASE_NMP.3
115,2025_01_03,BASE_NMP,long,15.0,18.0,same_early,95,1735938840.0,1,BASE_NMP.1
116,2025_01_03,BASE_NMP,short,1.0,11.0,same_early,117,1735940160.0,1,BASE_NMP.1
117,2025_01_03,BASE_NMP,short,-3.0,3.0,counter_early,120,1735941595.0,1,BASE_NMP.1
118,2025_01_05,BASE_NMP,long,-0.5,12.0,same_early,29,1736120700.0,0,BASE_NMP.0
119,2025_01_06,BASE_NMP,long,-14.5,77.5,counter_extended,5,1736122320.0,1,BASE_NMP.1
120,2025_01_06,BASE_NMP,long,-7.0,75.0,same_extended,7,1736122440.0,3,BASE_NMP.3
121,2025_01_06,BASE_NMP,long,-4.0,96.5,same_extended,5,1736123100.0,2,BASE_NMP.2
122,2025_01_06,BASE_NMP,long,-4.0,121.5,same_extended,9,1736124540.0,2,BASE_NMP.2
123,2025_01_06,BASE_NMP,long,-5.5,155.5,same_extended,1,1736125680.0,1,BASE_NMP.1
124,2025_01_06,BASE_NMP,long,-6.5,208.0,same_extended,35,1736130360.0,1,BASE_NMP.1
125,2025_01_06,BASE_NMP,long,-1.0,167.0,same_extended,23,1736130420.0,1,BASE_NMP.1
126,2025_01_06,BASE_NMP,long,-6.5,389.5,same_extended,53,1736131440.0,1,BASE_NMP.1
127,2025_01_06,BASE_NMP,long,11.0,779.5,same_extended,28,1736135700.0,1,BASE_NMP.1
128,2025_01_06,BASE_NMP,long,33.5,774.5,same_extended,63,1736140740.0,1,BASE_NMP.1
129,2025_01_06,BASE_NMP,long,20.5,741.0,same_extended,112,1736143680.0,1,BASE_NMP.1
130,2025_01_06,BASE_NMP,long,-3.0,408.5,same_extended,5,1736144040.0,1,BASE_NMP.1
131,2025_01_06,BASE_NMP,long,-2.0,386.5,same_extended,25,1736145240.0,0,BASE_NMP.0
132,2025_01_06,BASE_NMP,long,-2.5,388.5,same_extended,68,1736147820.0,0,BASE_NMP.0
133,2025_01_06,BASE_NMP,long,-2.0,368.5,same_extended,33,1736149200.0,1,BASE_NMP.1
134,2025_01_06,BASE_NMP,long,-5.5,650.0,same_extended,46,1736150100.0,1,BASE_NMP.1
135,2025_01_06,BASE_NMP,long,-1.5,629.0,same_extended,71,1736151480.0,0,BASE_NMP.0
136,2025_01_06,BASE_NMP,long,-8.5,353.0,same_extended,72,1736151540.0,1,BASE_NMP.1
137,2025_01_06,BASE_NMP,long,-12.5,608.5,same_extended,6,1736151900.0,1,BASE_NMP.1
138,2025_01_06,BASE_NMP,long,65.0,559.5,same_early,119,1736155320.0,0,BASE_NMP.0
139,2025_01_06,BASE_NMP,long,-7.5,464.5,same_extended,23,1736157720.0,1,BASE_NMP.1
140,2025_01_06,BASE_NMP,long,24.0,472.0,same_extended,120,1736159400.0,1,BASE_NMP.1
141,2025_01_06,BASE_NMP,long,-3.0,448.0,same_extended,100,1736159580.0,1,BASE_NMP.1
142,2025_01_06,BASE_NMP,short,-8.0,421.5,counter_extended,120,1736161740.0,1,BASE_NMP.1
143,2025_01_06,BASE_NMP,long,-0.5,338.5,same_extended,116,1736163300.0,0,BASE_NMP.0
144,2025_01_06,BASE_NMP,long,-8.0,341.5,same_extended,68,1736165400.0,1,BASE_NMP.1
145,2025_01_06,BASE_NMP,long,-5.0,313.5,same_extended,114,1736168160.0,1,BASE_NMP.1
146,2025_01_06,BASE_NMP,long,-7.0,331.5,same_early,109,1736170740.0,1,BASE_NMP.1
147,2025_01_06,BASE_NMP,long,-15.0,338.5,same_extended,111,1736170860.0,1,BASE_NMP.1
148,2025_01_06,BASE_NMP,long,-4.5,353.5,same_extended,112,1736170920.0,1,BASE_NMP.1
149,2025_01_06,BASE_NMP,long,28.5,318.0,same_early,17,1736172000.0,0,BASE_NMP.0
150,2025_01_06,BASE_NMP,long,-9.0,312.0,same_extended,22,1736172300.0,1,BASE_NMP.1
151,2025_01_06,BASE_NMP,long,-0.5,321.0,same_extended,23,1736172360.0,1,BASE_NMP.1
152,2025_01_06,BASE_NMP,short,-40.5,273.5,same_extended,29,1736174700.0,1,BASE_NMP.1
153,2025_01_06,BASE_NMP,long,24.0,306.5,counter_extended,55,1736176260.0,1,BASE_NMP.1
154,2025_01_06,BASE_NMP,short,-7.0,391.5,same_extended,59,1736176500.0,0,BASE_NMP.0
155,2025_01_06,BASE_NMP,long,-3.0,406.0,counter_extended,6,1736177640.0,1,BASE_NMP.1
156,2025_01_06,BASE_NMP,short,-1.5,453.5,same_extended,1,1736178360.0,0,BASE_NMP.0
157,2025_01_06,BASE_NMP,short,-14.0,459.5,same_extended,4,1736179800.0,1,BASE_NMP.1
158,2025_01_06,BASE_NMP,long,6.0,421.5,counter_extended,25,1736181300.0,1,BASE_NMP.1
159,2025_01_06,BASE_NMP,short,-2.0,415.0,same_extended,48,1736182680.0,1,BASE_NMP.1
160,2025_01_06,BASE_NMP,short,-9.5,363.5,same_extended,51,1736182860.0,3,BASE_NMP.3
161,2025_01_06,BASE_NMP,short,74.0,351.0,same_early,104,1736186040.0,2,BASE_NMP.2
162,2025_01_06,BASE_NMP,short,-24.0,198.5,same_extended,112,1736186520.0,3,BASE_NMP.3
163,2025_01_06,BASE_NMP,short,-22.5,216.5,same_extended,120,1736188380.0,3,BASE_NMP.3
164,2025_01_06,BASE_NMP,long,69.5,236.0,same_early,113,1736191560.0,3,BASE_NMP.3
165,2025_01_06,BASE_NMP,long,-11.5,186.5,same_extended,108,1736192520.0,1,BASE_NMP.1
166,2025_01_06,BASE_NMP,short,-10.0,169.5,counter_extended,23,1736194980.0,0,BASE_NMP.0
167,2025_01_06,BASE_NMP,short,-21.5,159.5,counter_extended,24,1736195040.0,0,BASE_NMP.0
168,2025_01_06,BASE_NMP,short,-32.0,138.0,counter_extended,30,1736195400.0,0,BASE_NMP.0
169,2025_01_06,BASE_NMP,short,-4.5,142.0,counter_extended,42,1736196120.0,1,BASE_NMP.1
170,2025_01_06,BASE_NMP,long,176.0,230.0,same_early,60,1736197200.0,3,BASE_NMP.3
171,2025_01_06,BASE_NMP,short,1.0,34.5,counter_extended,117,1736200620.0,1,BASE_NMP.1
172,2025_01_06,BASE_NMP,short,-12.5,35.5,counter_early,120,1736204400.0,1,BASE_NMP.1
173,2025_01_06,BASE_NMP,short,-4.5,45.0,same_extended,120,1736204520.0,0,BASE_NMP.0
174,2025_01_07,BASE_NMP,short,-3.5,186.5,same_extended,22,1736209380.0,2,BASE_NMP.2
175,2025_01_07,BASE_NMP,short,-6.5,193.0,same_extended,32,1736209980.0,0,BASE_NMP.0
176,2025_01_07,BASE_NMP,short,-5.5,199.5,same_extended,1,1736210100.0,0,BASE_NMP.0
177,2025_01_07,BASE_NMP,long,-33.0,194.5,counter_extended,15,1736211300.0,1,BASE_NMP.1
178,2025_01_07,BASE_NMP,short,-2.0,182.0,same_extended,73,1736214780.0,0,BASE_NMP.0
179,2025_01_07,BASE_NMP,short,-2.5,212.5,same_extended,1,1736216580.0,0,BASE_NMP.0
180,2025_01_07,BASE_NMP,short,72.5,709.0,same_extended,36,1736219520.0,1,BASE_NMP.1
