trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
38,2025_01_02,FADE_AGAINST,short,25.5,141.5,counter_extended,61,1735847700.0,3,FADE_AGAINST.3
73,2025_01_03,FADE_AGAINST,long,-18.0,372.0,same_extended,56,1735916100.0,2,FADE_AGAINST.2
76,2025_01_03,FADE_AGAINST,long,29.0,187.5,same_extended,102,1735923780.0,1,FADE_AGAINST.1
77,2025_01_03,FADE_AGAINST,long,22.0,209.0,same_extended,116,1735924620.0,1,FADE_AGAINST.1
79,2025_01_03,FADE_AGAINST,long,66.5,211.5,same_extended,119,1735928820.0,1,FADE_AGAINST.1
81,2025_01_03,FADE_AGAINST,long,17.0,86.5,same_extended,84,1735930560.0,1,FADE_AGAINST.1
82,2025_01_03,FADE_AGAINST,long,59.5,98.5,same_extended,101,1735931580.0,1,FADE_AGAINST.1
111,2025_01_06,FADE_AGAINST,long,81.0,312.0,same_extended,20,1736174160.0,1,FADE_AGAINST.1
112,2025_01_06,FADE_AGAINST,long,54.0,273.5,counter_extended,31,1736174820.0,2,FADE_AGAINST.2
113,2025_01_06,FADE_AGAINST,long,16.5,306.5,counter_extended,45,1736175660.0,2,FADE_AGAINST.2
115,2025_01_06,FADE_AGAINST,long,3.0,406.0,counter_extended,10,1736177880.0,1,FADE_AGAINST.1
157,2025_01_07,FADE_AGAINST,short,163.5,636.0,same_extended,119,1736266560.0,0,FADE_AGAINST.0
160,2025_01_07,FADE_AGAINST,short,9.0,362.5,same_extended,112,1736270280.0,3,FADE_AGAINST.3
162,2025_01_07,FADE_AGAINST,short,-133.0,260.5,same_extended,101,1736273340.0,3,FADE_AGAINST.3
195,2025_01_08,FADE_AGAINST,short,-47.5,321.5,counter_extended,80,1736340180.0,0,FADE_AGAINST.0
204,2025_01_08,FADE_AGAINST,short,133.5,274.0,counter_extended,45,1736357220.0,0,FADE_AGAINST.0
252,2025_01_09,FADE_AGAINST,short,11.5,13.5,same_early,109,1736466900.0,3,FADE_AGAINST.3
280,2025_01_10,FADE_AGAINST,short,357.5,817.0,same_extended,118,1736516220.0,0,FADE_AGAINST.0
283,2025_01_10,FADE_AGAINST,short,59.5,416.5,counter_extended,83,1736526960.0,3,FADE_AGAINST.3
284,2025_01_10,FADE_AGAINST,short,-53.0,468.0,counter_extended,99,1736527920.0,3,FADE_AGAINST.3
329,2025_01_13,FADE_AGAINST,long,-10.5,472.5,same_extended,97,1736796000.0,1,FADE_AGAINST.1
331,2025_01_13,FADE_AGAINST,long,17.5,413.0,same_extended,44,1736798580.0,1,FADE_AGAINST.1
332,2025_01_13,FADE_AGAINST,long,-7.5,398.0,same_extended,70,1736800140.0,1,FADE_AGAINST.1
359,2025_01_14,FADE_AGAINST,short,16.5,515.0,same_extended,46,1736855100.0,3,FADE_AGAINST.3
362,2025_01_14,FADE_AGAINST,short,-31.0,407.0,same_extended,106,1736858280.0,3,FADE_AGAINST.3
366,2025_01_14,FADE_AGAINST,short,-193.0,452.0,same_extended,34,1736867760.0,3,FADE_AGAINST.3
368,2025_01_14,FADE_AGAINST,short,83.0,430.5,same_extended,73,1736870100.0,3,FADE_AGAINST.3
369,2025_01_14,FADE_AGAINST,short,-42.0,328.5,counter_extended,120,1736874960.0,3,FADE_AGAINST.3
371,2025_01_14,FADE_AGAINST,short,-3.5,304.5,counter_extended,14,1736876940.0,3,FADE_AGAINST.3
408,2025_01_15,FADE_AGAINST,long,-3.0,364.5,same_extended,103,1736950500.0,2,FADE_AGAINST.2
410,2025_01_15,FADE_AGAINST,long,128.5,303.0,same_extended,100,1736953560.0,2,FADE_AGAINST.2
454,2025_01_16,FADE_AGAINST,short,108.0,565.0,same_extended,15,1737038640.0,3,FADE_AGAINST.3
463,2025_01_16,FADE_AGAINST,short,15.0,231.5,same_extended,91,1737054060.0,3,FADE_AGAINST.3
467,2025_01_16,FADE_AGAINST,short,33.0,328.0,same_extended,27,1737059760.0,3,FADE_AGAINST.3
482,2025_01_17,FADE_AGAINST,long,-9.0,124.0,same_extended,90,1737089100.0,1,FADE_AGAINST.1
490,2025_01_17,FADE_AGAINST,long,5.5,631.0,same_extended,80,1737106920.0,2,FADE_AGAINST.2
499,2025_01_17,FADE_AGAINST,long,-162.0,223.0,counter_extended,113,1737124920.0,2,FADE_AGAINST.2
500,2025_01_17,FADE_AGAINST,long,72.0,322.5,same_extended,120,1737126240.0,1,FADE_AGAINST.1
502,2025_01_17,FADE_AGAINST,long,65.0,287.0,same_extended,14,1737128460.0,1,FADE_AGAINST.1
503,2025_01_17,FADE_AGAINST,long,92.5,256.0,same_extended,40,1737130020.0,1,FADE_AGAINST.1
515,2025_01_19,FADE_AGAINST,short,10.0,17.5,same_at_exit,48,1737330540.0,3,FADE_AGAINST.3
517,2025_01_20,FADE_AGAINST,short,-41.5,110.5,counter_extended,18,1737335220.0,3,FADE_AGAINST.3
534,2025_01_20,FADE_AGAINST,long,6.0,403.5,same_extended,15,1737378960.0,1,FADE_AGAINST.1
535,2025_01_20,FADE_AGAINST,long,112.0,413.5,same_extended,36,1737380220.0,1,FADE_AGAINST.1
536,2025_01_20,FADE_AGAINST,long,65.0,158.0,same_early,90,1737383460.0,2,FADE_AGAINST.2
537,2025_01_20,FADE_AGAINST,long,-24.5,175.5,counter_extended,94,1737385380.0,1,FADE_AGAINST.1
