trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
25,2025_01_02,KILL_SHOT,long,2.0,947.5,counter_extended,17,1735821180.0,5,KILL_SHOT.5
40,2025_01_02,KILL_SHOT,short,91.0,100.5,same_early,107,1735850460.0,0,KILL_SHOT.0
65,2025_01_03,KILL_SHOT,long,12.5,496.0,same_extended,48,1735905420.0,3,KILL_SHOT.3
177,2025_01_08,KILL_SHOT,short,5.5,83.0,same_extended,77,1736306640.0,1,KILL_SHOT.1
213,2025_01_08,KILL_SHOT,short,34.0,143.0,same_extended,95,1736370180.0,0,KILL_SHOT.0
308,2025_01_13,KILL_SHOT,short,20.0,379.5,same_extended,72,1736753520.0,1,KILL_SHOT.1
388,2025_01_15,KILL_SHOT,short,8.0,64.0,same_extended,78,1736911140.0,0,KILL_SHOT.0
392,2025_01_15,KILL_SHOT,short,10.5,119.0,counter_extended,3,1736919840.0,0,KILL_SHOT.0
406,2025_01_15,KILL_SHOT,long,-21.5,810.5,same_extended,120,1736945880.0,1,KILL_SHOT.1
448,2025_01_16,KILL_SHOT,long,19.0,335.0,counter_extended,25,1737025440.0,1,KILL_SHOT.1
460,2025_01_16,KILL_SHOT,short,30.5,438.0,same_extended,102,1737049860.0,1,KILL_SHOT.1
470,2025_01_16,KILL_SHOT,short,9.0,22.0,counter_extended,120,1737069120.0,0,KILL_SHOT.0
472,2025_01_17,KILL_SHOT,short,3.0,140.0,counter_extended,1,1737072300.0,1,KILL_SHOT.1
478,2025_01_17,KILL_SHOT,long,2.0,78.5,same_extended,110,1737079560.0,1,KILL_SHOT.1
523,2025_01_20,KILL_SHOT,long,10.5,143.0,same_extended,94,1737350520.0,1,KILL_SHOT.1
551,2025_01_21,KILL_SHOT,short,33.5,191.5,counter_extended,3,1737432540.0,1,KILL_SHOT.1
557,2025_01_21,KILL_SHOT,long,19.0,279.5,same_extended,94,1737443280.0,3,KILL_SHOT.3
603,2025_01_22,KILL_SHOT,short,28.5,310.5,counter_extended,7,1737540660.0,1,KILL_SHOT.1
628,2025_01_23,KILL_SHOT,short,12.5,45.0,same_extended,56,1737593880.0,1,KILL_SHOT.1
636,2025_01_23,KILL_SHOT,long,3.0,196.5,counter_extended,22,1737607560.0,1,KILL_SHOT.1
649,2025_01_23,KILL_SHOT,short,10.0,158.5,counter_extended,7,1737631440.0,1,KILL_SHOT.1
708,2025_01_27,KILL_SHOT,short,22.0,488.0,same_extended,16,1737936960.0,2,KILL_SHOT.2
767,2025_01_28,KILL_SHOT,long,18.5,283.0,same_extended,86,1738047900.0,3,KILL_SHOT.3
810,2025_01_29,KILL_SHOT,short,25.0,252.5,same_extended,5,1738138620.0,0,KILL_SHOT.0
836,2025_01_29,KILL_SHOT,long,32.0,82.5,same_early,60,1738191900.0,3,KILL_SHOT.3
854,2025_01_30,KILL_SHOT,long,12.0,159.5,counter_extended,2,1738223520.0,5,KILL_SHOT.5
866,2025_01_30,KILL_SHOT,short,-6.5,428.0,same_extended,118,1738244040.0,0,KILL_SHOT.0
882,2025_01_30,KILL_SHOT,short,31.5,156.5,counter_extended,51,1738272900.0,0,KILL_SHOT.0
883,2025_01_30,KILL_SHOT,long,21.5,223.5,same_extended,60,1738273440.0,3,KILL_SHOT.3
951,2025_02_03,KILL_SHOT,long,167.5,649.0,same_extended,100,1738593660.0,3,KILL_SHOT.3
954,2025_02_03,KILL_SHOT,long,26.5,387.5,same_extended,48,1738598820.0,5,KILL_SHOT.5
990,2025_02_04,KILL_SHOT,short,69.0,427.5,counter_extended,101,1738674180.0,0,KILL_SHOT.0
992,2025_02_04,KILL_SHOT,short,31.5,490.5,counter_extended,116,1738677300.0,1,KILL_SHOT.1
1045,2025_02_05,KILL_SHOT,long,14.5,199.5,same_extended,120,1738779780.0,1,KILL_SHOT.1
1087,2025_02_06,KILL_SHOT,short,5.0,201.0,counter_extended,76,1738861380.0,1,KILL_SHOT.1
1116,2025_02_07,KILL_SHOT,long,4.0,516.0,counter_extended,11,1738929960.0,5,KILL_SHOT.5
1123,2025_02_07,KILL_SHOT,short,38.0,225.0,same_extended,111,1738946640.0,4,KILL_SHOT.4
1216,2025_02_12,KILL_SHOT,long,3.5,101.5,counter_extended,8,1739320740.0,5,KILL_SHOT.5
1258,2025_02_13,KILL_SHOT,long,5.0,221.5,counter_extended,7,1739414640.0,1,KILL_SHOT.1
1341,2025_02_17,KILL_SHOT,long,13.5,144.0,same_extended,3,1739750580.0,1,KILL_SHOT.1
1395,2025_02_18,KILL_SHOT,long,8.0,273.5,counter_extended,50,1739873460.0,3,KILL_SHOT.3
1458,2025_02_20,KILL_SHOT,long,26.0,65.5,counter_extended,4,1740022620.0,3,KILL_SHOT.3
1490,2025_02_20,KILL_SHOT,long,33.0,168.5,same_extended,120,1740083100.0,3,KILL_SHOT.3
1519,2025_02_21,KILL_SHOT,long,8.0,915.5,counter_extended,9,1740143340.0,5,KILL_SHOT.5
1520,2025_02_21,KILL_SHOT,short,16.0,1018.0,same_extended,1,1740143940.0,5,KILL_SHOT.5
1532,2025_02_21,KILL_SHOT,short,-7.5,91.0,same_extended,120,1740167700.0,2,KILL_SHOT.2
1560,2025_02_24,KILL_SHOT,long,15.0,616.0,counter_extended,81,1740393900.0,2,KILL_SHOT.2
1571,2025_02_24,KILL_SHOT,short,-95.5,309.0,counter_extended,79,1740410280.0,4,KILL_SHOT.4
1587,2025_02_25,KILL_SHOT,long,45.5,133.0,counter_extended,4,1740447360.0,3,KILL_SHOT.3
1610,2025_02_25,KILL_SHOT,long,-1.5,846.5,counter_extended,3,1740489900.0,5,KILL_SHOT.5
1624,2025_02_25,KILL_SHOT,long,23.5,142.0,same_extended,44,1740514380.0,2,KILL_SHOT.2
1645,2025_02_26,KILL_SHOT,short,21.0,188.0,same_extended,3,1740558900.0,1,KILL_SHOT.1
1670,2025_02_26,KILL_SHOT,short,121.0,298.0,same_extended,85,1740604980.0,6,KILL_SHOT.6
1712,2025_02_27,KILL_SHOT,short,15.0,25.0,same_early,120,1740699180.0,2,KILL_SHOT.2
1750,2025_03_03,KILL_SHOT,long,88.0,319.5,same_extended,12,1740962940.0,3,KILL_SHOT.3
1754,2025_03_03,KILL_SHOT,long,35.5,197.5,same_extended,104,1740969600.0,3,KILL_SHOT.3
1766,2025_03_03,KILL_SHOT,short,9.5,829.0,same_extended,18,1741006080.0,2,KILL_SHOT.2
1777,2025_03_03,KILL_SHOT,short,99.0,1249.5,same_extended,85,1741024140.0,2,KILL_SHOT.2
1807,2025_03_04,KILL_SHOT,short,15.5,732.0,same_extended,58,1741085040.0,2,KILL_SHOT.2
1835,2025_03_05,KILL_SHOT,short,33.0,176.5,same_extended,85,1741138140.0,1,KILL_SHOT.1
1844,2025_03_05,KILL_SHOT,short,37.5,248.5,same_extended,104,1741158780.0,0,KILL_SHOT.0
1852,2025_03_05,KILL_SHOT,short,14.0,655.0,same_extended,29,1741173300.0,1,KILL_SHOT.1
1906,2025_03_06,KILL_SHOT,short,59.0,407.0,same_extended,104,1741281840.0,4,KILL_SHOT.4
1922,2025_03_07,KILL_SHOT,long,17.0,144.5,counter_extended,41,1741312500.0,1,KILL_SHOT.1
1939,2025_03_07,KILL_SHOT,long,31.0,770.0,counter_extended,22,1741345680.0,3,KILL_SHOT.3
2112,2025_03_13,KILL_SHOT,short,82.5,271.0,same_extended,118,1741884660.0,2,KILL_SHOT.2
2166,2025_03_17,KILL_SHOT,short,8.0,101.0,same_extended,99,1742180400.0,1,KILL_SHOT.1
2197,2025_03_17,KILL_SHOT,long,21.5,44.0,counter_extended,115,1742250720.0,1,KILL_SHOT.1
2199,2025_03_17,KILL_SHOT,long,0.5,10.0,counter_extended,77,1742255700.0,1,KILL_SHOT.1
2255,2025_03_19,KILL_SHOT,long,29.5,138.5,same_extended,61,1742365980.0,3,KILL_SHOT.3
2434,2025_04_03,KILL_SHOT,short,24.0,349.5,same_extended,118,1743704820.0,2,KILL_SHOT.2
2448,2025_04_04,KILL_SHOT,short,11.0,411.5,same_extended,79,1743734460.0,2,KILL_SHOT.2
2458,2025_04_04,KILL_SHOT,long,20.0,1449.0,counter_extended,94,1743752160.0,2,KILL_SHOT.2
2573,2025_04_09,KILL_SHOT,short,43.0,586.0,counter_extended,7,1744158180.0,2,KILL_SHOT.2
2578,2025_04_09,KILL_SHOT,short,55.5,675.5,counter_extended,100,1744167900.0,2,KILL_SHOT.2
2610,2025_04_09,KILL_SHOT,long,56.0,176.0,same_extended,117,1744237500.0,7,KILL_SHOT.7
2627,2025_04_10,KILL_SHOT,short,150.5,867.5,same_extended,13,1744269840.0,4,KILL_SHOT.4
2695,2025_04_11,KILL_SHOT,long,76.5,117.0,same_at_exit,109,1744399200.0,3,KILL_SHOT.3
2696,2025_04_11,KILL_SHOT,long,63.0,63.0,same_early,118,1744399980.0,3,KILL_SHOT.3
2708,2025_04_14,KILL_SHOT,short,30.0,250.5,counter_extended,27,1744597080.0,0,KILL_SHOT.0
2714,2025_04_14,KILL_SHOT,short,19.5,157.5,counter_extended,111,1744609740.0,1,KILL_SHOT.1
2736,2025_04_14,KILL_SHOT,long,56.5,502.5,same_extended,83,1744652040.0,2,KILL_SHOT.2
2867,2025_04_17,KILL_SHOT,long,20.0,155.0,same_extended,47,1744917480.0,1,KILL_SHOT.1
2868,2025_04_17,KILL_SHOT,short,44.5,111.5,same_extended,58,1744918140.0,4,KILL_SHOT.4
2890,2025_04_21,KILL_SHOT,long,7.0,751.5,counter_extended,9,1745230500.0,5,KILL_SHOT.5
2984,2025_04_23,KILL_SHOT,short,38.5,682.5,same_extended,34,1745421000.0,4,KILL_SHOT.4
3131,2025_04_28,KILL_SHOT,long,31.0,426.5,same_extended,43,1745864040.0,5,KILL_SHOT.5
3173,2025_04_29,KILL_SHOT,long,12.0,219.0,counter_extended,78,1745950440.0,5,KILL_SHOT.5
3202,2025_04_30,KILL_SHOT,short,-24.0,914.0,same_extended,31,1746002820.0,1,KILL_SHOT.1
3298,2025_05_02,KILL_SHOT,short,-10.0,690.0,counter_extended,11,1746186420.0,1,KILL_SHOT.1
3308,2025_05_02,KILL_SHOT,short,58.5,147.5,same_extended,114,1746206640.0,1,KILL_SHOT.1
