trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
4,2025_01_02,MTF_EXHAUSTION,short,-18.0,344.5,counter_extended,18,1735778880.0,0,MTF_EXHAUSTION.0
5,2025_01_02,MTF_EXHAUSTION,long,8.5,310.5,same_extended,43,1735779600.0,0,MTF_EXHAUSTION.0
7,2025_01_02,MTF_EXHAUSTION,long,19.5,278.0,same_extended,53,1735780200.0,0,MTF_EXHAUSTION.0
8,2025_01_02,MTF_EXHAUSTION,long,-22.0,269.0,same_extended,63,1735780800.0,0,MTF_EXHAUSTION.0
9,2025_01_02,MTF_EXHAUSTION,long,-43.5,258.5,same_extended,65,1735781700.0,0,MTF_EXHAUSTION.0
10,2025_01_02,MTF_EXHAUSTION,long,-5.5,246.0,same_extended,80,1735782600.0,1,MTF_EXHAUSTION.1
11,2025_01_02,MTF_EXHAUSTION,long,-22.0,229.0,same_extended,103,1735783200.0,1,MTF_EXHAUSTION.1
13,2025_01_02,MTF_EXHAUSTION,long,-16.0,174.5,same_extended,117,1735786500.0,0,MTF_EXHAUSTION.0
14,2025_01_02,MTF_EXHAUSTION,long,-19.0,189.5,same_extended,90,1735787100.0,1,MTF_EXHAUSTION.1
17,2025_01_02,MTF_EXHAUSTION,long,-10.5,215.0,same_extended,120,1735791300.0,1,MTF_EXHAUSTION.1
18,2025_01_02,MTF_EXHAUSTION,long,-17.5,237.0,same_extended,1,1735791720.0,1,MTF_EXHAUSTION.1
19,2025_01_02,MTF_EXHAUSTION,short,1.0,201.5,counter_extended,18,1735792800.0,0,MTF_EXHAUSTION.0
20,2025_01_02,MTF_EXHAUSTION,long,-0.5,189.5,same_extended,28,1735793400.0,1,MTF_EXHAUSTION.1
26,2025_01_02,MTF_EXHAUSTION,long,-7.0,231.5,same_extended,46,1735797300.0,0,MTF_EXHAUSTION.0
28,2025_01_02,MTF_EXHAUSTION,long,-29.0,223.0,same_extended,59,1735799400.0,1,MTF_EXHAUSTION.1
29,2025_01_02,MTF_EXHAUSTION,long,3.5,189.5,same_extended,89,1735801380.0,0,MTF_EXHAUSTION.0
31,2025_01_02,MTF_EXHAUSTION,long,-10.0,226.0,same_extended,64,1735803120.0,1,MTF_EXHAUSTION.1
33,2025_01_02,MTF_EXHAUSTION,short,82.0,805.0,same_extended,16,1735806600.0,0,MTF_EXHAUSTION.0
35,2025_01_02,MTF_EXHAUSTION,long,12.0,379.5,counter_extended,41,1735808100.0,0,MTF_EXHAUSTION.0
36,2025_01_02,MTF_EXHAUSTION,long,22.0,375.5,counter_extended,51,1735808700.0,1,MTF_EXHAUSTION.1
37,2025_01_02,MTF_EXHAUSTION,short,-19.0,433.5,same_extended,63,1735809420.0,0,MTF_EXHAUSTION.0
38,2025_01_02,MTF_EXHAUSTION,long,-2.5,432.0,counter_extended,76,1735810200.0,1,MTF_EXHAUSTION.1
39,2025_01_02,MTF_EXHAUSTION,long,-40.5,431.5,counter_extended,86,1735810800.0,1,MTF_EXHAUSTION.1
40,2025_01_02,MTF_EXHAUSTION,short,9.5,780.0,same_extended,1,1735811700.0,0,MTF_EXHAUSTION.0
41,2025_01_02,MTF_EXHAUSTION,long,-33.0,460.5,counter_extended,111,1735812300.0,0,MTF_EXHAUSTION.0
43,2025_01_02,MTF_EXHAUSTION,long,-28.0,426.0,counter_extended,120,1735812900.0,1,MTF_EXHAUSTION.1
45,2025_01_02,MTF_EXHAUSTION,short,-4.0,443.5,same_extended,39,1735814340.0,0,MTF_EXHAUSTION.0
46,2025_01_02,MTF_EXHAUSTION,long,7.0,572.5,counter_extended,1,1735814700.0,1,MTF_EXHAUSTION.1
47,2025_01_02,MTF_EXHAUSTION,long,-6.0,781.5,counter_extended,4,1735815300.0,1,MTF_EXHAUSTION.1
48,2025_01_02,MTF_EXHAUSTION,long,-2.0,776.0,counter_extended,6,1735815900.0,1,MTF_EXHAUSTION.1
49,2025_01_02,MTF_EXHAUSTION,short,-13.0,799.5,same_extended,5,1735816980.0,1,MTF_EXHAUSTION.1
51,2025_01_02,MTF_EXHAUSTION,long,19.0,923.5,counter_extended,3,1735819500.0,0,MTF_EXHAUSTION.0
53,2025_01_02,MTF_EXHAUSTION,long,-10.5,964.5,counter_extended,19,1735821300.0,1,MTF_EXHAUSTION.1
54,2025_01_02,MTF_EXHAUSTION,long,-68.5,966.0,counter_extended,29,1735821900.0,1,MTF_EXHAUSTION.1
55,2025_01_02,MTF_EXHAUSTION,long,-10.5,889.0,counter_extended,57,1735823580.0,1,MTF_EXHAUSTION.1
58,2025_01_02,MTF_EXHAUSTION,long,-47.0,796.0,counter_extended,106,1735826520.0,2,MTF_EXHAUSTION.2
