trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
0,2025_01_01,PEAK,short,-10.5,101.5,same_extended,12,1735773360.0,0,PEAK.0
49,2025_01_03,PEAK,short,16.0,104.5,counter_extended,19,1735863600.0,2,PEAK.2
56,2025_01_03,PEAK,long,5.5,140.0,same_extended,5,1735880820.0,0,PEAK.0
57,2025_01_03,PEAK,long,15.0,148.5,same_extended,3,1735881840.0,0,PEAK.0
143,2025_01_07,PEAK,long,20.5,98.0,counter_extended,49,1736219460.0,0,PEAK.0
194,2025_01_08,PEAK,long,-24.0,295.0,counter_extended,55,1736320920.0,0,PEAK.0
219,2025_01_08,PEAK,short,-17.0,140.0,counter_extended,54,1736360640.0,2,PEAK.2
320,2025_01_13,PEAK,short,-14.0,434.5,same_extended,4,1736749140.0,2,PEAK.2
396,2025_01_14,PEAK,short,-23.5,60.5,same_early,117,1736889300.0,2,PEAK.2
397,2025_01_14,PEAK,short,9.0,88.5,same_early,112,1736890200.0,2,PEAK.2
442,2025_01_15,PEAK,long,26.0,95.0,same_early,50,1736975760.0,0,PEAK.0
457,2025_01_16,PEAK,short,11.5,256.5,counter_extended,69,1737010020.0,2,PEAK.2
491,2025_01_16,PEAK,long,-10.0,56.5,same_early,81,1737063000.0,0,PEAK.0
549,2025_01_20,PEAK,long,5.0,161.5,same_extended,92,1737347820.0,0,PEAK.0
564,2025_01_20,PEAK,short,-22.5,165.5,counter_extended,60,1737381660.0,2,PEAK.2
762,2025_01_27,PEAK,long,-11.0,1189.0,counter_extended,106,1737960480.0,0,PEAK.0
791,2025_01_27,PEAK,short,-22.0,96.5,counter_extended,97,1738013220.0,2,PEAK.2
845,2025_01_29,PEAK,short,-26.0,197.0,counter_extended,51,1738124100.0,2,PEAK.2
997,2025_02_03,PEAK,short,18.5,569.0,counter_extended,35,1738588860.0,2,PEAK.2
1014,2025_02_03,PEAK,short,17.0,158.5,counter_extended,34,1738618500.0,2,PEAK.2
1097,2025_02_05,PEAK,short,12.0,130.5,counter_extended,119,1738775700.0,2,PEAK.2
1106,2025_02_05,PEAK,short,-9.5,61.0,same_early,37,1738790460.0,2,PEAK.2
1172,2025_02_07,PEAK,long,8.5,235.5,same_extended,1,1738917120.0,0,PEAK.0
1201,2025_02_10,PEAK,short,-0.5,63.5,counter_extended,120,1739161800.0,0,PEAK.0
1239,2025_02_10,PEAK,long,-25.0,29.0,counter_early,118,1739229900.0,0,PEAK.0
1246,2025_02_11,PEAK,long,-13.5,69.5,counter_extended,54,1739241240.0,0,PEAK.0
1429,2025_02_17,PEAK,long,1.5,57.0,same_extended,64,1739779200.0,0,PEAK.0
1439,2025_02_17,PEAK,long,-5.0,103.5,counter_extended,29,1739792820.0,0,PEAK.0
1452,2025_02_17,PEAK,long,-4.0,19.0,same_extended,120,1739835000.0,0,PEAK.0
1468,2025_02_18,PEAK,short,-14.0,67.5,same_extended,64,1739862000.0,2,PEAK.2
1517,2025_02_19,PEAK,short,8.0,240.0,same_extended,8,1739967420.0,2,PEAK.2
1541,2025_02_20,PEAK,long,-15.5,68.0,counter_extended,49,1740016260.0,0,PEAK.0
