trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
22,2025_01_02,REGIME_FLIP,short,6.0,403.5,same_extended,51,1735808700.0,2,REGIME_FLIP.2
52,2025_01_03,REGIME_FLIP,short,-1.5,83.5,same_extended,112,1735876200.0,3,REGIME_FLIP.3
53,2025_01_03,REGIME_FLIP,long,-0.5,79.0,counter_extended,64,1735876560.0,3,REGIME_FLIP.3
64,2025_01_03,REGIME_FLIP,long,27.5,355.5,same_extended,4,1735891200.0,3,REGIME_FLIP.3
68,2025_01_03,REGIME_FLIP,short,-1.0,385.0,counter_extended,16,1735894680.0,3,REGIME_FLIP.3
81,2025_01_03,REGIME_FLIP,short,-62.0,525.0,counter_extended,32,1735914660.0,2,REGIME_FLIP.2
87,2025_01_03,REGIME_FLIP,long,38.5,204.5,same_extended,81,1735922520.0,2,REGIME_FLIP.2
88,2025_01_03,REGIME_FLIP,long,3.0,166.0,same_extended,82,1735922580.0,2,REGIME_FLIP.2
89,2025_01_03,REGIME_FLIP,long,2.0,163.0,same_extended,88,1735922940.0,2,REGIME_FLIP.2
92,2025_01_03,REGIME_FLIP,long,-7.0,197.5,same_extended,120,1735924860.0,3,REGIME_FLIP.3
93,2025_01_03,REGIME_FLIP,short,-31.5,204.5,counter_extended,118,1735925100.0,3,REGIME_FLIP.3
102,2025_01_03,REGIME_FLIP,short,23.5,88.0,same_early,55,1735936440.0,3,REGIME_FLIP.3
124,2025_01_06,REGIME_FLIP,short,-22.0,371.5,counter_extended,57,1736150640.0,2,REGIME_FLIP.2
149,2025_01_06,REGIME_FLIP,long,-17.0,166.0,same_extended,118,1736192040.0,0,REGIME_FLIP.0
152,2025_01_06,REGIME_FLIP,long,0.0,38.5,same_extended,98,1736199480.0,3,REGIME_FLIP.3
153,2025_01_06,REGIME_FLIP,long,1.5,38.5,same_extended,100,1736199600.0,3,REGIME_FLIP.3
154,2025_01_06,REGIME_FLIP,short,-2.0,37.0,counter_extended,104,1736199840.0,3,REGIME_FLIP.3
155,2025_01_06,REGIME_FLIP,short,-1.5,35.0,counter_extended,106,1736199960.0,3,REGIME_FLIP.3
157,2025_01_06,REGIME_FLIP,long,2.0,26.5,same_early,115,1736200500.0,3,REGIME_FLIP.3
158,2025_01_06,REGIME_FLIP,long,-10.0,25.0,counter_extended,116,1736200560.0,3,REGIME_FLIP.3
165,2025_01_07,REGIME_FLIP,short,-2.5,153.0,same_extended,55,1736213700.0,3,REGIME_FLIP.3
173,2025_01_07,REGIME_FLIP,short,4.5,99.5,same_early,91,1736226360.0,3,REGIME_FLIP.3
190,2025_01_07,REGIME_FLIP,short,-19.0,671.0,same_extended,36,1736251500.0,3,REGIME_FLIP.3
209,2025_01_07,REGIME_FLIP,long,16.0,80.0,counter_extended,108,1736284620.0,3,REGIME_FLIP.3
210,2025_01_07,REGIME_FLIP,long,2.0,96.0,counter_extended,109,1736284680.0,3,REGIME_FLIP.3
211,2025_01_07,REGIME_FLIP,long,-24.0,98.0,counter_extended,111,1736284800.0,3,REGIME_FLIP.3
229,2025_01_08,REGIME_FLIP,long,-6.5,234.0,counter_extended,1,1736314200.0,3,REGIME_FLIP.3
239,2025_01_08,REGIME_FLIP,long,2.0,381.5,counter_extended,26,1736328960.0,3,REGIME_FLIP.3
240,2025_01_08,REGIME_FLIP,short,1.0,383.5,same_extended,28,1736329080.0,3,REGIME_FLIP.3
241,2025_01_08,REGIME_FLIP,short,0.0,389.0,same_extended,33,1736329380.0,3,REGIME_FLIP.3
242,2025_01_08,REGIME_FLIP,short,1.5,380.0,same_extended,38,1736329680.0,3,REGIME_FLIP.3
243,2025_01_08,REGIME_FLIP,short,-5.5,385.5,same_extended,47,1736330220.0,3,REGIME_FLIP.3
262,2025_01_08,REGIME_FLIP,short,0.0,315.0,counter_extended,29,1736359140.0,0,REGIME_FLIP.0
263,2025_01_08,REGIME_FLIP,short,-55.5,288.5,counter_extended,35,1736359500.0,2,REGIME_FLIP.2
264,2025_01_08,REGIME_FLIP,short,-19.5,172.0,counter_extended,46,1736360160.0,2,REGIME_FLIP.2
265,2025_01_08,REGIME_FLIP,long,5.0,152.5,same_extended,47,1736360220.0,2,REGIME_FLIP.2
