trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
42,2025_01_02,RIDE_AGAINST,long,-66.0,80.0,counter_extended,114,1735860780.0,0,RIDE_AGAINST.0
43,2025_01_02,RIDE_AGAINST,short,-36.0,36.0,counter_early,90,1735862395.0,0,RIDE_AGAINST.0
44,2025_01_03,RIDE_AGAINST,long,48.5,145.5,same_extended,15,1735863360.0,3,RIDE_AGAINST.3
50,2025_01_03,RIDE_AGAINST,short,28.5,111.5,counter_extended,4,1735880760.0,0,RIDE_AGAINST.0
53,2025_01_03,RIDE_AGAINST,long,-18.0,88.0,counter_extended,93,1735887240.0,3,RIDE_AGAINST.3
55,2025_01_03,RIDE_AGAINST,long,9.0,113.0,same_extended,19,1735889460.0,3,RIDE_AGAINST.3
57,2025_01_03,RIDE_AGAINST,short,55.0,333.0,counter_extended,1,1735893240.0,0,RIDE_AGAINST.0
59,2025_01_03,RIDE_AGAINST,long,39.0,351.0,same_extended,32,1735895640.0,3,RIDE_AGAINST.3
62,2025_01_03,RIDE_AGAINST,short,30.5,445.5,counter_extended,8,1735900440.0,0,RIDE_AGAINST.0
63,2025_01_03,RIDE_AGAINST,short,28.0,497.0,counter_extended,1,1735902420.0,0,RIDE_AGAINST.0
64,2025_01_03,RIDE_AGAINST,long,29.5,505.5,same_extended,29,1735904280.0,3,RIDE_AGAINST.3
66,2025_01_03,RIDE_AGAINST,short,13.5,504.5,counter_extended,60,1735906140.0,0,RIDE_AGAINST.0
70,2025_01_03,RIDE_AGAINST,long,43.5,643.0,same_extended,14,1735913580.0,3,RIDE_AGAINST.3
71,2025_01_03,RIDE_AGAINST,long,37.5,463.0,same_extended,38,1735915020.0,2,RIDE_AGAINST.2
72,2025_01_03,RIDE_AGAINST,long,23.0,290.5,same_extended,45,1735915440.0,2,RIDE_AGAINST.2
74,2025_01_03,RIDE_AGAINST,short,-10.5,361.0,counter_extended,104,1735918980.0,0,RIDE_AGAINST.0
75,2025_01_03,RIDE_AGAINST,long,-74.0,313.5,same_extended,120,1735920840.0,3,RIDE_AGAINST.3
78,2025_01_03,RIDE_AGAINST,long,-7.5,169.5,same_extended,106,1735927020.0,3,RIDE_AGAINST.3
80,2025_01_03,RIDE_AGAINST,long,38.0,125.5,same_extended,64,1735929360.0,3,RIDE_AGAINST.3
85,2025_01_03,RIDE_AGAINST,short,-35.5,36.5,counter_extended,82,1735938060.0,0,RIDE_AGAINST.0
88,2025_01_05,RIDE_AGAINST,long,6.5,12.0,same_at_exit,30,1736120760.0,3,RIDE_AGAINST.3
89,2025_01_06,RIDE_AGAINST,short,42.5,109.5,counter_extended,19,1736125380.0,0,RIDE_AGAINST.0
92,2025_01_06,RIDE_AGAINST,short,-15.5,293.5,counter_extended,12,1736133600.0,0,RIDE_AGAINST.0
94,2025_01_06,RIDE_AGAINST,long,4.0,335.0,same_extended,50,1736139960.0,3,RIDE_AGAINST.3
98,2025_01_06,RIDE_AGAINST,long,9.0,388.5,same_extended,21,1736148480.0,3,RIDE_AGAINST.3
100,2025_01_06,RIDE_AGAINST,long,30.0,349.5,same_extended,67,1736151240.0,3,RIDE_AGAINST.3
102,2025_01_06,RIDE_AGAINST,long,36.5,484.5,same_extended,27,1736154120.0,3,RIDE_AGAINST.3
105,2025_01_06,RIDE_AGAINST,long,26.5,433.5,same_extended,95,1736162040.0,3,RIDE_AGAINST.3
106,2025_01_06,RIDE_AGAINST,long,28.0,338.5,same_extended,120,1736163540.0,3,RIDE_AGAINST.3
109,2025_01_06,RIDE_AGAINST,long,9.0,331.5,same_extended,104,1736170440.0,3,RIDE_AGAINST.3
114,2025_01_06,RIDE_AGAINST,long,13.5,391.5,counter_extended,65,1736176860.0,3,RIDE_AGAINST.3
116,2025_01_06,RIDE_AGAINST,long,-1.0,453.5,counter_extended,9,1736178900.0,3,RIDE_AGAINST.3
118,2025_01_06,RIDE_AGAINST,short,-5.0,421.5,same_extended,16,1736180760.0,0,RIDE_AGAINST.0
120,2025_01_06,RIDE_AGAINST,short,-27.5,363.5,same_extended,62,1736183520.0,0,RIDE_AGAINST.0
122,2025_01_06,RIDE_AGAINST,short,-28.5,198.5,same_extended,118,1736186880.0,1,RIDE_AGAINST.1
123,2025_01_06,RIDE_AGAINST,short,116.5,216.5,same_early,120,1736191020.0,1,RIDE_AGAINST.1
124,2025_01_06,RIDE_AGAINST,short,6.5,186.5,counter_extended,120,1736192340.0,1,RIDE_AGAINST.1
125,2025_01_06,RIDE_AGAINST,long,45.0,169.5,same_extended,37,1736195820.0,3,RIDE_AGAINST.3
130,2025_01_07,RIDE_AGAINST,short,31.0,194.5,same_extended,24,1736211840.0,0,RIDE_AGAINST.0
131,2025_01_07,RIDE_AGAINST,long,-18.5,182.0,counter_extended,23,1736217900.0,3,RIDE_AGAINST.3
132,2025_01_07,RIDE_AGAINST,short,13.0,122.0,same_extended,41,1736218980.0,0,RIDE_AGAINST.0
133,2025_01_07,RIDE_AGAINST,long,-10.5,142.0,counter_extended,87,1736221740.0,3,RIDE_AGAINST.3
134,2025_01_07,RIDE_AGAINST,long,-9.5,135.0,counter_extended,117,1736223540.0,3,RIDE_AGAINST.3
135,2025_01_07,RIDE_AGAINST,short,17.5,116.5,same_extended,80,1736225700.0,0,RIDE_AGAINST.0
136,2025_01_07,RIDE_AGAINST,short,51.0,118.5,counter_extended,4,1736227680.0,0,RIDE_AGAINST.0
137,2025_01_07,RIDE_AGAINST,short,-37.5,173.0,counter_extended,33,1736229420.0,0,RIDE_AGAINST.0
138,2025_01_07,RIDE_AGAINST,short,-2.5,133.5,counter_extended,54,1736230680.0,0,RIDE_AGAINST.0
139,2025_01_07,RIDE_AGAINST,short,0.0,143.5,counter_extended,90,1736232840.0,0,RIDE_AGAINST.0
140,2025_01_07,RIDE_AGAINST,long,46.5,144.5,same_extended,108,1736233920.0,3,RIDE_AGAINST.3
145,2025_01_07,RIDE_AGAINST,long,73.0,198.0,counter_extended,1,1736239620.0,3,RIDE_AGAINST.3
147,2025_01_07,RIDE_AGAINST,short,-11.0,677.5,same_extended,3,1736242860.0,0,RIDE_AGAINST.0
148,2025_01_07,RIDE_AGAINST,short,36.5,653.0,same_extended,23,1736244060.0,0,RIDE_AGAINST.0
149,2025_01_07,RIDE_AGAINST,long,38.5,660.0,counter_extended,9,1736245920.0,3,RIDE_AGAINST.3
151,2025_01_07,RIDE_AGAINST,short,42.5,709.0,same_extended,36,1736251320.0,0,RIDE_AGAINST.0
152,2025_01_07,RIDE_AGAINST,long,12.0,690.0,counter_extended,73,1736253540.0,3,RIDE_AGAINST.3
154,2025_01_07,RIDE_AGAINST,long,6.0,709.0,counter_extended,49,1736257200.0,3,RIDE_AGAINST.3
156,2025_01_07,RIDE_AGAINST,short,290.5,900.0,same_extended,37,1736262420.0,1,RIDE_AGAINST.1
158,2025_01_07,RIDE_AGAINST,short,-20.0,461.5,same_extended,110,1736268120.0,1,RIDE_AGAINST.1
159,2025_01_07,RIDE_AGAINST,short,61.0,352.0,same_extended,119,1736269080.0,1,RIDE_AGAINST.1
163,2025_01_07,RIDE_AGAINST,short,103.5,408.0,same_extended,31,1736276220.0,1,RIDE_AGAINST.1
165,2025_01_07,RIDE_AGAINST,short,26.0,336.0,same_extended,66,1736278320.0,0,RIDE_AGAINST.0
166,2025_01_07,RIDE_AGAINST,short,25.0,280.0,same_extended,83,1736279340.0,0,RIDE_AGAINST.0
167,2025_01_07,RIDE_AGAINST,short,-95.0,217.5,counter_extended,94,1736282760.0,1,RIDE_AGAINST.1
172,2025_01_08,RIDE_AGAINST,long,8.0,55.5,same_extended,40,1736297280.0,3,RIDE_AGAINST.3
174,2025_01_08,RIDE_AGAINST,long,11.0,111.0,counter_extended,1,1736300760.0,3,RIDE_AGAINST.3
175,2025_01_08,RIDE_AGAINST,short,5.0,127.0,same_extended,21,1736303280.0,0,RIDE_AGAINST.0
