actual_pnl,actual_held,direction,same_early_best,same_early_bar,same_at_exit,same_ext_best,same_ext_bar,same_best,same_best_bar,counter_early_best,counter_early_bar,counter_at_exit,counter_ext_best,counter_ext_bar,counter_best,counter_best_bar,best_action,best_pnl,regret,early_entry_gain,best_early_bars_before,best_early_same_peak,best_early_counter_peak,trade_id,day,entry_tier
0.0,4,long,18.0,1,0.0,211.5,360,211.5,360,4.0,3,0.0,18.0,10,18.0,10,same_extended,211.5,211.5,498.5,95,498.5,0.0,0,2025_01_02,KILL_SHOT
0.5,2,long,0.0,0,0.5,218.5,360,218.5,360,1.5,1,-0.5,18.0,6,18.0,6,same_extended,218.5,218.0,485.0,99,485.5,0.0,1,2025_01_02,KILL_SHOT
18.5,4,short,4.5,3,18.5,18.5,4,18.5,4,4.5,1,-18.5,242.0,363,242.0,363,counter_extended,242.0,223.5,480.0,101,0.0,498.5,2,2025_01_02,KILL_SHOT
61.0,12,long,37.0,8,61.0,260.5,359,260.5,359,0.0,0,-61.0,0.0,0,0.0,0,same_extended,260.5,199.5,437.5,105,498.5,0.0,3,2025_01_02,KILL_SHOT
14.0,5,short,8.5,4,14.0,55.0,115,55.0,115,4.5,2,-14.0,199.5,347,199.5,347,counter_extended,199.5,185.5,484.5,117,0.0,498.5,4,2025_01_02,KILL_SHOT
-84.5,9,short,0.0,0,-84.5,64.5,34,64.5,34,48.5,2,84.5,245.5,256,245.5,256,counter_extended,245.5,330.0,273.5,15,36.5,273.5,5,2025_01_02,KILL_SHOT
0.5,2,long,0.0,0,0.5,185.5,66,185.5,66,2.5,1,-0.5,435.5,209,435.5,209,counter_extended,435.5,435.0,460.0,70,160.5,460.5,6,2025_01_02,KILL_SHOT
-15.5,4,short,0.0,0,-15.5,436.0,207,436.0,207,9.0,1,15.5,185.0,64,185.0,64,same_extended,436.0,451.5,460.5,72,460.5,160.5,7,2025_01_02,KILL_SHOT
6.5,2,short,2.5,1,6.5,889.0,349,889.0,349,0.0,0,-6.5,37.0,39,37.0,39,same_extended,889.0,882.5,966.0,49,972.5,0.0,8,2025_01_02,KILL_SHOT
-22.0,10,long,1.5,2,-22.0,43.5,37,43.5,37,6.5,1,22.0,882.5,347,882.5,347,counter_extended,882.5,904.5,972.5,51,0.0,972.5,9,2025_01_02,KILL_SHOT
24.5,2,long,10.5,1,24.5,104.0,6,104.0,6,0.0,0,-24.5,612.0,129,612.0,129,counter_extended,612.0,587.5,856.0,92,0.0,880.5,10,2025_01_02,KILL_SHOT
-19.5,7,long,79.5,4,-19.5,46.5,26,79.5,4,0.0,0,19.5,636.5,127,636.5,127,counter_extended,636.5,656.0,880.5,94,0.0,880.5,11,2025_01_02,KILL_SHOT
4.0,9,long,25.5,8,4.0,250.5,139,250.5,139,16.0,3,-4.0,25.0,49,25.0,49,same_extended,250.5,246.5,679.0,117,0.0,683.0,12,2025_01_02,KILL_SHOT
33.5,12,long,37.0,9,33.5,134.5,193,134.5,193,0.0,0,-33.5,20.0,368,20.0,368,same_extended,134.5,101.0,121.0,50,154.5,0.0,13,2025_01_03,KILL_SHOT
21.0,8,long,16.5,3,21.0,496.0,300,496.0,300,0.0,0,-21.0,58.5,29,58.5,29,same_extended,496.0,475.0,512.0,41,533.0,21.5,14,2025_01_03,KILL_SHOT
43.0,11,short,52.5,7,43.0,79.5,21,79.5,21,0.0,0,-43.0,475.0,292,475.0,292,counter_extended,475.0,432.0,490.0,49,21.5,533.0,15,2025_01_03,KILL_SHOT
6.5,22,short,42.5,8,6.5,18.0,24,42.5,8,13.5,1,-6.5,567.5,380,567.5,380,counter_extended,567.5,561.0,565.0,1,38.5,571.5,16,2025_01_03,KILL_SHOT
24.5,6,short,33.0,2,24.5,39.5,9,39.5,9,0.0,0,-24.5,621.0,349,621.0,349,counter_extended,621.0,596.5,593.5,3,42.5,618.0,17,2025_01_03,KILL_SHOT
51.0,3,long,43.5,2,51.0,401.5,239,401.5,239,0.0,0,-51.0,24.0,31,24.0,31,same_extended,401.5,350.5,609.5,101,660.5,0.0,18,2025_01_03,KILL_SHOT
15.0,2,long,0.5,1,15.0,214.5,112,214.5,112,0.0,0,-15.0,0.0,0,0.0,0,same_extended,214.5,199.5,410.5,96,425.5,0.0,19,2025_01_03,KILL_SHOT
22.5,8,long,30.0,4,22.5,199.5,110,199.5,110,0.0,0,-22.5,12.0,12,12.0,12,same_extended,199.5,177.0,403.0,98,425.5,0.0,20,2025_01_03,KILL_SHOT
-13.0,2,long,1.5,1,-13.0,8.0,14,8.0,14,13.0,2,13.0,62.5,49,62.5,49,counter_extended,62.5,75.5,159.0,62,0.0,159.0,21,2025_01_03,KILL_SHOT
-12.5,3,long,8.5,2,-12.5,20.5,11,20.5,11,12.5,3,12.5,50.0,46,50.0,46,counter_extended,50.0,62.5,159.0,65,0.0,159.0,22,2025_01_03,KILL_SHOT
25.0,2,short,12.0,1,25.0,55.0,30,55.0,30,0.0,0,-25.0,0.0,0,0.0,0,same_extended,55.0,30.0,134.0,81,159.0,0.0,23,2025_01_03,KILL_SHOT
6.5,4,long,9.5,3,6.5,14.0,5,14.0,5,1.5,1,-6.5,30.0,28,30.0,28,counter_extended,30.0,23.5,152.5,83,0.0,159.0,24,2025_01_03,KILL_SHOT
-8.5,2,long,0.0,0,-8.5,-5.0,25,0.0,0,9.0,3,8.5,30.5,20,30.5,20,counter_extended,30.5,39.0,159.0,91,0.0,159.0,25,2025_01_03,KILL_SHOT
0.5,2,long,0.0,0,0.5,3.5,23,3.5,23,2.5,3,-0.5,22.0,18,22.0,18,counter_extended,22.0,21.5,158.5,93,0.0,159.0,26,2025_01_03,KILL_SHOT
-1.5,2,long,0.0,0,-1.5,3.0,21,3.0,21,3.0,1,1.5,22.5,16,22.5,16,counter_extended,22.5,24.0,159.0,95,0.0,159.0,27,2025_01_03,KILL_SHOT
14.0,2,short,11.5,1,14.0,45.0,29,45.0,29,0.0,0,-14.0,17.5,11,17.5,11,same_extended,45.0,31.0,39.5,5,53.5,9.0,28,2025_01_05,KILL_SHOT
29.0,6,long,21.5,5,29.0,31.5,9,31.5,9,0.0,0,-29.0,31.0,27,31.0,27,same_extended,31.5,2.5,24.5,7,9.0,53.5,29,2025_01_05,KILL_SHOT
12.0,4,short,17.0,3,12.0,49.0,8,49.0,8,0.0,0,-12.0,4.0,26,4.0,26,same_extended,49.0,37.0,50.5,10,62.5,0.0,30,2025_01_05,KILL_SHOT
1.5,23,long,9.5,18,1.5,409.0,332,409.0,332,10.0,3,-1.5,10.0,3,10.0,3,same_extended,409.0,407.5,435.0,47,436.5,0.0,31,2025_01_06,KILL_SHOT
-15.0,4,short,4.5,1,-15.0,12.0,67,12.0,67,11.5,3,15.0,444.0,351,444.0,351,counter_extended,444.0,459.0,484.5,16,0.0,484.5,32,2025_01_06,KILL_SHOT
5.0,8,short,24.5,3,5.0,27.0,63,27.0,63,0.0,0,-5.0,433.5,367,433.5,367,counter_extended,433.5,428.5,491.5,20,0.0,496.5,33,2025_01_06,KILL_SHOT
32.0,6,short,21.5,5,32.0,53.0,22,53.0,22,0.0,0,-32.0,421.5,330,421.5,330,counter_extended,421.5,389.5,460.5,60,0.0,492.5,34,2025_01_06,KILL_SHOT
-8.5,9,long,0.0,0,-8.5,320.5,244,320.5,244,21.0,2,8.5,122.0,130,122.0,130,same_extended,320.5,329.0,474.5,64,474.5,0.0,35,2025_01_06,KILL_SHOT
13.0,12,long,21.0,9,13.0,343.0,233,343.0,233,16.5,1,-13.0,99.5,119,99.5,119,same_extended,343.0,330.0,461.5,75,474.5,0.0,36,2025_01_06,KILL_SHOT
-24.0,2,long,0.0,0,-24.0,320.0,220,320.0,220,24.0,2,24.0,122.5,106,122.5,106,same_extended,320.0,344.0,474.5,88,474.5,0.0,37,2025_01_06,KILL_SHOT
13.0,7,long,9.5,6,13.0,344.0,218,344.0,218,3.0,2,-13.0,98.5,104,98.5,104,same_extended,344.0,331.0,461.5,90,474.5,0.0,38,2025_01_06,KILL_SHOT
22.5,2,long,29.5,1,22.5,193.5,90,193.5,90,0.0,0,-22.5,280.0,320,280.0,320,counter_extended,280.0,257.5,420.0,24,442.5,31.0,39,2025_01_06,KILL_SHOT
22.5,4,long,29.5,3,22.5,168.5,87,168.5,87,31.5,1,-22.5,305.0,317,305.0,317,counter_extended,305.0,282.5,420.0,27,442.5,31.0,40,2025_01_06,KILL_SHOT
-31.0,7,long,0.0,0,-31.0,21.0,15,21.0,15,23.0,2,31.0,452.5,245,452.5,245,counter_extended,452.5,483.5,455.0,9,18.5,455.0,41,2025_01_06,KILL_SHOT
15.0,5,short,52.0,1,15.0,250.5,120,250.5,120,0.0,0,-15.0,26.5,242,26.5,242,same_extended,250.5,235.5,458.5,110,473.5,0.0,42,2025_01_06,KILL_SHOT
-121.5,19,long,0.0,0,-121.5,55.0,202,55.0,202,25.5,2,121.5,222.0,80,222.0,80,counter_extended,222.0,343.5,434.5,119,0.0,434.5,43,2025_01_06,KILL_SHOT
20.5,22,short,90.0,10,20.5,43.0,59,90.0,10,0.0,0,-20.5,187.0,132,187.0,132,counter_extended,187.0,166.5,256.5,116,277.0,0.0,44,2025_01_06,KILL_SHOT
-10.5,4,long,0.0,0,-10.5,-10.5,4,0.0,0,12.0,3,10.5,12.0,3,12.0,3,counter_early,12.0,22.5,148.0,118,148.0,0.0,45,2025_01_06,KILL_SHOT
-5.5,6,long,6.0,1,-5.5,59.0,57,59.0,57,12.5,3,5.5,159.5,239,159.5,239,counter_extended,159.5,165.0,211.5,45,7.0,211.5,46,2025_01_07,KILL_SHOT
5.5,3,short,2.0,1,5.5,132.0,123,132.0,123,1.0,2,-5.5,62.5,349,62.5,349,same_extended,132.0,126.5,213.0,59,218.5,0.0,47,2025_01_07,KILL_SHOT
-3.0,3,long,1.0,2,-3.0,131.0,165,131.0,165,3.0,3,3.0,44.0,32,44.0,32,same_extended,131.0,134.0,194.5,61,194.5,0.0,48,2025_01_07,KILL_SHOT
2.0,3,long,7.5,2,2.0,134.0,162,134.0,162,0.0,0,-2.0,41.0,29,41.0,29,same_extended,134.0,132.0,192.5,64,194.5,0.0,49,2025_01_07,KILL_SHOT
2.0,2,short,4.5,1,2.0,422.0,360,422.0,360,0.0,0,-2.0,46.5,302,46.5,302,same_extended,422.0,420.0,416.5,1,418.5,50.0,50,2025_01_07,KILL_SHOT
-21.0,9,long,0.0,0,-21.0,48.5,300,48.5,300,28.0,3,21.0,471.0,365,471.0,365,counter_extended,471.0,492.0,473.0,2,46.5,473.0,51,2025_01_07,KILL_SHOT
19.0,6,short,26.0,5,19.0,635.5,352,635.5,352,1.0,1,-19.0,118.5,257,118.5,257,same_extended,635.5,616.5,661.5,12,680.5,73.5,52,2025_01_07,KILL_SHOT
4.5,2,short,0.0,0,4.5,700.0,307,700.0,307,1.5,1,-4.5,54.0,212,54.0,212,same_extended,700.0,695.5,696.5,17,701.0,53.0,53,2025_01_07,KILL_SHOT
0.0,2,short,0.0,0,0.0,695.5,305,695.5,305,2.5,1,0.0,58.5,210,58.5,210,same_extended,695.5,695.5,701.5,1,701.5,52.5,54,2025_01_07,KILL_SHOT
-1.0,7,long,0.0,0,-1.0,58.5,208,58.5,208,14.0,2,1.0,695.5,303,695.5,303,counter_extended,695.5,696.5,701.5,3,52.5,701.5,55,2025_01_07,KILL_SHOT
