day,trades,pnl,wr
2025_01_01,1,25.5,100.0
2025_01_02,53,631.5,35.84905660377358
2025_01_03,50,597.0,36.0
2025_01_05,1,4.5,100.0
2025_01_06,35,594.5,48.57142857142857
2025_01_07,56,754.0,30.357142857142854
2025_01_08,45,502.0,35.55555555555556
2025_01_09,35,424.0,34.285714285714285
2025_01_10,48,1242.5,33.33333333333333
2025_01_12,3,59.0,66.66666666666666
2025_01_13,46,406.0,28.26086956521739
2025_01_14,47,975.5,36.17021276595745
2025_01_15,50,1114.5,42.0
2025_01_16,46,1202.5,47.82608695652174
2025_01_17,40,674.5,45.0
2025_01_19,1,17.5,100.0
2025_01_20,33,42.5,33.33333333333333
2025_01_21,44,794.0,47.72727272727273
2025_01_22,45,238.5,35.55555555555556
2025_01_23,46,515.0,36.95652173913043
2025_01_24,44,274.0,29.545454545454547
2025_01_26,3,4.5,66.66666666666666
2025_01_27,46,528.0,36.95652173913043
2025_01_28,53,1231.5,35.84905660377358
2025_01_29,42,430.5,35.714285714285715
2025_01_30,44,1214.0,59.09090909090909
2025_01_31,47,192.0,36.17021276595745
2025_02_02,1,33.0,100.0
2025_02_03,53,268.5,30.18867924528302
2025_02_04,50,798.5,40.0
2025_02_05,53,293.0,33.9622641509434
2025_02_06,49,277.5,28.57142857142857
2025_02_07,42,581.0,35.714285714285715
2025_02_09,2,154.0,100.0
2025_02_10,38,333.0,34.21052631578947
2025_02_11,45,532.5,35.55555555555556
2025_02_12,46,741.0,41.30434782608695
2025_02_13,46,543.5,30.434782608695656
2025_02_14,43,543.0,39.53488372093023
2025_02_16,1,7.5,100.0
2025_02_17,32,319.5,50.0
2025_02_18,48,311.0,31.25
2025_02_19,40,250.5,37.5
2025_02_20,49,762.5,40.816326530612244
2025_02_21,41,689.0,39.02439024390244
2025_02_23,1,-6.5,0.0
2025_02_24,53,654.0,39.62264150943396
2025_02_25,54,1484.0,38.88888888888889
2025_02_26,49,1202.0,38.775510204081634
2025_02_27,61,1422.0,32.78688524590164
2025_02_28,46,-477.5,23.91304347826087
2025_03_02,1,5.5,100.0
2025_03_03,55,867.0,36.36363636363637
2025_03_04,52,1515.0,51.92307692307693
2025_03_05,45,1076.0,48.888888888888886
2025_03_06,62,1041.0,38.70967741935484
2025_03_07,43,953.5,48.837209302325576
2025_03_09,3,-13.0,33.33333333333333
2025_03_10,52,950.0,30.76923076923077
2025_03_11,49,1227.5,42.857142857142854
2025_03_12,43,875.0,44.18604651162791
2025_03_13,59,853.0,37.28813559322034
2025_03_14,34,612.0,38.23529411764706
2025_03_16,4,214.5,75.0
2025_03_17,47,1052.5,48.93617021276596
2025_03_18,40,1205.5,40.0
2025_03_19,39,668.5,28.205128205128204
2025_03_20,32,1000.0,56.25
2025_03_21,11,109.0,27.27272727272727
2025_04_01,54,1143.5,38.88888888888889
2025_04_02,56,2664.5,41.07142857142857
2025_04_03,46,1555.5,47.82608695652174
2025_04_04,49,2407.5,53.06122448979592
2025_04_06,5,156.0,60.0
2025_04_07,57,4629.0,40.35087719298245
2025_04_08,54,1230.5,33.33333333333333
2025_04_09,53,1398.0,52.83018867924528
2025_04_10,50,1037.5,40.0
2025_04_11,47,3155.5,53.191489361702125
2025_04_13,3,56.5,66.66666666666666
2025_04_14,59,1021.5,37.28813559322034
2025_04_15,55,1215.5,32.72727272727273
2025_04_16,49,1781.5,42.857142857142854
2025_04_17,40,1190.5,47.5
2025_04_20,2,-14.0,50.0
2025_04_21,46,1536.0,43.47826086956522
2025_04_22,53,1622.5,33.9622641509434
2025_04_23,57,1378.5,40.35087719298245
2025_04_24,54,930.5,31.48148148148148
2025_04_25,49,1148.5,40.816326530612244
2025_04_27,3,68.5,66.66666666666666
2025_04_28,41,557.0,41.46341463414634
2025_04_29,47,868.5,38.297872340425535
2025_04_30,55,954.5,30.909090909090907
2025_05_01,43,436.5,37.2093023255814
2025_05_02,48,622.0,35.41666666666667
2025_05_04,1,30.5,100.0
2025_05_05,36,1010.5,55.55555555555556
2025_05_06,49,879.5,38.775510204081634
2025_05_07,56,919.5,35.714285714285715
2025_05_08,50,385.5,34.0
2025_05_09,40,399.0,37.5
2025_05_11,3,69.0,66.66666666666666
2025_05_12,45,390.5,31.11111111111111
