trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,cnn_flipped,exit_reason,day
0,23:59,1767311940.0,long,25479.0,25497.0,36.0,249,48.5,BASE_NMP,False,cnn_exit,2026_01_01
0,01:05,1767315900.0,short,25521.25,25523.0,-3.5,58,6.5,BASE_NMP,False,cnn_risk_cut,2026_01_02
1,01:30,1767317400.0,short,25527.0,25534.75,-15.5,119,16.5,BASE_NMP,True,cnn_risk_cut,2026_01_02
2,01:58,1767319080.0,short,25552.0,25554.75,-5.5,240,13.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
3,02:04,1767319440.0,short,25559.0,25567.25,-16.5,41,2.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
4,03:28,1767324480.0,short,25604.5,25601.75,5.5,343,12.5,BASE_NMP,False,cnn_exit,2026_01_02
5,04:44,1767329040.0,short,25627.5,25632.25,-9.5,329,19.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
6,05:24,1767331440.0,short,25627.0,25631.75,-9.5,132,12.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
7,05:51,1767333060.0,short,25628.0,25632.0,-8.0,25,0.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
8,06:04,1767333840.0,long,25636.75,25640.5,7.5,35,7.5,KILL_SHOT,False,kill_shot_center,2026_01_02
9,07:20,1767338400.0,short,25641.5,25629.0,25.0,377,29.5,BASE_NMP,False,cnn_exit,2026_01_02
10,07:35,1767339300.0,short,25636.25,25639.25,-6.0,101,4.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
11,08:00,1767340800.0,short,25634.25,25650.5,-32.5,120,13.0,BASE_NMP,True,cnn_risk_cut,2026_01_02
12,08:14,1767341640.0,short,25681.25,25688.75,-15.0,12,0.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
13,08:15,1767341700.0,short,25688.75,25691.75,-6.0,12,0.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
14,08:39,1767343140.0,long,25687.0,25684.75,-4.5,182,18.5,BASE_NMP,False,cnn_risk_cut,2026_01_02
15,08:53,1767343980.0,short,25712.0,25712.5,-1.0,11,0.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
16,09:27,1767346020.0,long,25709.25,25727.5,36.5,320,55.0,BASE_NMP,False,cnn_exit,2026_01_02
17,10:28,1767349680.0,short,25724.25,25717.75,13.0,428,22.5,BASE_NMP,True,cnn_exit,2026_01_02
18,12:00,1767355200.0,short,25725.5,25721.25,8.5,402,23.0,BASE_NMP,True,cnn_exit,2026_01_02
19,12:25,1767356700.0,short,25711.5,25693.5,36.0,277,49.5,BASE_NMP,True,cnn_exit,2026_01_02
20,13:56,1767362160.0,short,25693.75,25686.75,14.0,371,22.5,BASE_NMP,True,cnn_exit,2026_01_02
21,14:28,1767364080.0,short,25696.0,25685.25,21.5,360,61.0,BASE_NMP,False,cnn_exit,2026_01_02
22,15:22,1767367320.0,short,25656.75,25486.25,341.0,132,341.0,BASE_NMP,True,cnn_exit,2026_01_02
23,15:33,1767367980.0,short,25498.5,25532.75,-68.5,84,53.5,BASE_NMP,False,cnn_risk_cut,2026_01_02
24,15:40,1767368400.0,short,25532.75,25564.25,-63.0,84,16.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
25,15:57,1767369420.0,short,25551.5,25392.0,319.0,108,319.0,BASE_NMP,True,cnn_exit,2026_01_02
26,17:05,1767373500.0,short,25341.5,25353.25,-23.5,72,29.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
27,17:13,1767373980.0,short,25382.5,25399.75,-34.5,12,0.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
28,17:42,1767375720.0,short,25399.75,25382.25,35.0,348,69.0,BASE_NMP,False,cnn_exit,2026_01_02
29,17:49,1767376140.0,long,25332.75,25331.5,-2.5,12,0.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
30,18:20,1767378000.0,long,25346.5,25339.5,-14.0,24,0.0,BASE_NMP,True,cnn_risk_cut,2026_01_02
31,18:48,1767379680.0,short,25362.25,25311.5,101.5,324,101.5,BASE_NMP,False,cnn_exit,2026_01_02
32,19:45,1767383100.0,long,25374.75,25434.0,118.5,324,150.5,BASE_NMP,False,cnn_exit,2026_01_02
33,20:00,1767384000.0,long,25391.5,25406.0,29.0,24,29.0,BASE_NMP,False,cnn_exit,2026_01_02
34,20:10,1767384600.0,short,25417.0,25427.25,-20.5,84,23.0,BASE_NMP,False,cnn_risk_cut,2026_01_02
35,20:15,1767384900.0,long,25427.25,25421.0,-12.5,60,2.0,BASE_NMP,True,cnn_risk_cut,2026_01_02
36,20:50,1767387000.0,short,25426.5,25402.5,48.0,300,110.0,BASE_NMP,True,cnn_exit,2026_01_02
37,20:51,1767387060.0,short,25402.5,25381.75,41.5,12,41.5,KILL_SHOT,False,kill_shot_center,2026_01_02
38,21:01,1767387660.0,long,25408.75,25400.25,-17.0,12,0.0,BASE_NMP,True,cnn_risk_cut,2026_01_02
39,21:54,1767390840.0,long,25395.0,25384.0,-22.0,164,8.5,BASE_NMP,False,cnn_risk_cut,2026_01_02
40,21:59,1767391195.0,long,25391.25,25393.75,5.0,21,5.0,BASE_NMP,True,end_of_day,2026_01_02
0,23:40,1767570000.0,long,25447.25,25443.0,-8.5,95,19.5,BASE_NMP,False,cnn_risk_cut,2026_01_04
1,23:59,1767571195.0,long,25420.5,25457.75,74.5,167,74.5,BASE_NMP,False,end_of_day,2026_01_04
0,00:09,1767571740.0,long,25468.5,25460.5,-16.0,36,0.0,BASE_NMP,False,cnn_risk_cut,2026_01_05
1,00:38,1767573480.0,long,25455.0,25442.0,-26.0,308,47.0,BASE_NMP,False,cnn_risk_cut,2026_01_05
