day,trades,pnl,wr
2026_01_01,1,36.0,100.0
2026_01_02,1,255.0,100.0
2026_01_04,1,21.0,100.0
2026_01_05,1,195.0,100.0
2026_01_06,1,-499.5,0.0
2026_01_07,1,3.0,100.0
2026_01_08,1,-282.5,0.0
2026_01_09,1,-489.5,0.0
2026_01_11,1,0.0,0.0
2026_01_12,1,23.5,100.0
2026_01_13,2,-137.5,0.0
2026_01_14,1,591.5,100.0
2026_01_15,1,283.0,100.0
2026_01_16,1,129.5,100.0
2026_01_18,1,-38.5,0.0
2026_01_19,1,-57.5,0.0
2026_01_20,1,-419.5,0.0
2026_01_21,1,833.0,100.0
2026_01_22,1,108.0,100.0
2026_01_23,1,-75.0,0.0
2026_01_25,1,107.0,100.0
2026_01_26,1,624.5,100.0
2026_01_27,1,523.0,100.0
2026_01_28,1,-59.5,0.0
2026_01_29,1,-365.5,0.0
2026_01_30,1,687.5,100.0
2026_02_01,1,-107.5,0.0
2026_02_02,1,897.5,100.0
2026_02_03,1,-1026.5,0.0
2026_02_04,1,-681.0,0.0
2026_02_05,1,-1542.5,0.0
2026_02_06,2,636.5,50.0
2026_02_08,1,64.5,100.0
2026_02_09,1,-74.5,0.0
