trade_id,time,timestamp,dir,entry_price,exit_price,pnl,exit,held,peak,entry_z,entry_vr,entry_dmi,entry_vol,entry_hurst,exit_z,exit_vr,exit_dmi,exit_z_5m,exit_z_15m,exit_z_1h,exit_dmi_1h,approach_length,path_length,regret_peak_pnl,regret_peak_bar,regret_breakeven_bar,regret_peak_time_min,regret_lifespan_min,day
0,06:10,1767334200.0,long,25636.75,25642.0,10.5,momentum_exhausted,81,11.0,-2.2803120613098145,0.504442572593689,25.32785987854004,1.393668293952942,0.9008188843727112,0.1142844706773758,0.3949435353279114,25.46791648864746,0.46814200282096863,-0.983906090259552,-0.012571820057928562,35.402652740478516,10,82,13.5,23,137,1.9166666666666667,11.416666666666666,2026_01_02
1,10:07,1767348420.0,short,25732.25,25726.75,11.0,opposite_extreme,108,11.0,2.267216682434082,0.4497324824333191,8.120112419128418,1.066628098487854,0.5382387042045593,-1.6443164348602295,0.6965980529785156,-3.346534490585327,-1.4098927974700928,-0.34515848755836487,-0.6794418096542358,37.53003692626953,10,109,17.0,14,45,1.1666666666666667,3.75,2026_01_02
2,20:57,1767387420.0,short,25402.5,25372.75,59.5,momentum_exhausted,84,65.0,2.111088275909424,0.7726593017578125,-6.258114814758301,2.9153661727905273,0.7306480407714844,0.46153268218040466,0.4620349705219269,-8.284404754638672,-0.8369116187095642,-0.31930217146873474,-0.43780577182769775,0.06193796172738075,10,85,67.5,1,37,0.08333333333333333,3.0833333333333335,2026_01_02
0,01:03,1767574980.0,short,25483.5,25469.5,28.0,opposite_extreme,12,28.0,2.404336452484131,0.6528043746948242,21.092424392700195,4.290518283843994,0.6691333055496216,-1.0677686929702759,0.6444177627563477,18.35097312927246,-0.10411310940980911,0.22050590813159943,0.7944061160087585,5.553909778594971,10,13,64.5,214,397,17.833333333333332,33.083333333333336,2026_01_05
1,01:09,1767575340.0,long,25455.0,25465.0,20.0,momentum_exhausted,48,24.5,-2.5638463497161865,0.7968147397041321,4.734569072723389,1.722572684288025,0.8965602517127991,-0.5878104567527771,0.820178747177124,8.581067085266113,-0.10345291346311569,0.22050590813159943,0.7944061160087585,5.553909778594971,10,49,29.5,6,43,0.5,3.5833333333333335,2026_01_05
2,04:03,1767585780.0,short,25468.25,25461.75,13.0,momentum_exhausted,58,13.0,2.479006290435791,0.3719751834869385,-3.6378414630889893,1.8288700580596924,0.6458699107170105,-0.6328288316726685,0.4114896357059479,-12.242321968078613,-1.0569263696670532,-1.2425806522369385,1.0498608350753784,5.973297595977783,10,59,19.5,76,120,6.333333333333333,10.0,2026_01_05
3,12:02,1767614520.0,short,25580.25,25570.0,20.5,opposite_extreme,23,20.5,2.4587595462799072,0.4362150728702545,17.44472885131836,3.257974624633789,0.7126891613006592,-1.30332612991333,0.4601033627986908,9.360066413879395,-0.6253941059112549,-0.11356519162654877,-0.4068637192249298,13.858406066894531,10,24,117.0,866,1268,72.16666666666667,105.66666666666667,2026_01_05
4,14:56,1767624960.0,short,25623.5,25586.5,74.0,opposite_extreme,132,95.5,2.1900017261505127,0.8011964559555054,2.455578327178955,1.7269731760025024,0.8835466504096985,-1.1148147583007812,0.7074059844017029,-3.1898961067199707,-1.1076571941375732,-0.1530553251504898,-0.029574858024716377,17.153432846069336,10,133,110.5,15,89,1.25,7.416666666666667,2026_01_05
0,05:53,1767678780.0,long,25641.0,25640.0,-2.0,momentum_exhausted,58,3.5,-2.054974317550659,0.6528476476669312,-10.927448272705078,1.9048672914505005,0.5027494430541992,-0.052747562527656555,0.2943178713321686,-12.377732276916504,-1.79062819480896,-1.7474044561386108,0.2995290160179138,9.85546875,10,59,5.0,16,29,1.3333333333333333,2.4166666666666665,2026_01_06
1,14:01,1767708060.0,short,25612.5,25597.75,29.5,opposite_extreme,82,29.5,2.0648319721221924,0.39931002259254456,-15.742087364196777,1.5424906015396118,0.7645089030265808,-1.6551885604858398,0.6767055988311768,-25.863624572753906,-1.2885642051696777,-1.635743260383606,2.6611979007720947,15.619833946228027,10,83,30.5,14,126,1.1666666666666667,10.5,2026_01_06
