day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_01,ABSORPTION,short,21278.25,10.5,10.5,12,absorb_vr_rising,1735774560.0
2025_01_01,ABSORPTION,short,21273.0,0.0,0.0,1,absorb_vr_rising,1735774620.0
2025_01_02,ABSORPTION,long,21321.25,0.0,0.0,1,absorb_vr_rising,1735784940.0
2025_01_02,ABSORPTION,long,21324.5,6.0,7.5,21,absorb_ride_failing,1735785540.0
2025_01_02,ABSORPTION,long,21328.25,-1.5,0.0,12,absorb_ride_failing,1735785600.0
2025_01_02,ABSORPTION,long,21327.5,-2.5,0.0,12,absorb_z_collapsed,1735785660.0
2025_01_02,ABSORPTION,long,21313.75,-3.5,0.0,11,absorb_z_collapsed,1735787760.0
2025_01_02,ABSORPTION,long,21328.5,0.0,0.0,1,absorb_vr_rising,1735788240.0
2025_01_02,ABSORPTION,long,21335.25,0.0,0.0,1,absorb_vr_rising,1735788480.0
2025_01_02,ABSORPTION,short,21308.25,0.0,0.0,1,absorb_vr_rising,1735789380.0
2025_01_02,ABSORPTION,short,21299.0,0.0,0.0,1,absorb_vr_rising,1735789620.0
2025_01_02,ABSORPTION,long,21304.25,0.0,0.0,1,absorb_vr_rising,1735789680.0
2025_01_02,ABSORPTION,short,21291.5,0.0,0.0,12,absorb_ride_failing,1735791720.0
2025_01_02,ABSORPTION,long,21318.0,0.0,0.0,1,absorb_vr_rising,1735792500.0
2025_01_02,ABSORPTION,long,21331.25,-3.5,0.0,12,absorb_ride_failing,1735793580.0
2025_01_02,ABSORPTION,long,21335.0,7.5,13.0,46,absorb_vol_persistent,1735794720.0
2025_01_02,ABSORPTION,long,21340.25,2.5,2.5,12,absorb_ride_failing,1735794780.0
2025_01_02,ABSORPTION,long,21338.75,27.0,27.0,24,absorb_vol_persistent,1735794960.0
2025_01_02,ABSORPTION,long,21350.5,-1.5,0.0,12,absorb_ride_failing,1735795140.0
2025_01_02,ABSORPTION,short,21345.5,1.5,3.5,23,absorb_ride_failing,1735795800.0
2025_01_02,ABSORPTION,short,21371.5,0.0,0.0,1,absorb_z_collapsed,1735797000.0
2025_01_02,ABSORPTION,long,21378.75,-4.5,0.0,12,absorb_ride_failing,1735798800.0
2025_01_02,ABSORPTION,short,21369.25,21.5,21.5,11,absorb_vr_rising,1735799220.0
2025_01_02,ABSORPTION,short,21363.5,0.0,0.0,1,absorb_vr_rising,1735799340.0
2025_01_02,ABSORPTION,short,21361.25,0.0,0.0,1,absorb_vr_rising,1735799400.0
2025_01_02,ABSORPTION,long,21391.5,-7.5,0.0,12,absorb_ride_failing,1735800900.0
2025_01_02,ABSORPTION,long,21392.5,3.5,5.5,36,absorb_z_collapsed,1735801200.0
2025_01_02,ABSORPTION,long,21395.25,-1.5,0.0,12,absorb_ride_failing,1735801260.0
2025_01_02,ABSORPTION,short,21383.75,-6.0,0.0,12,absorb_ride_failing,1735801500.0
