day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_02,EXHAUSTION_BAR,long,21266.75,-83.0,0.0,12,exhaust_no_conviction,1735828440.0
2025_01_02,EXHAUSTION_BAR,long,21218.25,-43.0,9.5,60,exhaust_mean,1735828560.0
2025_01_06,EXHAUSTION_BAR,long,21672.25,3.5,56.0,24,giveback,1736172960.0
2025_01_07,EXHAUSTION_BAR,long,21622.0,-39.0,51.0,36,giveback,1736262060.0
2025_01_08,EXHAUSTION_BAR,long,21322.0,-8.0,38.5,60,giveback,1736335920.0
2025_01_08,EXHAUSTION_BAR,short,21339.5,65.0,65.0,48,exhaust_mean,1736341260.0
2025_01_08,EXHAUSTION_BAR,long,21244.25,39.0,39.0,36,exhaust_mean,1736349240.0
2025_01_10,EXHAUSTION_BAR,long,21093.5,11.0,11.0,48,exhaust_mean,1736519880.0
2025_01_14,EXHAUSTION_BAR,short,21124.25,82.5,82.5,48,exhaust_mean,1736861460.0
2025_01_14,EXHAUSTION_BAR,long,21006.5,25.5,35.0,24,exhaust_mean,1736866440.0
2025_01_15,EXHAUSTION_BAR,short,21194.0,-53.5,0.0,12,exhaust_no_conviction,1736947860.0
2025_01_20,EXHAUSTION_BAR,short,21627.0,-29.0,0.0,12,exhaust_no_conviction,1737379920.0
2025_01_21,EXHAUSTION_BAR,long,21616.5,-101.0,0.0,12,exhaust_no_conviction,1737420660.0
2025_01_21,EXHAUSTION_BAR,long,21536.0,30.0,80.0,48,giveback,1737420780.0
2025_01_27,EXHAUSTION_BAR,long,21270.5,10.0,74.0,48,giveback,1738020060.0
2025_01_28,EXHAUSTION_BAR,long,21237.25,24.5,28.0,48,exhaust_mean,1738029540.0
2025_01_28,EXHAUSTION_BAR,long,21212.5,19.5,19.5,48,exhaust_mean,1738074960.0
2025_01_29,EXHAUSTION_BAR,short,21666.0,43.0,43.0,60,exhaust_mean,1738130460.0
2025_01_29,EXHAUSTION_BAR,long,21410.0,-62.0,0.0,12,exhaust_no_conviction,1738173720.0
2025_01_29,EXHAUSTION_BAR,short,21560.25,20.0,62.0,36,giveback,1738179660.0
2025_01_29,EXHAUSTION_BAR,long,21471.0,35.0,73.0,132,giveback,1738184460.0
2025_01_30,EXHAUSTION_BAR,long,21579.0,53.5,53.5,36,exhaust_mean,1738249380.0
2025_02_03,EXHAUSTION_BAR,short,21327.5,-52.0,37.0,48,giveback,1738596300.0
2025_02_03,EXHAUSTION_BAR,short,21498.0,-13.5,14.5,70,exhaust_mean,1738617600.0
2025_02_04,EXHAUSTION_BAR,long,21307.75,33.5,33.5,36,exhaust_mean,1738645620.0
2025_02_04,EXHAUSTION_BAR,short,21507.0,17.5,17.5,24,exhaust_mean,1738679940.0
2025_02_04,EXHAUSTION_BAR,long,21606.5,-11.5,6.0,60,exhaust_mean,1738689420.0
2025_02_04,EXHAUSTION_BAR,long,21613.5,23.0,30.0,60,exhaust_mean,1738702920.0
2025_02_07,EXHAUSTION_BAR,long,21819.75,-71.5,0.0,12,exhaust_no_conviction,1738940460.0
2025_02_07,EXHAUSTION_BAR,long,21781.0,-55.5,0.0,12,exhaust_no_conviction,1738940580.0
2025_02_07,EXHAUSTION_BAR,long,21648.0,107.0,107.0,48,exhaust_mean,1738943640.0
2025_02_18,EXHAUSTION_BAR,long,22122.0,-15.0,0.0,12,exhaust_no_conviction,1739905680.0
2025_02_25,EXHAUSTION_BAR,long,21224.5,42.0,112.0,60,giveback,1740495180.0
2025_02_27,EXHAUSTION_BAR,long,21302.5,-6.0,31.5,24,giveback,1740664020.0
2025_02_28,EXHAUSTION_BAR,short,20659.75,10.0,56.5,60,giveback,1740749460.0
2025_02_28,EXHAUSTION_BAR,long,20478.0,-24.5,41.0,24,giveback,1740753120.0
2025_02_28,EXHAUSTION_BAR,long,20625.75,-22.5,0.0,12,exhaust_no_conviction,1740764580.0
2025_02_28,EXHAUSTION_BAR,long,20689.75,83.0,83.0,48,exhaust_mean,1740774900.0
2025_02_28,EXHAUSTION_BAR,short,20905.5,-26.0,0.0,12,exhaust_no_conviction,1740776160.0
2025_03_03,EXHAUSTION_BAR,long,20982.75,-14.5,0.0,12,exhaust_no_conviction,1741012740.0
2025_03_03,EXHAUSTION_BAR,long,20831.75,3.0,36.0,36,giveback,1741024620.0
2025_03_03,EXHAUSTION_BAR,long,20640.5,-49.0,0.0,12,exhaust_no_conviction,1741031520.0
2025_03_04,EXHAUSTION_BAR,long,20610.5,-31.5,0.0,12,exhaust_no_conviction,1741120260.0
2025_03_04,EXHAUSTION_BAR,long,20350.25,323.0,329.0,336,exhaust_mean,1741121460.0
2025_03_05,EXHAUSTION_BAR,long,20460.25,73.5,73.5,36,exhaust_mean,1741175640.0
2025_03_05,EXHAUSTION_BAR,long,20329.0,148.5,229.0,96,exhaust_mean,1741185480.0
2025_03_05,EXHAUSTION_BAR,long,20590.0,29.0,29.0,36,exhaust_mean,1741208760.0
2025_03_06,EXHAUSTION_BAR,long,20256.0,3.0,50.0,36,giveback,1741271520.0
2025_03_06,EXHAUSTION_BAR,short,20187.25,-28.5,0.0,60,exhaust_mean,1741295760.0
2025_03_07,EXHAUSTION_BAR,short,20248.75,139.5,139.5,24,exhaust_mean,1741354260.0
2025_03_07,EXHAUSTION_BAR,short,20150.25,-8.5,2.5,48,exhaust_mean,1741358460.0
2025_03_07,EXHAUSTION_BAR,short,19934.0,-8.5,30.0,24,giveback,1741368840.0
2025_03_07,EXHAUSTION_BAR,long,20139.5,89.5,159.5,180,exhaust_mean,1741379880.0
2025_03_10,EXHAUSTION_BAR,long,19802.0,42.0,95.5,36,giveback,1741613580.0
2025_03_11,EXHAUSTION_BAR,long,19173.5,38.5,85.5,143,giveback,1741654320.0
2025_03_11,EXHAUSTION_BAR,long,19423.75,-79.0,0.0,12,exhaust_no_conviction,1741701780.0
2025_03_11,EXHAUSTION_BAR,short,19410.0,-47.0,0.0,12,exhaust_no_conviction,1741716120.0
2025_03_13,EXHAUSTION_BAR,long,19361.0,12.5,29.0,24,exhaust_mean,1741874220.0
2025_03_14,EXHAUSTION_BAR,short,19537.5,-54.0,0.0,12,exhaust_no_conviction,1741959240.0
2025_03_14,EXHAUSTION_BAR,long,19489.5,65.5,145.0,84,giveback,1741960860.0
2025_03_17,EXHAUSTION_BAR,long,19842.25,-68.0,24.0,84,exhaust_mean,1742241360.0
2025_04_02,EXHAUSTION_BAR,short,19946.5,37.0,37.0,48,exhaust_mean,1743624840.0
2025_04_02,EXHAUSTION_BAR,long,19606.0,-228.5,0.0,12,hard_stop,1743625620.0
2025_04_02,EXHAUSTION_BAR,long,19491.75,-183.5,0.0,12,hard_stop,1743625680.0
2025_04_02,EXHAUSTION_BAR,long,19400.0,-82.0,0.0,12,exhaust_no_conviction,1743625740.0
2025_04_02,EXHAUSTION_BAR,long,19359.0,-21.0,138.5,13,giveback,1743625800.0
2025_04_03,EXHAUSTION_BAR,short,19002.5,-31.0,0.0,12,exhaust_no_conviction,1743687060.0
2025_04_04,EXHAUSTION_BAR,long,18211.25,-132.5,0.0,12,exhaust_no_conviction,1743762120.0
2025_04_04,EXHAUSTION_BAR,long,17903.0,100.0,271.0,156,giveback,1743766140.0
2025_04_04,EXHAUSTION_BAR,long,18036.5,-51.0,0.0,12,exhaust_no_conviction,1743774060.0
2025_04_06,EXHAUSTION_BAR,long,16548.5,13.0,13.0,48,exhaust_mean,1743980940.0
2025_04_07,EXHAUSTION_BAR,long,16755.5,-1.0,2.0,48,exhaust_mean,1743996840.0
2025_04_07,EXHAUSTION_BAR,short,16887.25,43.0,43.0,24,exhaust_mean,1744003200.0
2025_04_07,EXHAUSTION_BAR,short,16841.0,-54.0,0.0,12,exhaust_no_conviction,1744012980.0
2025_04_07,EXHAUSTION_BAR,short,17001.75,-53.0,54.5,24,giveback,1744020180.0
2025_04_07,EXHAUSTION_BAR,short,17179.5,-79.5,0.0,12,exhaust_no_conviction,1744028940.0
2025_04_07,EXHAUSTION_BAR,short,16986.0,-161.0,0.0,12,hard_stop,1744033860.0
2025_04_07,EXHAUSTION_BAR,short,17094.75,-50.5,0.0,12,exhaust_no_conviction,1744033980.0
2025_04_07,EXHAUSTION_BAR,short,17720.25,-237.0,0.0,12,hard_stop,1744035060.0
2025_04_07,EXHAUSTION_BAR,short,17838.75,-497.5,0.0,12,hard_stop,1744035120.0
2025_04_08,EXHAUSTION_BAR,long,17719.0,-34.5,0.0,60,exhaust_mean,1744073880.0
2025_04_08,EXHAUSTION_BAR,long,17714.5,-65.0,0.0,12,exhaust_no_conviction,1744073940.0
2025_04_08,EXHAUSTION_BAR,long,17674.25,55.0,55.0,24,exhaust_mean,1744074060.0
2025_04_08,EXHAUSTION_BAR,short,17834.5,20.0,65.5,36,giveback,1744111080.0
2025_04_08,EXHAUSTION_BAR,short,18059.75,-18.0,0.0,12,exhaust_no_conviction,1744117740.0
2025_04_08,EXHAUSTION_BAR,long,17965.5,60.5,80.5,24,exhaust_mean,1744127580.0
2025_04_08,EXHAUSTION_BAR,long,17907.75,-92.5,6.0,72,exhaust_mean,1744129080.0
2025_04_08,EXHAUSTION_BAR,long,17118.25,-25.0,0.0,12,exhaust_no_conviction,1744149780.0
2025_04_09,EXHAUSTION_BAR,short,17037.5,-175.0,8.0,84,hard_stop,1744202700.0
2025_04_09,EXHAUSTION_BAR,short,18050.0,-340.0,0.0,11,hard_stop,1744219200.0
2025_04_09,EXHAUSTION_BAR,short,18262.25,-212.5,0.0,12,hard_stop,1744219320.0
2025_04_10,EXHAUSTION_BAR,short,18972.25,30.5,91.0,24,giveback,1744288260.0
2025_04_10,EXHAUSTION_BAR,short,18553.5,-34.0,40.5,24,giveback,1744309380.0
2025_04_11,EXHAUSTION_BAR,short,18409.25,-28.5,0.0,12,exhaust_no_conviction,1744338360.0
2025_04_11,EXHAUSTION_BAR,short,18585.0,16.5,41.5,36,giveback,1744372620.0
2025_04_11,EXHAUSTION_BAR,long,18421.5,-49.0,23.0,84,exhaust_mean,1744377000.0
2025_04_11,EXHAUSTION_BAR,short,18530.75,-95.0,0.0,60,exhaust_mean,1744378980.0
2025_04_11,EXHAUSTION_BAR,short,18536.5,-46.0,0.0,12,exhaust_no_conviction,1744379040.0
2025_04_11,EXHAUSTION_BAR,long,18367.25,-85.0,0.0,12,exhaust_no_conviction,1744381260.0
2025_04_14,EXHAUSTION_BAR,long,19046.0,-46.0,35.0,60,giveback,1744638060.0
2025_04_15,EXHAUSTION_BAR,short,19061.25,-8.0,21.0,36,exhaust_mean,1744724400.0
2025_04_15,EXHAUSTION_BAR,long,18711.75,42.0,45.0,48,exhaust_mean,1744754460.0
2025_04_16,EXHAUSTION_BAR,short,18357.75,-116.5,3.0,240,exhaust_mean,1744833060.0
