day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_03,FADE_AGAINST,long,21514.75,22.5,22.5,48,mean_reached,1735930200.0
2025_01_06,FADE_AGAINST,long,21733.0,18.0,18.0,72,z_reversal,1736172300.0
2025_01_06,FADE_AGAINST,long,21810.0,6.5,17.5,24,z_reversal,1736175000.0
2025_01_07,FADE_AGAINST,short,21414.75,-87.5,4.5,108,z_reversal,1736272440.0
2025_01_09,FADE_AGAINST,short,21243.75,25.5,25.5,22,mean_reached,1736466480.0
2025_01_13,FADE_AGAINST,long,20853.25,8.5,8.5,60,mean_reached,1736789280.0
2025_01_13,FADE_AGAINST,long,20848.0,19.0,19.0,48,mean_reached,1736789340.0
2025_01_13,FADE_AGAINST,long,21067.0,8.0,19.0,35,z_reversal,1736811900.0
2025_01_14,FADE_AGAINST,short,21084.25,8.5,8.5,39,mean_reached,1736853060.0
2025_01_14,FADE_AGAINST,short,21060.5,15.0,15.0,12,mean_reached,1736854920.0
2025_01_16,FADE_AGAINST,short,21343.0,-1.0,23.0,36,z_reversal,1737059220.0
2025_01_17,FADE_AGAINST,long,21293.0,7.0,7.0,41,mean_reached,1737092400.0
2025_01_17,FADE_AGAINST,long,21341.75,28.5,28.5,56,z_reversal,1737105720.0
2025_01_20,FADE_AGAINST,short,21553.25,6.5,6.5,27,mean_reached,1737333360.0
2025_01_20,FADE_AGAINST,short,21554.0,-6.0,3.5,35,z_reversal,1737334500.0
2025_01_20,FADE_AGAINST,long,21691.75,-28.5,1.0,72,z_reversal,1737381960.0
2025_01_20,FADE_AGAINST,long,21684.5,-14.0,15.5,60,z_reversal,1737382020.0
2025_01_22,FADE_AGAINST,long,21923.5,-2.0,7.5,24,z_reversal,1737554460.0
2025_01_22,FADE_AGAINST,long,21913.75,6.5,6.5,36,mean_reached,1737554820.0
2025_01_22,FADE_AGAINST,long,22048.5,23.0,23.0,36,mean_reached,1737563580.0
2025_01_22,FADE_AGAINST,short,21983.0,9.5,9.5,24,mean_reached,1737583080.0
2025_01_22,FADE_AGAINST,short,21985.25,14.0,14.0,12,mean_reached,1737583140.0
2025_01_22,FADE_AGAINST,short,21970.25,10.0,10.0,22,mean_reached,1737589440.0
2025_01_23,FADE_AGAINST,short,21955.25,14.0,14.0,24,mean_reached,1737593700.0
2025_01_23,FADE_AGAINST,short,21958.5,-1.5,5.0,22,z_reversal,1737594000.0
2025_01_23,FADE_AGAINST,long,21934.5,-19.0,3.0,60,z_reversal,1737652980.0
2025_01_23,FADE_AGAINST,long,21931.75,-13.5,1.0,36,z_reversal,1737653100.0
2025_01_23,FADE_AGAINST,long,22027.75,7.0,20.0,36,z_reversal,1737666120.0
2025_01_23,FADE_AGAINST,long,22013.25,1.0,5.0,38,z_reversal,1737668640.0
2025_01_24,FADE_AGAINST,short,22003.25,-1.0,4.0,21,z_reversal,1737695040.0
2025_01_24,FADE_AGAINST,short,21916.75,34.0,34.0,36,mean_reached,1737744480.0
2025_01_26,FADE_AGAINST,short,21655.5,4.5,24.0,36,z_reversal,1737934020.0
2025_01_26,FADE_AGAINST,short,21668.5,-4.5,4.5,36,z_reversal,1737935220.0
2025_01_27,FADE_AGAINST,short,21661.0,18.5,22.0,36,mean_reached,1737936840.0
2025_01_27,FADE_AGAINST,long,21050.5,70.0,70.0,48,z_reversal,1737982860.0
2025_01_27,FADE_AGAINST,long,21044.75,81.5,81.5,36,z_reversal,1737982920.0
2025_01_27,FADE_AGAINST,long,21134.75,0.5,22.5,36,z_reversal,1737984120.0
2025_01_28,FADE_AGAINST,short,21282.25,-15.0,7.0,24,z_reversal,1738074060.0
2025_01_28,FADE_AGAINST,short,21289.75,-35.0,15.5,24,z_reversal,1738074180.0
2025_01_28,FADE_AGAINST,long,21547.75,10.5,17.5,24,z_reversal,1738084980.0
2025_01_28,FADE_AGAINST,long,21545.0,9.0,17.5,36,z_reversal,1738085160.0
2025_01_28,FADE_AGAINST,long,21619.0,-3.5,11.0,24,z_reversal,1738093860.0
2025_01_28,FADE_AGAINST,long,21617.25,-5.5,12.0,36,z_reversal,1738093980.0
2025_01_28,FADE_AGAINST,long,21614.5,-13.0,3.0,48,z_reversal,1738094160.0
2025_01_30,FADE_AGAINST,long,21579.5,11.0,11.0,12,mean_reached,1738199100.0
2025_01_30,FADE_AGAINST,long,21658.5,1.0,9.0,23,z_reversal,1738201440.0
2025_01_30,FADE_AGAINST,long,21659.0,-1.0,0.0,89,mean_reached,1738201560.0
2025_01_30,FADE_AGAINST,long,21654.0,9.0,9.0,78,mean_reached,1738201620.0
2025_01_31,FADE_AGAINST,long,21705.25,42.0,42.0,24,mean_reached,1738286820.0
2025_01_31,FADE_AGAINST,short,21791.5,56.0,56.0,36,mean_reached,1738348800.0
2025_01_31,FADE_AGAINST,short,21631.25,76.0,76.0,36,mean_reached,1738356600.0
