day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_02,FADE_MOMENTUM,long,21285.25,-161.0,0.0,60,hard_stop,1735828380.0
2025_01_03,FADE_MOMENTUM,long,21318.0,90.0,90.0,48,mean_reached,1735915860.0
2025_01_08,FADE_MOMENTUM,short,21311.25,8.5,8.5,60,mean_reached,1736341200.0
2025_01_13,FADE_MOMENTUM,short,20773.75,41.0,56.0,84,mean_reached,1736779380.0
2025_01_27,FADE_MOMENTUM,long,20781.5,221.5,221.5,36,z_reversal,1737975120.0
2025_01_27,FADE_MOMENTUM,long,20914.5,69.0,69.0,36,mean_reached,1737977100.0
2025_01_29,FADE_MOMENTUM,long,21416.5,99.0,99.0,12,mean_reached,1738177200.0
2025_01_29,FADE_MOMENTUM,long,21479.0,-35.5,3.5,36,z_reversal,1738184400.0
2025_02_03,FADE_MOMENTUM,short,21198.5,-229.5,0.0,36,hard_stop,1738596060.0
2025_02_03,FADE_MOMENTUM,long,21344.5,134.0,134.0,12,mean_reached,1738598700.0
2025_02_03,FADE_MOMENTUM,short,21495.25,-4.0,9.0,59,mean_reached,1738617540.0
2025_02_06,FADE_MOMENTUM,long,21781.5,101.0,101.0,36,mean_reached,1738875660.0
2025_02_07,FADE_MOMENTUM,long,21654.0,75.0,82.5,48,mean_reached,1738943580.0
2025_02_26,FADE_MOMENTUM,short,21316.75,121.0,234.5,36,mean_reached,1740604800.0
2025_02_27,FADE_MOMENTUM,long,20931.0,56.0,56.0,24,mean_reached,1740668400.0
2025_02_28,FADE_MOMENTUM,long,20675.5,45.5,52.5,72,mean_reached,1740763380.0
2025_02_28,FADE_MOMENTUM,long,20505.0,24.5,43.0,24,z_reversal,1740766560.0
2025_03_03,FADE_MOMENTUM,long,20887.75,108.5,108.5,48,mean_reached,1741016220.0
2025_03_04,FADE_MOMENTUM,short,20407.25,-125.5,0.0,84,mean_reached,1741111680.0
2025_03_04,FADE_MOMENTUM,long,20381.0,14.5,14.5,48,mean_reached,1741121400.0
2025_03_05,FADE_MOMENTUM,long,20316.5,47.5,128.5,36,giveback,1741188060.0
