day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_02,KILL_SHOT,short,21130.25,27.0,27.0,25,kill_shot_center,1735847280.0
2025_01_02,KILL_SHOT,short,21186.75,36.5,36.5,25,kill_shot_center,1735849860.0
2025_01_02,KILL_SHOT,long,21138.0,-1.0,0.0,37,kill_shot_center,1735850100.0
2025_01_02,KILL_SHOT,long,21191.25,3.5,3.5,24,kill_shot_center,1735853520.0
2025_01_02,KILL_SHOT,short,21185.25,4.5,4.5,9,kill_shot_center,1735855080.0
2025_01_02,KILL_SHOT,long,21167.5,10.5,10.5,35,kill_shot_center,1735859100.0
2025_01_02,KILL_SHOT,long,21157.5,-8.0,0.0,35,kill_shot_center,1735860300.0
2025_01_02,KILL_SHOT,long,21153.5,0.0,0.0,24,kill_shot_center,1735860360.0
2025_01_02,KILL_SHOT,long,21145.25,12.0,12.0,11,kill_shot_center,1735861680.0
2025_01_02,KILL_SHOT,short,21164.0,11.5,11.5,12,kill_shot_center,1735862100.0
2025_01_03,KILL_SHOT,long,21197.25,8.0,8.0,35,kill_shot_center,1735863600.0
2025_01_03,KILL_SHOT,long,21226.25,10.0,10.0,13,kill_shot_center,1735865400.0
2025_01_03,KILL_SHOT,long,21217.75,-23.0,0.0,24,kill_shot_no_conviction,1735868580.0
2025_01_03,KILL_SHOT,long,21217.0,1.0,1.0,25,kill_shot_center,1735868640.0
2025_01_03,KILL_SHOT,long,21206.25,22.5,22.5,13,kill_shot_center,1735868700.0
2025_01_03,KILL_SHOT,long,21244.0,-9.0,0.0,24,kill_shot_no_conviction,1735871280.0
2025_01_03,KILL_SHOT,long,21222.25,8.0,8.0,13,kill_shot_center,1735872720.0
2025_01_03,KILL_SHOT,long,21250.0,-7.0,3.0,32,kill_shot_no_conviction,1735874280.0
2025_01_03,KILL_SHOT,long,21231.25,2.5,2.5,13,kill_shot_center,1735879260.0
2025_01_03,KILL_SHOT,long,21219.75,12.5,12.5,11,kill_shot_center,1735884660.0
2025_01_03,KILL_SHOT,long,21237.75,3.0,13.0,30,kill_shot_center,1735887480.0
2025_01_03,KILL_SHOT,long,21231.0,-5.5,0.0,22,kill_shot_center,1735887840.0
2025_01_03,KILL_SHOT,long,21226.0,4.5,4.5,11,kill_shot_center,1735887900.0
2025_01_03,KILL_SHOT,long,21242.25,6.5,6.5,9,kill_shot_center,1735890960.0
2025_01_03,KILL_SHOT,long,21267.5,18.0,18.0,25,kill_shot_center,1735895940.0
2025_01_03,KILL_SHOT,long,21266.75,10.0,10.0,36,kill_shot_center,1735896660.0
2025_01_03,KILL_SHOT,long,21250.25,5.0,5.0,23,kill_shot_center,1735899720.0
2025_01_03,KILL_SHOT,long,21249.0,7.5,7.5,12,kill_shot_center,1735899780.0
2025_01_03,KILL_SHOT,long,21242.75,15.0,15.0,13,kill_shot_center,1735899960.0
2025_01_03,KILL_SHOT,short,21234.25,1.5,1.5,21,kill_shot_center,1735902960.0
2025_01_03,KILL_SHOT,long,21239.0,6.5,6.5,13,kill_shot_center,1735905000.0
2025_01_03,KILL_SHOT,long,21223.25,7.5,7.5,25,kill_shot_center,1735905900.0
2025_01_03,KILL_SHOT,short,21237.75,9.5,9.5,22,kill_shot_center,1735906320.0
2025_01_03,KILL_SHOT,short,21257.75,-11.0,0.0,24,kill_shot_no_conviction,1735909380.0
2025_01_03,KILL_SHOT,short,21263.25,11.0,11.0,13,kill_shot_center,1735909500.0
2025_01_03,KILL_SHOT,long,21372.0,19.0,19.0,37,kill_shot_center,1735915620.0
2025_01_03,KILL_SHOT,long,21364.75,33.5,33.5,25,kill_shot_center,1735915680.0
2025_01_03,KILL_SHOT,long,21318.0,84.0,84.0,25,kill_shot_center,1735915860.0
2025_01_03,KILL_SHOT,long,21377.5,-32.0,0.0,24,kill_shot_no_conviction,1735917060.0
2025_01_03,KILL_SHOT,long,21366.75,-35.5,0.0,24,kill_shot_no_conviction,1735917120.0
2025_01_03,KILL_SHOT,long,21464.25,14.5,14.5,13,kill_shot_center,1735923540.0
2025_01_03,KILL_SHOT,long,21453.5,38.0,38.0,13,kill_shot_center,1735924440.0
2025_01_03,KILL_SHOT,long,21452.25,18.0,18.0,13,kill_shot_center,1735927260.0
2025_01_03,KILL_SHOT,long,21514.75,7.5,7.5,37,kill_shot_center,1735930200.0
2025_01_03,KILL_SHOT,long,21508.75,13.5,13.5,13,kill_shot_center,1735930740.0
2025_01_03,KILL_SHOT,long,21533.0,-2.0,0.0,49,kill_shot_center,1735932240.0
2025_01_03,KILL_SHOT,long,21530.75,2.5,2.5,37,kill_shot_center,1735932300.0
2025_01_03,KILL_SHOT,long,21547.75,8.5,8.5,13,kill_shot_center,1735933500.0
2025_01_03,KILL_SHOT,long,21542.75,6.0,6.0,25,kill_shot_center,1735933620.0
2025_01_03,KILL_SHOT,long,21482.25,7.0,7.0,13,kill_shot_center,1735937400.0
2025_01_03,KILL_SHOT,short,21489.0,8.0,8.0,13,kill_shot_center,1735939920.0
2025_01_03,KILL_SHOT,short,21488.75,-1.0,2.0,24,kill_shot_no_conviction,1735941360.0
2025_01_05,KILL_SHOT,short,21523.0,-11.5,0.0,24,kill_shot_no_conviction,1736120400.0
2025_01_05,KILL_SHOT,short,21527.5,5.5,5.5,23,kill_shot_center,1736120460.0
2025_01_06,KILL_SHOT,short,21504.75,13.0,13.0,34,kill_shot_center,1736122980.0
2025_01_06,KILL_SHOT,short,21505.75,15.0,15.0,24,kill_shot_center,1736123040.0
2025_01_06,KILL_SHOT,short,21494.25,-7.0,4.0,24,kill_shot_no_conviction,1736124480.0
2025_01_06,KILL_SHOT,short,21525.25,2.5,2.5,19,kill_shot_center,1736139600.0
2025_01_06,KILL_SHOT,short,21541.0,1.0,3.5,24,kill_shot_no_conviction,1736142660.0
2025_01_06,KILL_SHOT,short,21537.0,4.0,4.0,18,kill_shot_center,1736143980.0
2025_01_06,KILL_SHOT,short,21548.0,2.0,2.0,9,kill_shot_center,1736145180.0
2025_01_06,KILL_SHOT,short,21613.75,2.5,2.5,25,kill_shot_center,1736153220.0
2025_01_06,KILL_SHOT,long,21724.25,-15.0,0.0,24,kill_shot_no_conviction,1736170740.0
2025_01_06,KILL_SHOT,long,21716.75,12.5,12.5,37,kill_shot_center,1736170860.0
2025_01_06,KILL_SHOT,long,21737.5,-8.0,0.0,49,kill_shot_center,1736172240.0
2025_01_06,KILL_SHOT,long,21733.0,1.0,2.0,37,kill_shot_center,1736172300.0
2025_01_06,KILL_SHOT,long,21793.5,40.5,40.5,13,kill_shot_center,1736174640.0
2025_01_06,KILL_SHOT,long,21810.0,29.5,29.5,37,kill_shot_center,1736175000.0
2025_01_06,KILL_SHOT,long,21799.25,26.0,26.0,13,kill_shot_center,1736175420.0
2025_01_06,KILL_SHOT,long,21859.75,18.5,18.5,25,kill_shot_center,1736177460.0
2025_01_06,KILL_SHOT,long,21867.5,19.5,19.5,25,kill_shot_center,1736180220.0
2025_01_06,KILL_SHOT,short,21832.25,7.5,7.5,13,kill_shot_center,1736184780.0
2025_01_06,KILL_SHOT,short,21793.0,2.0,2.0,25,kill_shot_center,1736204460.0
2025_01_07,KILL_SHOT,short,21767.75,-0.5,1.0,24,kill_shot_no_conviction,1736208600.0
2025_01_07,KILL_SHOT,short,21765.5,1.0,1.0,13,kill_shot_center,1736214660.0
