day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_01,MTF_BREAKOUT,long,21304.25,-18.0,0.0,10,breakout_alignment_lost,1735774200.0
2025_01_01,MTF_BREAKOUT,short,21280.25,26.0,45.5,70,breakout_alignment_lost,1735774500.0
2025_01_01,MTF_BREAKOUT,short,21278.25,19.0,41.5,35,giveback,1735774560.0
2025_01_01,MTF_BREAKOUT,short,21273.0,8.5,31.0,23,giveback,1735774620.0
2025_01_01,MTF_BREAKOUT,short,21257.5,-19.5,0.0,35,breakout_alignment_lost,1735774680.0
2025_01_02,MTF_BREAKOUT,short,21374.25,5.5,19.0,65,breakout_overshot,1735803000.0
2025_01_02,MTF_BREAKOUT,short,21369.0,-5.0,8.5,54,breakout_overshot,1735803060.0
2025_01_02,MTF_BREAKOUT,short,21369.25,-4.5,9.0,42,breakout_overshot,1735803120.0
2025_01_02,MTF_BREAKOUT,short,21364.75,-13.5,0.0,31,breakout_overshot,1735803180.0
2025_01_02,MTF_BREAKOUT,short,21367.0,-9.0,0.0,19,breakout_overshot,1735803240.0
2025_01_02,MTF_BREAKOUT,short,21359.0,-3.5,17.0,67,breakout_overshot,1735803840.0
2025_01_02,MTF_BREAKOUT,short,21350.5,-20.5,0.0,56,breakout_overshot,1735803900.0
2025_01_02,MTF_BREAKOUT,short,21355.0,-11.5,8.0,44,breakout_overshot,1735803960.0
2025_01_02,MTF_BREAKOUT,short,21351.0,-19.5,0.0,33,breakout_overshot,1735804020.0
2025_01_02,MTF_BREAKOUT,short,21351.0,-19.5,0.0,22,breakout_overshot,1735804080.0
2025_01_02,MTF_BREAKOUT,long,21364.5,75.5,84.5,132,breakout_overshot,1735804800.0
2025_01_02,MTF_BREAKOUT,long,21377.25,50.0,59.0,120,breakout_overshot,1735804860.0
2025_01_02,MTF_BREAKOUT,long,21388.75,27.0,36.0,108,breakout_overshot,1735804920.0
2025_01_02,MTF_BREAKOUT,long,21385.25,34.0,43.0,96,breakout_overshot,1735804980.0
2025_01_02,MTF_BREAKOUT,long,21393.75,17.0,26.0,84,breakout_overshot,1735805040.0
