day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_01_03,MTF_EXHAUSTION,short,21381.25,0.0,0.0,1,mtf_mean,1735920300.0
2025_01_06,MTF_EXHAUSTION,short,21683.75,6.0,23.0,60,mtf_mean,1736172900.0
2025_01_06,MTF_EXHAUSTION,short,21721.25,-5.5,5.0,60,mtf_mean,1736189100.0
2025_01_07,MTF_EXHAUSTION,short,21733.75,30.0,63.5,60,giveback,1736260500.0
2025_01_07,MTF_EXHAUSTION,short,21767.0,111.0,111.5,48,mtf_1m_exhausted,1736261700.0
2025_01_07,MTF_EXHAUSTION,short,21653.25,11.5,62.5,36,giveback,1736262000.0
2025_01_07,MTF_EXHAUSTION,short,21549.25,234.5,234.5,120,mtf_1m_exhausted,1736263800.0
2025_01_07,MTF_EXHAUSTION,short,21522.25,-40.5,59.0,108,giveback,1736267400.0
2025_01_07,MTF_EXHAUSTION,short,21484.25,86.5,86.5,84,mtf_mean,1736268600.0
2025_01_08,MTF_EXHAUSTION,short,21351.25,26.5,67.0,96,giveback,1736337600.0
2025_01_08,MTF_EXHAUSTION,short,21312.0,-3.0,0.0,12,mtf_mean,1736356200.0
2025_01_08,MTF_EXHAUSTION,short,21366.75,0.0,0.0,1,mtf_mean,1736361900.0
2025_01_10,MTF_EXHAUSTION,short,21154.5,110.5,174.0,60,mtf_5m_reaccel,1736515800.0
2025_01_10,MTF_EXHAUSTION,short,21133.0,0.0,0.0,1,mtf_mean,1736517300.0
2025_01_10,MTF_EXHAUSTION,short,21159.5,-45.5,35.5,36,giveback,1736519400.0
2025_01_10,MTF_EXHAUSTION,short,21146.75,95.5,122.0,84,mtf_mean,1736519700.0
2025_01_10,MTF_EXHAUSTION,short,21133.5,183.0,205.5,60,mtf_mean,1736520300.0
2025_01_10,MTF_EXHAUSTION,short,20979.0,59.0,79.5,60,mtf_5m_reaccel,1736521200.0
2025_01_10,MTF_EXHAUSTION,short,21068.0,108.0,108.0,60,mtf_5m_reaccel,1736524200.0
2025_01_10,MTF_EXHAUSTION,short,20926.0,50.0,53.0,96,mtf_mean,1736528100.0
2025_01_10,MTF_EXHAUSTION,short,21157.0,162.0,190.0,132,mtf_mean,1736535600.0
2025_01_10,MTF_EXHAUSTION,short,21091.75,31.5,59.5,72,mtf_mean,1736535900.0
2025_01_13,MTF_EXHAUSTION,short,20784.0,169.0,169.0,192,mtf_mean,1736758800.0
2025_01_13,MTF_EXHAUSTION,short,20793.25,0.0,0.0,12,mtf_1m_exhausted,1736787000.0
2025_01_13,MTF_EXHAUSTION,short,20757.25,22.5,64.5,84,giveback,1736787300.0
2025_01_14,MTF_EXHAUSTION,short,21092.25,34.0,71.5,48,giveback,1736865900.0
2025_01_14,MTF_EXHAUSTION,short,21058.0,77.5,103.0,72,mtf_mean,1736866200.0
2025_01_14,MTF_EXHAUSTION,short,20988.5,13.5,13.5,12,mtf_mean,1736869500.0
2025_01_14,MTF_EXHAUSTION,short,20955.75,49.5,49.5,60,mtf_5m_reaccel,1736870100.0
2025_01_14,MTF_EXHAUSTION,short,20847.75,50.0,65.5,36,mtf_mean,1736884800.0
2025_01_15,MTF_EXHAUSTION,short,21314.75,35.0,69.5,72,mtf_mean,1736958600.0
2025_01_16,MTF_EXHAUSTION,short,21464.5,50.0,90.5,72,mtf_1m_exhausted,1737037800.0
2025_01_16,MTF_EXHAUSTION,short,21394.75,22.0,22.0,12,mtf_mean,1737040200.0
2025_01_16,MTF_EXHAUSTION,short,21393.75,0.0,0.0,1,mtf_mean,1737041100.0
2025_01_16,MTF_EXHAUSTION,short,21272.25,68.0,90.0,132,mtf_1m_exhausted,1737060900.0
2025_01_17,MTF_EXHAUSTION,short,21548.0,40.0,119.5,108,giveback,1737127200.0
2025_01_21,MTF_EXHAUSTION,short,21630.25,108.5,188.5,60,mtf_5m_reaccel,1737420600.0
2025_01_21,MTF_EXHAUSTION,short,21701.0,138.0,201.0,120,mtf_5m_reaccel,1737470100.0
2025_01_26,MTF_EXHAUSTION,short,21695.0,-3.0,27.5,72,mtf_mean,1737932400.0
2025_01_27,MTF_EXHAUSTION,short,21347.75,10.5,31.5,60,giveback,1737962100.0
2025_01_27,MTF_EXHAUSTION,short,21312.0,18.5,56.0,72,giveback,1737964500.0
2025_01_27,MTF_EXHAUSTION,short,21241.25,20.5,43.5,36,giveback,1737965700.0
2025_01_27,MTF_EXHAUSTION,short,21100.25,53.5,72.5,72,mtf_mean,1737972900.0
2025_01_27,MTF_EXHAUSTION,short,21060.25,82.0,116.5,72,mtf_mean,1737973800.0
2025_01_27,MTF_EXHAUSTION,short,20879.5,44.0,196.0,48,giveback,1737975000.0
2025_01_27,MTF_EXHAUSTION,short,20914.5,-69.0,0.0,36,mtf_1m_exhausted,1737977100.0
2025_01_27,MTF_EXHAUSTION,short,21248.25,58.5,59.0,72,mtf_1m_exhausted,1737994800.0
2025_01_27,MTF_EXHAUSTION,short,21237.75,13.5,13.5,24,mtf_mean,1737997500.0
2025_01_27,MTF_EXHAUSTION,short,21206.25,99.5,107.5,108,mtf_mean,1737999900.0
2025_01_28,MTF_EXHAUSTION,short,21323.0,25.5,55.5,168,giveback,1738051500.0
2025_01_29,MTF_EXHAUSTION,short,21583.5,36.0,91.5,60,giveback,1738161000.0
2025_01_29,MTF_EXHAUSTION,short,21416.5,-99.0,0.0,12,mtf_mean,1738177200.0
2025_01_29,MTF_EXHAUSTION,long,21410.75,256.0,256.0,60,mtf_5m_reaccel,1738179300.0
2025_01_29,MTF_EXHAUSTION,short,21479.0,46.0,126.0,72,giveback,1738184400.0
2025_01_30,MTF_EXHAUSTION,short,21645.5,79.5,133.0,72,mtf_mean,1738249200.0
2025_01_30,MTF_EXHAUSTION,short,21587.0,38.0,54.5,36,mtf_mean,1738250700.0
2025_01_31,MTF_EXHAUSTION,short,21840.75,1.0,33.0,24,giveback,1738347900.0
